순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2804579,34-2803703,35-2806885,36-2807292,37-2806887,38-2806889,39-2806892,40-2807121,41-2806979,42-2807407,43-2806980,44-2806981,45-2806982,46-2806983,47-2806984,48-2806985,49-2807003,50-2807125,51-2807126,52-2807128,53-2807130,54-2807132,55-2806962,56-2806940,57-2806941,58-2806942,59-2806943,60-2806944,61-2807134,62-2807135,63-2806946,64-2807137,65-2806947,66-2806948,67-2806949,68-2807147,69-2807148,70-2807149,71-2806951,72-2807138,73-2806973,74-2807139,75-2807409,76-2807123
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,8.700186,8.953598,9.336223,9.526710000000001,9.758203,9.956998,10.498732,11.050305,11.543792,11.881069,12.410267,12.586367999999998,12.787718,13.364199,13.721634,14.304607,14.813870999999999,16.5994,17.202270000000002,17.914036,18.540685,18.856704999999998,19.200364999999998,19.444514,19.972081,20.220914,20.909395,21.382317,22.459685,23.01339,23.708865,24.465024,24.917499,25.750234,25.427734,25.09852,24.754911,24.398675,24.07124,23.778367000000003,23.371508,23.137057000000002,22.848682,22.546559,21.186269,20.626317,19.768109,19.514332999999997,19.103513,18.834616,18.248425,17.535248,17.076897,16.612133
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.282903,8.536315,8.91894,9.109427,9.34092,9.539715,10.079449,10.633023,11.126509,11.461787,11.990984,12.167085,12.369435000000001,12.945916,13.304351,13.889323999999998,14.396589,16.181117,16.785988,17.498753,18.123402,18.439422,18.782082,19.027231,19.554798,19.803631,20.494112,20.967035,22.043402,22.597108,23.290582,24.048741,24.501217,25.331951,25.010451,24.679237,24.338628,23.981392,23.653957000000002,23.360085,22.956225,22.721774,22.432399,22.128277,20.769987,20.210034,19.352826,19.09905,18.688229999999997,18.419334,17.831142,17.119966,16.658614,16.19585
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.439561,5.927437,6.250204,6.6964179999999995,7.044307000000001,7.396211,7.92842,8.181830999999999,8.564456,8.754944,8.986436,9.185232000000001,9.726966000000001,10.278539,10.772025,11.109303,11.6385,11.814602,12.016950999999999,12.593432,12.948867,13.533841,14.044104999999998,15.827632999999999,16.430504,17.144269,17.770919,18.085938,18.429598000000002,18.672747,19.202315,19.451147,20.139628,20.610551,21.689918,22.243624,22.939098,23.694257,24.147733,24.978467000000002,24.655967,24.326754,23.983144,23.628908,23.299473000000003,23.008601000000002,22.599742000000003,22.365289999999998,22.078915,21.775793,20.415503,19.854551,18.996342000000002,18.742567,18.333745999999998,18.06485,17.476658,16.765482000000002,16.30513,15.840366
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,7.350532,7.603942999999999,7.986567999999999,8.179056,8.410548,8.609344,9.151078,9.702651,10.196137,10.533415,11.062612,11.238714,11.442063000000001,12.014544,12.372978999999999,12.954952,13.465217,15.251745000000001,15.856616,16.566381,17.193031,17.51105,17.85071,18.096859,18.623427,18.871259,19.559739999999998,20.032663,21.112029999999997,21.665736,22.36121,23.117369,23.571845,24.402579,24.080079,23.750866000000002,23.408256,23.052020000000002,22.724585,22.430713,22.024853,21.791401999999998,21.501027,21.198905,19.838615,19.276661999999998,18.421454,18.165678,17.755858,17.486962,16.90277,16.185594000000002,15.727242000000002,15.266478
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,6.974309,7.22772,7.608345,7.800833,8.032325,8.229121000000001,8.772855,9.324428,9.817914,10.155192,10.684389,10.860491,11.06284,11.639321,11.992756,12.57873,13.085994,14.873522,15.477393,16.189158,16.814808,17.130827,17.474487,17.718636,18.246204000000002,18.496036,19.181517000000003,19.65644,20.733807000000002,21.287513,21.982986999999998,22.739145999999998,23.191622,24.024356,23.698856,23.369643,23.026032999999998,22.669797,22.346362,22.05249,21.645630999999998,21.412179000000002,21.122804000000002,20.820682,19.460392000000002,18.90044,18.042231,17.789456,17.378635,17.108739,16.523547,15.810371,15.351019,14.887255
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,6.738312,6.9917229999999995,7.3743479999999995,7.564836,7.796328,7.995124000000001,8.536858,9.088431,9.581917,9.919195,10.450391999999999,10.624493,10.825842999999999,11.403324000000001,11.761759,12.343732000000001,12.851997,14.637525,15.241396,15.952160999999998,16.580810999999997,16.89583,17.24149,17.484639,18.013207,18.260039000000003,18.948520000000002,19.420443,20.49781,21.052516,21.747989999999998,22.503149,22.956625,23.789359,23.466859,23.139646,22.793035999999997,22.4378,22.108365,21.816492999999998,21.411633,21.177182000000002,20.889807,20.585685,19.224395,18.664442,17.806234,17.553458,17.142638,16.874742,16.28855,15.574373999999999,15.116022000000001,14.650258
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,6.56433,6.817741000000001,7.202367,7.392853999999999,7.624347,7.821142,8.362876,8.914449000000001,9.409936,9.747213,10.274411,10.450512,10.654861,11.231342999999999,11.585778,12.168751,12.678015,14.465544,15.067414000000001,15.779179999999998,16.404829,16.721848,17.064508,17.308657999999998,17.838225,18.087057,18.776539,19.246461,20.325829000000002,20.877534,21.574009,22.331167,22.781643,23.615378,23.294877,22.965664,22.620054,22.266819,21.935384,21.644510999999998,21.239652,21.003201,20.712825,20.410703,19.051413,18.490461,17.636253,17.380477,16.971657,16.70076,16.116569000000002,15.401392000000001,14.942041,14.476277
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.304386,6.557798,6.940423,7.130910000000001,7.362403,7.561197999999999,8.102932000000001,8.654506,9.147992,9.48727,10.016467,10.192568,10.392918,10.969399000000001,11.325834,11.910807,12.420072,14.2056,14.807471,15.519236,16.145885,16.462905,16.806565,17.049714,17.577282,17.827114,18.514595,18.988518,20.065885,20.619591,21.315065,22.071224,22.5227,23.355434,23.032934,22.704720000000002,22.361110999999998,22.004875,21.67644,21.384567999999998,20.977708,20.743257,20.454882,20.15276,18.79147,18.232517,17.373309,17.119532999999997,16.708713,16.439817,15.854625,15.140448999999998,14.682097,14.217332999999998
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,5.951679,6.205091,6.587716,6.780203,7.009696000000001,7.210491,7.750225,8.301798,8.795285,9.134563,9.661760000000001,9.837861,10.042211,10.618692,10.976127,11.5571,12.066365,13.850893,14.456763,15.166529,15.793178,16.111198,16.452858,16.696007,17.225573999999998,17.473407,18.161888,18.63581,19.713178,20.264882999999998,20.961357999999997,21.719517,22.172992999999998,23.003726999999998,22.679226999999997,22.353013,22.009404,21.652168,21.325733,21.03186,20.625001,20.39055,20.103175,19.800051999999997,18.440762,17.87981,17.022602,16.768826,16.358006,16.088109,15.501918,14.789741000000001,14.33039,13.865626
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.169005,5.422416,5.805041,5.995528,6.227021,6.4258169999999994,6.965551,7.519124000000001,8.01261,8.349888,8.879085,9.055186,9.256536,9.834017,10.191452,10.775425,11.282689999999999,13.068218,13.671089000000002,14.380854000000001,15.011504,15.325523,15.671183,15.914332,16.4409,16.689732,17.378213,17.851136,18.928503,19.483209,20.177683,20.935842,21.387318,22.220052,21.898552,21.567339,21.223729000000002,20.869493,20.541058,20.247186,19.842326,19.605875,19.3175,19.016378,17.656088,17.096135,16.236926999999998,15.983151000000001,15.572331,15.301435000000001,14.717243,14.004067000000001,13.547715,13.080950999999999
