순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2803740,21-2803692,22-2803694,23-2803696,24-2803698,25-2804776,26-2803701,27-2803702,28-2807371,29-2803737,30-2803735,31-2803734,32-2803732,33-2803730,34-2803728,35-2804299,36-2804297,37-2804295,38-2804293,39-2804291,40-2804289,41-2804285,42-2804283
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.7247580000000005,5.19413,5.837279,6.187937000000001,6.727971000000001,6.958996000000001,8.018856,8.820686,9.049515,9.338444,9.751158,10.125110000000001,10.432962,10.630475,10.87406,11.165921,11.462701,11.748816,12.190756,12.56366,12.897782000000001,13.251657999999999,13.676591,14.115480999999999,14.336313,14.939728,15.159098,15.540605,16.109635,16.42064
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.935833,4.4052050000000005,5.048354,5.399012,5.939045,6.17007,7.229931,8.031761,8.260589,8.549517999999999,8.962233,9.336185,9.644036,9.84155,10.085134,10.376994999999999,10.673776,10.95989,11.40183,11.774735,12.108857,12.462732,12.887666000000001,13.326556,13.547388,14.150803,14.370173000000001,14.751679000000001,15.32071,15.631715
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.667616,4.136988,4.780137,5.130795,5.670829,5.901854,6.961714,7.7635440000000004,7.9923720000000005,8.281302,8.694016,9.067967999999999,9.37582,9.573333,9.816918,10.108779,10.405559,10.691674,11.133614,11.506518,11.840639999999999,12.194516,12.619449000000001,13.058339,13.279171,13.882585999999998,14.101956,14.483462,15.052493,15.363498000000002
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.358659,3.8280309999999997,4.47118,4.821838,5.361872,5.592897,6.652757000000001,7.454586999999999,7.683416,7.972345,8.385059,8.759011,9.066863,9.264377,9.507961,9.799822,10.096602,10.382717,10.824657,11.197562,11.531683000000001,11.885558999999999,12.310492,12.749382,12.970214,13.573629,13.792998999999998,14.174506,14.743535999999999,15.054541
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,3.222429,3.6918010000000003,4.33495,4.685608,5.225642,5.4566669999999995,6.516527,7.318357000000001,7.547186,7.8361149999999995,8.248828999999999,8.622781,8.930633,9.128147,9.371731,9.663592,9.960372999999999,10.246487,10.688427,11.061332,11.395453,11.749329,12.174263,12.613152000000001,12.833984,13.4374,13.656769,14.038276000000002,14.607306,14.918311
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.974657,3.44403,4.087178,4.437836,4.977869999999999,5.208895,6.2687550000000005,7.070585,7.299414,7.588342999999999,8.001058,8.375009,8.682861,8.880375,9.123959,9.41582,9.712601,9.998714999999999,10.440655,10.81356,11.147681,11.501557,11.926491,12.36538,12.586212,13.189627999999999,13.408997,13.790504,14.359535000000001,14.670539000000002
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.6818779999999998,3.15125,3.794399,4.1450569999999995,4.685091000000001,4.916116000000001,5.975976,6.777806,7.006635,7.295564,7.708278,8.082230000000001,8.390082000000001,8.587596000000001,8.83118,9.123041,9.419822,9.705936,10.147876,10.520781,10.854902000000001,11.208778,11.633712,12.072600999999999,12.293433,12.896849000000001,13.116218,13.497725,14.066754999999999,14.37776
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,2.038859,2.5082310000000003,3.15138,3.5020379999999998,4.042072,4.273096,5.332957,6.134787,6.363615,6.652544,7.065258999999999,7.439211,7.747063000000001,7.944576,8.18816,8.480022,8.776802,9.062917,9.504857000000001,9.877761,10.211883,10.565759,10.990692,11.429582,11.650414,12.253829,12.473199000000001,12.854705000000001,13.423735999999998,13.734741
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.711919,2.181291,2.82444,3.1750979999999998,3.715132,3.946157,5.006017,5.807847,6.036676,6.325605,6.738319000000001,7.112271000000001,7.420122999999999,7.617636999999999,7.8612210000000005,8.153082000000001,8.449863,8.735977,9.177916999999999,9.550822,9.884943,10.238819,10.663752,11.102642,11.323474000000001,11.926889,12.146258999999999,12.527766,13.096796000000001,13.407801000000001
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.578055,2.047427,2.6905759999999996,3.041234,3.581268,3.812293,4.872153,5.673983,5.902812,6.191741,6.604455000000001,6.978407000000001,7.286258999999999,7.483772999999999,7.7273570000000005,8.019217999999999,8.315999,8.602113000000001,9.044053,9.416958000000001,9.751078999999999,10.104955,10.529888,10.968778,11.18961,11.793025,12.012395,12.393902,12.962932,13.273937
