순번_정류장ID,36-2804279,37-2804277,38-2804639,39-2803750,40-2803752,41-2804275,42-2806287,43-2806285,44-2804281,45-2806283,46-2804272,47-2804271,48-2804269,49-2804267,50-2804265,51-2806281,52-2804263,53-2804777,54-2803744,55-2804666,56-2803745,57-2803746,58-2803747,59-2803748,60-2804688,61-2807370,62-2803604,63-2800266,64-2807368,65-2804602,66-2803580,67-2800263,68-2800267,69-2804032
36-2804279,0,0.47429,2.0503009999999997,2.259306,2.4585619999999997,2.672862,3.119593,3.5256629999999998,3.8178089999999996,4.050064,4.586372,4.91052,5.5285470000000005,5.810979,6.536746,7.110807,7.616428,8.147756,8.704302,9.013521,9.672118,10.143054,10.881276,11.289302000000001,11.715428,11.847541,12.162449,12.831622,13.129298,13.356547,13.510051999999998,13.73105,13.981145999999999,14.617593
37-2804277,,0,1.576011,1.785016,1.984272,2.198571,2.6453029999999997,3.051373,3.343519,3.575774,4.112082,4.436229,5.054257,5.336689,6.062456,6.636516,7.142138,7.673464999999999,8.230012,8.53923,9.197828,9.668763,10.406986,10.815012,11.241138000000001,11.373251,11.688158999999999,12.357332000000001,12.655007000000001,12.882257000000001,13.035762,13.25676,13.506855999999999,14.143301999999998
38-2804639,,,0,0.20900500000000002,0.408261,0.6215609999999999,1.068292,1.4743620000000002,1.7665080000000002,1.998763,2.535071,2.859219,3.477246,3.759678,4.4854449999999995,5.059506,5.5651269999999995,6.096455000000001,6.653001,6.962219999999999,7.620817,8.091753,8.829975,9.238000999999999,9.664127,9.79624,10.111148,10.780321,11.077997,11.305246,11.458751,11.679749000000001,11.929845,12.566292
39-2803750,,,,0,0.199256,0.41255600000000003,0.8592870000000001,1.265357,1.557503,1.7897580000000002,2.3260669999999997,2.650214,3.268241,3.550673,4.27644,4.850501,5.356122,5.88745,6.443996,6.753214999999999,7.411811999999999,7.882747999999999,8.62097,9.028996000000001,9.455122,9.587235,9.902142999999999,10.571316,10.868992,11.096241000000001,11.249746,11.470744,11.720839999999999,12.357287
40-2803752,,,,,0,0.2133,0.660031,1.066101,1.358247,1.590502,2.12681,2.450958,3.068985,3.3514169999999996,4.077184,4.651244999999999,5.156866,5.688194,6.24474,6.553959,7.212556,7.683492,8.421714,8.82974,9.255866000000001,9.387979,9.702886999999999,10.372060000000001,10.669736,10.896985,11.05049,11.271488,11.521583999999999,12.158031
41-2804275,,,,,,0,0.44673100000000004,0.8578020000000001,1.149948,1.3822020000000002,1.918511,2.242658,2.860686,3.143118,3.8688839999999995,4.442945,4.948567,5.479894,6.036441,6.3456589999999995,7.004257000000001,7.475192,8.213414,8.62144,9.047566,9.179680000000001,9.494587,10.163761000000001,10.461436,10.688686,10.842189999999999,11.063189,11.313284,11.949731
42-2806287,,,,,,,0,0.41107,0.703216,0.9354709999999999,1.4717799999999999,1.795927,2.413954,2.696386,3.422153,3.996214,4.501835,5.033163,5.589709,5.898928,6.557525,7.028461,7.7666830000000004,8.174709,8.600835,8.732948,9.047856,9.717029,10.014705000000001,10.241954,10.395458999999999,10.616457,10.866553,11.503
43-2806285,,,,,,,,0,0.292146,0.524401,1.063709,1.387857,2.005884,2.288316,3.0140830000000003,3.5881440000000002,4.093765,4.6250919999999995,5.181639,5.490857,6.149455000000001,6.6203899999999996,7.358613,7.766639,8.192765,8.324878,8.639786,9.308959,9.606635,9.833884,9.987389,10.208387,10.458483,11.09493
44-2804281,,,,,,,,,0,0.23225500000000002,0.771563,1.095711,1.7137380000000002,1.99617,2.721937,3.2959980000000004,3.801619,4.332946,4.889493,5.198711,5.857309,6.328244000000001,7.066466999999999,7.474492999999999,7.900619,8.032732000000001,8.34764,9.016813,9.314489,9.541738,9.695243,9.916241000000001,10.166337,10.802783999999999
45-2806283,,,,,,,,,,0,0.539309,0.863456,1.4814829999999999,1.7639150000000001,2.489682,3.063743,3.5693639999999998,4.100692,4.6572379999999995,4.966457,5.625054,6.0959900000000005,6.834212,7.242238,7.6683639999999995,7.800477000000001,8.115385,8.784558,9.082234,9.309483,9.462988000000001,9.683986,9.934082,10.570528999999999
