순번_정류장ID,45-2803874,46-2803973,47-2803975,48-2805718,49-2803979,50-2806018,51-2804334,52-2803983,53-2803985,54-2803987,55-2803989,56-2806004,57-2807385,58-2803991,59-2803993,60-2803995,61-2800298,62-2803997,63-2800290,64-2800289,65-2803934,66-2806662,67-2800286,68-2803932,69-2803596,70-2800283,71-2800281,72-2800280,73-2800278,74-2806663,75-2804031,76-2800260,77-2800275,78-2804713,79-2803598,80-2803600,81-2800273,82-2803601,83-2804331,84-2803581,85-2800271,86-2805489,87-2807150,88-2804581,89-2804582,90-2800267,91-2804032
45-2803874,0,0.472635,0.9873649999999999,1.403039,1.5833629999999999,2.424672,3.146531,3.6335900000000003,4.000503,4.774726,5.173826,5.965319,6.180751,6.363231,6.774093,7.08639,7.222122,7.702292,8.238351,8.607489999999999,9.061239,9.423361,10.364408000000001,10.518111,10.234072,10.164769999999999,10.627198,11.31506,11.889302,12.024753,12.970454,13.602355,13.839032999999999,13.803772,13.620982999999999,13.462319,13.925601,14.136328,14.308035999999998,14.565701999999998,15.04915,15.549014999999999,15.922785000000001,16.251048,16.549003,16.913088000000002,16.491466
46-2803973,,0,0.51473,0.9304040000000001,1.1107280000000002,1.9520369999999998,2.673896,3.160955,3.5278680000000002,4.302091000000001,4.701191000000001,5.492684,5.708116,5.890594999999999,6.300458,6.614755000000001,6.749486999999999,7.230657000000001,7.765714999999999,8.134855,8.589604,8.950726,9.890773,10.783757000000001,10.706707000000002,10.637405000000001,11.097833,11.787695,12.359937,12.496388,13.442089000000001,14.07499,14.311668,14.274407,14.092618,13.934954000000001,14.397236,14.607963,14.779670999999999,15.035337,15.519785999999998,16.02165,16.393420000000003,16.721683,17.018638,17.383723,16.965101
47-2803975,,,0,0.415674,0.5959979999999999,1.437307,2.159166,2.646225,3.013138,3.7873620000000003,4.186462000000001,4.977955000000001,5.193387,5.375866,5.786728,6.099025,6.234758,6.714927,7.250986,7.620125,8.073875,8.435997,9.377044,10.269028,10.553067,11.151135,11.612563,12.300425,12.874667,13.011117,13.956818,14.587720000000001,14.824398,14.788136999999999,14.605348000000001,14.447683999999999,14.908966,15.119693,15.291401,15.549067,16.033514999999998,16.533379999999998,16.90715,17.235413,17.532367999999998,17.897453,17.476831
48-2805718,,,,0,0.180324,1.021633,1.7434919999999998,2.2385509999999997,2.605464,3.379688,3.7787879999999996,4.570281,4.785712999999999,4.967192,5.379054,5.691351,5.827083999999999,6.307253,6.843311999999999,7.212451,7.666200999999999,8.027322999999999,8.96937,9.861353999999999,10.145392999999999,11.135234,11.596662,12.284525,12.856767,12.993217,13.939917999999999,14.571819,14.809497,15.131692000000001,15.023021,14.865357999999999,15.32664,15.537366,15.709075,15.96674,16.451189000000003,16.951054,17.324824,17.653087,17.950042,18.315126,17.894505
49-2803979,,,,,0,0.841309,1.5631680000000001,2.058227,2.4251400000000003,3.199363,3.5994629999999996,4.389956,4.605388,4.7878680000000005,5.19873,5.5110269999999995,5.646758999999999,6.1269290000000005,6.662988,7.032127,7.485875999999999,7.847999000000001,8.789045,9.681028999999999,9.964069,10.95391,11.416338,12.1042,12.677442,12.813892999999998,13.759594,14.391495,14.628173,14.950368,15.133157999999998,15.043682,15.507964000000001,15.715691,15.890398999999999,16.148065,16.632513,17.132378,17.506148,17.831411,18.131366,18.495451,18.072829000000002
50-2806018,,,,,,0,0.721859,1.216918,1.583831,2.358054,2.758155,3.5496480000000004,3.76508,3.9475589999999996,4.358421,4.670718,4.806451,5.28662,5.822679,6.191818,6.645567,7.007689999999999,7.948736,8.83972,9.12376,10.113601,10.576029,11.263892,11.837133,11.973583999999999,12.919285,13.551185999999998,13.787864,14.110059,14.292848999999999,14.781151000000001,15.242432,15.453159,15.624867000000002,15.882532999999999,16.366982,16.866846,17.240616,17.568879000000003,17.865835,18.230919,17.810297
51-2804334,,,,,,,0,0.495059,0.861972,1.636195,2.035295,2.826788,3.04222,3.2247,3.635562,3.947859,4.083591,4.563761,5.099819999999999,5.468959,5.922708,6.28483,7.224877,8.115861,8.399901,9.391742,9.85217,10.540032,11.115274000000001,11.250725,12.195426,12.827327,13.064005,13.3872,13.56899,14.057291000000001,14.518573000000002,14.7293,14.901008,15.158674,15.644122,16.142986999999998,16.516757000000002,16.84502,17.143975,17.50706,17.088438
52-2803983,,,,,,,,0,0.366913,1.1411360000000002,2.433416,3.224909,3.4403410000000005,3.62282,4.033683,4.34598,4.481712,4.961882,5.49794,5.8670800000000005,6.320829,6.682950999999999,7.623997999999999,8.515982000000001,8.800022,9.789863,10.252291,10.940153,11.513395,11.649845,12.595546,13.227448,13.464126,13.786321,13.969110999999998,14.457412,14.918694,15.129420999999999,15.301129000000001,15.558795000000002,16.043243,16.543108,16.916878,17.245141,17.542096,17.907181,17.486559
53-2803985,,,,,,,,,0,0.774224,2.7473240000000003,3.538817,3.7542489999999997,3.936728,4.34759,4.659887,4.7956199999999995,5.275789,5.811848,6.180987,6.634736999999999,6.996859,7.937906,8.829889999999999,9.113928999999999,10.103769999999999,10.566198,11.254061,11.827303,11.963753,12.909454,13.541356,13.778032999999999,14.100229,14.283017999999998,14.771320000000001,15.232601999999998,15.443328,15.615035999999998,15.872701999999999,16.357151,16.857015,17.230786,17.559048,17.856004000000002,18.221088,17.800466
54-2803987,,,,,,,,,,0,1.9741,2.765593,2.981025,3.163504,3.5743669999999996,3.886664,4.022396,4.502566000000001,5.0386239999999995,5.407764,5.8615129999999995,6.223635,7.164682000000001,8.055666,8.338706,9.329547,9.790975,10.479837,11.052078999999999,11.189528999999999,12.13423,12.768132000000001,13.003810000000001,13.326004999999999,13.507795000000002,13.997095999999999,14.459378,14.670105,14.840813,15.098479000000001,15.581926999999999,16.082792,16.456561999999998,16.784825,17.08178,17.446865,17.026243
55-2803989,,,,,,,,,,,0,0.791493,1.006925,1.1894040000000001,1.603267,1.915564,2.051296,2.531466,3.067525,3.436664,3.8904129999999997,4.252535,5.192582,6.083566,6.367605999999999,7.3574470000000005,7.820875,8.507736999999999,9.081978999999999,9.217429,10.16313,10.796032,11.03271,11.354905,11.537695,12.024996,12.487278,12.697005,12.868713,13.126379,13.611826999999998,14.110692000000002,14.484461999999999,14.812725,15.109679999999999,15.474765,15.054143
56-2806004,,,,,,,,,,,,0,0.215432,0.397912,0.811774,1.1240709999999998,1.259803,1.739973,2.276032,2.645171,3.09892,3.461042,4.401089,5.292073,5.577113,6.566953999999999,7.029382000000001,7.717244,8.289486,8.426936999999999,9.372638,10.003539,10.240217,10.563412,10.745202,11.234503,11.694785000000001,11.907511999999999,12.07922,12.334886000000001,12.820333999999999,13.320198999999999,13.693969000000001,14.022232,14.319187,14.684272,14.26365
