순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2806302,21-2804028,22-2804703,23-2804021,24-2806407,25-2804018,26-2806405,27-2804017,28-2804015,29-2804013,30-2804010,31-2804009,32-2804007,33-2804005,34-2804003,35-2804001,36-2803999,37-2804768,38-2800288,39-2804793,40-2800291,41-2807413,42-2800297,43-2803996,44-2803994,45-2803951,46-2803953,47-2803955,48-2803957,49-2803959,50-2803961,51-2803963,52-2803965,53-2803967,54-2803969,55-2803972,56-2803867,57-2806359,58-2804721,59-2803870,60-2800254,61-2803874
1-2800269,0,0.419283,0.773767,1.212487,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.760788,5.661112,5.821381,6.3746529999999995,7.079675999999999,7.510594,7.879428,8.324761,8.535574,8.741715,9.051817999999999,9.298297,9.688348,10.001659,10.312318,10.734017,11.094838000000001,11.498555999999999,11.795689999999999,12.147333999999999,12.408002999999999,12.774610000000001,12.436736999999999,11.870123,11.423039,11.845895,12.358194000000001,12.747188000000001,13.145269,13.129745000000002,13.438770000000002,14.087234,14.619142000000002,14.598539,14.043717000000001,13.653098000000002,12.89723,12.752266,13.192381,13.781413,14.132038,13.936354000000001,13.707215,14.093085999999998,15.46035,15.812441,15.990854999999998,16.298267000000003
2-2805488,,0,0.354484,0.793204,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,4.341506,5.241829,5.402099,5.955369999999999,6.660392999999999,7.091311,7.460145,7.905478,8.116291,8.322432000000001,8.632535,8.879014999999999,9.269065,9.582376,9.893035000000001,10.314734,10.675555000000001,11.079272999999999,11.376407,11.728050999999999,11.988719999999999,12.355328,12.017453999999999,11.451841,11.002756,11.427612,11.940911999999999,12.327905,12.727986999999999,12.711462,13.020487,13.668951999999999,14.19886,14.180257000000001,13.625434,13.234815,12.478947999999999,12.332983,12.774099,13.363131,13.712756,13.517071,13.287932000000001,13.675804000000001,15.044067000000002,15.393158999999999,15.571572,15.879984
3-2807373,,,0,0.438721,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.987022,4.887345,5.047615,5.600886,6.305909,6.736827000000001,7.105662,7.550994,7.761807000000001,7.967949000000001,8.278051,8.524531,8.914582000000001,9.227892,9.538551,9.960251,10.321072000000001,10.724789999999999,11.021923,11.373567,11.634236,12.000844,11.663969999999999,11.097357,10.647272000000001,11.073128,11.586428,11.973422,12.373503,12.355978,12.664003,13.313467999999999,13.844376,13.825773000000002,13.27095,12.879331,12.124464,11.979499,12.418614999999999,13.007647,13.358272,13.164587,12.935448,13.321320000000002,14.689582999999999,15.041675,15.220088,15.5275
4-2804748,,,,0,0.5193909999999999,0.7533880000000001,0.92737,1.1873129999999998,1.54102,2.112945,2.31601,2.586442,2.861127,3.5483010000000004,4.448624,4.608894,5.162166,5.867189,6.298107,6.6669410000000005,7.112274,7.323086,7.529228,7.83933,8.08581,8.475861,8.789172,9.099831,9.52153,9.882351,10.286069,10.583203,10.934847,11.195516,11.562123,11.225249,10.658636,10.209552,10.633408,11.146707000000001,11.532701,11.933782,11.918258,12.226282000000001,12.874747,13.405655,13.387051999999999,12.832230000000001,12.440611,11.685742999999999,11.539779,11.979894,12.569925999999999,12.918550999999999,12.725867,12.494728,12.880599,14.248863,14.601954000000001,14.779368,15.08678
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,3.032911,3.9332339999999997,4.093504,4.646775,5.3517980000000005,5.782716000000001,6.151551,6.596883,6.807696000000001,7.013838000000001,7.3239399999999995,7.5704199999999995,7.960471000000001,8.273781,8.584439999999999,9.00614,9.366961,9.770679,10.067812,10.419456,10.680125,11.046733,10.708859,10.143246000000001,9.694161,10.118017,10.631317,11.018311,11.418391999999999,11.402867,11.710892,12.359357000000001,12.890265,12.870662,12.315839,11.92522,11.169353,11.024388,11.464504,12.053536,12.403161,12.210476,11.981337,12.367208999999999,13.734472,14.086564000000001,14.264976999999998,14.572389000000001
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.798914,3.699237,3.859507,4.412778,5.117801,5.548719,5.917553,6.3628860000000005,6.573699,6.779839999999999,7.089942999999999,7.336423,7.7264729999999995,8.039784,8.350442999999999,8.772143,9.132963,9.536682,9.833815,10.185459,10.446128,10.812736,10.474862,9.910249,9.461164,9.885019999999999,10.39832,10.783314,11.184395,11.16887,11.476894999999999,12.12536,12.656267999999999,12.636664999999999,12.082842,11.692223,10.935356,10.791391,11.231507,11.820539,12.169164,11.974478999999999,11.745339999999999,12.133212,13.500475,13.850567000000002,14.028979999999999,14.336392000000002
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.624932,3.5252550000000005,3.685525,4.238797,4.94382,5.374738,5.743572,6.188905,6.399717,6.605859,6.915961,7.162441,7.552492,7.865802,8.176461,8.598161,8.958982,9.3627,9.659834,10.011478,10.272147,10.638753999999999,10.29988,9.736267,9.287183,9.710039,10.224338000000001,10.610332000000001,11.009413,10.995889,11.301913,11.952378,12.481286,12.462683,11.907861,11.517241,10.762374000000001,10.617410000000001,11.057525,11.646557000000001,11.996182000000001,11.800498,11.573359,11.957230000000001,13.324494,13.676585000000001,13.856998,14.164411
8-2800274,,,,,,,,0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,2.364989,3.2653119999999998,3.425582,3.978853,4.683876000000001,5.114794,5.4836279999999995,5.928961,6.139774,6.345915,6.6560179999999995,6.902498,7.292548,7.605859,7.916517999999999,8.338217,8.699038,9.102756,9.39989,9.751534,10.012203,10.378811,10.041936999999999,9.476324,9.027239,9.451095,9.964395,10.351388,10.75047,10.733945,11.04397,11.691435,12.222342999999999,12.202739999999999,11.648916999999999,11.258298,10.501431,10.356466000000001,10.796582,11.385614,11.735239,11.540554,11.311415,11.697287,13.06755,13.419642000000001,13.598054999999999,13.903467000000001
9-2803847,,,,,,,,,0,0.576925,0.77999,1.050422,1.325107,2.012281,2.912605,3.072874,3.626146,4.331169,4.762087,5.130921,5.5762540000000005,5.7870669999999995,5.993208,6.303311,6.54979,6.939841,7.253152,7.563811,7.9855100000000006,8.346331,8.750049,9.047183,9.398827,9.659496,10.026102999999999,9.68823,9.122616,8.672532,9.097388,9.610686999999999,9.997681,10.397762,10.382238000000001,10.690263,11.338727,11.869635,11.850032,11.29521,10.904591,10.148723,10.003759,10.443874000000001,11.032906,11.382531,11.189847,10.958708,11.344579,12.712843,13.064934,13.243348000000001,13.55076
10-2803599,,,,,,,,,,0,0.203065,0.473498,0.748182,1.446357,2.34668,2.50695,3.060222,3.765244,4.196162999999999,4.564997,5.0103290000000005,5.2211419999999995,5.427283999999999,5.737386,5.983866,6.373917,6.687227,6.997886,7.419586,7.780407,8.184125,8.481259,8.832903,9.093571,9.460179,9.121305,8.555692,8.106607,8.530463000000001,9.043763,9.430757,9.830838,9.815313,10.123338,10.771803,11.302711,11.285108000000001,10.730285,10.339666000000001,9.583799,9.438835000000001,9.87895,10.467982000000001,10.817607,11.257252000000001,11.028113000000001,11.413985,12.782248,13.13434,13.312753,13.620165
11-2804712,,,,,,,,,,,0,0.270432,0.545117,1.243292,2.143615,2.3038849999999997,2.8571560000000003,3.562179,3.993097,4.361930999999999,4.807264,5.018077,5.2242180000000005,5.534321,5.780801,6.170852,6.484162,6.794821000000001,7.216521000000001,7.577342,7.98106,8.278193,8.629837,8.890506,9.257114,8.918239999999999,8.352627,7.904542,8.329398,8.842698,9.229692,9.629773,9.614248,9.920273,10.570738,11.099646,11.082042999999999,10.52722,10.136600999999999,9.380734,9.235769,9.674885,10.263917,10.614542,11.244683,11.233178,11.61905,12.984313,13.337404999999999,13.514818,13.823229999999999
12-2800276,,,,,,,,,,,,0,0.274685,0.9728600000000001,1.8731830000000003,2.0334529999999997,2.5867240000000002,3.291747,3.722665,4.091499,4.5368319999999995,4.7476449999999994,4.953786,5.263889,5.510369,5.900419,6.21373,6.524389,6.9460880000000005,7.306908999999999,7.710627000000001,8.007761,8.359405,8.620074,8.986682,8.649808,8.084195,7.634110000000001,8.058966,8.572266,8.958259,9.358341000000001,9.343816,9.651841000000001,10.300305999999999,10.831214,10.811611,10.256788,9.866169000000001,9.110302,8.965337,9.404453,9.994485000000001,10.34411,10.974250999999999,11.290286,11.675158,13.043421,13.395513000000001,13.573926,13.880338
13-2800277,,,,,,,,,,,,,0,0.698175,1.598498,1.758768,2.312039,3.0170619999999997,3.4479800000000003,3.816814,4.262147,4.47296,4.679101,4.989204,5.235684,5.625734,5.939045,6.249704,6.671403,7.032224,7.435942,7.733076,8.084719999999999,8.345388999999999,8.711997,8.374122999999999,7.808510000000001,7.359425,7.783281,8.296581,8.683574,9.083656,9.068131,9.376156,10.024621,10.555529,10.535926,9.982103,9.590484,8.834617,8.689652,9.129767999999999,9.7198,10.068425,10.700566,11.014600999999999,11.401473,12.769736,13.120828,13.299241,13.605653
