순번_정류장ID,52-2804574,53-2804076,54-2806307,55-2804575,56-2804078,57-2806308,58-2804557,59-2804080,60-2804082,61-2806234,62-2804565,63-2804563,64-2804561,65-2804560,66-2806311,67-2804084,68-2804612,69-2804067,70-2804571,71-2804538,72-2804536,73-2804065,74-2800297,75-2800261,76-2803997,77-2800290,78-2800289,79-2803934,80-2800286,81-2803932,82-2803596,83-2800283,84-2800281,85-2800280,86-2800278,87-2806663,88-2804031,89-2800260,90-2800275,91-2804713,92-2803598,93-2803600,94-2800273,95-2803601,96-2804331,97-2803581,98-2800271,99-2805489,100-2807150,101-2804581,102-2804582,103-2800267,104-2804032
52-2804574,0,0.8411219999999999,1.146973,1.57361,2.382612,2.593029,3.427536,3.8742910000000004,4.109693,4.437323999999999,4.763614,5.219869,5.632063,6.123719,6.475262,6.944349000000001,7.418864,7.953828999999999,7.110666999999999,6.7775669999999995,7.295616000000001,7.502616000000001,8.079774,8.303777,8.842566,9.378624,9.747764,10.201513,11.504682,12.395666,12.679706,13.670547000000001,14.130975,14.820837,15.394079000000001,15.528529,16.47523,17.108132,17.34481,17.665004999999997,17.848795000000003,18.337096,18.799378,19.009104999999998,19.180813,19.438479,19.923927,20.423792000000002,20.797562,21.125825,21.42078,21.786865,21.367243
53-2804076,,0,0.305852,0.732488,1.54149,1.7519069999999999,2.586414,3.033169,3.268571,3.596202,3.9224919999999996,4.377747,4.789942,5.2815970000000005,5.63314,6.102227,6.576741999999999,7.1127080000000005,6.269545,5.936445,6.454494,6.661494,7.238653,7.462655000000001,8.001444000000001,8.537503,8.906642,9.360391,10.66356,11.555544,11.839584,12.829425,13.291853,13.979716,14.551957000000002,14.687408,15.634109,16.26701,16.503688,16.825882999999997,17.008673,17.496975,17.958256,18.168982999999997,18.340691,18.598357,19.082806,19.58067,19.95644,20.283703,20.580659,20.946742999999998,20.526121
54-2806307,,,0,0.42663599999999996,1.235639,1.446056,2.2805619999999998,2.727318,2.96272,3.2903510000000002,3.6166410000000004,4.071895,4.48409,4.975746,5.327289,5.796376,6.270891000000001,6.806856,5.963694,5.630594,6.148643,6.355642,6.9328009999999995,7.156803999999999,7.6955919999999995,8.231651,8.60079,9.05454,10.356709,11.247693,11.531732,12.522574,12.985002,13.671864000000001,14.245106,14.381556,15.328257,15.960158999999999,16.196835999999998,16.519032,16.701821,17.189123000000002,17.651405,17.862131,18.033839999999998,18.291504999999997,18.774954,19.275819,19.649589000000002,19.977852,20.273807,20.640891,20.21927
55-2804575,,,,0,0.810002,1.020419,1.8549259999999999,2.3016810000000003,2.537083,2.8647139999999998,3.190004,3.6462589999999997,4.058454,4.55011,4.9016519999999995,5.370739,5.845254,6.38122,5.538057,5.204957,5.723006,5.930006,6.5071650000000005,6.731167,7.269956,7.8060149999999995,8.175154,8.628903,9.932072,10.823056,11.108096000000002,12.096936999999999,12.559365,13.247228,13.820470000000002,13.956920000000002,14.902621,15.534522,15.7712,16.093395,16.276185,16.765487,17.225768,17.435495,17.607203,17.865869,18.349318,18.850182,19.223952,19.552215,19.850171,20.214254999999998,19.793633
56-2804078,,,,,0,0.21041700000000002,1.045924,1.492679,1.7280810000000002,2.0557119999999998,2.382002,2.838257,3.250452,3.742107,4.09365,4.562737,5.037252,5.826112999999999,5.863725,5.530625,6.048674,6.255673000000001,6.832832000000001,7.056835,7.595624000000001,8.131682000000001,8.500821,8.954571000000001,10.256739999999999,11.148724000000001,11.432763000000001,12.422605,12.885033,13.572895,14.146137,14.282587,15.228288000000001,15.861189999999999,16.096868,16.419063,16.601851999999997,17.090154000000002,17.552436,17.761162,17.933871,18.191537,18.676985000000002,19.17685,19.54962,19.877882999999997,20.175838,20.539923,20.119301
57-2806308,,,,,,0,0.835507,1.282262,1.517664,1.8452950000000001,2.170585,2.62784,3.040034,3.53169,3.883233,4.35232,4.826835,5.615696,6.074142,5.741042,6.259091000000001,6.4660910000000005,7.043249,7.267252,7.8060410000000005,8.3421,8.711238999999999,9.164988000000001,10.467157,11.358141,11.643181,12.633022,13.09445,13.783311999999999,14.355554000000001,14.492004999999999,15.437706,16.069607,16.306285,16.629479999999997,16.81227,17.300570999999998,17.760853,17.972579999999997,18.144288,18.401954,18.886402,19.386267,19.759037,20.0873,20.384255,20.74934,20.329718
58-2804557,,,,,,,0,0.44675600000000004,0.682157,1.009789,1.3350790000000001,1.791333,2.203528,2.695184,3.046727,3.5158139999999998,3.990329,4.779189,5.622351999999999,6.006031,6.5230809999999995,6.73108,7.308239,7.532242,8.07103,8.606089,8.975228,9.428978,10.731147,11.623130999999999,11.907169999999999,12.897011000000001,13.360439999999999,14.047301999999998,14.621544,14.756994,15.702695,16.333597,16.572274,16.89347,17.077258999999998,17.564560999999998,18.026843,18.236569,18.408277,18.666943,19.149392000000002,19.651256,20.025026999999998,20.353289,20.650245,21.014329,20.593707000000002
59-2804080,,,,,,,,0,0.235402,0.563033,0.888323,1.344578,1.7567720000000002,2.248428,2.599971,3.069058,3.5435730000000003,4.332433999999999,5.175596,5.5592760000000006,6.076325,6.283325,6.861483,7.084486,7.623275,8.159334,8.529473,8.983222,10.286391,11.177375,11.461414999999999,12.451255999999999,12.913684,13.601545999999999,14.173788,14.310239000000001,15.25694,15.888841000000001,16.123519,16.445714000000002,16.630504000000002,17.117805,17.580087,17.789814,17.962522,18.220188,18.702636,19.205501,19.578271,19.905534,20.202489,20.568573999999998,20.146952
60-2804082,,,,,,,,,0,0.327631,0.652921,1.109176,1.5213709999999998,2.013026,2.364569,2.833656,3.3081709999999998,4.097032,4.940194,5.322874,5.840923,6.047923,6.625081,6.8490839999999995,7.387873,7.923932000000001,8.293071000000001,8.74682,10.048989,10.940973,11.225013,12.214853999999999,12.676282,13.364144,13.938385999999998,14.074836999999999,15.020538,15.652439000000001,15.890117000000002,16.211312,16.394102,16.882404,17.342685,17.553411999999998,17.72512,17.983786,18.469235,18.969099,19.340869,19.669132,19.967088,20.331172,19.91155
61-2806234,,,,,,,,,,0,0.32529,0.7815449999999999,1.19374,1.685395,2.036938,2.506025,2.98054,3.7694010000000002,4.612563,4.996243,5.513292,5.721292,6.29845,6.522453,7.061242,7.5963009999999995,7.9664399999999995,8.420189,9.723358000000001,10.613342,10.898382000000002,11.887222999999999,12.349651,13.037513,13.610755,13.747206,14.692907,15.324807999999999,15.562485999999998,15.883681,16.066471,16.554772,17.016054,17.226781,17.398489,17.656155,18.141603,18.641468,19.015238,19.343501,19.639456,20.004541,19.584919
