순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2804583,18-2804714,19-2803929,20-2804691,21-2804689,22-2804693,23-2804695,24-2806387,25-2804699,26-2800282,27-2806302,28-2804028,29-2804703,30-2804706,31-2804769,32-2804026,33-2804024,34-2804710,35-2807415,36-2804022
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.715953999999999,7.020297,7.4743059999999995,7.7851539999999995,8.001883,8.714032000000001,8.812934,8.453664,7.796942,7.510594,7.879428,8.324761,8.535574,8.935959,9.242056,9.769262,9.680099,9.157283,8.867722,8.718745
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,6.296672,6.601014,7.055024,7.365871,7.5826,8.294749000000001,8.393651,8.034381,7.3776600000000006,7.091311,7.460145,7.905478,8.116291,8.516676,8.822773,9.349979,9.692349,9.169533,8.879973,8.730996000000001
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.942188,6.24653,6.700539999999999,7.011386999999999,7.228116,7.940264999999999,8.039168,7.679897,7.023175999999999,6.736827000000001,7.105662,7.550994,7.761807000000001,8.162192,8.46829,8.995496000000001,9.337864999999999,8.81505,8.525489,8.376512
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,5.3663,5.670642,6.124651999999999,6.435499,6.652228,7.364377,7.46328,7.104009,6.4472879999999995,6.160939,6.5297730000000005,6.975105999999999,7.185919,7.586303999999999,7.8924009999999996,8.419608,8.990753999999999,8.467938,8.178377000000001,8.0294
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.988077,5.292419000000001,5.746429,6.057276,6.274005000000001,6.986153999999999,7.085057000000001,6.725786,6.069065,5.782716000000001,6.151551,6.596883,6.807696000000001,7.208081,7.514178,8.041385,8.704524000000001,8.850161,8.5606,8.411622999999999
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.75408,5.058422,5.5124319999999996,5.823279,6.040008,6.752157,6.85106,6.491789,5.835068,5.548719,5.917553,6.3628860000000005,6.573699,6.9740839999999995,7.280181,7.807388,8.470527,8.993343,8.794597,8.64562
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.5800980000000004,4.884441000000001,5.33845,5.649297,5.866027,6.578175,6.677078,6.317808,5.661086,5.374738,5.743572,6.188905,6.399717,6.800103,7.1062,7.633406,8.296545,8.819361,8.968579,8.819602
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,4.320155000000001,4.624497,5.078507,5.389354,5.606083,6.318232,6.417134,6.057864,5.401143,5.114794,5.4836279999999995,5.928961,6.139774,6.540159,6.8462559999999995,7.373462,8.036602,8.559417999999999,8.848978,8.995955
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.967447,4.27179,4.725798999999999,5.036647,5.253376,5.965525,6.064426999999999,5.705157,5.048435,4.762087,5.130921,5.5762540000000005,5.7870669999999995,6.1874519999999995,6.493549,7.020755,7.6838940000000004,8.206710000000001,8.496271,8.643248
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,3.182773,3.487115,3.941125,4.251972,4.468701,5.18085,5.341418,5.709688,5.327591,5.041242,5.410076999999999,5.855409,6.066222,6.466607,6.772705,7.299911,7.96305,8.485866,8.775427,8.922404
11-2803848,,,,,,,,,,,0,0.283984,0.796852,1.384412,1.8657810000000001,2.024795,2.861111,3.165453,3.6194629999999997,3.93031,4.1470400000000005,4.859188,5.019756,5.388026,5.649253,5.362904,5.731738,6.177071,6.387884,6.7882690000000006,7.094366,7.6215720000000005,8.284711999999999,8.807528,9.097088000000001,9.244064999999999
12-2806298,,,,,,,,,,,,0,0.512868,1.100428,1.581798,1.740811,2.577127,2.881469,3.3354790000000003,3.646326,3.863056,4.575204,4.735772,5.104042,5.760764,5.644888,6.0137220000000005,6.459055,6.669867999999999,7.070253,7.37635,7.903556,8.566696,9.089511,9.379072,9.526049
13-2803849,,,,,,,,,,,,,0,0.587561,1.06893,1.2279440000000001,2.06426,2.368602,2.822612,3.133459,3.3501879999999997,4.062337,4.222905,4.591175,5.247896,5.643899,6.012733,6.4580660000000005,6.668879,7.0692639999999995,7.375361,7.9025669999999995,8.565707000000002,9.088523,9.378083,9.52506
14-2803851,,,,,,,,,,,,,,0,0.48136899999999994,0.640383,1.4816989999999999,1.786041,2.240051,2.550898,2.767627,3.479776,3.6403440000000002,4.008614,4.665336,5.061338,5.430173,5.875505,6.086318,6.486702999999999,6.792801,7.320007,7.9831460000000005,8.505962,8.795523,8.9425
15-2803852,,,,,,,,,,,,,,,0,0.15901400000000002,1.00033,1.3046719999999998,1.758682,2.069529,2.286258,2.998407,3.158975,3.5272449999999997,4.183966000000001,4.579969,4.948803,5.3941360000000005,5.6049489999999995,6.0053339999999995,6.311431,6.838638,7.501777000000001,8.024593,8.314153999999998,8.46113
16-2803854,,,,,,,,,,,,,,,,0,0.841316,1.145658,1.599668,1.9105150000000002,2.1272439999999997,2.839393,2.999961,3.3682309999999998,4.024953,4.420955999999999,4.78979,5.2351220000000005,5.4459349999999995,5.8463199999999995,6.152418,6.6796240000000004,7.342763000000001,7.865578999999999,8.15514,8.302116999999999
17-2804583,,,,,,,,,,,,,,,,,0,0.304342,0.758352,1.069199,1.285929,1.998077,2.1636450000000003,2.531915,3.188637,3.5846400000000003,3.953474,4.3988059999999995,4.609619,5.0100050000000005,5.316102,5.843308,6.5064470000000005,7.029263,7.318824,7.465801
18-2804714,,,,,,,,,,,,,,,,,,0,0.45401,0.764857,0.9815870000000001,1.6937349999999998,1.859303,2.227573,2.8842950000000003,3.280298,3.649132,4.094464,4.305276999999999,4.7056629999999995,5.01176,5.538966,6.202105,6.724921000000001,7.014482000000001,7.161459
19-2803929,,,,,,,,,,,,,,,,,,,0,0.310847,0.5275770000000001,1.239725,1.4052930000000001,1.773563,2.430285,2.826288,3.195122,3.640455,3.851267,4.251653,4.55775,5.084956,5.748094999999999,6.270911,6.560472,6.707449
20-2804691,,,,,,,,,,,,,,,,,,,,0,0.21673,0.9288780000000001,1.0944459999999998,1.462716,2.119438,2.515441,2.884275,3.3296080000000003,3.5404199999999997,3.940806,4.246903,4.774108999999999,5.437248,5.960064,6.249625,6.396602
21-2804689,,,,,,,,,,,,,,,,,,,,,0,0.712149,0.877717,1.2459870000000002,1.902708,2.298711,2.667545,3.112878,3.323691,3.724076,4.0301730000000004,4.55738,5.220519,5.743335,6.032896,6.1798720000000005
22-2804693,,,,,,,,,,,,,,,,,,,,,,0,0.165568,0.533838,1.19056,1.586563,1.955397,2.400729,2.611542,3.0119279999999997,3.318025,3.8452309999999996,4.508369999999999,5.031186,5.320747,5.467724
