순번_정류장ID,64-2806940,65-2806941,66-2806942,67-2806943,68-2806944,69-2807134,70-2807135,71-2806946,72-2807137,73-2806947,74-2806948,75-2806949,76-2807147,77-2807148,78-2807149,79-2806951,80-2807138,81-2806973,82-2807139,83-2807409,84-2807123,85-2807141,86-2807155,87-2804229,88-2807153,89-2804227,90-2804225,91-2804223,92-2806333,93-2804220,94-2804217,95-2804215,96-2804342,97-2803719,98-2803711,99-2806217,100-2803708,101-2806218,102-2803710,103-2803712,104-2803713,105-2804231,106-2804232,107-2806331,108-2804233,109-2804235,110-2804237,111-2804239,112-2806328,113-2804241,114-2804335,115-2804773,116-2804244,117-2806230,118-2804257,119-2804259,120-2804758,121-2804760,122-2807395,123-2804261,124-2804337,125-2807368,126-2804602,127-2803580,128-2800263,129-2800267
64-2806940,0,1.274566,1.60378,1.9473900000000002,2.303625,2.6310599999999997,2.9239330000000003,3.3307919999999998,3.565243,3.863618,4.16574,5.526031,6.085983000000001,6.933191000000001,7.186967,7.597786999999999,7.866683999999999,8.839191,9.166052,9.624403,9.285833,10.901672999999999,11.267522999999999,11.603946,11.862981,12.221005,12.558253,13.006842,13.220029,14.154109,14.926778,15.305845999999999,16.007704999999998,16.096967000000003,15.853713,15.737381,15.377467000000001,15.748229,15.880107999999998,16.074967,16.062485000000002,16.985893,17.218818,17.578967000000002,18.289816000000002,18.04316,17.789071,18.312071,18.777441,19.284436,20.164123999999997,21.240884,22.427410000000002,23.009752,23.321668,23.779671,24.204524,24.514712,24.758275,24.965076999999997,25.063354,25.433206,25.660456,25.813961,26.034959,26.285055
65-2806941,,0,0.329214,0.672824,1.029059,1.356494,1.6493659999999999,2.0562259999999997,2.290677,2.589052,2.8911740000000004,4.2514650000000005,4.811417,5.658625,5.912401,6.323221,6.592117999999999,7.564625,7.8914860000000004,8.349836999999999,8.814601,10.578173,10.944023,11.280446000000001,11.539481,11.897505,12.234752,12.683342,12.896529,13.830607999999998,14.603278,14.982346,15.684204999999999,15.773467000000002,15.530213,15.413879999999999,15.053967000000002,15.424729000000001,15.556607999999999,15.751467000000002,15.738985000000001,16.662392,16.895318,17.255467000000003,17.966316,17.720660000000002,17.465571,17.988571,18.453941,18.960936,19.840623,20.917384,22.10391,22.686251000000002,22.998168,23.456170999999998,23.882023,24.191212,24.434775,24.642577,24.739854,25.109706,25.336956,25.490460000000002,25.711459,25.961555
66-2806942,,,0,0.34360999999999997,0.699846,1.0272809999999999,1.3201530000000001,1.727012,1.9614639999999999,2.259839,2.561961,3.922251,4.482203,5.329411,5.583187000000001,5.994008,6.262904,7.235411999999999,7.562272,8.020624,8.485388,10.24896,10.61481,10.951232000000001,11.210267,11.568292,11.905539,12.354128999999999,12.567314999999999,13.501395,14.274065,14.653132000000001,15.354992000000001,15.444254,15.200999999999999,15.084667000000001,14.724754,15.095514999999999,15.227394,15.422254,15.409772,16.333179,16.566104,16.926254,17.637102,17.391447,17.136357,17.659357999999997,18.124728,18.631723,19.51141,20.588171,21.774696,22.357038,22.668954,23.126958,23.55281,23.861998,24.105562,24.313364,24.41064,24.780493,25.007742,25.161247,25.382245,25.632341
67-2806943,,,,0,0.356236,0.683671,0.976543,1.3834030000000002,1.6178540000000001,1.917229,2.2183509999999997,3.578642,4.139594000000001,4.985802,5.240578,5.651398,5.919295,6.8928020000000005,7.219663000000001,7.678014,8.141778,9.90535,10.2712,10.607623,10.867658,11.225682,11.561929,12.010519,12.224706,13.157785,13.930454999999998,14.310522,15.012382,15.100644,14.85839,14.741057000000001,14.381144,14.752906,14.883784,15.078644,15.066162,15.989569,16.222495000000002,16.583644,17.293492999999998,17.047837,16.792748,17.315748000000003,17.781118,18.290113,19.1678,20.245561,21.431086999999998,22.013428,22.326345,22.783348,23.2092,23.518389000000003,23.761951999999997,23.969754000000002,24.06703,24.437883,24.664133,24.818637,25.040636,25.289732
68-2806944,,,,,0,0.327435,0.620308,1.027167,1.2616180000000001,1.560993,1.863115,3.223406,3.783358,4.630566,4.884342,5.295162,5.564058999999999,6.5365660000000005,6.863427000000001,7.321778,7.786542,9.550114,9.915964,10.252386999999999,10.511422,10.869446,11.206693,11.655283,11.86847,12.80255,13.575219,13.954286999999999,14.656146,14.745408,14.503154,14.384822,14.026907999999999,14.39567,14.527548999999999,14.724407999999999,14.710926,15.634332999999998,15.867258999999999,16.227407999999997,16.938257,16.691601000000002,16.436512,16.959512,17.424882,17.931877,18.811564,19.888325,21.074851000000002,21.657193,21.969109,22.428112,22.851965,23.161153,23.406716,23.614518,23.710795,24.082647,24.309897,24.462401999999997,24.6844,24.934496
69-2807134,,,,,,0,0.292873,0.699732,0.934183,1.233558,1.53568,2.895971,3.4559230000000003,4.303131,4.556907,4.967727,5.236624,6.209131,6.535992,6.994342999999999,7.459107,9.222679,9.588529,9.924952000000001,10.183987,10.542011,10.879258,11.327848,11.541035,12.475114,13.247784,13.626852,14.328710999999998,14.416973,14.173719,14.057387,13.697473,14.068235000000001,14.200114000000001,14.394973,14.383491000000001,15.306898,15.539824,15.899973000000001,16.610822,16.364166,16.109077,16.632077,17.097447,17.604442000000002,18.484129,19.56089,20.747416,21.329757,21.641674,22.099677,22.52553,22.834718,23.078281,23.286082999999998,23.38336,23.753211999999998,23.980462,24.133967000000002,24.354965,24.605061
70-2807135,,,,,,,0,0.406859,0.641311,0.940686,1.242808,2.603098,3.16305,4.010258,4.264034,4.674855,4.943752,5.916258999999999,6.243119,6.701471000000001,7.166235,8.929807,9.295657,9.63208,9.891114,10.249139,10.586386,11.034976,11.248161999999999,12.182242,12.954912,13.333979000000001,14.035839000000001,14.125101,13.880847,13.764514000000002,13.404601000000001,13.775362,13.907241,14.102101000000001,14.090619,15.014026000000001,15.246951000000001,15.607101,16.31795,16.071294,15.818204999999999,16.339205,16.804575,17.31157,18.191257,19.270018,20.454544,21.036885,21.349801,21.807805,22.233657,22.541845000000002,22.785409,22.994211,23.090487,23.46034,23.688589999999998,23.841094000000002,24.064093,24.312188
71-2806946,,,,,,,,0,0.23445100000000002,0.533827,0.8359489999999999,2.196239,2.756191,3.6033989999999996,3.857175,4.267995,4.536892,5.5094,5.83626,6.294612,6.759376,8.522948,8.888797,9.22522,9.484255000000001,9.84228,10.179527,10.628116,10.841303,11.775383,12.548053,12.92712,13.628979999999999,13.719241,13.475988000000001,13.359654999999998,12.999741,13.370503,13.502382,13.697242000000001,13.683760000000001,14.607167,14.840092000000002,15.200241,15.91109,15.666433999999999,15.411345,15.934345,16.399716,16.906710999999998,17.786398000000002,18.863158,20.049684,20.632026,20.943942,21.401946,21.827798,22.136986,22.38055,22.588352,22.685628,23.055481,23.282729999999997,23.436235,23.657232999999998,23.907329
72-2807137,,,,,,,,,0,0.299375,0.6014970000000001,1.961788,2.5217400000000003,3.3689480000000005,3.622724,4.033544,4.302441,5.274948999999999,5.601808999999999,6.06016,6.5249239999999995,8.288496,8.654346,8.990769,9.249804,9.607828,9.945076,10.393664999999999,10.606852,11.540932000000002,12.313602000000001,12.692669,13.394528,13.483789999999999,13.240535999999999,13.124204,12.76329,13.135051999999998,13.266931,13.46079,13.449307999999998,14.372716,14.605641,14.96579,15.676639000000002,15.430983,15.175894,15.698894000000001,16.163264,16.671259,17.550947,18.627707,19.814232999999998,20.394575,20.706491,21.166494,21.592347,21.902535,22.145099,22.352901,22.451176999999998,22.82003,23.047279,23.198784,23.420782,23.671878
73-2806947,,,,,,,,,,0,0.302122,1.6624130000000001,2.222365,3.080573,3.334349,3.745169,4.014066000000001,4.986573,5.313434,5.7717849999999995,6.236549,8.000121,8.365971,8.702394,8.961428999999999,9.319453,9.6567,10.10529,10.318477,11.252556,12.025226,12.404294,13.106152999999999,13.196415,12.952161,12.835828,12.475914999999999,12.846677,12.978556,13.174415,13.160932999999998,14.08434,14.317266,14.677415,15.388264000000001,15.142608,14.887519000000001,15.409519,15.874889000000001,16.382884,17.262570999999998,18.339332000000002,19.526857999999997,20.108199,20.420116,20.878119,21.303971,21.61316,21.857723,22.064525,22.160802,22.531654,22.758904,22.912408,23.133407000000002,23.382503
74-2806948,,,,,,,,,,,0,1.36029,1.9202419999999998,2.778451,3.0322270000000002,3.443047,3.7119440000000004,4.684451,5.011311,5.469663,5.9344269999999995,7.697999,8.063849000000001,8.400272,8.659305999999999,9.017331,9.354578,9.803168,10.016355,10.950434,11.723104,12.102171,12.804031,12.893293,12.650039,12.533706,12.173793,12.544554,12.676433,12.871293,12.858811,13.782217999999999,14.015143,14.375293,15.086142,14.840485999999999,14.585397,15.107397,15.572767,16.079762,16.959449,18.03621,19.222735999999998,19.805077,20.116993,20.574997,21.000849,21.310037,21.553601,21.761403,21.858679000000002,22.228532,22.455782,22.609285999999997,22.830285,23.080381
75-2806949,,,,,,,,,,,,0,0.559952,1.41816,1.671936,2.082757,2.3516529999999998,3.324161,3.651021,4.109373000000001,4.574137,6.337708999999999,6.703558999999999,7.039981,7.299016,7.657041,7.994288,8.442878,8.656064,9.590144,10.362814,10.741881,11.443741000000001,11.532003,11.290749,11.174416,10.812503,11.183264,11.316142999999999,11.511003,11.498521,12.421928,12.654853,13.015003,13.725851,13.480196,13.225106,13.747107000000002,14.211476999999999,14.718472,15.599159,16.67492,17.862445,18.443787,18.755703,19.214707,19.640559,19.948747,20.192311,20.400113,20.498389000000003,20.867242,21.097491,21.248995999999998,21.469994,21.72009
