순번_정류장ID,65-2800225,66-2800222,67-2800221,68-2800216,69-2800211,70-2800206,71-2800200,72-2800185,73-2800181,74-2800178,75-2800176,76-2800142,77-2800141,78-2800137,79-2800135,80-2800133,81-2800128,82-2800124,83-2800127,84-2800129,85-2805737,86-2804916,87-2801044,88-2801054,89-2801063,90-2801080,91-2801091,92-2801083,93-2801057,94-2801043,95-2801024,96-2801015,97-2801008,98-2800986,99-2800963,100-2800960,101-2800971,102-2800841,103-2800964,104-2800840,105-2805652,106-2800985,107-2800838,108-2801042,109-2801072,110-2801103,111-2801113,112-2801116,113-2801121,114-2801130,115-2801134,116-2801144,117-2801152,118-2801156,119-2806243,120-2806241,121-2806215,122-2807267,123-2804912,124-2800626,125-2800635,126-2800639,127-2800327
65-2800225,0,0.262436,0.447115,0.715603,0.862725,1.261738,1.5046979999999999,2.485032,2.809951,3.005903,3.32425,3.532278,3.66658,3.846137,3.7965769999999996,4.032457,4.476087000000001,4.989358999999999,4.450107,3.998118,3.721542,4.232469999999999,4.568073,5.00508,5.2617449999999995,5.655658,5.783167,5.7242120000000005,5.955132,6.358746,6.519171,6.552199,6.465994,6.731856,7.098807000000001,7.35498,7.27508,7.7071570000000005,7.903911999999999,7.940371000000001,8.143265,8.272794000000001,7.788877,7.391408,7.0343089999999995,6.861509,7.024058999999999,7.201498,7.571109,7.99592,8.13897,8.516061,8.810257,8.773285000000001,9.561202,9.917424,10.528022,10.922164,10.977162,10.881333999999999,10.816495,11.156303999999999,11.450907
66-2800222,,0,0.184679,0.453167,0.600288,0.999302,1.242262,2.222596,2.547515,2.743467,3.061814,3.2698419999999997,3.404144,3.6389169999999997,3.8066400000000002,4.04252,4.485151,4.998422,4.620553,4.168565,3.8919879999999996,4.4029169999999995,4.738519,5.1755260000000005,5.432191,5.827104,5.954613,5.896658,6.126579,6.531192,6.689617,6.722645,6.6364399999999995,6.902303,7.269253999999999,7.5254259999999995,7.445525999999999,7.878603,8.076358,8.111817,8.315711,8.44624,7.9593229999999995,7.561853999999999,7.204756,7.033955000000001,7.195505000000001,7.372945,7.7425559999999995,8.166366,8.309417,8.686507,8.980703,8.943731,9.730648,10.08787,10.697467999999999,11.091611,11.148608,11.05278,10.986941,11.32575,11.621353
67-2800221,,,0,0.268488,0.415609,0.814623,1.057583,2.0379169999999998,2.362836,2.5587880000000003,2.877135,3.085163,3.219465,3.453238,3.6209620000000005,3.856841,4.300472,4.813743,4.756492,4.3045029999999995,4.027927,4.538855,4.874458,5.311464,5.56813,5.962043,6.090552,6.032596,6.2615169999999996,6.665131,6.825556,6.858584,6.772378999999999,7.038241,7.4051919999999996,7.661364999999999,7.5814639999999995,8.014542,8.211297,8.245756,8.450649,8.580178,8.094261999999999,7.6967929999999996,7.339694000000001,7.169894,7.332444000000001,7.5078830000000005,7.877494,8.301305000000001,8.444355,8.822446000000001,9.115641,9.07967,9.870586999999999,10.226809,10.834407,11.228549000000001,11.283547,11.188719,11.12288,11.461689,11.758291999999999
68-2800216,,,,0,0.32762199999999997,0.726635,0.9695959999999999,1.94993,2.274849,2.470801,2.7891470000000003,2.9971759999999996,3.131478,3.365251,3.5339739999999997,3.768854,4.2134849999999995,4.726756,4.668505000000001,4.216516,3.939939,4.450868,4.786471,5.223477,5.480143,5.875056,6.002564,5.9436089999999995,6.17353,6.578142999999999,6.737568,6.770596,6.684392,6.950253999999999,7.317205,7.573377000000001,7.494477000000001,7.925553999999999,8.122309,8.159769,8.362662,8.492191,8.005274,7.609805000000001,7.251707000000001,7.079905999999999,7.2414559999999994,7.418896000000001,7.789507,8.213317,8.359368,8.736458,9.032653999999999,8.993682000000002,9.777599,10.133822,10.74742,11.140562,11.196558999999999,11.099731,11.034892999999999,11.374702000000001,11.669303999999999
69-2800211,,,,,0,0.399014,0.6419739999999999,1.622308,1.947227,2.143179,2.461525,2.669554,2.803856,3.0386290000000002,3.205352,3.441232,3.8858629999999996,4.399133999999999,4.340883,3.888894,3.612317,4.123246,4.458849,4.895855,5.152521,5.546434,5.673943,5.614987,5.847908,6.250521,6.409946,6.4429739999999995,6.35677,6.622632,6.9895830000000005,7.245755,7.1658550000000005,7.596932000000001,7.794687,7.8311470000000005,8.03404,8.163569,7.6786520000000005,7.282183,6.924085000000001,6.754283999999999,6.913834,7.091274,7.4618850000000005,7.885695,8.028746,8.409836,8.700032,8.66806,9.451978,9.8072,10.418797999999999,10.81494,10.871938,10.772109,10.706271000000001,11.047080000000001,11.340682000000001
70-2800206,,,,,,0,0.243961,1.2242950000000001,1.5492139999999999,1.745166,2.063512,2.271541,2.405843,2.640616,2.807339,3.044219,3.48685,4.000121,3.9428699999999997,3.490881,3.2143040000000003,3.7252330000000002,4.060836,4.4978419999999995,4.754508,5.148421,5.275929,5.218974,5.449895,5.852508,6.011933,6.044961,5.958757,6.224619000000001,6.59157,6.847742,6.769842,7.199919,7.398674000000001,7.436134,7.6390270000000005,7.767556,7.282639,6.88517,6.527072,6.356271,6.516821,6.696261,7.064872,7.489682000000001,7.6317330000000005,8.008823,8.303019,8.266047,9.053964,9.410186999999999,10.020785,10.413927000000001,10.469924,10.374096,10.309258,10.649067,10.943669
71-2800200,,,,,,,0,0.980334,1.305253,1.501205,1.819552,2.02758,2.161882,2.396656,2.564379,2.800259,3.243889,3.757161,3.6989089999999996,3.2469200000000003,2.970344,3.4812730000000003,3.816875,4.253882,4.510547,4.90546,5.031969,4.973014,5.2039349999999995,5.608548000000001,5.7679730000000005,5.801001,5.714796,5.980658,6.347608999999999,6.603782000000001,6.522882,6.954959,7.153714,7.190173,7.394067,7.522596000000001,7.0366789999999995,6.640210000000001,6.283112,6.111311,6.273861,6.4513,6.818911,7.244722,7.385772,7.762863,8.059059,8.022086999999999,8.808003999999999,9.166226,9.774824,10.167966,10.224964,10.128136,10.065297,10.405106,10.699709
72-2800185,,,,,,,,0,0.324919,0.520871,0.839218,1.047246,1.181548,1.416321,1.5840450000000001,1.819925,2.2635549999999998,2.776826,3.4153510000000002,3.695586,3.4190099999999997,3.929938,4.265541000000001,4.702547,4.959213,5.3531260000000005,5.481635,5.657754,5.889675,6.130713,6.216639,6.249667,6.163462,6.429323999999999,6.796275,7.052447999999999,7.207622,7.640699000000001,7.839453999999999,7.874913,8.077807,8.207336,7.722419,7.32595,6.968852,6.796050999999999,6.9576009999999995,7.135039999999999,7.504650999999999,7.929461999999999,8.071512,8.448603,8.743799000000001,8.706827,9.494744,9.851966000000001,10.460564,10.853705999999999,10.911703999999999,10.814876,10.749037,11.088846,11.384449
73-2800181,,,,,,,,,0,0.195952,0.514299,0.722327,0.8566290000000001,1.0914030000000001,1.258126,1.494006,1.9376360000000001,2.451908,3.090432,3.3696669999999997,3.093091,3.60402,3.939622,4.376629,4.633294,5.0292069999999995,5.156716,5.649761,5.7966809999999995,5.805794000000001,5.891719999999999,5.924748,5.838543,6.104405,6.471356,6.727529,7.115628999999999,7.536706,7.732461,7.786919999999999,7.989814,8.119342999999999,7.6344259999999995,7.236957,6.8798580000000005,6.707058,6.869608,7.047047,7.416658,7.841469,8.107569,8.58561,8.879806,9.034746,9.818663,10.173885,10.785483000000001,11.184625,11.235623,11.138795,11.074956,11.413765,11.708368
74-2800178,,,,,,,,,,0,0.319347,0.527375,0.6616770000000001,0.89645,1.064174,1.3000530000000001,1.743684,2.256955,2.89548,3.1757150000000003,2.899139,3.4100669999999997,3.7456699999999996,4.182676,4.439342,4.834255000000001,4.960764,5.455808,5.601729,5.610842,5.696768,5.729796,5.643591000000001,5.909453,6.276404,6.532577,6.920675999999999,7.341753999999999,7.5385089999999995,7.590967999999999,7.794861,7.9233899999999995,7.439474000000001,7.0420050000000005,6.6839059999999995,6.512106,6.674656,6.851095,7.220706,7.645517,7.912617,8.389658,8.683853,8.852882000000001,9.640799000000001,9.996021,10.607619,11.090761,11.146759,11.335747,11.269908000000001,11.611717,11.90632
75-2800176,,,,,,,,,,,0,0.209029,0.343331,0.578104,0.745827,0.981707,1.425338,1.938609,2.5771330000000003,2.857369,2.5807919999999998,3.0917209999999997,3.4273239999999996,3.8643300000000003,4.120996,4.514908999999999,4.642417,5.137462,5.283383000000001,5.292495,5.378421,5.411449,5.325245,5.591107,5.958058,6.214230000000001,6.60233,7.023407000000001,7.220161999999999,7.273621,7.476514999999999,7.605044,7.121127,6.723658,6.36656,6.1947589999999995,6.3563089999999995,6.532749,6.902360000000001,7.32817,7.59427,8.072311000000001,8.366507,8.533535,9.321452,9.678675,10.289273,10.773415,10.829412,11.025907,11.385746000000001,11.724555,12.019157
76-2800142,,,,,,,,,,,,0,0.134302,0.369075,0.536799,0.772678,1.216309,1.72958,2.368105,2.64834,2.3717639999999998,2.882692,3.218295,3.655301,3.9119669999999998,4.30588,4.434389,4.929433,5.0743540000000005,5.083467,5.169393,5.202421,5.1162160000000005,5.382078,5.749029,6.005202,6.393301,6.814379,7.011133999999999,7.063592999999999,7.2664860000000004,7.396014999999999,6.912099,6.51463,6.157531,5.9857309999999995,6.14728,6.32372,6.693331,7.118142,7.385242,7.862283000000001,8.157478,8.324507,9.113424,9.468646000000001,10.079244000000001,10.566386,10.621383999999999,10.818878999999999,11.178717,11.517526,11.812128999999999
77-2800141,,,,,,,,,,,,,0,0.234773,0.402497,0.6383770000000001,1.082007,1.5952790000000001,2.233803,2.514038,2.237462,2.74839,3.083993,3.5210000000000004,3.7776650000000003,4.172578,4.299087,4.795132,4.940052,4.949165,5.035091,5.068119,4.981914,5.247776,5.614726999999999,5.8709,6.26,6.680077000000001,6.875832000000001,6.930291,7.132185000000001,7.261714,6.7777970000000005,6.3803279999999996,6.023229,5.851429,6.011979,6.189418,6.559029,6.984839999999999,7.250939999999999,7.727981,8.022177000000001,8.190205,8.979122,9.334344,9.945942,10.430083999999999,10.487082000000001,10.684577,11.042415,11.382224,11.676827000000001
78-2800137,,,,,,,,,,,,,,0,0.168724,0.40460300000000005,0.848234,1.361505,2.0000299999999998,2.280265,2.003688,2.514617,2.85022,3.2872260000000004,3.543892,3.9388050000000003,4.066314,4.561358,4.706279,4.715392,4.801317,4.834346,4.748141,5.014003,5.380954,5.6371269999999996,6.025226,6.4463040000000005,6.642059,6.696517999999999,6.899411,7.0289399999999995,6.544023,6.146555,5.7894559999999995,5.617656,5.779205,5.955645,6.3252559999999995,6.750067,7.017167,7.495208,7.789403,7.957432000000001,8.745349000000001,9.100571,9.712169,10.196311,10.252309,10.450803,10.808641999999999,11.149451,11.443054
79-2800135,,,,,,,,,,,,,,,0,0.23588,0.679511,1.192782,1.831306,2.230705,1.9541279999999999,2.465057,2.8006599999999997,3.237666,3.494332,3.889245,4.016754,4.511798000000001,4.656719,4.665831,4.751757,4.784785,4.698581,4.964443,5.331394,5.587566000000001,5.975666,6.396743,6.593497999999999,6.646958000000001,6.849850999999999,6.97938,6.494463,6.0969940000000005,5.739896,5.568095,5.729645,5.906085,6.276696,6.701506,6.966607000000001,7.445647,7.738842999999999,7.906871000000001,8.694789,9.051011,9.661609,10.145750999999999,10.201749000000001,10.401243,10.760082,11.099891,11.394492999999999
80-2800133,,,,,,,,,,,,,,,,0,0.44363100000000005,0.956902,1.5954270000000002,2.047416,2.190008,2.7009369999999997,3.03654,3.473546,3.7302120000000003,4.124125,4.251633,4.746678,4.892599,4.901711,4.987637,5.020665,4.934461,5.200323,5.567273999999999,5.823446,6.212546,6.632623,6.828378,6.881838,7.085731,7.21426,6.729342999999999,6.3328739999999994,5.974776,5.803975,5.965525,6.142965,6.512576,6.936386,7.203486,7.681527,7.9757229999999995,8.142750999999999,8.930667999999999,9.286891,9.898489,10.383631,10.440628,10.637122999999999,10.995961999999999,11.335771000000001,11.630372999999999
81-2800128,,,,,,,,,,,,,,,,,0,0.5132720000000001,1.1517959999999998,1.603785,1.8803619999999999,2.5283830000000003,2.863986,3.300993,3.557658,3.952571,4.07908,4.574123999999999,4.720045,4.729158,4.815084,4.848112,4.761907,5.027769,5.3947199999999995,5.650893,6.039992,6.46007,6.656825,6.710284,6.913178,7.042706,6.55779,6.160321,5.803222,5.631422,5.792972,5.969411,6.340022,6.763833,7.029933,7.507974000000001,7.80317,7.970198,8.758115,9.114336999999999,9.724935,10.305738999999999,10.506075,10.70357,11.067408,11.407217,11.70182
