순번_정류장ID,44-2806497,45-2806499,46-2806432,47-2807109,48-2805773,49-2807228,50-2806723,51-2806721,52-2805032,53-2805030,54-2806669,55-2803663,56-2802597,57-2802594,58-2802591,59-2802590,60-2805039,61-2804863,62-2805788,63-2805012,64-2805011,65-2805397,66-2805059,67-2805587,68-2806638,69-2806639,70-2807323,71-2807088,72-2806766,73-2806761,74-2806763,75-2806765,76-2803770,77-2805655,78-2802345,79-2802359,80-2803520,81-2807446,82-2806725,83-2805822
44-2806497,0,0.787813,3.11315,3.646432,4.1623529999999995,4.573448,4.87049,5.36076,6.043519,6.503301,6.883436,7.320917,7.853942999999999,8.087864,8.28096,8.405917,8.749437,9.049045,9.136416,8.791592999999999,8.673879,8.57828,8.786045,9.005595,8.096817999999999,8.235924,8.699258,8.07665,8.204267,7.903416,7.712903999999999,7.547584,7.167793,6.820499000000001,6.995205,6.346128,5.885544,5.296323999999999,5.4904839999999995,5.864363
45-2806499,,0,2.3253369999999998,2.85862,3.37454,3.7856349999999996,4.082678,4.572947,5.255707,5.715488,6.095623000000001,6.533104,7.06613,7.300052,7.493148,7.6201039999999995,7.961625,8.261232000000001,8.347603999999999,8.00378,7.886067,7.790468,7.998232000000001,8.217782000000001,7.309005,7.448111,7.911445,7.2898369999999995,7.416455,7.115603999999999,6.925091,6.759772,6.379981,6.032687,6.207393,5.559316,5.097731,4.508511,4.702671,5.076551
46-2806432,,,0,0.533283,1.049203,1.4602979999999999,1.757341,2.24761,2.930369,3.3901510000000004,3.770286,4.207767,4.740793,4.974714,5.167811,5.294767,5.6362879999999995,5.9358949999999995,6.023267,5.678443,5.560729,5.46513,5.672895,5.8924449999999995,4.983668,5.122774,5.585108,4.9635,5.090118,4.7912669999999995,4.600754,4.435435,4.054644000000001,3.70735,3.883055,3.233979,2.772394,2.183174,2.377334,2.751213
47-2807109,,,,0,0.518921,0.930016,1.227058,1.717328,2.401087,2.860868,3.241004,3.6774839999999998,4.210511,4.444432,4.637528,4.763485,5.106005000000001,5.405613,5.4919839999999995,5.14816,5.030447000000001,4.934848000000001,5.142613,5.362163,4.453385,4.592492,5.055826000000001,4.434218,4.560835,4.260984,4.0704720000000005,3.9051519999999997,3.524361,3.1770669999999996,3.3527730000000004,2.703696,2.242111,1.6528919999999998,1.8470520000000001,2.220931
48-2805773,,,,,0,0.411095,0.708138,1.198407,1.882167,2.341948,2.722083,3.158564,3.69159,3.9255120000000003,4.118608,4.244564,4.587085,4.886692,4.974064,4.62924,4.511526,4.415928,4.623692,4.843242,3.9344650000000003,4.073571,4.536905,3.9152970000000002,4.041915,3.742064,3.5515510000000003,3.386232,3.005441,2.658147,2.833853,2.184776,1.723191,1.1339709999999998,1.328131,1.7020110000000002
49-2807228,,,,,,0,0.298043,0.788312,1.471071,1.930853,2.310988,2.748469,3.2814949999999996,3.515417,3.708513,3.8344690000000003,4.17699,4.476597,4.562969,4.219145,4.101431,4.005833,4.213597,4.433147,3.5823699999999996,3.721476,4.20981,3.588202,3.71582,3.3889690000000003,3.199456,3.034137,2.653346,2.248052,2.4237580000000003,1.7746810000000002,1.397096,0.807876,1.0020360000000001,1.375916
50-2806723,,,,,,,0,0.49127,1.174029,1.63381,2.013946,2.631427,3.164453,3.398374,3.5914699999999997,3.8179269999999996,4.210447,4.514055,4.617426,4.44125,4.323537,4.227938,4.435703,4.655253,3.804475,3.943582,4.4329160000000005,3.810307,3.937925,3.611074,3.421562,3.255242,2.875451,2.470157,2.6458630000000003,1.995786,1.6192010000000001,1.029982,1.224142,1.598021
51-2806721,,,,,,,,0,0.682759,1.142541,1.522676,2.144157,2.6771830000000003,2.911104,3.1042009999999998,3.330657,3.723178,4.026785,4.131157,4.135981,4.044119,3.94852,4.157285,4.376835,4.187745,4.3268510000000004,4.909502,4.301577,4.354493,3.9953440000000002,3.8048309999999996,3.6395120000000003,3.258721,2.853427,3.029132,2.3790560000000003,2.004471,1.416251,1.7144110000000001,2.08829
52-2805032,,,,,,,,,0,0.45978199999999997,0.839917,1.5833979999999999,2.1164240000000003,2.349345,2.5434419999999998,2.769898,3.162419,3.4650260000000004,3.568398,3.575222,3.48236,3.386761,3.5965260000000003,3.814076,4.1822989999999995,4.321405,4.903055999999999,4.9731309999999995,4.643047,4.315898000000001,4.125385,3.9590660000000004,3.579274,3.0158150000000004,3.013109,2.8918150000000002,2.5162299999999997,2.09901,2.39717,2.75505
53-2805030,,,,,,,,,,0,0.380135,1.122616,1.6556419999999998,1.889564,2.0826599999999997,2.309116,2.701637,3.005244,3.109616,3.11444,3.0235790000000002,2.92798,3.135744,3.355294,3.721517,3.8596230000000005,4.442275,4.5123489999999995,4.1832650000000005,3.8541160000000003,3.664604,3.4982839999999995,3.118493,2.5550330000000003,2.552327,3.0748279999999997,2.699243,2.313023,2.6121830000000004,2.938063
