순번_정류장ID,48-2801658,49-2801672,50-2801684,51-2801718,52-2801745,53-2801752,54-2801759,55-2801768,56-2801790,57-2801977,58-2802024,59-2802051,60-2802098,61-2802129,62-2802158,63-2802168,64-2801848,65-2802825,66-2802870,67-2802906,68-2802937,69-2802951,70-2802613,71-2802982,72-2802977,73-2802973,74-2802967,75-2802963,76-2802956,77-2802984,78-2803020,79-2802429,80-2802369,81-2802529,82-2802539,83-2802558,84-2802569,85-2802560,86-2802555,87-2802556,88-2802566,89-2802366,90-2802585
48-2801658,0,0.362381,0.8013,1.281734,1.833025,2.2214669999999996,2.516577,2.758381,3.233779,3.769382,4.199351,4.393525,4.846432,5.219863,5.749135,6.064221,6.687881,6.957655,7.2750520000000005,7.8045800000000005,8.376102000000001,8.497588,8.721347999999999,8.9239,9.129242999999999,8.963326,9.054276,9.551671,9.877332000000001,10.320381,10.532805999999999,11.411305,12.417881,12.614377000000001,12.852513,13.194541000000001,12.524399,11.849012,11.781701,12.089282,12.547381,12.855088,12.795031
49-2801672,,0,0.43891899999999995,0.9193530000000001,1.470644,1.859086,2.1541959999999998,2.396,2.871398,3.407001,3.8369690000000003,4.031144,4.484051,4.856482,5.385754,5.70284,6.3255,6.595274000000001,6.9126710000000005,7.441199,8.012721,8.133207,8.357967,8.559519,8.765861,8.598945,8.689895,9.18829,9.515951,9.959,10.169425,11.047924,12.0545,12.248994999999999,12.489132000000001,12.83216,12.162018,11.485631,11.416319999999999,11.725901,12.187000000000001,12.491707,12.43265
50-2801684,,,0,0.48643500000000006,1.037725,1.4479959999999998,1.9432770000000001,2.185082,2.660479,3.196082,3.6260510000000004,3.8202260000000003,4.273132,4.645563,5.175835,5.490921,6.114582,6.383355,6.701752000000001,7.009281,7.5808029999999995,7.703289,7.9250490000000005,8.129601,8.335942999999999,8.167026,8.258975999999999,8.757371000000001,9.083032000000001,9.525082000000001,9.737507,10.616006,11.622582000000001,11.817077000000001,12.059213,12.400241000000001,11.729099,11.054712,10.986402,11.293983,11.793082,12.101788,12.220730999999999
51-2801718,,,,0,0.551291,0.961562,1.456843,1.698647,2.174045,2.709648,3.139617,3.333791,3.7866980000000003,4.159129,4.689401,5.004487,5.629147,5.897921,6.215318,6.521846,7.094367999999999,7.214853999999999,7.439614,7.641166,7.848509,7.681592,7.771542,8.269936999999999,8.597598,9.041647,9.251072,10.131571000000001,11.137147,11.332643,11.570779,11.912807,11.243665,10.566278,10.496967,10.808548,11.309647,11.616354,11.734297
52-2801745,,,,,0,0.413271,0.908552,1.150357,1.6257540000000001,2.1613569999999998,2.591326,2.785501,3.238407,3.6118379999999997,4.14111,4.457196,5.0798559999999995,5.34963,5.666027,6.282556,6.8540779999999994,6.975564,7.269324,7.470876,7.678217999999999,7.511301,7.602251,8.099646,8.427307,8.885357,9.081782,9.960281,10.967857,11.162352,11.400488000000001,11.743516,11.073374000000001,10.396987,10.328677,10.637258000000001,10.939357000000001,11.246063000000001,11.186005999999999
53-2801752,,,,,,0,0.5032810000000001,0.7450859999999999,1.2204840000000001,1.756087,2.186055,2.38023,2.833136,3.205568,3.734839,4.051926,4.674586,4.94336,5.260756,5.877285,6.449807,6.569292999999999,6.864053,7.065605000000001,7.271947,7.106031,7.19698,7.694375,8.022036,8.480086,8.676511,9.555010000000001,10.562586,10.756081,10.995217,11.338245,10.667103,9.990717,9.923406,10.231987,10.534086,10.842792999999999,10.780735
54-2801759,,,,,,,0,0.24180500000000002,0.720202,1.2558049999999998,1.685774,1.879949,2.332855,2.7052869999999998,3.235558,3.551644,4.175305000000001,4.444078,4.761475,5.377004,5.948526,6.069012,6.363772,6.566324000000001,6.772666,6.605749,6.696699000000001,7.194094000000001,7.521755000000001,7.979805000000001,8.17523,9.054729,10.061305,10.2568,10.494936000000001,10.837964,10.167822,9.491435000000001,9.423125,9.731705999999999,10.033805000000001,10.342512,10.281454
55-2801768,,,,,,,,0,0.47839799999999993,1.014001,1.44397,1.638144,2.0910509999999998,2.463482,2.993754,3.3098400000000003,3.9335,4.202274,4.519671,5.1362,5.707721,5.828208,6.121968,6.32452,6.5298620000000005,6.362945,6.453894999999999,6.951289999999999,7.278950999999999,7.737,7.934425999999999,8.811925,9.8195,10.012996000000001,10.253132,10.596160000000001,9.925018,9.249630999999999,9.181321,9.488902000000001,9.794,10.100707,10.03965
56-2801790,,,,,,,,,0,0.5366029999999999,0.966572,1.1607459999999998,1.613653,1.986084,2.516356,2.831442,3.4551019999999997,3.723876,4.042273000000001,4.657801999999999,5.229324,5.35081,5.64457,5.847122,6.053464,5.885547,5.976497,6.473892,6.801553,7.259603,7.457028,8.335527,9.342103,9.535598,9.775734,10.118762,9.44762,8.772233,8.702923,9.011503999999999,9.313603,9.622309,9.562252
57-2801977,,,,,,,,,,0,0.42996899999999993,0.6241439999999999,1.07705,1.449481,1.978753,2.294839,2.918499,3.187273,3.5046699999999995,4.121199,4.692721,4.813207,5.355967,5.558519,5.764861,5.597944,5.687894,6.186289,6.51395,6.972,7.168425,8.046924,9.0535,9.247995,9.487131,9.830159,9.159017,8.48263,8.41532,8.722901,8.777000000000001,9.086706,9.024649
58-2802024,,,,,,,,,,,0,0.194175,0.647081,1.020513,1.549784,1.8658709999999998,2.489531,2.758305,3.075701,3.6922300000000003,4.263751999999999,4.384238,5.128998,5.41955,5.6258919999999994,5.793976,5.885926,6.38232,6.709981,7.168031,7.365456,8.242955,8.984531,9.076036,9.264163,9.60719,8.936049,8.259661999999999,8.191351,8.500932,8.348031,8.654738,8.59568
59-2802051,,,,,,,,,,,,0,0.45390699999999995,0.8273379999999999,1.35661,1.672696,2.2963560000000003,2.56513,2.882527,3.4990550000000002,4.070577,4.191063,4.935823,5.226376,5.432718,5.601801,5.692751,6.1901459999999995,6.517807,6.975855999999999,7.172281,8.05078,8.790356,8.882861,9.070988,9.414016,8.743874,8.066487,7.998175999999999,8.307757,8.154856,8.462563000000001,8.402505999999999
60-2802098,,,,,,,,,,,,,0,0.37443200000000004,0.903703,1.219789,1.84345,2.1122229999999997,2.42962,3.046149,3.617671,3.738157,4.482917,4.773469,4.979811,5.227005,5.435844,5.933239,6.2609,6.71895,6.823375,7.701874,8.33745,8.429955,8.618081,8.961109,8.289966999999999,7.613580000000001,7.5452699999999995,7.854850999999999,7.70295,8.008657000000001,7.949599
61-2802129,,,,,,,,,,,,,,0,0.5302720000000001,0.8463579999999999,1.470018,1.738792,2.056189,2.672718,3.244239,3.364725,4.109485,4.4000379999999994,4.606380000000001,4.853574,5.062412999999999,5.559808,5.887469,6.345518,6.449943,7.328442,7.964017999999999,8.056523,8.24465,8.587678,7.917536,7.240149000000001,7.1728380000000005,7.481419,7.328517999999999,7.636225,7.576167999999999
62-2802158,,,,,,,,,,,,,,,0,0.316087,0.9397469999999999,1.271521,1.588918,2.142446,2.713968,2.834454,3.579214,3.8697660000000003,4.0761080000000005,4.366301999999999,4.643142,5.140537,5.468198,5.947247,5.919672,6.798171000000001,7.434747,7.526252,7.714378999999999,8.057407000000001,7.386265,6.709878,6.641567,6.9501479999999995,6.798247,7.105954,7.045897
63-2802168,,,,,,,,,,,,,,,,0,0.623661,0.955434,1.272831,1.8263599999999998,2.397882,2.518368,3.263128,3.5536800000000004,3.760022,4.050216000000001,4.3270550000000005,4.82445,5.152111,5.631161,5.603586,6.482085,7.118661,7.210164999999999,7.398292,7.74132,7.070178,6.394791000000001,6.326480999999999,6.635062,6.483161,6.790868,6.7298100000000005
64-2801848,,,,,,,,,,,,,,,,,0,0.33177399999999996,0.64917,1.257699,1.829221,1.949707,2.694467,2.985019,3.191361,3.481555,3.7583949999999997,4.25579,4.583451,5.0625,5.034925,5.913424,6.55,6.641505,6.829632000000001,7.1726600000000005,6.502518,5.825131,5.75782,6.0654010000000005,5.9145,6.222207,6.16115
65-2802825,,,,,,,,,,,,,,,,,,0,0.317397,0.9699260000000001,1.541447,1.661933,2.406694,2.697246,2.903588,3.193782,3.470621,3.9680160000000004,4.2956769999999995,4.774726,4.747152,5.625651,6.261226000000001,6.353731,6.541858,6.884886,6.213744,5.5383569999999995,5.469047,5.777628,5.7437260000000006,6.051433,5.990376
66-2802870,,,,,,,,,,,,,,,,,,,0,0.652529,1.224051,1.344537,2.089297,2.379849,2.586191,2.876385,3.153225,3.6506199999999995,3.9782800000000003,4.457330000000001,4.429755,5.308254,5.9448300000000005,6.036335,6.224462,6.567489,5.896348000000001,5.220961,5.15265,5.461231,5.42733,5.734037,5.672979
67-2802906,,,,,,,,,,,,,,,,,,,,0,0.572522,0.693008,1.437768,1.72832,1.9346619999999999,2.224856,2.501696,2.9990900000000003,3.3267510000000002,3.805801,3.778226,4.656725,5.292301,5.384806,5.572933,5.91596,5.245818,4.569432,4.5011209999999995,4.809702,5.3108010000000005,5.618508,5.730849
68-2802937,,,,,,,,,,,,,,,,,,,,,0,0.348986,1.0937459999999999,1.384298,1.59064,1.8808340000000001,2.157674,2.6550689999999997,2.98273,3.461779,3.4342040000000003,4.312703,4.948279,5.0407839999999995,5.228911,5.5719389999999995,4.900797,4.22441,4.156099,4.46468,4.965779,5.273486,5.584429
69-2802951,,,,,,,,,,,,,,,,,,,,,,0,0.7447600000000001,1.035312,1.241654,1.5318479999999999,1.808688,2.306083,2.633744,3.112793,3.0852180000000002,3.963717,4.599293,4.691798,4.879925,5.2229529999999995,4.551811,3.8754239999999998,3.8071129999999997,4.115694,4.616793,4.9245,5.235443
70-2802613,,,,,,,,,,,,,,,,,,,,,,,0,0.291552,0.49789399999999995,0.788088,1.064928,1.562323,1.889984,2.3690330000000004,2.3414580000000003,3.219957,4.226533,4.421028,4.715902,5.304126999999999,4.632985,3.9565980000000005,3.8882879999999997,4.196869,4.698967,5.005674,5.317617
71-2802982,,,,,,,,,,,,,,,,,,,,,,,,0,0.206342,0.497536,0.7743760000000001,1.27177,1.599431,2.078481,2.253906,3.132405,4.139981,4.333476,4.6293489999999995,5.34264,4.924537,4.24815,4.17984,4.488421,4.9895190000000005,5.297226,5.608169
72-2802977,,,,,,,,,,,,,,,,,,,,,,,,,0,0.291194,0.568033,1.065428,1.393089,1.872139,2.047564,2.926063,3.932639,4.127134,4.423007,5.136298,5.130879,4.454492,4.386182,4.694763,5.195862,5.5035680000000005,5.814511
73-2802973,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.27684000000000003,0.774234,1.101895,1.580945,1.75637,2.6348689999999997,3.6414449999999996,3.8369400000000002,4.130813,4.845104,5.421073000000001,4.744686,4.676376,4.984957,5.485056,5.793762,6.104705
74-2802967,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.497395,0.8250559999999999,1.304106,1.5105309999999998,2.4960299999999997,3.5036059999999996,3.6971010000000004,3.9909739999999996,4.7072650000000005,5.388088,5.021525,4.952215,5.2617959999999995,5.762894999999999,6.070602,6.380544
75-2802963,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32766100000000004,0.806711,1.013136,1.998635,3.005211,3.199706,3.494579,4.20887,4.890693,5.517919999999999,5.44961,5.758191,6.25929,6.566997,6.878939
76-2802956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47905,0.984475,1.9699740000000001,2.97655,3.171045,3.465918,4.180209,4.861032,5.534419000000001,5.778271,6.0868519999999995,6.5879509999999994,6.895658,7.2066
77-2802984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.505425,1.490924,2.4985,2.692996,2.987869,3.7021599999999997,4.383983,5.056369999999999,5.39532,5.703901,6.205,6.512707,6.82365
78-2803020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.985499,1.992075,2.18657,2.481443,3.195734,3.877557,4.5489440000000005,4.888895,5.197476,5.698575,6.005282,6.3172239999999995
79-2802429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.006576,1.201072,1.494945,2.209236,2.891059,3.563446,3.902396,4.210977,4.712076000000001,5.019783,5.330726
80-2802369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.194496,0.48936899999999994,1.20366,1.8854830000000002,2.55787,2.89682,3.2054009999999997,3.7065,4.014207,4.32515
81-2802529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.295873,1.0101639999999998,1.691988,2.364375,2.703325,3.011906,3.513005,3.8207120000000003,4.131654
82-2802539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.715291,1.397114,2.069501,2.408452,2.7170330000000003,3.2181319999999998,3.525839,3.8367809999999998
83-2802558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.681823,1.3542100000000001,1.6931610000000001,2.0017419999999997,2.502841,2.810548,3.12149
84-2802569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.676387,1.0153379999999999,1.323919,1.825018,2.132725,2.443667
85-2802560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.338951,0.647532,1.148631,1.456338,1.76728
86-2802555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.308581,0.8096800000000001,1.1173870000000001,1.4283299999999999
87-2802556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.501099,0.808806,1.1197489999999999
88-2802566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.315707,0.62665
89-2802366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31194299999999997
