순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
1-2801796,0,0.340511,0.5748770000000001,0.9410370000000001,1.317296,1.7190860000000001,2.045384,2.585557,2.964601,3.4395029999999998,3.710088,4.356069000000001,4.885421,5.200337,5.455145,5.687442,5.587013,5.2705910000000005,5.033415,4.680281,4.6036269999999995,4.629581,4.427795,4.25209,4.204276999999999,4.454722,3.9719839999999995,3.5283870000000004,3.2863160000000002,3.188344,3.6800019999999996,3.90248,4.26314,4.582189,4.708931,4.867634,5.1692480000000005,5.567024,5.829719,6.018826,6.422097,6.403049,6.777931,7.085327,6.7133899999999995,6.469677,6.121371,5.836337,5.774842,5.821248000000001,6.224069999999999,6.699321,6.941569,7.153995,8.032494,8.578472999999999,8.250631,7.965082000000001,7.763205999999999,7.513586,7.108347,6.762444,7.038069,7.355347999999999,7.237569000000001,6.961968,6.616344000000001,6.446748,6.900506,7.291361,7.515828,7.91874,8.425023,8.752174,9.041744,9.434633,9.693381,10.071008,10.144717
2-2801793,,0,0.234366,0.600526,0.976785,1.378575,1.7048729999999999,2.245046,2.6240900000000003,3.098992,3.3695769999999996,4.015559,4.54591,4.859827,5.114634,5.346931,5.2465019999999996,4.93008,4.6929050000000005,4.499909,4.943137999999999,4.970092,4.768306,4.592601,4.544788,4.7952330000000005,4.312494999999999,3.8678980000000003,3.6268269999999996,3.527855,4.020512999999999,4.2419910000000005,4.603651,4.9217,5.048442,5.208145,5.510758999999999,5.907535,6.17023,6.359337,6.761608,6.74056,7.117442,7.017699,6.6457619999999995,6.402049,6.053744,5.76771,5.707215,5.7556199999999995,6.155442,6.631692999999999,6.8739419999999996,7.086367,7.964866000000001,8.508844999999999,8.182003,7.897454,7.695578,7.444958,7.040719,6.694816,6.970442,7.287721,7.169942,6.894341000000001,6.548717,6.379121,6.831878999999999,7.223733999999999,7.4482,7.851112,8.357395,8.684546000000001,8.974117,9.367005,9.625753999999999,10.00338,10.076089
3-2801779,,,0,0.36616,0.7424189999999999,1.144209,1.470507,2.010679,2.389724,2.864626,3.13521,3.781192,4.3115440000000005,4.6254599999999995,4.880268,5.112564,5.012136,4.695714,4.458538,4.265543,4.760888,4.7878419999999995,4.586056,4.410351,4.362538,4.982401,4.546861,4.103264,3.862193,3.762221,4.254879,4.477358000000001,4.839017,5.157066,5.281808,5.442511,5.746125,6.141901,6.403596,6.593703,6.9989740000000005,6.975925999999999,7.353808,7.252064999999999,6.880128,6.637415,6.28911,6.002076000000001,5.940581,5.988987,6.391808,6.865059,7.109308,7.320733000000001,8.199232,8.745211,8.41637,8.130821000000001,7.928944,7.679325,7.274085,6.928183,7.204808,7.521087,7.403308,7.127707000000001,6.782083,6.612487,7.066244999999999,7.4571,7.681566,8.084479,8.590761,8.917913,9.207483,9.600372,9.859119999999999,10.236747,10.309455999999999
4-2801766,,,,0,0.376259,0.778049,1.104347,1.64452,2.023564,2.498466,2.7690509999999997,3.415033,3.9443839999999994,4.259301,4.514108,4.746405,4.645976,4.329554,4.092379,4.402318,4.897664,4.924618,4.722832,4.547127,4.499314,5.119177,4.824021,4.379424,4.1383529999999995,4.039381,4.531039,4.7535169999999995,5.115177,5.433226,5.558968,5.719671,6.021285,6.419061,6.680756,6.870863000000001,7.2731330000000005,7.253086,7.629967999999999,7.619225,7.247288,7.005575,6.65727,6.372235,6.310741,6.357146,6.759967999999999,7.235219,7.477467999999999,7.687892999999999,8.566392,9.112371000000001,8.784529,8.49898,8.297104,8.047483999999999,7.642245,7.296342,7.5729679999999995,7.889247,7.771468,7.495867,7.150243,6.980647,7.434405,7.825260000000001,8.049726,8.452638,8.958921,9.286072,9.575642,9.968531,10.22728,10.604906,10.677615
5-2801756,,,,,0,0.40179000000000004,0.728089,1.268261,1.647305,2.122208,2.392792,3.038774,3.5691260000000002,3.8830419999999997,4.137849,4.370146,4.269718,3.953295,3.7161199999999996,4.778576999999999,5.274922,5.300877,5.0990910000000005,4.923386,4.875573,5.495436,5.20028,4.756683,4.5146120000000005,4.41564,4.906297,5.130776,5.490436,5.810485,5.934227,6.09693,6.397544,6.795319999999999,7.058014999999999,7.248122,7.6513919999999995,7.6283449999999995,8.007227,7.994484,7.622547,7.377834,7.0305279999999994,6.745494,6.685,6.729405,7.135227,7.6074779999999995,7.850727,8.062152000000001,8.941651,9.48663,9.158788000000001,8.873239,8.671363000000001,8.422742999999999,8.016504,7.671601,7.946227,8.263506,8.145727,7.871125999999999,7.524502,7.355905,7.809664,8.199519,8.424985000000001,8.826897,9.33418,9.660331,9.949900999999999,10.34379,10.601539,10.979165,11.052874000000001
6-2801749,,,,,,0,0.326299,0.8664709999999999,1.245515,1.720418,1.991002,2.636984,3.1663360000000003,3.4802519999999997,3.7360599999999997,3.9683559999999996,3.867928,3.551505,3.3143300000000004,5.1803669999999995,5.676712,5.702667,5.50088,5.325175,5.277362999999999,5.897225,5.602069,5.157473,4.915401,4.817429,5.310087,5.531566000000001,5.893226,6.212274,6.337016,6.497719999999999,6.799333,7.197108999999999,7.459805,7.648911999999999,8.053182000000001,8.030135000000001,8.407016,8.398274,8.026337,7.781624000000001,7.433317999999999,7.150284,7.086789,7.133195,7.536017,8.013268,8.254516,8.465942,9.346441,9.88942,9.562578,9.277028999999999,9.075153,8.825533,8.420294,8.074391,8.350016,8.667296,8.549516,8.273914999999999,7.928292,7.759695,8.212453,8.603309,8.827775,9.230687,9.73697,10.064121,10.353691,10.747580000000001,11.006329,11.382955,11.455664
7-2801743,,,,,,,0,0.5481729999999999,0.927217,1.4021190000000001,1.6727040000000002,2.318686,2.8480369999999997,3.162953,3.417761,3.650058,3.549629,3.233207,2.9960310000000003,5.044335,5.717381,6.028965,5.827179,5.651473999999999,5.603661,6.223523999999999,5.927368,5.482771,5.2417,5.142728,5.634386,5.857864,6.2185239999999995,6.536573000000001,6.6623149999999995,6.824018,7.125632,7.521408,7.785102999999999,7.975210000000001,8.376481,8.355433,8.733315,8.723572,8.351635,8.108922,7.760617,7.475583,7.4140880000000005,7.458494,7.863314999999999,8.338566,8.580815,8.79224,9.670739,10.215717999999999,9.887876,9.602328,9.400451,9.150831,8.745592,8.39969,8.675315,8.991594000000001,8.874815,8.599214,8.253589999999999,8.083994,8.537752000000001,8.928607000000001,9.153073,9.555986,10.062268,10.389419,10.678989999999999,11.071879,11.330627,11.708253,11.781962
8-2801185,,,,,,,,0,0.38504499999999997,0.8599469999999999,1.130531,1.776513,2.306865,2.620781,2.8755889999999997,3.107885,3.0485700000000002,3.153009,2.915833,4.964137,5.637183,6.237837,6.156351,5.980646,5.932834,6.552696,6.46854,6.023944,5.782872,5.6839,6.176558,6.398037,6.759696000000001,7.078745,7.204486999999999,7.365191,7.666803999999999,8.06358,8.326276,8.516382,8.918652999999999,8.896606,9.273487,9.262744999999999,8.890808,8.646094999999999,8.297789,8.012755,7.95126,7.997666000000001,8.400487,8.875739,9.117987,9.330413,10.209912,10.753891000000001,10.427049,10.1415,9.940624,9.690004,9.284765,8.938862,9.214487,9.530766,9.302987,9.027386,8.681761999999999,8.512166,8.965924000000001,9.356779,9.581246,9.984158,10.490441,10.817592,11.107161999999999,11.500051,11.758799,12.136426,12.25184
9-2801687,,,,,,,,,0,0.47490299999999996,0.745487,1.391469,1.921821,2.235737,2.490545,2.722841,2.663525,2.993948,2.995878,5.044181,5.717226999999999,6.317881,6.236395,6.060691,6.012878,6.632741,6.846584,6.401987999999999,6.161916000000001,6.061944,6.555602,6.777081,7.139741000000001,7.45679,7.581532000000001,7.743235,8.043849,8.442624,8.70432,8.895427,9.297697,9.27665,9.652531,9.642789,9.271852,9.026139,8.679833,8.396799,8.333304,8.379710000000001,8.780532000000001,9.256783,9.499032000000001,9.711457000000001,10.591956,11.137935,10.808093,10.521544,10.319668,10.072047999999999,9.664809,9.320905999999999,9.594531,9.910811,9.681032,9.40543,9.059807000000001,8.89021,9.344969,9.734824,9.95929,10.363202000000001,10.869485000000001,11.196636,11.486206,11.880094999999999,12.138844,12.51547,12.631884
10-2801184,,,,,,,,,,0,0.27058499999999996,0.916566,1.445918,1.7598340000000001,2.077642,2.431806,2.37249,2.702913,3.26178,5.310084,5.98313,6.583784,6.595298,6.419593,6.37178,6.991642999999999,7.322487,6.87789,6.637819,6.5388470000000005,7.030505000000001,7.252984,7.612642999999999,7.932691999999999,8.058434,8.219137,8.520750999999999,8.915527,9.180222,9.369328999999999,9.7716,9.751552,10.128434,10.117691,9.746754,9.501041,9.152736,8.869702,8.808207000000001,8.851613,9.255434,9.732685,9.974934,10.185359,11.064858000000001,11.608837,11.280996,10.997447,10.79557,10.543951,10.140711,9.794808999999999,10.069434,10.385713,9.934934,9.659333,9.313709,9.144113,9.597871000000001,9.988726,10.213192,10.616105000000001,11.122387,11.449539,11.739109,12.131998,12.390746,12.768373,12.883787
