순번_정류장ID,1-2801796,2-2803545,3-2803552,4-2800816,5-2800818,6-2803063,7-2803062,8-2802651,9-2802638,10-2803042,11-2803043,12-2803115,13-2803231,14-2803226,15-2805712,16-2803122,17-2803104,18-2803094,19-2803079,20-2803630,21-2805651,22-2800717,23-2800679,24-2805253,25-2805251,26-2805249,27-2800591,28-2805192,29-2806572,30-2806213,31-2807459,32-2807222,33-2800563,34-2807520,35-2807504,36-2803359,37-2803214,38-2805065,39-2803360,40-2805324,41-2803380,42-2803377,43-2807339,44-2805301,45-2804931,46-2804982,47-2806595,48-2803362,49-2805244,50-2803206,51-2803209,52-2803366,53-2806164,54-2806549,55-2803143,56-2803376,57-2803374,58-2803372,59-2803369,60-2803364,61-2805057,62-2805247
1-2801796,0,0.7786810000000001,1.052624,1.094026,1.296459,2.672548,2.8780419999999998,3.6800019999999996,3.90248,4.3344309999999995,4.676931,5.078897,5.9403760000000005,6.331746,6.20516,6.0027870000000005,5.780385,5.560028,5.434571,5.068695,4.733009,6.043687,7.006932000000001,8.817077000000001,9.281148,9.723866000000001,10.441105,10.792235,11.161688999999999,11.420546,11.600778,11.742187,12.100716,14.419186999999999,24.147112,33.402854,33.581796000000004,33.872358,33.035990999999996,33.846734000000005,36.322069,36.935633,37.387845,39.000125,40.0323,40.54551,40.202228000000005,39.639983,39.354418,39.072489000000004,39.509775,40.194495,40.806096999999994,41.191982,41.40773,42.212454,41.867773,41.835485,41.37664,40.756356,40.114314,39.528855
2-2803545,,0,0.274943,0.832483,1.034916,2.411005,2.6165,3.4944589999999995,3.716938,4.1488879999999995,4.491388,4.892354,5.7548330000000005,6.146203,6.019617,5.817245,5.594842,5.373486,5.249029,4.8841529999999995,4.548467,5.962144,6.925389,8.736533999999999,9.199606,9.643322999999999,10.360563,10.711692,11.081147,11.340003999999999,11.519235,11.661644,12.020173,14.337645000000002,24.065569,33.330397,33.509339000000004,33.800901,32.963534,33.775276,36.249612,36.865176,37.317388,38.926668,39.959843,40.477053000000005,40.13077,39.569526,39.282961,39.003032,39.437318,40.121038,40.73664,41.120525,41.338273,42.141996999999996,41.795316,41.763028000000006,41.296098,40.674814000000005,40.033772,39.448312
3-2803552,,,0,0.5595399999999999,0.7619739999999999,2.1380619999999997,2.343557,3.221516,3.4439949999999997,3.8769449999999996,4.219446,4.620411,5.48289,5.87426,5.745675,5.544302,5.321899,5.100543,4.9760860000000005,4.61121,4.275524,5.690201,6.651446000000001,8.462591,8.926663000000001,9.37038,10.08762,10.439749,10.807203999999999,11.066061,11.246292,11.388701,11.74723,14.063702,23.793626,33.103229999999996,33.283172,33.571734,32.735367,33.547109999999996,36.020445,36.637009,37.088221000000004,38.700501,39.732676,40.245886,39.903604,39.341359000000004,39.054794,38.772865,39.212151,39.895871,40.507473,40.892358,41.108106,41.91383,41.568149,41.534861,41.022155,40.400871,39.759828999999996,39.175369
4-2800816,,,,0,0.202434,1.578522,1.7840169999999997,2.6619759999999997,2.884455,3.3164059999999997,3.6589059999999995,4.060871,4.92335,5.31372,5.187135,4.985762,4.762359,4.541003,4.416546,4.05167,3.7159839999999997,5.304851,6.268096,8.079241,8.543312,8.98703,9.702269,10.055398,10.423853,10.68271,10.862942,11.004351,11.361880000000001,13.680351000000002,23.409276000000002,32.54269,32.723632,33.012194,32.175827000000005,32.98857,35.461906,36.078469,36.527681,38.139961,39.173136,39.688346,39.343064,38.780819,38.497254999999996,38.213326,38.650611,39.336331,39.945934,40.331818,40.548565999999994,41.353291,41.009609000000005,40.976321,40.638804,40.017520000000005,39.376478000000006,38.791019
5-2800818,,,,,0,1.376089,1.581583,2.459543,2.682022,3.113972,3.457472,3.8584379999999996,4.720917,5.112287,4.983701,4.783328,4.559926,4.338569000000001,4.214112,3.849236,3.51355,5.406228,6.368473000000001,8.179618,8.64369,9.087407,9.803646,10.155776,10.524230000000001,10.783088000000001,10.963319,11.104728,11.463257,13.780728,23.509653,32.342257000000004,32.520199,32.810761,31.975393,32.786136,35.259471999999995,35.873034999999994,36.324248,37.939528,38.970703,39.486913,39.14263,38.579386,38.293821,38.010892,38.447177,39.132897,39.7455,40.130385,40.347132,41.150857,40.807176,40.773888,40.739181,40.117897,39.476855,38.891396
6-2803063,,,,,,0,0.20549499999999998,1.0854549999999998,1.307933,1.740884,2.083384,2.48435,3.346829,3.738199,3.610613,3.40924,3.185838,2.964481,2.840024,2.475148,2.139462,4.03214,4.993385,6.80553,7.268600999999999,7.713319,8.428558,8.780687,9.150142,9.408999,9.589231,9.72964,10.089169,12.40664,22.134565,31.601169,31.77911,32.070671999999995,31.233304999999998,32.046048,34.519384,35.134947,35.585159000000004,37.198439,38.230614,38.746825,38.401542,37.838297,37.552733,37.270804,37.709089,38.392809,39.004412,39.390296,39.607044,40.411769,40.067087,39.883967999999996,39.364093,38.743809000000006,38.101766999999995,37.517308
7-2803062,,,,,,,0,0.8799600000000001,1.102438,1.534389,1.876889,2.2778549999999997,3.140334,3.531704,3.404118,3.202745,2.980343,2.758986,2.634529,2.269653,1.9339669999999998,3.8256449999999997,4.78789,6.599035000000001,7.063105999999999,7.506824000000001,8.223063,8.575192,8.943647,9.202504,9.382736,9.524144999999999,9.882674,12.200145,21.92907,31.393674,31.572615000000003,31.863177,31.026809999999998,31.838553000000005,34.310889,34.927452,35.378664,36.989944,38.024119,38.53833,38.194047,37.629802000000005,37.345238,37.064309,37.500594,38.185314,38.795916999999996,39.182801,39.399549,40.204274,39.859592,39.677473,39.158598,38.537314,37.896271999999996,37.310813
8-2802651,,,,,,,,0,0.222479,0.654429,0.9969299999999999,1.397895,2.260374,2.651744,2.524159,2.323786,2.1003830000000003,1.879027,1.75457,1.4386940000000001,1.3278510000000001,3.434686,4.397930000000001,6.208075,6.672147,7.116864,7.832103999999999,8.185233,8.553688000000001,8.811544999999999,8.991776,9.133186,9.491715,11.810186,21.538110999999997,30.512714000000003,30.691656,30.983218,30.145851,30.958594,33.430929,34.045493,34.497704999999996,36.109984999999995,37.143159999999995,37.65837,37.315088,36.750842999999996,36.467278,36.183349,36.621635,37.303354999999996,37.918958,38.301842,38.51959,39.322314,38.978633,38.945345,38.768639,38.147355,37.505313,36.919854
9-2802638,,,,,,,,,0,0.43195100000000003,0.774451,1.175416,2.0378950000000002,2.429265,2.3016799999999997,2.100307,1.877904,1.656548,1.532091,1.512314,1.401471,3.5083059999999997,4.471551,6.282696,6.746767,7.189485,7.9067240000000005,8.257852999999999,8.627308,8.886165,9.066397,9.207806,9.566335,11.883806,21.612731,30.291234999999997,30.469177000000002,30.759739,29.924371999999998,30.735115000000004,33.210451,33.824014,34.276226,35.888506,36.919681,37.433890999999996,37.091609000000005,36.529364,36.2438,35.961871,36.397156,37.083876000000004,37.695479,38.080363,38.295111,39.100836,38.755154,38.724866,38.841259,38.219975,37.579933000000004,36.994474
10-2803042,,,,,,,,,,0,0.3435,0.744466,1.606945,1.998315,1.9047290000000001,1.9006439999999998,1.8189540000000002,1.5975979999999999,1.473141,1.542736,1.8344220000000002,3.942256,4.904501,6.7156460000000004,7.179717999999999,7.623435000000001,8.339674,8.691804,9.060259,9.319116000000001,9.499347,9.639756,9.998285000000001,12.316756,22.045681,29.859284999999996,30.040227,30.330789000000003,29.492421999999998,30.306164000000003,32.7785,33.393064,33.844276,35.457556,36.489731,37.004940999999995,36.659658,36.097414,35.812849,35.53092,35.968206,36.650926,37.264528000000006,37.650413,37.865159999999996,38.670885,38.325204,38.292916,38.811791,38.653926,38.012884,37.427424
