순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565,73-2802290,74-2802292,75-2802287,76-2802283,77-2802272,78-2802273,79-2802274,80-2802275,81-2802296,82-2801865
37-2802694,0,0.549632,0.906918,1.319721,1.629375,1.976721,2.278308,2.521645,2.743276,3.736072,4.175564,4.464741,4.659228,4.994022,5.171957,5.37827,5.827724,6.043573,6.354446,5.950606,5.91351,6.330623999999999,6.568149000000001,6.818538,7.005742999999999,7.318878999999999,7.025863,6.884638000000001,7.064706,7.244217999999999,7.489428,7.798135,7.980682000000001,8.309664,8.405365,7.724908999999999,7.594107000000001,7.793242,8.151571,8.378797,7.7725740000000005,7.417992999999999,7.5321039999999995,7.739595,8.682780000000001,8.372807
38-2802692,,0,0.357286,0.770089,1.0797430000000001,1.427089,1.7286759999999999,1.972013,2.193644,3.18644,3.625932,3.9151089999999997,4.109596,4.44439,4.622325,4.828638,5.278092,5.493941,5.804814,5.400974,5.363878,5.7809919999999995,6.018517,6.268905999999999,6.456111,6.813391,7.1045050000000005,7.141151,7.324217999999999,7.502730000000001,7.74794,8.056647,8.240194,7.925705000000001,7.972003999999999,7.175277,7.044475,7.242610000000001,7.601939,7.830164999999999,7.222942,6.868361,6.9824720000000005,7.189964,8.133148,7.823175
39-2802713,,,0,0.412804,0.722457,1.069804,1.371391,1.6147280000000002,1.8363580000000002,2.829155,3.268647,3.5578239999999997,3.752311,4.087105,4.265039,4.4713519999999995,4.920806,5.136655,5.447528,5.0436879999999995,5.006593,5.423707,5.661232,5.911621,6.098826,6.456106,6.7472199999999996,6.784864999999999,6.966933,7.145445,7.391655,7.699362,7.8829080000000005,7.5684190000000005,7.614719,6.817991999999999,6.687189999999999,6.885324000000001,7.244654,7.4718800000000005,6.865657000000001,6.511076,6.6251869999999995,6.832678,7.775863,7.465889999999999
40-2802744,,,,0,0.309654,0.657,0.9585870000000001,1.201924,1.423555,2.4163509999999997,2.855843,3.14502,3.339507,3.6743010000000003,3.852236,4.058549,4.5080029999999995,4.723851,5.034724,4.630885,4.593789,5.010903,5.248428,5.498817,5.686022,6.043302,6.334416,6.371062,6.554129,6.732641,6.978851,7.286558,7.469105,7.155614999999999,7.201915,6.405188,6.274386,6.473521,6.83185,7.060076,6.452853,6.098272,6.212383,6.419874,7.363059,7.053086
41-2802767,,,,,0,0.34734699999999996,0.648934,0.8922700000000001,1.113901,2.1066979999999997,2.54619,2.835366,3.0298540000000003,3.364647,3.542582,3.7488949999999996,4.198348999999999,4.414198000000001,4.725071,4.321231,4.284136,4.70125,4.938775,5.189164,5.376368,5.733649,6.024763,6.0624080000000005,6.243475,6.421988,6.668197999999999,6.976905,7.159451,6.845961999999999,6.892261,6.095535,5.964733,6.163867,6.522197,6.750423,6.1432,5.788619000000001,5.902729,6.110221,7.053406,6.7434330000000005
42-2802785,,,,,,0,0.301587,0.544924,0.766555,1.759352,2.198843,2.48802,2.6825069999999998,3.017301,3.195236,3.4015489999999997,3.851003,4.066852,4.377725,3.9738849999999997,3.936789,4.353904,4.591429,4.841817,5.029022,5.386303,5.677417,5.7150620000000005,5.8971290000000005,6.075641,6.321852,6.628558,6.812105,6.498616,6.5449150000000005,5.748189,5.617387,5.8155209999999995,6.17485,6.402076999999999,5.795854,5.4412720000000006,5.555383,5.762875,6.706059,6.3960870000000005
43-2802812,,,,,,,0,0.245337,0.466967,1.4597639999999998,1.899256,2.1884330000000003,2.38292,2.717714,2.895649,3.101962,3.551416,3.767264,4.078137,3.674297,3.637202,4.054316,4.291841000000001,4.54223,4.729435,5.086715,5.377829,5.415474,5.597542,5.775054,6.022264,6.329971,6.513518,6.199028,6.245328,5.448601,5.317799,5.515934,5.8752629999999995,6.102489,5.496266,5.141685,5.255796,5.463287,6.406472,6.096499
44-2802844,,,,,,,,0,0.221631,1.227428,1.6669189999999998,1.9560959999999998,2.150583,2.485377,2.663312,2.869625,3.319079,3.534928,3.8458010000000002,3.441961,3.404866,3.8219800000000004,4.059505000000001,4.309893,4.497098,4.854379,5.145493,5.327283,5.51035,5.687863,5.935073,6.242780000000001,6.295674,5.966692,6.012991,5.216265,5.085463,5.283597,5.643926,5.871153,5.26393,4.9093480000000005,5.023459,5.230951,6.174135,5.864163
45-2802867,,,,,,,,,0,1.0057969999999998,1.445289,1.734466,1.928953,2.263747,2.441681,2.6479939999999997,3.097448,3.313297,3.62417,3.22033,3.183235,3.6003489999999996,3.837874,4.0882629999999995,4.275468,4.632748,4.923862000000001,5.190507,5.373575,5.552087,5.861297,6.166004,6.074044000000001,5.745061,5.791361,4.994634,4.863832,5.061966,5.422296,5.649522,5.042299,4.687718,4.801829,5.00932,5.952505,5.642532
46-2802393,,,,,,,,,,0,0.439492,0.728669,0.923156,1.25795,1.435885,1.642198,2.091652,2.3075,2.618373,2.2145330000000003,2.177438,2.594552,2.832077,3.082466,3.2696709999999998,3.626951,3.9180650000000004,4.18571,4.3677779999999995,4.5452900000000005,4.8545,5.1622069999999995,5.068247,4.739264,4.785564,3.988837,3.8580349999999997,4.05617,4.415499,4.642725,4.036502,3.681921,3.796032,4.003523,4.946708,4.636735
