순번_정류장ID,32-2800505,33-2807101,34-2805797,35-2800504,36-2800510,37-2800511,38-2800514,39-2800516,40-2800518,41-2800522,42-2800531,43-2800349,44-2807211,45-2800534,46-2800386,47-2800542,48-2800550,49-2800350,50-2803765,51-2807460,52-2800347,53-2800346,54-2805193,55-2800592,56-2805946,57-2805250,58-2805252,59-2807011,60-2805400,61-2805038,62-2805564
32-2800505,0,0.32658400000000004,1.109998,0.9795940000000001,0.713928,0.575906,0.876886,1.020901,1.193813,1.378714,1.739436,1.832491,2.181886,2.5131490000000003,3.2931150000000002,3.644729,3.8443769999999997,4.003699,4.001343,4.6935150000000005,4.936674,5.196519,5.544484,5.5030660000000005,5.608219999999999,5.830702,6.276033,6.578646000000001,6.491658999999999,6.296418,6.097544
33-2807101,,0,0.783413,0.848406,0.582739,0.444718,0.745698,0.8897120000000001,1.062624,1.247526,1.608248,1.701302,2.050698,2.381961,3.161926,3.5135410000000005,3.713189,3.8725110000000003,3.8701550000000005,4.5623260000000005,4.805486,5.065331,5.413296,5.371878,5.477032,5.699514,6.144845,6.447458,6.360469999999999,6.16523,5.966355999999999
34-2805797,,,0,0.210181,0.47584799999999994,0.724909,1.025889,1.1699030000000001,1.3428149999999999,1.527717,1.888439,1.981493,2.330889,2.662152,3.4421169999999996,3.793732,3.99338,4.152701,4.150346,4.842517,5.085677,5.345522,5.693487,5.652069,5.7572220000000005,5.979705,6.425035,6.727647999999999,6.641661,6.445421,6.2465470000000005
35-2800504,,,,0,0.265667,0.514727,0.815708,0.959722,1.132634,1.317536,1.6782580000000002,1.771312,2.120708,2.451971,3.231936,3.5835510000000004,3.7831989999999998,3.9425199999999996,3.9401650000000004,4.6323360000000005,4.875495,5.13534,5.483306,5.441887,5.547041,5.769523,6.214854,6.517467,6.4314800000000005,6.235239,6.036365
36-2800510,,,,,0,0.249061,0.550041,0.694056,0.8669680000000001,1.051869,1.412591,1.5056459999999998,1.855041,2.1863040000000002,2.96627,3.317884,3.517532,3.676854,3.6744980000000003,4.366669,4.609829,4.869674,5.217639,5.176221,5.281375,5.503857,5.9491879999999995,6.251801,6.165813,5.9695730000000005,5.770699
37-2800511,,,,,,0,0.300981,0.444995,0.617907,0.802808,1.1635309999999999,1.256585,1.6059809999999999,1.937244,2.717209,3.068823,3.268471,3.427793,3.4254379999999998,4.117609,4.360768,4.620613,4.968579,4.92716,5.0323139999999995,5.254796,5.700126999999999,6.00274,5.916753,5.720512,5.521637999999999
38-2800514,,,,,,,0,0.144014,0.326926,0.511828,0.87255,0.9656040000000001,1.315,1.646263,2.426228,2.777843,2.977491,3.136812,3.134457,3.826628,4.069788,4.329633,4.677598000000001,4.63618,4.741333,4.9638160000000005,5.409147,5.711759,5.625772,5.429532,5.230658
39-2800516,,,,,,,,0,0.182912,0.367814,0.728536,0.8215899999999999,1.170986,1.502249,2.2822139999999997,2.633829,2.8334770000000002,2.992798,2.990443,3.682614,3.9257739999999997,4.185619,4.533583999999999,4.492166,4.597319000000001,4.819801,5.265132,5.5677449999999995,5.480758,5.285518,5.086644000000001
40-2800518,,,,,,,,,0,0.184902,0.545624,0.638678,0.988074,1.319337,2.0993020000000002,2.450917,2.6505650000000003,2.809886,2.807531,3.4997019999999996,3.742861,4.002707,4.350672,4.309254,4.414407,4.636889,5.0822199999999995,5.384833,5.298846,5.102606,4.903732
41-2800522,,,,,,,,,,0,0.360722,0.45377700000000004,0.803172,1.134435,1.9144009999999998,2.2660150000000003,2.465663,2.6249849999999997,2.622629,3.314801,3.55796,3.8178050000000003,4.165769999999999,4.124352,4.229506,4.451988,4.897319,5.1999319999999996,5.112945,4.9177040000000005,4.7188300000000005
42-2800531,,,,,,,,,,,0,0.093054,0.44245,0.773713,1.553679,1.9052930000000001,2.104941,2.264263,2.261907,2.954078,3.197238,3.4570830000000004,3.805048,3.7636300000000005,3.868784,4.091266,4.536597,4.83921,4.753222,4.556982,4.3581080000000005
43-2800349,,,,,,,,,,,,0,0.349396,0.680659,1.460624,1.812239,2.0118869999999998,2.171208,2.265061,2.957233,3.200392,3.4602370000000002,3.8082019999999996,3.7667839999999995,3.8719379999999997,4.0944199999999995,4.539751,4.842364,4.755376999999999,4.560136,4.361262
44-2807211,,,,,,,,,,,,,0,0.33126300000000003,1.111228,1.4628430000000001,1.662491,1.821812,1.975543,2.943628,3.186788,3.4466330000000003,3.794598,3.7531800000000004,3.858333,4.113816,4.559147,4.861758999999999,5.105772,4.909532,4.7106580000000005
45-2800534,,,,,,,,,,,,,,0,0.7799659999999999,1.13158,1.331228,1.49055,1.64428,2.612365,2.855525,3.11537,3.463335,3.4219169999999997,3.527071,3.782553,4.2278839999999995,4.530497,5.091966,5.240794999999999,5.041921
46-2800386,,,,,,,,,,,,,,,0,0.351615,0.5512630000000001,0.710584,0.8643149999999999,1.8324,2.075559,2.335404,2.68337,2.6419509999999997,2.747105,3.002587,3.447918,3.7505309999999996,4.312,4.4732400000000005,4.433429
47-2800542,,,,,,,,,,,,,,,,0,0.199648,0.35896999999999996,0.697386,1.665471,1.9086310000000002,2.1684759999999996,2.516441,2.4750229999999998,2.580176,2.835658,3.280989,3.5836019999999995,4.145071,4.306312,4.266501
48-2800550,,,,,,,,,,,,,,,,,0,0.159322,0.616052,1.5841379999999998,1.8272970000000002,2.0871419999999996,2.435107,2.3936889999999997,2.498843,2.754325,3.199656,3.502269,4.063738,4.224978,4.185167
49-2800350,,,,,,,,,,,,,,,,,,0,0.45873100000000006,1.426816,1.669975,1.92982,2.277786,2.236367,2.3415209999999997,2.597003,3.042334,3.3449470000000003,3.9064160000000006,4.0676559999999995,4.027845
50-2803765,,,,,,,,,,,,,,,,,,,0,0.9680850000000001,1.2112450000000001,1.47109,1.8190549999999999,1.777637,1.8827900000000002,2.138273,2.5836040000000002,2.886216,3.447685,3.6089260000000003,3.569115
51-2807460,,,,,,,,,,,,,,,,,,,,0,0.24316,0.503005,0.8509700000000001,1.184192,1.6549619999999998,1.9104439999999998,2.355775,2.658388,3.219857,3.381097,3.341286
52-2800347,,,,,,,,,,,,,,,,,,,,,0,0.259845,0.607811,0.941033,1.453546,1.709028,2.154359,2.456972,3.018441,3.179681,3.13987
53-2800346,,,,,,,,,,,,,,,,,,,,,,0,0.347965,0.681188,1.1937010000000001,1.4491829999999999,1.894514,2.197127,2.758596,2.919836,2.880025
54-2805193,,,,,,,,,,,,,,,,,,,,,,,0,0.33322199999999996,0.845736,1.101218,1.546549,1.849162,2.41063,2.571871,2.53206
55-2800592,,,,,,,,,,,,,,,,,,,,,,,,0,0.512513,0.767995,1.2133260000000001,1.515939,2.077408,2.238648,2.1988369999999997
56-2805946,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25648200000000004,0.701813,1.004426,1.565895,1.727136,1.687325
57-2805250,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44733100000000003,0.7499439999999999,1.311413,1.491654,1.4588430000000001
58-2805252,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.302613,0.864082,1.060323,1.256804
59-2807011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.56147,0.75771,1.028584
60-2805400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.196241,0.46711499999999995
61-2805038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.270874
62-2805564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
