순번_정류장ID,1-2800648,2-2800328,3-2800640,4-2800634,5-2800624,6-2800619,7-2806214,8-2806243,9-2805827,10-2805999
1-2800648,0,0.19672699999999999,0.516777,0.879676,1.548977,1.8303740000000002,2.235098,3.13482,2.848698,3.253027
2-2800328,,0,0.32105,0.683948,1.353249,1.6346459999999998,2.039371,2.939093,2.652971,3.0583
3-2800640,,,0,0.36289899999999997,1.0322,1.313597,1.718321,2.618043,2.331921,2.73725
4-2800634,,,,0,0.669301,0.9506979999999999,1.355422,2.255145,1.969023,2.373352
5-2800624,,,,,0,0.28139699999999995,0.743121,1.642844,1.356722,1.76105
6-2800619,,,,,,0,0.461725,1.3614469999999999,1.075325,1.479654
7-2806214,,,,,,,0,0.8997229999999999,0.6146010000000001,1.0189290000000002
8-2806243,,,,,,,,0,0.578465,0.982793
9-2805827,,,,,,,,,0,0.404329
10-2805999,,,,,,,,,,0
