순번_정류장ID,1-2803028,2-2803017,3-2803013,4-2803004,5-2802997,6-2802990,7-2802966,8-2802940,9-2802926,10-2802921,11-2802901,12-2802885,13-2802851,14-2802823,15-2802783,16-2802757,17-2802733,18-2802706
1-2803028,0,0.13910799999999998,0.395649,0.625594,0.773584,1.0025309999999998,1.3797549999999998,1.6688060000000002,1.78785,1.9429450000000001,2.0594759999999996,2.0723130000000003,2.358494,2.463963,2.8929709999999997,3.290137,3.303406,3.719353
2-2803017,,0,0.25654099999999996,0.486486,0.634476,0.8634219999999999,1.2406469999999998,1.529698,1.648742,1.803837,1.920368,1.9332049999999998,2.218386,2.324855,2.753863,3.1510279999999997,3.163298,3.5802449999999997
3-2803013,,,0,0.22994499999999998,0.37793499999999997,0.606881,0.9881059999999999,1.2771569999999999,1.396201,1.551296,1.667827,1.843664,2.128845,2.311314,2.740322,3.210157,3.293113,3.71006
4-2803004,,,,0,0.14799,0.37693699999999997,0.758161,1.047212,1.166256,1.321352,1.437883,1.6137190000000001,1.8989,2.081369,2.5103779999999998,2.980212,3.226813,3.6437589999999997
5-2802997,,,,,0,0.22894699999999998,0.610171,0.899222,1.018266,1.173362,1.289892,1.465729,1.7509099999999997,1.9333790000000002,2.362387,2.8322220000000002,3.0778220000000003,3.495769
6-2802990,,,,,,0,0.381225,0.670276,0.78932,0.944415,1.060946,1.236783,1.5219639999999999,1.704432,2.133441,2.6032759999999997,2.8498759999999996,3.2668220000000003
7-2802966,,,,,,,0,0.289051,0.408095,0.563191,0.737721,0.909558,1.194739,1.377208,1.806216,2.275051,2.521652,2.938598
8-2802940,,,,,,,,0,0.11904400000000001,0.27514,0.44966999999999996,0.6225069999999999,0.9066879999999999,1.089157,1.5191649999999999,1.9869999999999999,2.234601,2.650547
9-2802926,,,,,,,,,0,0.156095,0.33062600000000003,0.502463,0.787644,0.9701129999999999,1.3991209999999998,1.868956,2.1145560000000003,2.531503
10-2802921,,,,,,,,,,0,0.174531,0.35036799999999996,0.635549,0.818017,1.247026,1.715861,1.962461,2.379407
11-2802901,,,,,,,,,,,0,0.176837,0.46201800000000004,0.644487,1.073495,1.5433299999999999,1.78993,2.205877
12-2802885,,,,,,,,,,,,0,0.286181,0.46865,0.897658,1.366493,1.6140940000000001,2.03104
13-2802851,,,,,,,,,,,,,0,0.182469,0.611478,1.0803120000000002,1.326913,1.743859
14-2802823,,,,,,,,,,,,,,0,0.43100900000000003,0.9008430000000001,1.1474440000000001,1.56439
15-2802783,,,,,,,,,,,,,,,0,0.46883500000000006,0.715435,1.132382
16-2802757,,,,,,,,,,,,,,,,0,0.24660100000000001,0.663547
17-2802733,,,,,,,,,,,,,,,,,0,0.416947
18-2802706,,,,,,,,,,,,,,,,,,0
