순번_정류장ID,1-2806423,2-2806421,3-2807340,4-2806518,5-2806516,6-2805650,7-2806076,8-2806907,9-2805881,10-2805657,11-2805658,12-2802147,13-2801897,14-2801895,15-2802108,16-2801822,17-2802019,18-2801998,19-2801981,20-2801879,21-2801856,22-2801959,23-2801976,24-2801880,25-2802017,26-2802049,27-2804800,28-2802084,29-2802061,30-2802077,31-2802090,32-2802083,33-2802070,34-2802055,35-2802063,36-2802086,37-2806708,38-2802099,39-2802119,40-2802103,41-2802052,42-2805597,43-2801952,44-2801176
1-2806423,0,0.340908,0.5868260000000001,0.99182,1.1311280000000001,1.332938,1.090825,1.357693,1.656723,1.895125,2.141289,2.476075,2.700155,2.655391,2.903206,3.232821,3.662299,3.739592,3.8595309999999996,4.072261,4.280041000000001,4.174864,3.9068660000000004,3.6670949999999998,3.6640919999999997,3.776474,4.0951260000000005,4.304812,4.790092,4.999493,5.06086,5.417590000000001,5.496551999999999,5.6943779999999995,5.926819999999999,6.408899,6.704297,6.9172,7.381228,7.681728,7.616992999999999,7.806207000000001,8.021558,8.601988
2-2806421,,0,0.24591799999999997,0.6509119999999999,0.79022,0.99203,0.748917,1.015785,1.315815,1.554217,1.8003810000000002,2.135167,2.409938,2.580299,2.828114,3.1577290000000002,3.8597940000000004,4.0825,4.202439,4.415169000000001,4.622949,4.518772,4.2497739999999995,4.010004,3.86,3.701382,4.020035,4.2297199999999995,4.905,4.6585849999999995,4.719951999999999,5.076682,5.153644,5.35347,5.585912,6.067991,6.363389,6.574292,7.03832,7.387364999999999,7.817900999999999,8.045115,8.260466000000001,8.840896
3-2807340,,,0,0.404995,0.544303,0.746113,0.503,0.770867,1.070897,1.3082989999999999,1.554463,1.8892490000000002,2.16502,2.334381,2.583196,2.911811,3.6138760000000003,3.836583,3.957522,4.169251,4.377032,4.273855,4.003857,3.7640860000000003,3.6140830000000004,3.4554650000000002,3.775117,3.983802,4.659083,4.410667,4.473033999999999,4.830764,4.907726,5.1085519999999995,5.339994,5.8220730000000005,6.117471,6.329375,6.793403,7.143447,7.572984,7.800198,8.014548,8.593978
4-2806518,,,,0,0.412868,0.897942,0.654829,0.921697,1.221726,1.460128,1.706293,2.041079,2.315849,2.486211,2.7340259999999996,3.063641,3.765705,3.9884120000000003,4.108351,4.3210809999999995,4.528861,4.423684,4.155686,3.915915,3.765912,3.6072940000000004,3.9259459999999997,4.135631,4.810912,4.5624970000000005,4.623864,4.980594,5.059556,5.257382,5.489824,5.971903,6.267301,6.4802040000000005,6.944232,7.293276,7.723813000000001,7.949027,8.164378,8.744808
5-2806516,,,,,0,0.53125,0.794137,1.061005,1.361034,1.599436,1.8456009999999998,2.180387,2.455157,2.6255189999999997,2.873334,3.2029490000000003,3.905013,4.12772,4.247659,4.460389,4.667169,4.563992,4.294994,4.055223000000001,3.90522,3.7466019999999998,4.065254,4.274939,4.78222,4.499805,4.561172,4.917902,4.9968639999999995,5.1946900000000005,5.427132,5.909211,6.204609,6.417512,6.881539999999999,7.2225839999999994,7.6611210000000005,7.886335000000001,8.101686,8.682116
6-2805650,,,,,,0,0.528887,0.795755,1.095785,1.315187,1.561351,1.896137,2.1709080000000003,2.341269,2.589084,2.918699,3.620764,3.8434699999999995,3.9634089999999995,4.175139,4.382919,4.278742,4.010744,3.770974,3.62097,3.4623519999999997,3.7810050000000004,3.9906900000000003,4.59497,4.312555000000001,4.373922,4.730652,4.809614,5.00744,5.239882,5.721961,6.017359,6.230262000000001,6.69429,7.043335000000001,7.473871000000001,7.699085,7.914436,8.494866
7-2806076,,,,,,,0,0.266868,0.5668979999999999,0.8293,1.075464,1.41025,1.6850209999999999,1.8553819999999999,2.103197,2.4328119999999998,3.134877,3.357583,3.477522,3.6902519999999996,3.897032,3.793855,3.524857,3.2850870000000003,3.1350830000000003,2.976465,3.295118,3.504803,4.180083,4.068502,4.129869,4.486599,4.56556,4.763387000000001,4.9958290000000005,5.477908,5.773305000000001,5.986209,6.450237,6.799281,7.229817999999999,7.424198,7.639549000000001,8.219978999999999
8-2806907,,,,,,,,0,0.30003,0.5624319999999999,0.808597,1.143383,1.418153,1.588515,1.83633,2.1659450000000002,2.868009,3.090716,3.210655,3.4223839999999996,3.631165,3.525988,3.25799,3.0182189999999998,2.868216,2.709598,3.02825,3.237935,3.9132160000000002,3.9718,4.033168,4.3898980000000005,4.468858999999999,4.666685,4.899128,5.381207,5.676604,5.889508,6.353536,6.70258,6.9681169999999995,7.157331,7.372682000000001,7.953111
9-2805881,,,,,,,,,0,0.262402,0.508567,0.843353,1.118123,1.288485,1.5363,1.8659150000000002,2.56798,2.790686,2.910625,3.123355,3.330135,3.226958,2.95796,2.7181889999999997,2.568186,2.409568,2.72822,2.9379060000000004,3.6131860000000002,3.671771,3.733138,4.089868,4.168830000000001,4.366656,4.599098000000001,5.081176999999999,5.376575,5.589478,6.053506,6.40255,6.668087,6.857301,7.072652000000001,7.653082
10-2805657,,,,,,,,,,0,0.246164,0.582951,0.857721,1.028082,1.2758969999999998,1.605512,2.307577,2.530284,2.650223,2.861952,3.0697330000000003,2.9655560000000003,2.6975580000000003,2.4577869999999997,2.307784,2.149166,2.467818,2.6775029999999997,3.3527839999999998,3.6341989999999997,3.695735,4.052466000000001,4.1314269999999995,4.329253,4.561694999999999,5.043774,5.3391720000000005,5.5520760000000005,6.016104,6.3651480000000005,6.407685,6.5968990000000005,6.812249,7.392678999999999
