순번_정류장ID,34-2801790,35-2801977,36-2805598,37-2802051,38-2802067,39-2802056,40-2802050,41-2802042,42-2802029,43-2802013,44-2802003,45-2802033,46-2802057,47-2802081,48-2802066,49-2802069,50-2802087,51-2804799,52-2802048,53-2801823,54-2802110,55-2802132,56-2801891,57-2801853,58-2801821,59-2806513,60-2807111,61-2806771,62-2806429,63-2806635,64-2805906,65-2806422,66-2806424,67-2807419,68-2806862,69-2807444
34-2801790,0,0.5366029999999999,0.914773,1.1607459999999998,1.6187770000000001,1.9177560000000002,2.2539599999999997,2.341123,2.632686,3.0947810000000002,3.02505,3.5610449999999996,3.698405,3.944603,4.261049,4.411004,4.663725,4.965779,4.9397470000000006,5.393102,5.722033000000001,6.007073,6.218854,6.420195,6.625603,6.341173,6.640531,7.01987,7.3961820000000005,7.975147,8.108025,8.450447,8.154613000000001,7.8491029999999995,6.882388000000001,6.818264
35-2801977,,0,0.37817,0.6241439999999999,1.082174,1.381153,1.717357,2.03552,2.327084,2.7891779999999997,3.000449,3.5364430000000002,3.673804,3.9200019999999998,4.236447,4.3864019999999995,4.639124,4.941177,4.915146,5.368501,5.697431,5.982471,6.194252,6.395593,6.600001,6.316572,6.6159289999999995,6.995267999999999,7.371581,7.950545,8.083423,8.422845,8.130011,7.824501,6.857786,6.7936630000000005
36-2805598,,,0,0.245973,0.704004,1.002982,1.3391870000000001,1.6573490000000002,1.9489130000000001,2.411007,2.644277,3.180271,3.317632,3.5638300000000003,3.880275,4.03023,4.282952,4.585005000000001,4.558974,5.012329,5.34126,5.6262989999999995,5.838081,6.039421,6.243829,5.9604,6.259757,6.6390970000000005,7.015409,7.594374,7.7262509999999995,8.067673,7.773839,7.468329,6.501614,6.4374910000000005
37-2802051,,,,0,0.459031,0.758009,1.094214,1.412377,1.7039400000000002,2.166035,2.5333040000000002,3.069298,3.206659,3.416857,3.7333019999999997,3.919257,4.135979,4.438032,4.4480010000000005,4.901356,5.230287000000001,5.515326,5.727108,5.928448,6.133856,5.813427,6.1127839999999996,6.492124,6.868436,7.447400999999999,7.580278,7.9197,7.662866,7.357355999999999,6.3906410000000005,6.326518
38-2802067,,,,,0,0.298979,0.635184,0.9533459999999999,1.24491,1.7070040000000002,2.074274,2.610268,2.747629,2.957827,3.2742720000000003,3.4602269999999997,3.6769489999999996,3.9790019999999995,3.988971,4.442326,4.771256,5.056296,5.268077,5.469418,5.674826,5.3543970000000005,5.653754,6.033093,6.409406,6.98837,7.121248,7.46267,7.203836,6.898325999999999,5.931611,5.867488
39-2802056,,,,,,0,0.33620500000000003,0.654367,0.945931,1.408025,1.775295,2.311289,2.44865,2.658848,2.975293,3.161248,3.37797,3.6800230000000003,3.6899919999999997,4.143347,4.472277,4.757317,4.969098000000001,5.170439,5.375847,5.055418,5.354775,5.734114,6.110427,6.6893910000000005,6.823269,7.163691,6.904857000000001,6.599347,5.632632,5.568509
40-2802050,,,,,,,0,0.31816300000000003,0.609727,1.071821,1.439091,1.9750849999999998,2.112446,2.322644,2.639089,2.8250439999999997,3.0417650000000003,3.3438190000000003,3.3537879999999998,3.807143,4.1360730000000006,4.421113,4.632894,4.834235,5.039643,4.719214,5.018571,5.3979099999999995,5.774223,6.353187,6.486065,6.827487,6.568653,6.263143,5.296428,5.232305
41-2802042,,,,,,,,0,0.293564,0.7556579999999999,1.1229280000000001,1.658922,1.796283,2.042481,2.358926,2.508881,2.761603,3.063656,3.037625,3.4909800000000004,3.8199099999999997,4.10495,4.316731,4.518072,4.72348,4.439051,4.738408,5.1177470000000005,5.49406,6.073024,6.203901999999999,6.546323999999999,6.25249,5.94698,4.980265,4.916142
42-2802029,,,,,,,,,0,0.46409399999999995,0.831364,1.367358,1.5047190000000001,1.7509169999999998,2.0673619999999997,2.217317,2.470039,2.772092,2.746061,3.199416,3.528346,3.813386,4.025167,4.226508,4.430916000000001,4.147487,4.4468440000000005,4.826183,5.202496,5.78146,5.914338,6.2557599999999995,5.960926000000001,5.655416000000001,4.688701,4.624578
43-2802013,,,,,,,,,,0,0.36727,0.903264,1.040625,1.286823,1.6032680000000001,1.753223,2.005945,2.307998,2.281967,2.735322,3.064252,3.3492919999999997,3.5610730000000004,3.762414,3.967822,3.683393,3.98275,4.362089,4.738402,5.317366000000001,5.449244,5.791666,5.496832,5.191322,4.224607,4.160483999999999
