순번_정류장ID,1-2801959,2-2801976,3-2801880,4-2802005,5-2802034,6-2802069,7-2802107,8-2802131,9-2802148,10-2802156,11-2802151,12-2802140,13-2802118,14-2802104,15-2802090,16-2802111,17-2801845,18-2801849,19-2802138,20-2801846,21-2802103,22-2802052,23-2805597,24-2801952,25-2801176
1-2801959,0,0.268998,0.5297689999999999,0.726641,1.383462,1.7046729999999999,1.841272,2.1020659999999998,2.4824900000000003,2.868441,2.555936,2.37838,2.034928,2.103112,2.342724,2.999788,3.345051,3.6815059999999997,4.199084,4.757962,4.678408,4.613673,4.802887,5.018237999999999,5.598668
2-2801976,,0,0.26077100000000003,0.457643,1.114464,1.435675,1.572274,1.833068,2.213492,2.599443,2.286938,2.109382,1.76593,1.834114,2.0737259999999997,2.7307900000000003,3.076053,3.4125080000000003,3.930086,4.488964,4.40941,4.344675,4.533889,4.74924,5.32967
3-2801880,,,0,0.21787199999999998,0.874693,1.195905,1.3325040000000001,1.593297,1.9737220000000002,2.359672,2.047168,1.8696110000000001,1.526159,1.594343,1.833955,2.4910189999999997,2.836282,3.1727380000000003,3.690316,4.249193,4.169639,4.1049050000000005,4.294118,4.509469,5.089899
4-2802005,,,,0,0.657821,0.979032,1.307631,1.568425,1.948849,2.3348,2.022295,1.844739,1.501287,1.5694709999999998,1.617083,2.274147,2.61941,2.955866,3.473443,4.032321,3.9527669999999997,3.888032,4.077246,4.292597,4.8730269999999996
5-2802034,,,,,0,0.321212,0.6498109999999999,0.9106040000000001,1.291029,1.676979,1.364475,1.1869180000000001,0.8434659999999999,0.91165,0.9592620000000001,1.616326,1.961589,2.298045,2.815623,3.3745010000000004,3.603326,3.5385910000000003,3.7278050000000005,3.9431550000000004,4.523585
6-2802069,,,,,,0,0.334599,0.5953930000000001,0.975817,1.361768,1.0492629999999998,0.871707,0.528255,0.596439,0.8508530000000001,1.507917,1.8531799999999998,2.189636,2.707214,3.266091,3.5202660000000003,3.859803,4.049016,4.264367,4.844797
7-2802107,,,,,,,0,0.260794,0.6412180000000001,1.027169,0.7146640000000001,0.551108,0.42965600000000004,0.49783999999999995,1.003452,1.6605159999999999,2.005779,2.342235,2.859813,3.4186900000000002,3.6728650000000003,4.103401,4.328615,4.543966,5.124396
8-2802131,,,,,,,,0,0.381425,0.767375,0.454871,0.32509899999999997,0.553138,0.744634,1.250245,1.9073099999999998,2.2525720000000002,2.589028,3.106606,3.6654839999999997,3.919658,4.350194999999999,4.575409,4.79076,5.371189
9-2802148,,,,,,,,,0,0.568387,0.25588299999999997,0.5681109999999999,0.9115629999999999,1.103058,1.60867,2.265734,2.6109970000000002,2.947453,3.4650309999999998,4.0239080000000005,4.2780830000000005,4.70862,4.933833,5.149184,5.729614
10-2802156,,,,,,,,,,0,0.31250500000000003,0.954061,1.054176,1.1569909999999999,1.298283,1.9553470000000002,2.30061,2.637066,3.154644,3.713521,3.967696,4.398233,4.6234459999999995,4.8387970000000005,5.419226999999999
11-2802151,,,,,,,,,,,0,0.641556,0.985009,1.176504,1.6107879999999999,2.267852,2.613115,2.94957,3.4671480000000003,4.026026,4.2802,4.710737,4.935951,5.151301999999999,5.731732
12-2802140,,,,,,,,,,,,0,0.343452,0.534948,1.04056,1.6976240000000002,2.042887,2.379342,2.89692,3.455798,3.709972,4.140509,4.365723,4.581074,5.161503
13-2802118,,,,,,,,,,,,,0,0.191496,0.697108,1.354172,1.6994340000000001,2.03589,2.553468,3.112346,3.3665199999999995,3.797057,4.022271,4.237622,4.8180510000000005
14-2802104,,,,,,,,,,,,,,0,0.505612,1.162676,1.507939,1.844395,2.361972,2.92085,3.175024,3.6055610000000002,3.830775,4.046126,4.626556
15-2802090,,,,,,,,,,,,,,,0,0.657065,1.002327,1.338783,1.8563610000000001,2.415239,2.678413,3.10895,3.4321639999999998,3.877418,4.457847
16-2802111,,,,,,,,,,,,,,,,0,0.348263,0.684719,1.202297,1.7611740000000002,2.024349,2.454886,2.778099,3.29645,3.8768800000000003
17-2801845,,,,,,,,,,,,,,,,,0,0.338456,0.856034,1.4149120000000002,1.678086,2.108623,2.431837,2.950187,3.530617
18-2801849,,,,,,,,,,,,,,,,,,0,0.518578,1.077456,1.37463,1.850167,2.173381,2.9122,3.49263
19-2802138,,,,,,,,,,,,,,,,,,,0,0.558878,0.856052,1.330589,1.653803,2.4031540000000002,3.001584
20-2801846,,,,,,,,,,,,,,,,,,,,0,0.297175,0.7717109999999999,1.094925,1.8442759999999998,2.4427060000000003
21-2802103,,,,,,,,,,,,,,,,,,,,,0,0.475537,0.798751,1.548102,2.146532
22-2802052,,,,,,,,,,,,,,,,,,,,,,0,0.323214,1.072565,1.670995
23-2805597,,,,,,,,,,,,,,,,,,,,,,,0,0.749351,1.347781
24-2801952,,,,,,,,,,,,,,,,,,,,,,,,0,0.59843
25-2801176,,,,,,,,,,,,,,,,,,,,,,,,,0
