순번_정류장ID,1-2805404,2-2801355,3-2805017,4-2801153,5-2801147,6-2801142,7-2801136,8-2801149,9-2801324,10-2801332,11-2801379,12-2801433,13-2801451,14-2801474,15-2801464,16-2801178,17-2801179,18-2801439,19-2801500,20-2801541,21-2801577,22-2801621,23-2801192
1-2805404,0,0.21253200000000003,0.403048,1.072433,1.309862,1.4535879999999999,1.8455150000000002,1.6280649999999999,1.283561,1.307233,1.671028,2.1832119999999997,2.395984,2.689439,2.9374540000000002,3.107425,3.6915989999999996,3.9866099999999998,4.610136,4.985166,5.251425,5.853271,5.906124
2-2801355,,0,0.20415,0.873534,1.1109639999999998,1.254689,1.6466169999999998,1.429166,1.084663,1.108335,1.47213,1.984314,2.197086,2.490541,2.738556,2.908527,3.4927010000000003,3.7877120000000004,4.411237,4.786268,5.0525269999999995,5.6543730000000005,5.707226
3-2805017,,,0,0.669385,0.9068139999999999,1.05054,1.442467,1.327747,0.983243,1.006915,1.37071,1.8828939999999998,2.094666,2.388121,2.636136,2.807107,3.3912809999999998,3.686292,4.309818,4.684848000000001,4.951107,5.552953,5.605805999999999
4-2801153,,,,0,0.23743000000000003,0.381155,0.773083,1.068869,1.4123729999999999,1.5658,1.9295950000000002,2.441779,2.6535509999999998,2.947007,3.1950220000000003,3.365993,3.950167,4.245177,4.868703,5.243733,5.509993,6.111839,6.164692
5-2801147,,,,,0,0.143726,0.5356529999999999,0.83144,1.174943,1.328371,1.691166,2.20335,2.417122,2.7105770000000002,2.958592,3.128563,3.712737,4.007748,4.6312739999999994,5.006304,5.272563,5.874409,5.927262000000001
6-2801142,,,,,,0,0.391928,0.687714,1.031218,1.1846459999999999,1.547441,2.0606240000000002,2.273396,2.565852,2.8138669999999997,2.984838,3.5690120000000003,3.8640230000000004,4.487548,4.862579,5.128838,5.730683999999999,5.783537
7-2801136,,,,,,,0,0.29578699999999997,0.6392909999999999,0.792718,1.155513,1.6676970000000002,1.880469,2.173925,2.421939,2.59291,3.177084,3.4720949999999995,4.0956209999999995,4.470651,4.73691,5.338757,5.3906089999999995
8-2801149,,,,,,,,0,0.344504,0.497931,0.860726,1.37291,1.585682,1.8791380000000002,2.127153,2.298124,2.882298,3.177308,3.8008339999999996,4.175864,4.442124,5.04397,5.0968230000000005
9-2801324,,,,,,,,,0,0.153428,0.516223,1.028407,1.241179,1.534634,1.7826490000000002,1.9536200000000001,2.537794,2.832805,3.4563300000000003,3.8313610000000002,4.09762,4.699466,4.752319
10-2801332,,,,,,,,,,0,0.362795,0.8749790000000001,1.087751,1.381206,1.6292209999999998,1.9772919999999998,2.561466,2.856477,3.480002,3.855033,4.1212919999999995,4.723138,4.774991
11-2801379,,,,,,,,,,,0,0.512184,0.724956,1.018412,1.266427,1.676398,2.2605720000000002,2.555582,3.1791080000000003,3.5541379999999996,3.8203980000000004,4.422244,4.474097
12-2801433,,,,,,,,,,,,0,0.212772,0.506228,0.754243,1.1642139999999999,1.748388,2.043398,2.6669240000000003,3.041954,3.308214,3.9100599999999996,3.962913
13-2801451,,,,,,,,,,,,,0,0.293456,0.541471,0.951442,1.535616,1.8306259999999999,2.454152,2.829182,3.095442,3.697288,3.7491410000000003
14-2801474,,,,,,,,,,,,,,0,0.248015,0.658986,1.24316,1.538171,2.161696,2.536727,2.802986,3.404832,3.456685
15-2801464,,,,,,,,,,,,,,,0,0.41097100000000003,0.9951450000000001,1.2901559999999999,1.9136819999999999,2.288712,2.554971,3.156818,3.20967
16-2801178,,,,,,,,,,,,,,,,0,0.584174,0.879185,1.50271,1.8777409999999999,2.144,2.745846,2.798699
17-2801179,,,,,,,,,,,,,,,,,0,0.295011,0.918537,1.293567,1.559826,2.1616720000000003,2.213525
18-2801439,,,,,,,,,,,,,,,,,,0,0.623526,0.9985569999999999,1.264816,1.8666619999999998,1.919515
19-2801500,,,,,,,,,,,,,,,,,,,0,0.374031,0.6402899999999999,1.2421360000000001,1.2939889999999998
20-2801541,,,,,,,,,,,,,,,,,,,,0,0.26626,0.8681059999999999,1.059959
21-2801577,,,,,,,,,,,,,,,,,,,,,0,0.602846,0.7946989999999999
22-2801621,,,,,,,,,,,,,,,,,,,,,,0,0.404971
23-2801192,,,,,,,,,,,,,,,,,,,,,,,0
