순번_정류장ID,1-2805404,2-2801355,3-2805017,4-2801153,5-2801147,6-2801142,7-2801135,8-2801131,9-2801120,10-2801105,11-2801096,12-2801089,13-2801092,14-2801109,15-2801123,16-2801129,17-2806922,18-2801115,19-2801098,20-2801049,21-2801039,22-2801018,23-2801004,24-2800976,25-2800968,26-2800965,27-2800843,28-2800842,29-2800989,30-2800979,31-2800990,32-2801012,33-2801023,34-2801031,35-2801034,36-2800844,37-2800890,38-2801047
1-2805404,0,0.21253200000000003,0.403048,1.072433,1.309862,1.4535879999999999,1.8816240000000002,2.096807,2.444162,2.499699,2.9001490000000003,3.0757830000000004,3.083796,2.957201,2.835387,2.780605,3.0009900000000003,3.3656080000000004,3.484487,4.033834,4.253865,4.577314,4.841538,5.152956,5.354831,5.571539,5.748786,5.63675,5.460572,5.851573,5.721411,5.4290449999999995,5.189495,5.022958999999999,5.129072,5.433919,5.263567,5.153586
2-2801355,,0,0.20415,0.873534,1.1109639999999998,1.254689,1.682725,1.8979080000000002,2.245264,2.300801,2.7012509999999996,2.8768849999999997,2.884897,2.7583029999999997,2.636489,2.581706,2.802091,3.1667099999999997,3.285589,3.8349349999999998,4.0549669999999995,4.3784160000000005,4.64264,4.954057,5.155933,5.372641000000001,5.549888,5.436852,5.261673,5.652674,5.522513,5.2301470000000005,4.990596,4.824061,4.930174,5.235021,5.063669,4.953688
3-2805017,,,0,0.669385,0.9068139999999999,1.05054,1.4785760000000001,1.693759,2.041114,2.096651,2.497101,2.672735,2.680748,2.554153,2.450339,2.395557,2.615942,2.9805599999999997,3.081439,3.630786,3.8508169999999997,4.174266,4.43849,4.7499080000000005,4.951783,5.168492,5.345738,5.232702,5.056524,5.448525,5.318363,5.025997,4.786447,4.619911,4.726024,5.030871,4.859519000000001,4.750538
4-2801153,,,,0,0.23743000000000003,0.381155,0.809191,1.024374,1.3717290000000002,1.486266,1.886716,2.06235,2.070363,1.884768,1.8905470000000002,2.090172,2.311557,2.3803259999999997,2.414447,3.0204009999999997,3.2404319999999998,3.563881,3.8281050000000003,4.1395230000000005,4.341399,4.558107,4.735354,4.622317,4.446139,4.83814,4.707979,4.415612,4.176062,4.009526,4.11564,4.361486,4.191134,4.080153
5-2801147,,,,,0,0.143726,0.571762,0.786945,1.1343,1.248837,1.649287,1.824921,1.832934,1.6473389999999999,1.6531169999999997,1.853743,2.073128,2.142897,2.1770169999999998,2.782972,3.003003,3.3264519999999997,3.590676,3.9020940000000004,4.103969,4.320677,4.497923999999999,4.384888,4.20871,4.600711,4.470549,4.178183,3.9386330000000003,3.772097,3.8782099999999997,4.124057,3.9527050000000004,3.843724
6-2801142,,,,,,0,0.42803599999999997,0.643219,0.990574,1.105111,1.5055610000000001,1.681196,1.6892080000000003,1.503614,1.509392,1.710017,1.930402,1.9991709999999998,2.033292,2.639246,2.8592779999999998,3.182727,3.4469510000000003,3.758368,3.9602440000000003,4.176952,4.3541989999999995,4.241162,4.064984,4.4569849999999995,4.326824,4.034458,3.794907,3.628372,3.734485,3.981332,3.8099800000000004,3.6999989999999996
7-2801135,,,,,,,0,0.21518299999999999,0.562538,0.790075,1.190525,1.3661590000000001,1.332172,1.075577,1.081356,1.281981,1.502366,1.571135,1.605256,2.28221,2.502241,2.8256900000000003,3.089914,3.401332,3.603208,3.8199160000000005,3.9971629999999996,3.828126,3.6529480000000003,4.042949,3.912788,3.621421,3.380871,3.2143349999999997,3.321449,3.5522949999999995,3.381943,3.270962
8-2801131,,,,,,,,0,0.347355,0.574892,0.975342,1.1509770000000001,1.116989,0.860395,0.866173,1.066798,1.286183,1.355952,1.390073,2.067027,2.287058,2.610507,2.874731,3.1861490000000003,3.388025,3.604733,3.7819800000000003,3.612943,3.4367650000000003,3.8277660000000004,3.698605,3.4062379999999997,3.1656880000000003,2.999152,3.105266,3.338112,3.1657599999999997,3.05578
9-2801120,,,,,,,,,0,0.233537,0.633987,0.809621,0.817634,0.7939970000000001,0.799775,0.9994,1.2197850000000001,1.289554,1.218326,1.7676720000000001,1.9877029999999998,2.311152,2.575376,2.886794,3.08867,3.3053779999999997,3.482624,3.3705879999999997,3.19441,3.585411,3.45525,3.1628830000000003,2.923333,2.756797,2.86291,3.2642860000000002,3.100363,2.990382
10-2801105,,,,,,,,,,0,0.40245,0.5780850000000001,0.754128,0.7744979999999999,1.027312,1.2269370000000002,1.447322,1.455091,1.1548200000000002,1.704166,1.9241979999999999,2.247647,2.5118709999999997,2.8232880000000002,3.0251639999999997,3.2418720000000003,3.4191190000000002,3.306082,3.1299040000000002,3.5219050000000003,3.391744,3.099377,2.859827,2.693292,2.799405,3.20078,3.1828990000000004,3.0729189999999997
