순번_정류장ID,1-2801174,2-2801729,3-2801714,4-2801712,5-2801701,6-2805300,7-2801168,8-2801686,9-2801182,10-2801679,11-2801662,12-2801655,13-2801660,14-2801669,15-2801633,16-2801192,17-2801636,18-2801601,19-2801541,20-2801577,21-2801607
1-2801174,0,0.244313,0.603436,0.720461,1.00575,1.129911,1.274275,1.5349629999999999,1.7342349999999997,1.9167990000000001,2.241688,2.287645,1.9470869999999998,1.6446049999999999,2.013085,1.9493770000000001,1.8879,2.183154,2.615453,2.4711939999999997,2.149769
2-2801729,,0,0.359123,0.476149,0.761437,0.885598,1.029962,1.29065,1.489922,1.6724860000000001,1.997375,2.043332,1.7027740000000002,1.400292,1.768773,1.705064,1.643587,1.938841,2.37014,2.226881,1.905456
3-2801714,,,0,0.117026,0.403314,0.527475,0.6718390000000001,0.932528,1.131799,1.314363,1.6392520000000002,1.830209,1.489651,1.1871690000000001,1.55565,1.616941,1.555464,1.850718,2.2820169999999997,2.138758,1.817333
4-2801712,,,,0,0.28628899999999996,0.41044899999999995,0.554813,0.8155020000000001,1.014773,1.197337,1.522227,1.713184,1.372625,1.070144,1.438624,1.6870330000000002,1.6724900000000003,1.967744,2.333992,2.068732,1.899641
5-2801701,,,,,0,0.124161,0.268525,0.529213,0.728485,0.911049,1.235938,1.426895,1.086337,0.783855,1.152335,1.4007450000000001,1.75815,2.053404,2.047703,1.782444,1.613353
6-2805300,,,,,,0,0.14436400000000002,0.405053,0.604324,0.786888,1.111777,1.302734,0.962176,0.659695,1.028175,1.276584,1.63399,1.929243,1.923543,1.6582830000000002,1.489192
7-2801168,,,,,,,0,0.260689,0.45996000000000004,0.642524,0.967413,1.1583700000000001,0.817812,0.5153310000000001,0.883811,1.13222,1.489625,1.784879,1.779178,1.513919,1.3448280000000001
8-2801686,,,,,,,,0,0.199271,0.381835,0.709725,0.935264,0.755179,0.452697,0.821177,1.069587,1.426992,1.722245,1.716545,1.451285,1.282194
9-2801182,,,,,,,,,0,0.182564,0.510454,0.735992,0.95445,0.651968,1.020448,1.268858,1.626263,1.921517,1.915816,1.650557,1.481466
10-2801679,,,,,,,,,,0,0.32789,0.5534279999999999,0.8939870000000001,0.8345319999999999,1.203012,1.451422,1.808827,2.1040810000000003,2.09838,1.833121,1.66403
11-2801662,,,,,,,,,,,0,0.232539,0.5730970000000001,0.8755790000000001,1.527902,1.776311,2.133717,2.42897,2.42327,2.15801,1.9889189999999999
12-2801655,,,,,,,,,,,,0,0.340559,0.64304,1.300859,1.549268,1.9066740000000002,2.201927,2.196227,1.9309669999999999,1.7618759999999998
13-2801660,,,,,,,,,,,,,0,0.30248200000000003,0.9603010000000001,1.20871,1.566115,1.8613689999999998,1.855668,1.590409,1.421318
14-2801669,,,,,,,,,,,,,,0,0.6578189999999999,0.906228,1.263634,1.5588870000000001,1.553187,1.287927,1.1188360000000002
15-2801633,,,,,,,,,,,,,,,0,0.24841,0.606815,0.902069,1.023667,0.758408,0.589316
16-2801192,,,,,,,,,,,,,,,,0,0.358406,0.653659,1.059959,0.7946989999999999,0.473275
17-2801636,,,,,,,,,,,,,,,,,0,0.295254,0.726553,0.6237779999999999,0.46079799999999993
18-2801601,,,,,,,,,,,,,,,,,,0,0.4323,0.329525,0.649949
19-2801541,,,,,,,,,,,,,,,,,,,0,0.26626,0.586684
20-2801577,,,,,,,,,,,,,,,,,,,,0,0.321425
21-2801607,,,,,,,,,,,,,,,,,,,,,0
