순번_정류장ID,23-2801576,24-2801533,25-2801518,26-2801490,27-2801458,28-2801434,29-2801399,30-2801370,31-2801341,32-2801316,33-2801291,34-2801272,35-2801263,36-2801257,37-2801255,38-2801250,39-2801248,40-2801246,41-2801245,42-2801244,43-2805070
23-2801576,0,0.245961,0.37485799999999997,0.565499,0.8864850000000001,1.124539,1.398211,1.6877369999999998,1.946477,2.26686,2.569458,2.906596,3.067552,3.305329,3.616507,3.927803,4.202984,4.296566,4.430806,4.479972,4.24655
24-2801533,,0,0.135897,0.326538,0.647524,0.8855780000000001,1.159249,1.448776,1.707516,2.027899,2.3304970000000003,2.6676349999999998,2.828591,3.0663669999999996,3.3775459999999997,3.6888419999999997,3.964022,4.057604,4.191845,4.241011,4.007589
25-2801518,,,0,0.190641,0.511627,0.749681,1.023352,1.3128790000000001,1.571619,1.892002,2.194599,2.5317380000000003,2.692694,2.93047,3.2416490000000002,3.552945,3.828125,3.921707,4.055948,4.114114,3.880692
26-2801490,,,,0,0.320986,0.55904,0.8327120000000001,1.1222379999999998,1.380978,1.7013610000000001,2.003959,2.341097,2.502053,2.73983,3.0510080000000004,3.362304,3.637485,3.731067,3.865307,3.9234730000000004,3.6900510000000004
27-2801458,,,,,0,0.238054,0.511726,0.801253,1.059992,1.380375,1.682973,2.0201119999999997,2.1810669999999996,2.418844,2.730023,3.041318,3.316499,3.410081,3.544321,3.6024870000000004,3.369065
28-2801434,,,,,,0,0.27367199999999997,0.563199,0.821938,1.142321,1.444919,1.7820580000000001,1.943014,2.18079,2.4919689999999997,2.803264,3.078445,3.172027,3.306268,3.364433,3.131011
29-2801399,,,,,,,0,0.289527,0.548266,0.86865,1.171247,1.508386,1.6693419999999999,1.907118,2.218297,2.5295919999999996,2.804773,2.898355,3.032596,3.106761,2.8733400000000002
30-2801370,,,,,,,,0,0.25874,0.5791229999999999,0.8817209999999999,1.218859,1.379815,1.617592,1.92877,2.240066,2.515247,2.608828,2.7430689999999998,2.8172349999999997,2.583813
31-2801341,,,,,,,,,0,0.320383,0.622981,0.9601200000000001,1.121076,1.358852,1.670031,1.981326,2.256507,2.350089,2.48433,2.7394950000000002,2.600073
32-2801316,,,,,,,,,,0,0.302598,0.639737,0.800693,1.038469,1.349648,1.660943,1.9361240000000002,2.029706,2.1639459999999997,2.4191119999999997,2.2806900000000003
33-2801291,,,,,,,,,,,0,0.33713899999999997,0.49809499999999995,0.735871,1.04705,1.3583450000000001,1.633526,1.727108,1.8613490000000001,2.116514,2.115064
34-2801272,,,,,,,,,,,,0,0.160956,0.398733,0.709911,1.021207,1.2963870000000002,1.389969,1.52421,1.7793759999999998,2.012797
35-2801263,,,,,,,,,,,,,0,0.237777,0.548955,0.860251,1.135432,1.229013,1.3632540000000002,1.61842,1.8518419999999998
36-2801257,,,,,,,,,,,,,,0,0.311179,0.622474,0.897655,0.991237,1.125478,1.380643,1.6140649999999999
37-2801255,,,,,,,,,,,,,,,0,0.311296,0.586476,0.6800579999999999,0.814299,1.0694649999999999,1.302886
38-2801250,,,,,,,,,,,,,,,,0,0.275181,0.368763,0.503004,0.758169,0.991591
39-2801248,,,,,,,,,,,,,,,,,0,0.093582,0.227823,0.48298800000000003,0.71641
40-2801246,,,,,,,,,,,,,,,,,,0,0.135241,0.390406,0.6238279999999999
41-2801245,,,,,,,,,,,,,,,,,,,0,0.255166,0.488588
42-2801244,,,,,,,,,,,,,,,,,,,,0,0.233422
43-2805070,,,,,,,,,,,,,,,,,,,,,0
