순번_정류장ID,34-2801636,35-2801601,36-2801533,37-2801518,38-2801490,39-2801458,40-2801434,41-2801399,42-2801370,43-2801341,44-2801316,45-2801291,46-2801272,47-2801264,48-2801097,49-2801068,50-2801055,51-2801060,52-2801069,53-2801062,54-2800856,55-2801051,56-2801032,57-2801010
34-2801636,0,0.295254,0.702526,0.8314229999999999,1.022063,1.343049,1.5811030000000001,1.854775,2.144302,2.403041,2.723424,3.026022,3.363161,3.515086,4.0612379999999995,4.3689,4.655853,4.481103,4.530851999999999,4.712373,4.8963,5.0856650000000005,5.437553,5.773373
35-2801601,,0,0.40827199999999997,0.537169,0.7278100000000001,1.0487959999999998,1.28685,1.5605209999999998,1.850048,2.108787,2.4291709999999997,2.731768,3.068907,3.220832,3.7669839999999994,4.074647,4.3616,4.186849,4.236598000000001,4.41812,4.602047,4.791412,5.1433,5.479119
36-2801533,,,0,0.135897,0.326538,0.647524,0.8855780000000001,1.159249,1.448776,1.707516,2.027899,2.3304970000000003,2.6676349999999998,2.81956,3.3657120000000003,3.673375,3.960328,3.7855779999999997,3.8353260000000002,4.016848,4.200775,4.39014,4.7420279999999995,5.077848
37-2801518,,,,0,0.190641,0.511627,0.749681,1.023352,1.3128790000000001,1.571619,1.892002,2.194599,2.5317380000000003,2.683663,3.2298150000000003,3.5374779999999997,3.8244309999999997,3.6496809999999997,3.6994290000000003,3.880951,4.064878,4.254243,4.6061309999999995,4.941951
38-2801490,,,,,0,0.320986,0.55904,0.8327120000000001,1.1222379999999998,1.380978,1.7013610000000001,2.003959,2.341097,2.4930220000000003,3.039174,3.3468370000000003,3.6337900000000003,3.4590400000000003,3.508789,3.6903099999999998,3.8742370000000004,4.0636019999999995,4.41549,4.75131
39-2801458,,,,,,0,0.238054,0.511726,0.801253,1.059992,1.380375,1.682973,2.0201119999999997,2.172037,2.7181889999999997,3.025851,3.3128040000000003,3.138054,3.1878029999999997,3.3693239999999998,3.5532510000000004,3.7426160000000004,4.094504,4.430324
40-2801434,,,,,,,0,0.27367199999999997,0.563199,0.821938,1.142321,1.444919,1.7820580000000001,1.9339830000000002,2.4801349999999998,2.7877970000000003,3.07475,2.9,2.949749,3.13127,3.3151980000000005,3.5045620000000004,3.85645,4.19227
41-2801399,,,,,,,,0,0.289527,0.548266,0.86865,1.171247,1.508386,1.660311,2.2064630000000003,2.5141259999999996,2.801078,2.626328,2.6760770000000003,2.857599,3.0415259999999997,3.230891,3.582779,3.9185980000000002
42-2801370,,,,,,,,,0,0.25874,0.5791229999999999,0.8817209999999999,1.218859,1.370784,1.916936,2.224599,2.511552,2.336802,2.38655,2.568072,2.751999,2.941364,3.293252,3.6290720000000003
43-2801341,,,,,,,,,,0,0.320383,0.622981,0.9601200000000001,1.1120450000000002,1.6581970000000001,1.965859,2.252812,2.078062,2.127811,2.309333,2.49326,2.682624,3.034513,3.370332
44-2801316,,,,,,,,,,,0,0.302598,0.639737,0.791662,1.3378139999999998,1.645476,1.9324290000000002,1.757679,1.8074279999999998,1.988949,2.172876,2.362241,2.7141290000000002,3.0499490000000002
45-2801291,,,,,,,,,,,,0,0.33713899999999997,0.48906400000000005,1.035216,1.3428790000000002,1.629831,1.4550809999999998,1.50483,1.686352,1.870279,2.059643,2.411532,2.7473509999999997
46-2801272,,,,,,,,,,,,,0,0.151925,0.6980770000000001,1.0057399999999999,1.292693,1.1179430000000001,1.167691,1.349213,1.53314,1.722505,2.074393,2.410213
47-2801264,,,,,,,,,,,,,,0,0.5471520000000001,0.854815,1.1417680000000001,0.967018,1.044766,1.2262879999999998,1.408215,1.59758,1.949468,2.285288
48-2801097,,,,,,,,,,,,,,,0,0.308663,0.595616,0.42086599999999996,0.49861400000000006,0.680136,0.908063,1.097428,1.449316,1.7801360000000002
49-2801068,,,,,,,,,,,,,,,,0,0.318319,0.493069,0.63968,0.8212020000000001,1.049129,1.238494,1.445619,1.710473
50-2801055,,,,,,,,,,,,,,,,,0,0.17475,0.596633,0.778155,1.006082,1.195446,1.1273,1.3921540000000001
51-2801060,,,,,,,,,,,,,,,,,,0,0.421883,0.603404,0.831332,1.0206959999999998,1.134416,1.39927
52-2801069,,,,,,,,,,,,,,,,,,,0,0.181522,0.41044899999999995,0.599813,0.951702,1.287521
53-2801062,,,,,,,,,,,,,,,,,,,,0,0.228927,0.418292,0.77018,1.1059999999999999
54-2800856,,,,,,,,,,,,,,,,,,,,,0,0.189365,0.541253,0.877073
55-2801051,,,,,,,,,,,,,,,,,,,,,,0,0.35188800000000003,0.687708
56-2801032,,,,,,,,,,,,,,,,,,,,,,,0,0.33582
57-2801010,,,,,,,,,,,,,,,,,,,,,,,,0
