순번_정류장ID,1-2802961,2-2802973,3-2802967,4-2802963,5-2802956,6-2802984,7-2804818,8-2802964,9-2802971,10-2802975,11-2802981,12-2802624,13-2802636,14-2802955,15-2802945,16-2802936,17-2802918,18-2802892,19-2802866,20-2802839,21-2802845,22-2802861,23-2802872,24-2802881,25-2802885,26-2802851,27-2802823,28-2802783,29-2802757,30-2802733,31-2802706
1-2802961,0,0.352748,0.629587,1.126982,1.4546430000000001,1.933693,1.250451,1.097693,0.5782010000000001,0.347754,0.354572,0.41200200000000003,0.715839,1.3720450000000002,1.490625,1.6190200000000001,1.9788990000000002,2.400785,2.348055,1.9710130000000001,1.8615979999999999,1.579161,1.3476540000000001,1.1651129999999998,1.14265,1.4278309999999999,1.610299,2.039308,2.508143,2.754743,3.172689
2-2802973,,0,0.27684000000000003,0.774234,1.101895,1.580945,0.897703,0.744945,0.22545300000000001,0.190884,0.303935,0.565749,0.8695870000000001,1.525793,1.6443720000000002,1.7727669999999998,2.132647,2.554533,2.700802,2.323761,2.214346,1.931909,1.700402,1.51786,1.496397,1.780578,1.9630470000000002,2.392055,2.8618900000000003,2.91138,3.328326
3-2802967,,,0,0.497395,0.8250559999999999,1.304106,0.6208640000000001,0.468106,0.31640300000000005,0.28183400000000003,0.580774,0.8425879999999999,1.146426,1.802632,1.921212,2.0496060000000003,2.4094860000000002,2.831372,2.978641,2.6016,2.4921849999999997,2.209748,1.978241,1.7957,1.773237,2.058417,2.163886,2.592895,2.99106,3.00333,3.4202760000000003
4-2802963,,,,0,0.32766100000000004,0.806711,0.12346900000000001,0.200711,0.5497810000000001,0.7792279999999999,1.0781690000000002,1.339983,1.643821,2.300027,2.418606,2.547001,2.9068810000000003,3.328767,3.4750360000000002,3.097995,2.98858,2.706143,2.4746360000000003,2.292094,2.269632,2.554812,2.6612810000000002,3.09029,3.488455,3.500725,3.917671
5-2802956,,,,,0,0.47905,0.27970900000000004,0.356951,0.877442,1.106889,1.40583,1.667644,1.971482,2.627688,2.746267,2.874662,3.234542,3.656428,3.802697,3.4256559999999996,3.316241,3.033804,2.8022970000000003,2.619755,2.597293,2.883428,2.9889419999999998,3.4179510000000004,3.8161160000000005,3.828386,4.245332
6-2802984,,,,,,0,0.758758,0.836,1.356492,1.585939,1.8848790000000002,2.1466939999999997,2.4505310000000002,3.106737,3.225317,3.3537120000000002,3.7135910000000005,4.135477,4.2827470000000005,3.905706,3.795291,3.5138529999999997,3.2813470000000002,3.098805,3.076342,3.341478,3.446992,3.8760000000000003,4.274166,4.286435,4.703382
7-2804818,,,,,,,0,0.152758,0.67325,0.902697,1.201637,1.463452,1.7672889999999999,2.423495,2.542075,2.67047,3.030349,3.452235,3.599505,3.221464,3.1120490000000003,2.829611,2.598104,2.415563,2.3941,2.678281,2.78475,3.2137580000000003,3.610923,3.624193,4.04114
8-2802964,,,,,,,,0,0.520492,0.749939,1.0488790000000001,1.310694,1.614531,2.270737,2.3893169999999997,2.517712,2.877591,3.2994769999999995,3.4467470000000002,3.068706,2.959291,2.676853,2.445346,2.2628049999999997,2.2403419999999996,2.5255229999999997,2.631992,3.0610000000000004,3.459165,3.471435,3.888382
9-2802971,,,,,,,,,0,0.23044699999999999,0.529388,0.7912020000000001,1.09504,1.7512459999999999,1.869825,1.99822,2.3581,2.779986,2.9272549999999997,2.550214,2.440799,2.158362,1.926855,1.7433130000000001,1.720851,2.007031,2.1125,2.541509,2.9386740000000002,2.950944,3.36889
10-2802975,,,,,,,,,,0,0.298941,0.560755,0.8645930000000001,1.520799,1.6393779999999998,1.767773,2.127653,2.5495389999999998,2.6968080000000003,2.3197669999999997,2.209352,1.927915,1.6964080000000001,1.512866,1.491403,1.775584,1.959053,2.388061,2.8578959999999998,2.917374,3.3333199999999996
11-2802981,,,,,,,,,,,0,0.261815,0.565652,1.2218579999999999,1.340438,1.468833,1.828712,2.250598,2.674868,2.296826,2.187411,1.9049740000000002,1.6734669999999998,1.490926,1.4684629999999999,1.7536439999999998,1.9361119999999998,2.365121,2.834956,3.081556,3.497502
12-2802624,,,,,,,,,,,,0,0.303838,0.960044,1.0786229999999999,1.207018,1.566898,1.988784,2.4355599999999997,2.070399,1.960984,1.678547,1.4470399999999999,1.264499,1.2420360000000001,1.527217,1.709685,2.1386939999999997,2.608529,2.8551290000000003,3.272075
13-2802636,,,,,,,,,,,,,0,0.6562060000000001,0.774786,0.9031809999999999,1.26306,1.6849459999999998,2.131723,1.820175,1.7107599999999998,1.4283219999999999,1.196815,1.014274,0.9918110000000001,1.276992,1.4594610000000001,1.888469,2.358304,2.604904,3.020851
14-2802955,,,,,,,,,,,,,,0,0.12258,0.250975,0.610854,1.03274,1.479517,1.8154430000000001,1.7060279999999999,1.423591,1.192084,1.009542,0.987079,1.27226,1.4547290000000002,1.883737,2.353572,2.599173,3.0171189999999997
15-2802945,,,,,,,,,,,,,,,0,0.128395,0.488275,0.9101610000000001,1.356937,1.7379779999999998,1.8246069999999999,1.54217,1.310663,1.1281219999999998,1.105659,1.3908399999999999,1.573308,2.0023169999999997,2.471152,2.718752,3.135698
16-2802936,,,,,,,,,,,,,,,,0,0.35988000000000003,0.781766,1.228542,1.609583,1.718998,1.670565,1.439058,1.256517,1.234054,1.519234,1.701703,2.130712,2.5995470000000003,2.847147,3.263093
17-2802918,,,,,,,,,,,,,,,,,0,0.421886,0.868663,1.2497040000000001,1.359119,1.6415560000000002,1.7989380000000001,1.616396,1.593933,1.879114,2.061583,2.4905909999999998,2.960426,3.207027,3.6229730000000004
18-2802892,,,,,,,,,,,,,,,,,,0,0.44677700000000004,0.827818,0.937233,1.21967,1.451177,1.633718,1.8408650000000002,2.011001,2.116515,2.4325229999999998,2.901358,3.094958,3.5119050000000005
19-2802866,,,,,,,,,,,,,,,,,,,0,0.38104099999999996,0.490457,0.772894,1.0044,1.186942,1.394089,1.564224,1.6697380000000002,1.9857470000000002,2.455582,2.648182,3.065128
20-2802839,,,,,,,,,,,,,,,,,,,,0,0.10941500000000001,0.391852,0.623359,0.805901,1.017048,1.3022280000000002,1.465286,1.781295,2.251129,2.44373,2.8606759999999998
21-2802845,,,,,,,,,,,,,,,,,,,,,0,0.282437,0.513944,0.6964859999999999,0.907633,1.192813,1.375282,1.804291,2.273125,2.519726,2.936672
22-2802861,,,,,,,,,,,,,,,,,,,,,,0,0.23150700000000002,0.414049,0.625195,0.9103760000000001,1.092845,1.5218530000000001,1.9916880000000001,2.237288,2.654235
23-2802872,,,,,,,,,,,,,,,,,,,,,,,0,0.182542,0.39368800000000004,0.678869,0.8613379999999999,1.290346,1.759181,2.005782,2.4227279999999998
24-2802881,,,,,,,,,,,,,,,,,,,,,,,,0,0.21114699999999997,0.496328,0.678796,1.107805,1.57664,1.8232400000000002,2.240186
25-2802885,,,,,,,,,,,,,,,,,,,,,,,,,0,0.286181,0.46865,0.897658,1.366493,1.6140940000000001,2.03104
26-2802851,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.182469,0.611478,1.0803120000000002,1.326913,1.743859
27-2802823,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43100900000000003,0.9008430000000001,1.1474440000000001,1.56439
28-2802783,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46883500000000006,0.715435,1.132382
29-2802757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24660100000000001,0.663547
30-2802733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.416947
31-2802706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
