순번_정류장ID,1-2802961,2-2802981,3-2802962,4-2802925,5-2802905,6-2802885,7-2802851,8-2802823,9-2802783,10-2802757,11-2802733,12-2802706,13-2802625
1-2802961,0,0.354572,0.239114,0.531999,0.770894,1.14265,1.4278309999999999,1.610299,2.039308,2.508143,2.754743,3.172689,3.3730050000000005
2-2802981,,0,0.39931500000000003,0.8578120000000001,1.0967069999999999,1.4684629999999999,1.7536439999999998,1.9361119999999998,2.365121,2.834956,3.081556,3.497502,3.698818
3-2802962,,,0,0.45849700000000004,0.697392,1.0701479999999999,1.3543290000000001,1.536797,1.9658060000000002,2.434641,2.681241,3.098187,3.2985029999999997
4-2802925,,,,0,0.238896,0.6106520000000001,0.895832,1.078301,1.50731,1.976144,2.223745,2.640691,2.841007
5-2802905,,,,,0,0.371756,0.656937,0.839405,1.268414,1.7372490000000003,1.984849,2.401795,2.602111
6-2802885,,,,,,0,0.286181,0.46865,0.897658,1.366493,1.6140940000000001,2.03104,2.2313560000000003
7-2802851,,,,,,,0,0.182469,0.611478,1.0803120000000002,1.326913,1.743859,1.944175
8-2802823,,,,,,,,0,0.43100900000000003,0.9008430000000001,1.1474440000000001,1.56439,1.764706
9-2802783,,,,,,,,,0,0.46883500000000006,0.715435,1.132382,1.332698
10-2802757,,,,,,,,,,0,0.24660100000000001,0.663547,0.8638629999999999
11-2802733,,,,,,,,,,,0,0.416947,0.617262
12-2802706,,,,,,,,,,,,0,0.20031600000000002
13-2802625,,,,,,,,,,,,,0
