순번_정류장ID,1-2801454,2-2801467,3-2801481,4-2801497,5-2801507,6-2801536,7-2801561,8-2801608,9-2801648,10-2801184,11-2801665
1-2801454,0,0.116852,0.24439499999999997,0.41211099999999995,0.630621,0.8784649999999999,0.9891040000000001,1.26904,1.577649,2.002816,2.2734
2-2801467,,0,0.12754300000000002,0.295259,0.5137689999999999,0.761613,0.872252,1.152188,1.460797,1.885964,2.156548
3-2801481,,,0,0.167716,0.386225,0.63407,0.7447090000000001,1.024645,1.3332540000000002,1.758421,2.0290049999999997
4-2801497,,,,0,0.21850999999999998,0.466354,0.576994,0.856929,1.165538,1.590705,1.861289
5-2801507,,,,,0,0.24784499999999998,0.358484,0.638419,0.9470290000000001,1.372195,1.64278
6-2801536,,,,,,0,0.11064,0.390575,0.699184,1.124351,1.394935
7-2801561,,,,,,,0,0.280936,0.589545,1.014712,1.285296
8-2801608,,,,,,,,0,0.308609,0.733776,1.004361
9-2801648,,,,,,,,,0,0.425167,0.695751
10-2801184,,,,,,,,,,0,0.27058499999999996
11-2801665,,,,,,,,,,,0
