순번_정류장ID,23-2801383,24-2801347,25-2801319,26-2801291,27-2801272,28-2801263,29-2801257,30-2800834,31-2801059,32-2801051,33-2801032,34-2801010,35-2800977,36-2800972,37-2800963,38-2800938,39-2800932,40-2806921,41-2806896,42-2800875,43-2800826,44-2800919,45-2800914,46-2800911,47-2800904,48-2800889,49-2800888,50-2800905,51-2800910,52-2800915,53-2800918,54-2800874,55-2806571,56-2806920,57-2800928,58-2800933,59-2800939,60-2800956,61-2800966,62-2800979
23-2801383,0,0.29743200000000003,0.654891,1.133918,1.471056,1.632012,1.869789,2.487932,2.911089,3.193561,3.5454489999999996,3.881269,4.237744,4.335736,4.497744,4.7984849999999994,5.111296,5.448580000000001,6.2092540000000005,6.067399,6.071829,6.533131,6.952292,7.117361,7.6491229999999995,8.030497,8.005685,7.625636999999999,7.104155,6.9183330000000005,6.547263,6.068127,6.160327,5.34883,5.010948,4.80994,4.573932,4.465503,4.325932,4.175821
24-2801347,,0,0.357459,0.8364860000000001,1.173625,1.334581,1.572357,2.1905,2.613657,2.896129,3.248018,3.5838370000000004,3.9403129999999997,4.038304,4.200312,4.500053,4.812864,5.150149,5.9108220000000005,5.768968,5.773397,6.2357,6.654861,6.8179289999999995,7.351691000000001,7.734066,7.709254,7.327205,6.806724000000001,6.619902000000001,6.2498309999999995,5.769695,5.861896,5.051398000000001,4.712516,4.511508999999999,4.2755,4.168071,4.0285,3.87839
25-2801319,,,0,0.47902700000000004,0.816166,0.9771209999999999,1.214898,1.833041,2.256198,2.53867,2.890558,3.226378,3.582854,3.6808449999999997,3.842853,4.143594,4.456405,4.79369,5.5543629999999995,5.412509,5.416938,5.878241,6.297402,6.461469999999999,6.994232000000001,7.376606,7.351795,6.970746000000001,6.449264,6.2634419999999995,5.892372,5.413236,5.505436,4.693939,4.356057,4.155049,3.9190410000000004,3.8106120000000003,3.671041,3.5209309999999996
26-2801291,,,,0,0.33713899999999997,0.49809499999999995,0.735871,1.354014,1.7771709999999998,2.059643,2.411532,2.7473509999999997,3.103827,3.201818,3.363826,3.664567,3.976378,4.313663,5.074336,4.933482,4.937911,5.399214,5.817375,5.981443,6.5142050000000005,6.89658,6.870767999999999,6.491719,5.970238,5.784416,5.413345,4.934209,5.02641,4.2139120000000005,3.87603,3.6750230000000004,3.440014,3.331585,3.192014,3.041904
27-2801272,,,,,0,0.160956,0.398733,1.0168760000000001,1.440032,1.722505,2.074393,2.410213,2.7666880000000003,2.86468,3.026688,3.326429,3.63924,3.976524,4.737197,4.595343,4.600773,5.062075,5.481236,5.6453050000000005,6.1780669999999995,6.5594410000000005,6.534629,6.154580999999999,5.634099,5.447277,5.077207,4.596071,4.688271,3.8767739999999997,3.5388919999999997,3.337884,3.101876,2.993447,2.854876,2.704765
28-2801263,,,,,,0,0.237777,0.8559200000000001,1.279076,1.561549,1.9134369999999998,2.249257,2.605732,2.7037240000000002,2.865732,3.165473,3.479284,3.815568,4.577242,4.435387,4.439817,4.9011190000000004,5.32028,5.484349,6.017111,6.398485,6.373673,5.993625,5.472143,5.286321,4.9152510000000005,4.435115000000001,4.527315,3.716818,3.377936,3.177928,2.94092,2.833491,2.69392,2.543809
29-2801257,,,,,,,0,0.618143,1.0413,1.323772,1.675661,2.0114799999999997,2.367956,2.4659470000000003,2.627955,2.928696,3.240507,3.578792,4.338465,4.197611,4.20204,4.663343,5.0835040000000005,5.245572,5.7793339999999995,6.1627089999999995,6.135897,5.756848000000001,5.234367,5.049544999999999,4.678474,4.197337999999999,4.2895389999999995,3.478041,3.140159,2.939152,2.704143,2.5947139999999997,2.456143,2.306033
30-2800834,,,,,,,,0,0.42315699999999995,0.705629,1.057518,1.393337,1.749813,2.097196,2.3238119999999998,2.791553,3.104364,3.441649,4.202322000000001,4.060468,4.064897,4.5272,4.945361,5.109429,5.643191000000001,6.0235650000000005,5.998754,5.619705000000001,5.098224,4.912401999999999,4.541331,4.061195,4.153396,3.3418980000000005,3.004016,2.803009,2.5669999999999997,2.458571,2.319,2.1631110000000002
31-2801059,,,,,,,,,0,0.282473,0.634361,0.9701799999999999,1.326656,1.6740389999999998,1.900655,2.4123959999999998,2.7252080000000003,3.0624919999999998,3.823165,4.030311,4.03474,4.497043,4.9162040000000005,5.080272,5.613034,5.9954089999999995,5.968597,5.589548000000001,5.067067,4.882244999999999,4.511175,4.031038,3.774239,2.962741,2.669827,2.807852,2.572843,2.363414,2.180843,1.739954
32-2801051,,,,,,,,,,0,0.35188800000000003,0.687708,1.044184,1.391567,1.618183,2.1299240000000004,2.442735,2.78002,3.540693,3.747838,3.752268,4.213571,4.632732,4.7968,5.329562,5.710936,5.687125,5.307076,4.784594,4.598772,4.227702,3.7485660000000003,3.491766,2.680269,2.387355,2.582363,2.7073709999999997,2.080942,1.8983709999999998,1.457482
