순번_정류장ID,1-2800878,2-2800839,3-2800981,4-2800973,5-2800961,6-2800957,7-2800953,8-2800950,9-2800945,10-2800954
1-2800878,0,0.23059000000000002,0.5564939999999999,0.86603,1.09359,1.232062,1.115921,0.9348,0.747364,0.413696
2-2800839,,0,0.32590399999999997,0.63544,0.863,1.001472,1.17049,1.16539,0.9779540000000001,0.644285
3-2800981,,,0,0.30953600000000003,0.537097,0.6755680000000001,0.8445860000000001,1.025707,1.213143,0.970189
4-2800973,,,,0,0.227561,0.366032,0.53505,0.71617,0.9036069999999999,1.237275
5-2800961,,,,,0,0.138472,0.30749,0.48861000000000004,0.676046,1.009715
6-2800957,,,,,,0,0.169018,0.350138,0.537575,0.871243
7-2800953,,,,,,,0,0.181121,0.368557,0.702225
8-2800950,,,,,,,,0,0.187436,0.521105
9-2800945,,,,,,,,,0,0.333669
10-2800954,,,,,,,,,,0
