순번_정류장ID,1-2801855,2-2801922,3-2801930,4-2801937,5-2801951,6-2801962,7-2801979,8-2801967,9-2801973,10-2801974,11-2801964,12-2801953,13-2801952,14-2801176
1-2801855,0,0.265162,0.391253,0.634389,0.9065059999999999,1.133586,1.453631,1.5168,1.821131,2.246676,2.598245,3.133527,3.4920970000000002,4.072527
2-2801922,,0,0.12609,0.371226,0.6433439999999999,0.870423,1.190469,1.253638,1.5579690000000002,1.983514,2.335083,2.870364,3.228935,3.809364
3-2801930,,,0,0.24513600000000002,0.517253,0.744333,1.0643790000000002,1.127548,1.4318790000000001,1.857423,2.208993,2.7442740000000003,3.1028439999999997,3.683274
4-2801937,,,,0,0.272117,0.499197,0.819243,0.952926,1.257258,1.6828020000000001,2.0343720000000003,2.5696529999999997,2.928223,3.508653
5-2801951,,,,,0,0.22708000000000003,0.548126,0.798294,1.102626,1.52817,1.8797400000000002,2.415021,2.773591,3.354021
6-2801962,,,,,,0,0.321046,0.5712149999999999,0.8755459999999999,1.301091,1.6526599999999998,2.187941,2.546511,3.126941
7-2801979,,,,,,,0,0.25016900000000003,0.5545,0.980045,1.3316139999999999,1.8668959999999999,2.225466,2.8058959999999997
8-2801967,,,,,,,,0,0.309332,0.734876,1.086446,1.6217270000000001,1.9802970000000002,2.560727
9-2801973,,,,,,,,,0,0.426545,0.7781140000000001,1.313396,1.671966,2.252396
10-2801974,,,,,,,,,,0,0.35157,0.8868510000000001,1.245421,1.825851
11-2801964,,,,,,,,,,,0,0.5352819999999999,0.8938520000000001,1.4742819999999999
12-2801953,,,,,,,,,,,,0,0.36157,0.96
13-2801952,,,,,,,,,,,,,0,0.59843
14-2801176,,,,,,,,,,,,,,0
