순번_정류장ID,1-2805606,2-2805607,3-2805608,4-2805609,5-2805610,6-2805611,7-2805612,8-2805613,9-2805614,10-2805615,11-2800434,12-2800443,13-2800450,14-2804825,15-2800455,16-2800457,17-2805616,18-2805617
1-2805606,0,0.23169,0.45816899999999994,0.984317,1.465905,2.262705,2.493486,2.977204,3.3909230000000004,3.888329,4.793391000000001,5.082545,5.418893,5.612201,5.861177,6.160239,6.597571,7.106628999999999
2-2805607,,0,0.22647899999999999,0.752627,1.234215,2.031015,2.261795,2.745514,3.159233,3.6566389999999998,4.561701,4.850855,5.187203,5.380511,5.629487,5.928548999999999,6.363881,6.872939
3-2805608,,,0,0.526148,1.007736,1.8045360000000001,2.035316,2.519034,2.932754,3.43016,4.335221,4.624375,4.960724,5.154032,5.403007,5.70207,6.139402,6.64646
4-2805609,,,,0,0.481588,1.2783879999999999,1.509168,1.9928869999999999,2.406606,2.904012,3.809074,4.098227,4.434576,4.627884,4.876859,5.175922,5.611254,6.120312
5-2805610,,,,,0,0.7968,1.02758,1.511298,1.9250180000000001,2.4224240000000004,3.327486,3.616639,3.952988,4.1462959999999995,4.395271,4.694334,5.129666,5.638724
6-2805611,,,,,,0,0.230781,0.714499,1.128218,1.625624,2.530686,2.81984,3.156188,3.349496,3.598472,3.897534,4.334866000000001,4.8439239999999995
7-2805612,,,,,,,0,0.48371800000000004,0.897438,1.394844,2.299905,2.589059,2.925408,3.118716,3.367691,3.666754,4.102086,4.611144
8-2805613,,,,,,,,0,0.41372,0.911126,1.816187,2.105341,2.4416900000000004,2.634998,2.883973,3.183035,3.620368,4.127425
9-2805614,,,,,,,,,0,0.497406,1.402468,1.6916220000000002,2.0279700000000003,2.221278,2.470254,2.769316,3.206648,3.7137059999999997
10-2805615,,,,,,,,,,0,0.905062,1.194216,1.530564,1.723872,1.972847,2.2719099999999997,2.7092419999999997,3.2163
11-2800434,,,,,,,,,,,0,0.289154,0.6255029999999999,0.818811,1.0677860000000001,1.366849,1.804181,2.313238
12-2800443,,,,,,,,,,,,0,0.33634899999999995,0.5296569999999999,0.778632,1.077695,1.5130270000000001,2.0220849999999997
13-2800450,,,,,,,,,,,,,0,0.19330799999999998,0.444284,0.743346,1.1806780000000001,1.6897360000000001
14-2804825,,,,,,,,,,,,,,0,0.250975,0.550038,0.9873700000000001,1.496428
15-2800455,,,,,,,,,,,,,,,0,0.299062,0.734395,1.243452
16-2800457,,,,,,,,,,,,,,,,0,0.435332,0.94439
17-2805616,,,,,,,,,,,,,,,,,0,0.514058
18-2805617,,,,,,,,,,,,,,,,,,0
