순번_정류장ID,1-2800717,2-2805253,3-2805251,4-2805249,5-2800563,6-2807520,7-2807504,8-2804433,1-2806577,2-2804034,3-2804035,4-2804039,5-2805298,6-2804496,7-2804523,8-2804508,9-2804520,10-2805723,11-2800053,12-2800024,13-2800451,14-2800454,15-2800309,16-2800494,17-2805303,18-2800512,19-2800566,20-2800596,21-2803049,22-2802654,23-2807098,24-2802671,25-2803042,26-2803043,27-2803123,28-2803137,29-2802629,30-2802709,31-2802748,32-2802728,33-2802094,34-2802129,35-2802831
1-2800717,0,2.7753900000000002,3.239462,3.683179,6.059029,8.376501,18.105425,30.396805999999998,38.911788,38.132622999999995,37.50902,36.903301,33.890777,30.37893,27.057399,26.241190000000003,21.591486,20.274932,18.979744,17.027573999999998,14.017759,13.765882000000001,11.793903,10.972248,9.25468,8.828819000000001,6.730992,4.918265,4.558969,4.648046,4.709256,4.467919,3.9402559999999998,3.916757,4.018883,4.558383,5.201015,5.588469,7.09508,7.932436999999999,9.235938,9.624738,10.150062
2-2805253,,0,0.46407200000000004,0.90879,3.28464,5.602111,15.331036,27.622415999999998,36.175399,35.398233000000005,34.77363,34.162912,31.152387,27.64354,24.318009,23.5028,18.851096,17.534542000000002,16.240354999999997,14.287185000000001,11.280369,11.027492,9.055514,8.235859,6.517291,6.113429,4.209894,3.406167,7.333359,7.422436,7.482646000000001,7.242309,6.714646000000001,6.690146,6.793272,7.333773,7.974405,8.362859,9.86847,10.706826,12.008328,12.398128,12.923452000000001
3-2805251,,,0,0.444718,2.820568,5.138039,14.866964000000001,27.158344,35.713327,34.935161,34.308558000000005,33.698840000000004,30.688315999999997,27.178468,23.855937,23.038728,18.388023999999998,17.070470999999998,15.775282999999998,13.823113000000001,10.816297,10.563419999999999,8.591442,7.7707869999999994,6.053219,5.649357,3.756531,3.8702389999999998,7.796431,7.8855070000000005,7.947717999999999,7.70638,7.177718,7.154217999999999,7.256344,7.795845,8.438477,8.825931,10.331542,11.169898,12.4724,12.8622,13.386524
4-2805249,,,,0,2.37585,4.693322,14.422246,26.713627000000002,35.268609000000005,34.490444000000004,33.862840999999996,33.257121999999995,30.241598,26.736751,23.41222,22.593010999999997,17.943307,16.627753,15.330565,13.378395000000001,10.37158,10.119703,8.146724,7.326069,5.608501,5.20464,3.311813,3.600044,8.241147999999999,8.330225,8.392435,8.151098,7.623435000000001,7.598935000000001,7.701061999999999,8.241562,8.883194,9.270648,10.776259,11.615616000000001,12.917117,13.304917000000001,13.832241
5-2800563,,,,,0,2.317471,12.046396000000001,24.337777,34.65233,33.877164,33.253561,32.641842,29.632317999999998,26.124471,22.79994,21.983731,17.333026999999998,16.015473,14.722285000000001,12.769116,9.7613,9.508422999999999,7.536445,6.715789,4.998222,4.59436,4.004037,5.715764,10.616997999999999,10.705075,10.767285000000001,10.525948,9.998285000000001,9.974786,10.076912,10.615412,11.260044,11.645498,13.152109,13.991466,15.292967,15.680767000000001,16.208091
6-2807520,,,,,,0,9.798925,22.090305999999998,36.973801,36.195634999999996,35.570032,34.960313,31.950789,28.441941999999997,25.115410999999998,24.301202,19.651498,18.333944,17.039756,15.086587,12.078771000000001,11.825894,9.853916,9.034261,7.315693,6.911830999999999,6.321509,8.033236,12.934469,13.023546000000001,13.084756,12.843419,12.315756,12.291257,12.393383,12.933883999999999,13.576514999999999,13.963969,15.469581,16.306936999999998,17.608439,17.998238,18.524562
7-2807504,,,,,,,0,12.291381,46.700726,45.923559999999995,45.297957000000004,44.690238,41.679714000000004,38.168867,34.845335999999996,34.028127000000005,29.378422999999998,28.060869,26.765681,24.814512,21.807696,21.554819000000002,19.582841000000002,18.762185000000002,17.044617000000002,16.640756,16.050432999999998,17.76116,22.663394,22.752471,22.814681,22.572344,22.045681,22.021181,22.123307999999998,22.663808,23.30544,23.692894,25.197505,26.035861999999998,27.341363,27.729163,28.255487
8-2804433,,,,,,,,0,58.99510600000001,58.214940000000006,57.590337,56.98261899999999,53.972094999999996,50.462247999999995,47.136717,46.319508,41.670804,40.35125,39.057062,37.106891999999995,34.099076000000004,33.8462,31.874221000000002,31.053565999999996,29.335997999999996,28.932136,28.341814000000003,30.052540999999998,31.517775,31.454852000000002,31.025062,30.783725,30.009062,30.008562,29.464436,29.240934999999997,29.617821000000003,30.161849,30.894238,31.524882,32.966744,32.32158,30.637256
1-2806577,,,,,,,,,0.0,0.777166,1.4007690000000002,2.015488,5.022011,8.542859,11.86939,12.671599,17.322303,18.639855999999998,19.934044,21.888214,24.89303,25.145907,27.123884999999998,27.938540999999997,29.660108,30.13997,32.238796,34.145524,40.294332,40.580834,41.313044,41.554382000000004,41.258044,41.600545000000004,42.138671,42.340171999999995,42.199286,41.649257,43.156869,43.030225,44.330726,44.570526,45.24785
2-2804034,,,,,,,,,,0.0,0.623603,1.238322,4.243846,7.764692999999999,11.091224,11.893433,16.544137,17.861691,19.155879000000002,21.110048000000003,24.114864,24.370741,26.34372,27.159375,28.884942,29.365803999999997,31.460631,33.366358,39.519166,39.807668,40.534879,40.775216,40.481879,40.824379,41.365505,41.563006,41.42112,40.872091999999995,42.379703000000006,42.252059,43.555561,43.79436,44.468684
