순번_정류장ID,1-2806577,2-2800269,3-2805488,4-2803852,5-2806225,6-2803874,7-2803973,8-2804334,9-2803989,10-2803991,11-2803993,12-2803995,13-2800298,14-2804064,15-2804537,16-2800259,17-2800007,18-2800045,19-2805079,20-2806016,21-2805398,22-2805429,23-2803835,24-2803836,25-2806079,26-2803432,27-2805554
1-2806577,0,0.176222,0.548972,5.850314,12.77702,16.427956,16.899591,17.023928,14.991632999999998,13.802229,13.566863,13.252566,13.269078,13.764956,14.523703,16.53295,18.336064999999998,19.707065,17.293723999999997,17.699883,18.135407,21.722045,22.169763,22.57931,24.233234,38.453613,40.675916
2-2800269,,0,0.419283,5.720625,12.647331,16.298267000000003,16.769902,16.895239,14.862944,13.672539000000002,13.436174,13.122876999999999,13.140389,13.635267,14.395014000000002,16.46264,18.265754,19.635754000000002,17.222413,17.629573,18.064097,21.650734,22.098451999999998,22.507998999999998,24.161923,38.382302,40.605605
3-2805488,,,0,5.301342,12.228048,15.879984,16.351619,16.475956,14.444660999999998,13.254257,13.016891000000001,12.705594,12.722106,13.214984,13.975731,16.47489,18.278005,20.054037,17.641696,18.047856,18.483379,22.070017,22.517735000000002,22.927282,24.581205999999998,38.801584999999996,41.023888
4-2803852,,,,0,6.931706,10.582642,11.054277,13.728173000000002,11.932319,10.741914999999999,10.505549,10.193252000000001,10.209764,10.703642,11.463389,14.228548000000002,16.031663,20.863622,22.943037,23.349197,23.786721,27.371358,27.819077000000004,28.229622999999997,29.884546999999998,44.102927,46.32723
5-2806225,,,,,0,3.650936,4.122571,6.796467,8.43511,7.245706,7.220028999999999,7.532325999999999,7.668058,8.210936,8.970683,12.603842,14.406957,19.238916,21.902615,22.308775,22.551299,26.137936,26.585653999999998,26.995201,28.649125,42.869504,45.091807
6-2803874,,,,,,0,0.472635,3.146531,5.173826,6.363231,6.774093,7.08639,7.222122,7.765,8.160252999999999,12.157906,13.961020999999999,18.79298,21.457679000000002,21.863839000000002,22.106363,25.693,26.140718,26.550265000000003,28.204189000000003,42.424569,44.645871
7-2803973,,,,,,,0,2.673896,4.701191000000001,5.890594999999999,6.300458,6.614755000000001,6.749486999999999,7.293365,7.686617999999999,11.684271,13.489385999999998,18.319345000000002,20.984044,21.391204000000002,21.634728,25.220365,25.668083,26.076629999999998,27.731554,41.950934000000004,44.174236
8-2804334,,,,,,,,0,2.035295,3.2247,3.635562,3.947859,4.083591,4.626469,5.020722,9.019375,10.82249,15.654449,18.318148,18.725308,18.966832,22.553469,23.001186999999998,23.410733999999998,25.064657999999998,39.285038,41.50734
9-2803989,,,,,,,,,0,1.1894040000000001,1.603267,1.915564,2.051296,2.594174,3.3539209999999997,6.987080000000001,8.790194999999999,13.622154,16.286853,16.693013,16.935537,20.521174,20.969892,21.378439,23.032363,37.252743,39.475045
10-2803991,,,,,,,,,,0,0.41386300000000004,0.72616,0.861892,1.40477,2.164517,5.797676,7.600791,12.432749000000001,15.097449,15.504609,15.745133,19.33277,19.779488,20.189035,21.843958999999998,36.064338,38.286640999999996
11-2803993,,,,,,,,,,,0,0.312297,0.448029,0.990907,1.7506540000000002,5.383813,7.186928,12.018887,14.682585999999999,15.090746,15.332270000000001,18.917907,19.366625,19.775172,21.430096,35.650476,37.871779
12-2803995,,,,,,,,,,,,0,0.135732,0.67861,1.4383569999999999,5.071516,6.874631,11.70659,14.371289,14.777448999999999,15.019973,18.605610000000002,19.054327999999998,19.463875,21.117798999999998,35.338179,37.560481
13-2800298,,,,,,,,,,,,,0,0.542878,1.302625,4.935784,6.738899000000001,11.570857,14.234557,14.641717000000002,14.883241,18.470878,18.918596,19.327143,20.982067,35.202446,37.424749
14-2804064,,,,,,,,,,,,,,0,0.7597470000000001,4.975906,6.779021000000001,11.61098,14.275679,14.681839000000002,14.923363,18.51,18.957718,19.367265,21.021189,35.242569,37.463871999999995
15-2804537,,,,,,,,,,,,,,,0,4.220159,6.023274,10.855233,13.519932,13.926092,14.168616,17.754253,18.201971,18.611518,20.265442,34.485822,36.709123999999996
16-2800259,,,,,,,,,,,,,,,,0,1.8041150000000001,6.636074000000001,9.299773,9.706933,9.948457000000001,13.535094,13.982812,14.392358999999999,16.046283,30.266663,32.488965
17-2800007,,,,,,,,,,,,,,,,,0,4.8319589999999994,7.495659,7.902817999999999,8.144342,11.73098,12.178697999999999,12.588245,14.242169,28.462547999999998,30.684851000000002
18-2800045,,,,,,,,,,,,,,,,,,0,2.6637,3.06986,3.3123839999999998,6.899021,7.346739,7.756286,9.410210000000001,23.630589,25.852892
19-2805079,,,,,,,,,,,,,,,,,,,0,0.40715999999999997,0.877684,4.464321,4.912039,5.321586,6.975510000000001,21.195889,23.418192
20-2806016,,,,,,,,,,,,,,,,,,,,0,0.470524,4.057162,4.50488,4.914427,6.568351,20.788729999999997,23.011032999999998
21-2805398,,,,,,,,,,,,,,,,,,,,,0,3.586637,4.034355000000001,4.443902,6.097826,20.318206,22.540508
22-2805429,,,,,,,,,,,,,,,,,,,,,,0,0.447719,0.857266,2.511189,16.731569,18.953872
23-2803835,,,,,,,,,,,,,,,,,,,,,,,0,0.409547,2.063471,16.28385,18.506153
24-2803836,,,,,,,,,,,,,,,,,,,,,,,,0,1.6539240000000002,15.874303,18.096606
25-2806079,,,,,,,,,,,,,,,,,,,,,,,,,0,14.220379999999999,16.442682
26-2803432,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.2223029999999997
27-2805554,,,,,,,,,,,,,,,,,,,,,,,,,,,0
