순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2804750,6-2804752,7-2803916,8-2806319,9-2807398,10-2807397,11-2804763,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032
1-2800269,0,0.419283,0.773767,1.212487,1.5439829999999999,2.0379549999999997,2.238148,2.675051,3.124588,3.5454760000000003,4.041989,4.0304660000000005,4.1373690000000005,3.8863260000000004,3.897185,4.152801,4.38938,4.698148000000001,5.0054300000000005,5.187925,4.81717,4.5305480000000005,4.262772,4.066912,3.8302339999999995,3.508039,3.325249,2.836948,2.375666,2.16494,1.9932310000000002,1.7355650000000002,1.258117,0.751252,0.37748200000000004,0.351315,0.64827,0.8276459999999999,0.192199
2-2805488,,0,0.354484,0.793204,1.1247,1.6186719999999999,1.8188650000000002,2.255768,2.705305,3.126193,3.622707,4.087251999999999,3.718086,3.467043,3.477902,3.733518,3.970097,4.278866000000001,4.586147,4.768642,4.397888,4.111265,3.843489,3.6476290000000002,3.4109510000000003,3.088756,2.905967,2.417665,1.9563830000000002,1.745657,1.573948,1.316282,0.838834,0.5460020000000001,0.172232,0.370064,0.66702,1.0321040000000001,0.611482
3-2807373,,,0,0.438721,0.770216,1.2641879999999999,1.464382,1.901284,2.350822,2.771709,3.268223,3.732768,3.3636019999999998,3.112559,3.1234189999999997,3.379034,3.6156129999999997,3.924382,4.231664,4.4141580000000005,4.043404,3.7567809999999997,3.489005,3.2931449999999995,3.056468,2.7342720000000003,2.551483,2.063181,1.601899,1.391173,1.2194639999999999,0.9617979999999999,0.48435,0.900486,0.5267149999999999,0.724548,1.021503,1.386588,0.965966
4-2804748,,,,0,0.331496,0.825468,1.0256610000000002,1.462564,1.9121009999999998,2.332989,2.829502,3.2940480000000005,2.9248819999999998,2.673838,2.684698,2.940314,3.176893,3.485661,3.792943,3.9754379999999996,3.604683,3.318061,3.0502849999999997,2.854425,2.617747,2.2955520000000003,2.112762,1.6244610000000002,1.1631790000000002,0.9524530000000001,0.780744,0.5230779999999999,0.045629,0.506794,0.8805649999999999,1.163268,1.460224,1.8253080000000002,1.404686
5-2804750,,,,,0,0.49397299999999994,0.694166,1.131068,1.580606,2.001493,2.498007,2.962552,2.593386,2.342343,2.3532029999999997,2.608819,2.845397,3.154166,3.4614480000000003,3.7156260000000003,3.8906199999999997,3.603997,3.336221,3.140361,2.903683,2.5814880000000002,2.398699,1.9103970000000001,1.449115,1.238389,1.0666799999999999,0.809014,0.33156599999999997,0.7927310000000001,1.166501,1.494764,1.7917189999999998,2.156804,1.736182
6-2804752,,,,,,0,0.200193,0.637096,1.086634,1.5075209999999999,2.004035,2.4685799999999998,2.099414,1.848371,1.859231,2.114846,2.351425,2.6601939999999997,2.967475,3.221654,3.5924080000000003,3.872031,3.830194,3.6343330000000003,3.3976559999999996,3.0754610000000002,2.892671,2.404369,1.943087,1.732361,1.560653,1.3029870000000001,0.8255379999999999,1.2867030000000002,1.6604729999999999,1.988736,2.2856919999999996,2.650776,2.230154
7-2803916,,,,,,,0,0.436903,0.88644,1.307328,1.8038419999999997,2.2683869999999997,1.8992209999999998,1.648178,1.6590369999999999,1.914653,2.151232,2.4600009999999997,2.767282,3.021461,3.392215,3.6718379999999997,3.9396139999999997,3.8345269999999996,3.5978489999999996,3.2756540000000003,3.092864,2.604562,2.14328,1.932554,1.760846,1.50318,1.025731,1.486896,1.860666,2.188929,2.4858849999999997,2.850969,2.4303470000000003
8-2806319,,,,,,,,0,0.44953699999999996,0.870425,1.366939,1.8314840000000001,1.462318,1.211275,1.222134,1.47775,1.714329,2.023097,2.330379,2.5845580000000004,2.9553119999999997,3.2349349999999997,3.502711,3.698571,3.9352489999999998,3.7125559999999997,3.5297669999999997,3.041465,2.5801830000000003,2.369457,2.197748,1.9400819999999999,1.462634,1.9237990000000003,2.2975689999999998,2.625832,2.922787,3.287872,2.86725
9-2807398,,,,,,,,,0,0.420888,0.917402,1.381947,1.012781,0.761738,0.772597,1.0282129999999998,1.264792,1.57356,1.880842,2.135021,2.505775,2.785398,3.0531740000000003,3.249034,3.4857120000000004,3.807907,3.979304,3.491003,3.029721,2.818994,2.6472860000000003,2.38962,1.9121709999999998,2.373336,2.747107,3.075369,3.372325,3.7374089999999995,3.316787
10-2807397,,,,,,,,,,0,0.496514,0.961059,0.591893,0.34085,0.35170999999999997,0.607326,0.8439040000000001,1.152673,1.459955,1.7141330000000001,2.0848880000000003,2.3645099999999997,2.632286,2.828146,3.064824,3.3870190000000004,3.569809,3.91189,3.4506080000000003,3.239882,3.068173,2.810507,2.333059,2.7942240000000003,3.1679939999999998,3.496257,3.7932120000000005,4.158297,3.737675
11-2804763,,,,,,,,,,,0,0.6500100000000001,0.768825,0.517782,0.728641,0.9842569999999999,1.220836,1.5296040000000002,1.836886,2.091065,2.4618189999999998,2.7414419999999997,3.009218,3.205078,3.441756,3.763951,3.94674,4.408404,3.9471220000000002,3.736396,3.564687,3.3070209999999998,2.829573,3.2907379999999997,3.664508,3.992771,4.289726,4.2251900000000004,3.9838120000000004
12-2804591,,,,,,,,,,,,0,0.369166,0.622209,1.193186,1.4488020000000001,1.6853810000000002,1.99415,2.301431,2.5556099999999997,2.926364,3.205987,3.473763,3.6696230000000005,3.906301,4.228496,4.4112860000000005,4.872949,4.411667,4.200941,4.029232,3.7715660000000004,3.294118,3.7552830000000004,4.129053,4.38178,4.445729,4.080645,3.839267
13-2804762,,,,,,,,,,,,,0,0.25304299999999996,0.8240209999999999,1.079636,1.316215,1.624984,1.932266,2.186444,2.557199,2.836821,3.104597,3.3004569999999998,3.5371349999999997,3.8593300000000004,4.04212,4.503783,4.042501000000001,3.831775,3.6600660000000005,3.4024,2.924952,3.386117,3.7598870000000004,4.08815,4.385105,4.44781,4.206432
14-2806393,,,,,,,,,,,,,,0,0.5729770000000001,0.828593,1.065172,1.37394,1.6812220000000002,1.935401,2.306155,2.585778,2.853554,3.049414,3.286092,3.6082870000000002,3.7910760000000003,4.25274,3.791458,3.580732,3.4090230000000004,3.151357,2.673909,3.1350740000000004,3.5088440000000003,3.837107,4.134062,4.499147,4.078525
