순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2804729,5-2804133,6-2804131,7-2804129,8-2804127,9-2804125,10-2804123,11-2804121,12-2807387,13-2804118,14-2804117,15-2804115,16-2804113,17-2806364
1-2800270,0,0.789926,1.059143,1.441101,1.448237,1.66609,2.3766540000000003,2.618476,2.883084,3.0984380000000002,3.600101,3.853508,4.564419,5.065958999999999,5.371626,5.845589,6.282987
2-2800268,,0,0.270217,0.652176,0.659312,0.877165,1.5877290000000002,1.829551,2.094159,2.309513,2.8111759999999997,3.0645830000000003,3.775494,4.277033,4.582701,5.0566629999999995,5.4940620000000004
3-2800264,,,0,0.383959,0.68225,0.9001030000000001,1.610667,1.8524880000000001,2.1170970000000002,2.332451,2.834114,3.08752,3.798431,4.299971,4.605638,5.079601,5.516999
4-2804729,,,,0,0.422137,0.63999,1.350554,1.592376,1.856984,2.0723380000000002,2.574001,2.827408,3.538318,4.039858000000001,4.345525,4.819488,5.256886
5-2804133,,,,,0,0.21785300000000002,0.928417,1.170239,1.434847,1.6502009999999998,2.1518639999999998,2.405271,3.116182,3.617721,3.923389,4.397352,4.83475
6-2804131,,,,,,0,0.710565,0.9523860000000001,1.216995,1.4323489999999999,1.9340119999999998,2.187418,2.898329,3.3998690000000003,3.705536,4.179499,4.616897
7-2804129,,,,,,,0,0.24182199999999998,0.50643,0.721784,1.223447,1.4768540000000001,2.1907650000000003,2.692304,2.9979720000000003,3.4719339999999996,3.909333
8-2804127,,,,,,,,0,0.264608,0.479962,0.981626,1.235032,1.948943,2.450483,2.75615,3.2301130000000002,3.667511
9-2804125,,,,,,,,,0,0.215354,0.717017,0.970424,1.684335,2.185874,2.491542,2.965504,3.402903
10-2804123,,,,,,,,,,0,0.501663,0.75507,1.4689809999999999,1.97052,2.2761880000000003,2.75015,3.187549
11-2804121,,,,,,,,,,,0,0.253407,0.967318,1.468857,1.774525,2.248488,2.685886
12-2807387,,,,,,,,,,,,0,0.713911,1.215451,1.521118,1.995081,2.4324790000000003
13-2804118,,,,,,,,,,,,,0,0.50154,0.807207,1.2811700000000001,1.718568
14-2804117,,,,,,,,,,,,,,0,0.305668,0.77963,1.2170290000000001
15-2804115,,,,,,,,,,,,,,,0,0.473963,0.9113610000000001
16-2804113,,,,,,,,,,,,,,,,0,0.437399
17-2806364,,,,,,,,,,,,,,,,,0
