순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2807391,15-2803925,16-2807392,17-2804772,18-2803923,19-2806339,20-2804765,21-2803921,22-2806337,23-2806394,24-2803919,25-2804592,26-2804044,27-2804590,28-2804042,29-2804040,30-2804038,31-2804036,32-2804033,33-2800268,34-2800264,35-2807245,36-2800262,37-2807367,38-2800265,39-2800266,40-2807368,41-2804602,42-2803580,43-2800263,44-2807388,45-2804528,46-2804527,1-2803703,2-2804580,3-2804213,4-2804211,5-2804209,6-2804207,7-2804205,8-2804204,9-2806290,10-2804202,11-2806292,12-2804578,13-2803609,14-2806232,15-2803608,16-2803607,17-2803606,18-2806297,19-2803616,20-2803853,21-2803850,22-2803617,23-2806299,24-2803618,25-2806300,26-2803600,27-2800273,28-2803601,29-2804331,30-2803581,31-2800271,32-2804749,33-2805489,34-2807150,35-2804581,36-2804582,37-2807389,38-2800267,39-2804032,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804045,14-2804048,15-2804593,16-2804049,17-2804595,18-2804052,19-2804053,20-2804597,21-2804603,22-2804054,23-2804600,24-2804057,25-2800292,26-2804599,27-2804063,28-2804061
1-2800269,0.0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.288978,4.538981,4.877078,5.213932,5.009753,4.670338,4.360098000000001,4.122653,3.8933519999999997,3.8883379999999996,4.139817,4.016843,2.921638,2.6406240000000003,2.275571,1.947644,1.581183,1.362624,0.615771,0.7490939999999999,1.018311,1.329267,1.4654969999999998,1.713269,2.002048,1.97717,1.6794939999999998,1.452245,1.29874,1.077742,0.759372,0.6244810000000001,0.36603800000000003,12.586367999999998,12.410144,11.902999000000001,11.542850999999999,11.052058,10.680692,9.943471,9.711692999999999,9.357389999999999,8.945592999999999,8.692019,8.330305000000001,8.193064999999999,7.817978,7.489336,6.985127,6.692736,6.141287,5.821889,5.623333000000001,5.226971,4.632501,4.107816000000001,3.840407,3.5232069999999998,2.836948,2.375666,2.16494,1.9932310000000002,1.7355650000000002,1.258117,1.205178,0.751252,0.37748200000000004,0.351315,0.64827,0.783267,0.8276459999999999,0.192199,0.351315,0.64827,0.8276459999999999,0.706855,1.330458,1.5893620000000002,1.945177,2.2729779999999997,2.67198,2.968195,4.0304660000000005,5.18527,5.677914,6.138308,8.249474000000001,9.167100999999999,10.042555,11.763278999999999,11.919363,12.92382,13.355301999999998,14.641858,15.412739000000002,15.714954,16.234763,16.895445000000002,17.317145
2-2805488,0.419283,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,3.8696949999999997,4.1196980000000005,4.457796,4.794649,4.59047,4.251056,3.9408160000000003,3.7033699999999996,3.474069,3.4690550000000004,3.720534,4.0988739999999995,3.340921,3.059907,2.6948540000000003,2.366927,2.000466,1.781907,1.035053,1.111656,1.134594,1.44555,1.58178,1.829552,2.118331,2.093453,1.795777,1.5685280000000001,1.415023,1.194025,0.778122,0.64323,0.384788,12.167085,11.990861,11.485716,11.123567999999999,10.634775,10.261409,9.526188000000001,9.294411,8.940107000000001,8.52631,8.272736,7.913022,7.773782000000001,7.398695,7.070053999999999,6.565844,6.273454,5.722004,5.402606,5.204051,4.807689,4.213218,3.688533,3.421124,3.103924,2.417665,1.9563830000000002,1.745657,1.573948,1.316282,0.838834,0.8460719999999999,0.5460020000000001,0.172232,0.370064,0.66702,0.802016,1.0321040000000001,0.611482,0.370064,0.66702,1.0321040000000001,1.1261379999999999,1.749741,2.008645,2.36446,2.6922610000000002,3.091263,3.3874779999999998,4.087251999999999,5.197521,5.690165,6.150558,8.261725,9.179350999999999,10.054805,11.77553,11.931614,12.936071,13.367553,14.654109,15.424989000000002,15.727205,16.247014,16.907695999999998,17.329396
3-2807373,0.773767,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.5152120000000004,3.765214,4.103312,4.440165,4.2359860000000005,3.896572,3.586332,3.3488860000000003,3.119585,3.1145709999999998,3.36605,3.74439,3.6964050000000004,3.4153910000000005,3.050338,2.722411,2.35595,2.137391,1.3905370000000001,1.46614,1.489077,1.800034,1.936264,2.184036,2.472815,2.447936,2.150261,1.923011,1.769507,1.548509,1.132606,0.997714,0.739271,11.814602,11.638377,11.131232,10.771084,10.280291,9.908926,9.171705000000001,8.939927,8.585624000000001,8.173826,7.9202520000000005,7.558538,7.4192990000000005,7.044211,6.71557,6.21136,5.91897,5.36752,5.048122,4.8495669999999995,4.4532050000000005,3.858735,3.33405,3.06664,2.7494400000000003,2.063181,1.601899,1.391173,1.2194639999999999,0.9617979999999999,0.48435,0.49158900000000005,0.900486,0.5267149999999999,0.724548,1.021503,1.1565,1.386588,0.965966,0.724548,1.021503,1.386588,1.481622,2.105225,2.364129,2.719943,3.047745,3.4467470000000002,3.7429620000000003,3.732768,4.843037000000001,5.335681,5.796075,7.907241,8.824867,9.700321,11.421046,11.57713,12.581586999999999,13.013069,14.299625,15.070504999999999,15.372720999999999,15.892529999999999,16.553212,16.974912
4-2800272,1.3496549999999998,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,1.9757770000000001,2.178842,2.449274,2.723959,2.939323,3.189326,3.527424,3.8642769999999995,3.888874,3.54946,3.23922,3.001775,2.7724740000000003,2.76746,3.018938,3.397278,4.176483999999999,3.991279,3.6262260000000004,3.2982989999999996,2.931838,2.713279,1.966425,2.0420279999999997,2.064966,2.375922,2.512152,2.7599240000000003,3.0487029999999997,3.023825,2.7261490000000004,2.4989,2.345395,2.124397,1.708494,1.573602,1.315159,11.238714,11.060489,10.553344000000001,10.195196000000001,9.704403,9.331037,8.593817,8.362039,8.007735,7.597938,7.344364,6.98265,6.84341,6.468323000000001,6.139682,5.635472,5.343082,4.791632,4.472233999999999,4.2736790000000004,3.8773169999999997,3.2828470000000003,2.758162,2.490752,2.173552,1.487293,1.026011,0.815285,0.643576,0.38591,0.137238,0.144477,0.598403,0.972173,1.3004360000000001,1.597392,1.732388,1.9624759999999999,1.541854,1.3004360000000001,1.597392,1.9624759999999999,2.0575099999999997,2.6811130000000003,2.9400169999999997,3.295832,3.6236330000000003,4.022635,4.127927,3.3856559999999996,4.495925,4.988569,5.448963,7.560128999999999,8.477755,9.353209,11.073934,11.230018,12.234475,12.665957,13.952513,14.723394,15.025609,15.545418,16.2061,16.6278
5-2803582,1.7318779999999998,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,2.561101,2.8111029999999997,3.1492009999999997,3.486054,3.702903,3.931683,3.621443,3.3839980000000005,3.154697,3.149683,3.4011620000000002,3.7795019999999995,4.558707,4.373501999999999,4.008449,3.6805220000000003,3.314061,3.095502,2.347648,2.424251,2.447189,2.7581450000000003,2.894375,3.142147,3.4309260000000004,3.406048,3.108372,2.881123,2.727618,2.5066200000000003,2.0907169999999997,1.955825,1.697382,10.860491,10.684266000000001,10.177121000000001,9.816972999999999,9.32618,8.954815,8.217594,7.985816000000001,7.631513000000001,7.219714999999999,6.966141,6.6024270000000005,6.465187,6.0901,5.761458999999999,5.257249,4.964859,4.413409,4.094011,3.895456,3.4990940000000004,2.904624,2.379939,2.112529,1.7953290000000002,1.10907,0.73301,0.522284,0.350576,0.09291,0.48076199999999997,0.5267,0.980626,1.354396,1.682659,1.9796150000000001,2.114611,2.3446990000000003,1.924077,1.682659,1.9796150000000001,2.3446990000000003,2.438733,3.063336,3.3222400000000003,3.678055,4.005856,4.404858,4.51015,3.767879,4.878148,5.370792,5.831186,7.9423520000000005,8.859978,9.735432000000001,11.456157000000001,11.612241000000001,12.616698,12.34982,13.610514000000002,14.381394,14.68361,15.203419,15.864101000000002,16.285801
6-2803603,1.965875,,,,,0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.3271029999999997,2.577106,2.915204,3.2520569999999998,3.4689059999999996,3.808321,3.85544,3.6179940000000004,3.388693,3.383679,3.635158,4.013498,4.7927040000000005,4.607499,4.242446,3.9145190000000003,3.5470580000000003,3.3294989999999998,2.582645,2.658248,2.6811849999999997,2.992142,3.128372,3.376144,3.6649230000000004,3.640044,3.342369,3.115119,2.961615,2.740617,2.3247139999999997,2.189822,1.9313790000000002,10.624493,10.448269,9.941124,9.580976,9.092183,8.718817,7.981597,7.7498190000000005,7.395515,6.983718,6.732144,6.36843,6.23119,5.856103,5.527462,5.023251999999999,4.730862,4.179412,3.860014,3.661459,3.265097,2.670627,2.145942,1.8785319999999999,1.561332,0.875073,0.742993,0.7562810000000001,0.584572,0.326906,0.714759,0.7606970000000001,1.214623,1.588393,1.9166560000000001,2.213611,2.348608,2.578696,2.158074,1.9166560000000001,2.213611,2.578696,2.67373,3.296333,3.5552370000000004,3.9120510000000004,4.239853,4.638855,4.744147,4.001876,5.112145,5.604789,6.065183,8.176349,9.093975,9.969429,11.690154,11.846238,12.547305999999999,12.116823,13.375517000000002,14.146397,14.449613000000001,14.969422,15.629104000000002,16.050804
7-2803602,2.139857,,,,,,0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.153122,2.403125,2.741222,3.078076,3.294925,3.6343389999999998,3.944579,3.791976,3.562675,3.557661,3.80914,4.18748,4.966686,4.780481,4.4154279999999995,4.0875010000000005,3.7210400000000003,3.502481,2.755627,2.83223,2.855167,3.166124,3.3023540000000002,3.550126,3.8389050000000005,3.814026,3.5163510000000002,3.289101,3.135597,2.914598,2.498695,2.363804,2.1053610000000003,10.450512,10.274288,9.767142999999999,9.408994999999999,8.916201,8.546836,7.807614999999999,7.577837,7.223534,6.809736999999999,6.558163,6.194449,6.057208999999999,5.682122,5.35348,4.849271,4.5568800000000005,4.005431,3.686032,3.4874769999999997,3.0911150000000003,2.496645,1.97196,1.704551,1.38735,0.701092,0.569012,0.779738,0.758554,0.500888,0.88874,0.934679,1.3886049999999999,1.762375,2.090638,2.387593,2.52259,2.752678,2.332056,2.090638,2.387593,2.752678,2.8467119999999997,3.4703150000000003,3.729219,4.085033,4.412835,4.811837000000001,4.918129,4.175858,5.286127,5.778771,6.239164,8.350331,9.267957000000001,10.143411,11.864136,12.02022,12.372324,11.940842,13.201535,13.972416,14.274631,14.79444,15.456122,15.877822
8-2800274,2.3998,,,,,,,0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,1.8931779999999998,2.1431810000000002,2.4812790000000002,2.818132,3.034981,3.374396,3.6846360000000002,3.922081,3.8226190000000004,3.8176050000000004,4.069083999999999,4.447424,5.226629,5.040424,4.676371,4.347444,3.980983,3.7634239999999997,3.01657,3.092173,3.115111,3.4260669999999998,3.562297,3.8100690000000004,4.098848,4.07397,3.776294,3.5490449999999996,3.39554,3.1745419999999998,2.758639,2.6237470000000003,2.3653049999999998,10.192568,10.016344,9.507199,9.149051,8.658258,8.286892,7.549671000000001,7.315894,6.963589999999999,6.551793,6.296219000000001,5.934505000000001,5.797265,5.422178,5.093537,4.589327,4.296937000000001,3.7454870000000002,3.426089,3.227534,2.831172,2.236701,1.712017,1.444607,1.127407,0.44114799999999993,0.309068,0.519795,0.691503,0.760832,1.148684,1.1946219999999999,1.648548,2.022318,2.350581,2.647537,2.782534,3.0126209999999998,2.591999,2.350581,2.647537,3.0126209999999998,3.107655,3.731258,3.990162,4.3459769999999995,4.672778,5.072780000000001,5.178072,4.4358010000000005,5.546069999999999,6.038714,6.4991080000000006,8.610274,9.5279,10.403355,12.124079,12.280163,12.11438,11.682898,12.943592,13.714472,14.015688,14.535497,15.196179,15.617879
9-2803847,2.753507,,,,,,,,0,0.576925,0.77999,1.050422,1.325107,1.540471,1.7904740000000001,2.128571,2.465425,2.682274,3.021688,3.331928,3.569374,3.798675,4.171312,4.422791,4.801131,5.580337,5.395131,5.030079,4.702152,4.3356900000000005,4.117132,3.370278,3.445881,3.468818,3.779775,3.916005,4.163776,4.4525559999999995,4.427677,4.130001999999999,3.9027519999999996,3.749247,3.5282489999999997,3.112346,2.977455,2.7190119999999998,9.837861,9.663637,9.154492,8.794344,8.303550999999999,7.9321850000000005,7.194964,6.963186,6.610883,6.197086,5.945512,5.583798000000001,5.444558,5.069471,4.74083,4.236619999999999,3.944229,3.39278,3.073382,2.8748259999999997,2.478464,1.883994,1.359309,1.0919,0.7747,0.419079,0.377842,0.588568,0.7602770000000001,1.017943,1.502391,1.548329,2.002256,2.376026,2.7042889999999997,3.001244,3.136241,3.366329,2.945707,2.7042889999999997,3.001244,3.366329,3.4613620000000003,4.0849660000000005,4.343869000000001,4.6996839999999995,5.027486,5.426487,5.531779,4.789509,5.8997779999999995,6.392422,6.852815,8.963981,9.881608,10.757062,12.477787,12.633871000000001,11.760672999999999,11.329191,12.589884,13.360764999999999,13.66298,14.182789000000001,14.843472,15.265172
10-2803599,3.325432,,,,,,,,,0,0.203065,0.473498,0.748182,0.9745469999999999,1.2245489999999999,1.562647,1.8995009999999999,2.11635,2.455764,2.766004,3.0034490000000003,3.23275,3.803907,4.055385,4.433725,5.212931,5.493945,5.602003,5.274076,4.907614,4.689056,3.9422019999999995,4.017805,4.040742,4.351699,4.487929,4.735701000000001,5.0244800000000005,4.999601,4.701926,4.4746760000000005,4.321172,4.100173000000001,3.6842699999999997,3.549379,3.290936,9.907266,9.731042,9.223897000000001,8.863749,8.372956,8.00159,7.264369,7.032592,6.678288,6.266491,6.012917,5.651203,5.5139629999999995,5.138876,4.810235,4.306025,4.013635,3.462185,3.1427869999999998,2.944232,2.54787,1.953399,1.428715,1.161305,0.8441049999999999,0.48848400000000003,0.949766,1.160493,1.332201,1.589867,2.0743150000000004,2.120253,2.57418,2.94795,3.2762130000000003,3.573168,3.708165,3.938253,3.5176309999999997,3.2762130000000003,3.573168,3.938253,4.0332870000000005,4.65689,4.915794,5.2716080000000005,5.59941,5.460589,5.164374,4.422103,5.5323720000000005,6.025016,6.48541,8.596575999999999,9.514202000000001,10.389656,12.110381,12.198205999999999,11.193749,10.762266,12.022960000000001,12.793841,13.096055999999999,13.615865,14.276547,14.698247
