순번_정류장ID,1-2800297,2-2803996,3-2803994,4-2803951,5-2803953,6-2803955,7-2803957,8-2803959,9-2803961,10-2803963,11-2803965,12-2803967,13-2803969,14-2803972,15-2803868,16-2803866,17-2803863,18-2803864,19-2800255,20-2803615,21-2803614,22-2803859,23-2806227,24-2803858,25-2803611,26-2806295,27-2806293,28-2804201,29-2806291,30-2807291,31-2804203,32-2804206,33-2804332,34-2804208,35-2804210,36-2804212,37-2804579,38-2803703
1-2800297,0,0.148481,0.456506,1.281467,1.812375,2.3527299999999998,2.907553,3.298172,4.0540389999999995,4.375001999999999,4.815118,5.404148999999999,5.753774,6.3849160000000005,6.662843,7.040725,7.479753,7.677011,7.8033470000000005,8.348616,9.317542999999999,9.684252,9.910833,10.596248,10.944559,12.1268,12.482922,12.736334,13.118959,13.309446,13.540939000000002,13.739734,14.281467999999998,14.833042,15.326528,15.663806,16.193003,16.369104
2-2803996,,0,0.308025,1.1329870000000002,1.6638950000000001,2.2042490000000003,2.759072,3.149691,3.905558,4.226521,4.666637000000001,5.255669,5.605294000000001,6.236435,6.514362,6.892245,7.331272,7.528531,7.654866,8.200135000000001,9.169062,9.535771,9.762352,10.447767,10.796078999999999,11.978319,12.334441,12.587852999999999,12.970478,13.160965,13.392458,13.591253,14.132987,14.684560999999999,15.178047,15.515325,16.044522,16.220623
3-2803994,,,0,0.8249620000000001,1.3558700000000001,1.896225,2.451047,2.841666,3.5975339999999996,3.9184959999999998,4.358612,4.947644,5.297269,5.9284099999999995,6.206337,6.584219999999999,7.0232470000000005,7.220505999999999,7.346842,7.892110000000001,8.861037,9.227747,9.454327000000001,10.139742,10.488054,11.670294,12.026417,12.279828,12.662453,12.852941,13.084433,13.283229,13.824963,14.376535999999998,14.870022,15.2073,15.736497,15.912598999999998
4-2803951,,,,0,0.530908,1.0712629999999999,1.6260860000000001,2.016705,2.7725720000000003,3.0935349999999997,3.53365,4.122682,4.472307,5.103448,5.381376,5.759258,6.198286,6.395544,6.52188,7.067149000000001,8.036076,8.402785,8.629365,9.31478,9.663092,10.845333,11.201455000000001,11.454866,11.837492,12.027979,12.259472,12.458267,13.000001,13.551573999999999,14.045060000000001,14.382338,14.911535999999998,15.087636999999999
5-2803953,,,,,0,0.540355,1.095177,1.485797,2.241664,2.562627,3.002742,3.5917739999999996,3.9413989999999997,4.57254,4.850468,5.22835,5.667378,5.864636,5.990972,6.536241,7.505167999999999,7.8718770000000005,8.098457000000002,8.783872,9.132184,10.314425,10.670547000000001,10.923958,11.306583,11.497071,11.728564,11.927359,12.469092999999999,13.020666,13.514152,13.851429999999999,14.380628,14.556729
6-2803955,,,,,,0,0.554823,0.945442,1.701309,2.022272,2.462387,3.0514189999999997,3.401044,4.032186,4.310112999999999,4.687995,5.127023,5.324281,5.450617,5.9958860000000005,6.964813,7.3315220000000005,7.558103,8.243518,8.591828999999999,9.77407,10.130192,10.383602999999999,10.766229,10.956716,11.188209,11.387004,11.928738000000001,12.480311,12.973798,13.311075,13.840273000000002,14.016373999999999
7-2803957,,,,,,,0,0.390619,1.1464860000000001,1.467449,1.9075650000000002,2.496597,2.846222,3.4773629999999995,3.75529,4.133173,4.5722,4.7694589999999994,4.895794,5.441063,6.4099900000000005,6.7767,7.00328,7.688695,8.037007000000001,9.219247,9.57537,9.828781,10.211406,10.401894,10.633386,10.832182000000001,11.373916,11.925489,12.418975,12.756253,13.28545,13.461552
8-2803959,,,,,,,,0,0.755867,1.07683,1.516946,2.105978,2.455603,3.086744,3.364671,3.742554,4.1815809999999995,4.37884,4.505175,5.050444000000001,6.019371,6.386080000000001,6.612661,7.298075999999999,7.646388000000001,8.828628,9.18475,9.438162,9.820787,10.011274,10.242767,10.441562,10.983296000000001,11.53487,12.028356,12.365634,12.894831,13.070932
9-2803961,,,,,,,,,0,0.320963,0.761079,1.3501100000000001,1.6997349999999998,2.330877,2.608804,2.986687,3.425714,3.6229720000000003,3.749308,4.294576999999999,5.263504,5.6302129999999995,5.856794,6.542209,6.8905199999999995,8.072761,8.428883,8.682295,9.064919999999999,9.255407,9.4869,9.685694999999999,10.227428999999999,10.779003,11.272489,11.609767,12.138964,12.315064999999999
10-2803963,,,,,,,,,,0,0.440116,1.029148,1.378773,2.0099139999999998,2.287841,2.665724,3.104751,3.3020099999999997,3.4283449999999998,3.973614,4.942541,5.30925,5.535831,6.221246,6.569558,7.751798,8.10792,8.361332,8.743957,8.934444000000001,9.165937,9.364732,9.906466,10.458039999999999,10.951526,11.288803999999999,11.818000999999999,11.994102
