순번_정류장ID,1-2800269,2-2805488,3-2800272,4-2803582,5-2803603,6-2803602,7-2800274,8-2803847,9-2806301,10-2803848,11-2806298,12-2803849,13-2803851,14-2803852,15-2803854,16-2806296,17-2803605,18-2803855,19-2803856,20-2806231,21-2803857,22-2806293,23-2804201,24-2806291,25-2807291,26-2804203,27-2804206,28-2804332,29-2804208,30-2804210,31-2804212,32-2804579,33-2803703,34-2806885,35-2807292,36-2806887,37-2806889,38-2806892,39-2807121,40-2806979,41-2807407,42-2806980,43-2806981,44-2806982,45-2806983,46-2806984,47-2806985,48-2807003,49-2807294,50-2807295,51-2807411,52-2807002,53-2806989,54-2807000,55-2806992,56-2806993,57-2806995,58-2806997,59-2806998,60-2806999,61-2807296,62-2807412,63-2807297,64-2807298,65-2807125,66-2807126,67-2807128,68-2807130,69-2807132,70-2806962
1-2800269,0,0.419283,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,8.700186,8.953598,9.336223,9.526710000000001,9.758203,9.956998,10.498732,11.050305,11.543792,11.881069,12.410267,12.586367999999998,12.787718,13.364199,13.721634,14.304607,14.813870999999999,16.5994,17.202270000000002,17.914036,18.540685,18.856704999999998,19.200364999999998,19.444514,19.972081,20.220914,20.909395,21.780198000000002,22.193141,24.343777,24.802170999999998,25.765267,25.652161,26.164151,26.541478,27.966267,26.549853000000002,26.153137,25.641348999999998,24.739739,24.280101000000002,22.18467,21.773984,21.382317,22.459685,23.01339,23.708865,24.465024,24.917499
2-2805488,,0,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.282903,8.536315,8.91894,9.109427,9.34092,9.539715,10.079449,10.633023,11.126509,11.461787,11.990984,12.167085,12.369435000000001,12.945916,13.304351,13.889323999999998,14.396589,16.181117,16.785988,17.498753,18.123402,18.439422,18.782082,19.027231,19.554798,19.803631,20.494112,21.361915,21.775858,23.927494,24.384888,25.347984,25.235878,25.749868,26.124195,27.547984000000003,26.13457,25.736854,25.225066,24.323456,23.863818,21.768387,21.355701,20.967035,22.043402,22.597108,23.290582,24.048741,24.501217
3-2800272,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,7.350532,7.603942999999999,7.986567999999999,8.179056,8.410548,8.609344,9.151078,9.702651,10.196137,10.533415,11.062612,11.238714,11.442063000000001,12.014544,12.372978999999999,12.954952,13.465217,15.251745000000001,15.856616,16.566381,17.193031,17.51105,17.85071,18.096859,18.623427,18.871259,19.559739999999998,20.433543,20.843486,22.994122,23.455516,24.418612,24.303506,24.815496,25.192823,26.620612,25.201198,24.807482,24.294694,23.393083999999998,22.934447,20.839015,20.42633,20.032663,21.112029999999997,21.665736,22.36121,23.117369,23.571845
4-2803582,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,6.974309,7.22772,7.608345,7.800833,8.032325,8.229121000000001,8.772855,9.324428,9.817914,10.155192,10.684389,10.860491,11.06284,11.639321,11.992756,12.57873,13.085994,14.873522,15.477393,16.189158,16.814808,17.130827,17.474487,17.718636,18.246204000000002,18.496036,19.181517000000003,20.055320000000002,20.468263,22.618899,23.078293,24.040389,23.927284,24.439273,24.8166,26.241389,24.824975,24.429259,23.916470999999998,23.014861,22.552224,20.459792,20.049107,19.65644,20.733807000000002,21.287513,21.982986999999998,22.739145999999998,23.191622
5-2803603,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,6.738312,6.9917229999999995,7.3743479999999995,7.564836,7.796328,7.995124000000001,8.536858,9.088431,9.581917,9.919195,10.450391999999999,10.624493,10.825842999999999,11.403324000000001,11.761759,12.343732000000001,12.851997,14.637525,15.241396,15.952160999999998,16.580810999999997,16.89583,17.24149,17.484639,18.013207,18.260039000000003,18.948520000000002,19.818323,20.232266,22.382901999999998,22.841296,23.806392000000002,23.693285999999997,24.204276,24.579603,26.004392000000003,24.587978,24.193262,23.681473999999998,22.778864000000002,22.320227,20.223795000000003,19.81211,19.420443,20.49781,21.052516,21.747989999999998,22.503149,22.956625
6-2803602,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,6.56433,6.817741000000001,7.202367,7.392853999999999,7.624347,7.821142,8.362876,8.914449000000001,9.409936,9.747213,10.274411,10.450512,10.654861,11.231342999999999,11.585778,12.168751,12.678015,14.465544,15.067414000000001,15.779179999999998,16.404829,16.721848,17.064508,17.308657999999998,17.838225,18.087057,18.776539,19.648341000000002,20.058285,22.20792,22.666315,23.630411,23.517305,24.030294,24.405622,25.834411,24.413997,24.019281,23.507493,22.603882000000002,22.144245,20.049814,19.639128,19.246461,20.325829000000002,20.877534,21.574009,22.331167,22.781643
7-2800274,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.304386,6.557798,6.940423,7.130910000000001,7.362403,7.561197999999999,8.102932000000001,8.654506,9.147992,9.48727,10.016467,10.192568,10.392918,10.969399000000001,11.325834,11.910807,12.420072,14.2056,14.807471,15.519236,16.145885,16.462905,16.806565,17.049714,17.577282,17.827114,18.514595,19.386398,19.799341000000002,21.949977,22.408371,23.372467,23.258360999999997,23.769351,24.147678,25.572467,24.155053,23.759337,23.246548999999998,22.345939,21.886301,19.79087,19.380184,18.988518,20.065885,20.619591,21.315065,22.071224,22.5227
8-2803847,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,5.951679,6.205091,6.587716,6.780203,7.009696000000001,7.210491,7.750225,8.301798,8.795285,9.134563,9.661760000000001,9.837861,10.042211,10.618692,10.976127,11.5571,12.066365,13.850893,14.456763,15.166529,15.793178,16.111198,16.452858,16.696007,17.225573999999998,17.473407,18.161888,19.031691,19.447634,21.59727,22.056664,23.01776,22.907654,23.418644,23.792970999999998,25.220760000000002,23.804346,23.407629999999997,22.896842000000003,21.993232,21.533594,19.439163,19.026477,18.63581,19.713178,20.264882999999998,20.961357999999997,21.719517,22.172992999999998
9-2806301,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.169005,5.422416,5.805041,5.995528,6.227021,6.4258169999999994,6.965551,7.519124000000001,8.01261,8.349888,8.879085,9.055186,9.256536,9.834017,10.191452,10.775425,11.282689999999999,13.068218,13.671089000000002,14.380854000000001,15.011504,15.325523,15.671183,15.914332,16.4409,16.689732,17.378213,18.249016,18.662959,20.812595,21.271989,22.235085,22.121979,22.633969,23.012296,24.433085000000002,23.016671,22.622954999999997,22.111167000000002,21.208557,20.75092,18.651488,18.242801999999998,17.851136,18.928503,19.483209,20.177683,20.935842,21.387318
10-2803848,,,,,,,,,,0,0.283984,0.796852,1.384412,1.8657810000000001,2.024795,2.358484,2.84636,3.169127,3.6153410000000004,3.9632300000000003,4.315134,4.845343,5.0987540000000005,5.483379,5.671867,5.90336,6.104155,6.645889,7.197462,7.688948,8.028226,8.555423,8.733525,8.934874,9.512355,9.86779,10.451764,10.961028,12.746556,13.350427,14.059192000000001,14.687842000000002,15.003860999999999,15.347520999999999,15.589670000000002,16.117238,16.36607,17.056551000000002,17.928354000000002,18.339297,20.490933,20.949328,21.912423999999998,21.797318,22.309307,22.689633999999998,24.114423000000002,22.698009,22.301292999999998,21.786506,20.886895000000003,20.427258,18.329826,17.921141,17.527473999999998,18.606842,19.160547,19.854021,20.61318,21.065656
