순번_정류장ID,71-2806940,72-2806941,73-2806942,74-2806943,75-2806944,76-2807134,77-2806945,78-2806957,79-2807608,80-2807164,81-2806946,82-2807137,83-2806947,84-2806948,85-2806949,86-2807147,87-2807148,88-2807149,89-2806951,90-2807138,91-2806973,92-2807139,93-2807409,94-2807123,95-2806891,96-2806890,97-2806888,98-2807293,99-2806886,100-2804580,101-2804213,102-2804211,103-2804209,104-2804207,105-2804205,106-2804204,107-2806290,108-2804202,109-2806292,110-2803609,111-2806232,112-2803608,113-2803607,114-2803606,115-2806297,116-2803616,117-2803853,118-2803850,119-2803617,120-2806299,121-2803618,122-2806300,123-2803600,124-2800273,125-2803601,126-2804331,127-2803581,128-2800271,129-2807150,130-2804581,131-2804582,132-2800267,133-2804032
71-2806940,0,1.274566,1.60378,1.9473900000000002,2.303625,2.6310599999999997,2.928212,4.657761,5.944912,4.644944000000001,3.3307919999999998,3.565243,3.863618,4.16574,5.526031,6.085983000000001,6.933191000000001,7.186967,7.597786999999999,7.866683999999999,8.839191,9.166052,9.624403,9.285833,10.961024,11.486977,12.063118,12.40528,12.983201,13.345089999999999,13.852235,14.212382999999999,14.701177,15.072542000000002,15.806763,16.039541,16.393844,16.807641,17.061215,17.558169,17.933256,18.261898000000002,18.767107,19.059497,19.610947,19.928345999999998,20.126901,20.524263,21.119733,21.644417999999998,21.910826999999998,22.228028,22.914285999999997,23.375567999999998,23.586295,23.758003,24.015669,24.500118,25.373752,25.702015,25.997970000000002,26.285055,25.943433
72-2806941,,0,0.329214,0.672824,1.029059,1.356494,1.653646,3.3831949999999997,4.670346,3.370378,2.0562259999999997,2.290677,2.589052,2.8911740000000004,4.2514650000000005,4.811417,5.658625,5.912401,6.323221,6.592117999999999,7.564625,7.8914860000000004,8.349836999999999,8.814601,10.637524,11.163476,11.739618,12.081779,12.659701,13.02159,13.527735,13.888882999999998,14.377676000000001,14.749042000000001,15.484262,15.71604,16.070344,16.484141,16.737714999999998,17.234669,17.609756,17.938397,18.443607,18.735997,19.287447,19.605845000000002,19.8044,20.200762,20.796232999999997,21.320917,21.587327,21.904526999999998,22.590785999999998,23.052068,23.262795,23.434503,23.692169,24.176617,25.050252,25.378515,25.67547,25.961555,25.619933
73-2806942,,,0,0.34360999999999997,0.699846,1.0272809999999999,1.324433,3.053982,4.341132,3.0411639999999998,1.727012,1.9614639999999999,2.259839,2.561961,3.922251,4.482203,5.329411,5.583187000000001,5.994008,6.262904,7.235411999999999,7.562272,8.020624,8.485388,10.30831,10.834263,11.410404,11.752566,12.330488,12.692377,13.199522,13.559669,14.048463,14.419828,15.155048999999998,15.386826999999998,15.741131,16.154927,16.408502,16.905455,17.280542,17.609184,18.114394,18.406784,18.958234,19.278632,19.477187,19.871548999999998,20.467019,20.993704,21.260114,21.575314000000002,22.261573000000002,22.722855,22.933581,23.105289000000003,23.362955,23.849404,24.723039,25.049301,25.346257,25.632341,25.290719
74-2806943,,,,0,0.356236,0.683671,0.980823,2.710372,3.997523,2.697555,1.3834030000000002,1.6178540000000001,1.917229,2.2183509999999997,3.578642,4.139594000000001,4.985802,5.240578,5.651398,5.919295,6.8928020000000005,7.219663000000001,7.678014,8.141778,9.9647,10.491653,11.066794999999999,11.408956,11.987878,12.348767,12.855912,13.21606,13.705853,14.076219,14.811439000000002,15.043217000000002,15.397521,15.811318,16.065892,16.561846,16.937932999999997,17.265573999999997,17.772783999999998,18.065174,18.614624,18.934022,19.131577,19.528939,20.12341,20.648094,20.914504,21.233704,21.917963,22.381245,22.591972,22.763679999999997,23.021345999999998,23.504794,24.379429000000002,24.707692,25.003647,25.289732,24.947110000000002
75-2806944,,,,,0,0.327435,0.624588,2.3541369999999997,3.641287,2.341319,1.027167,1.2616180000000001,1.560993,1.863115,3.223406,3.783358,4.630566,4.884342,5.295162,5.564058999999999,6.5365660000000005,6.863427000000001,7.321778,7.786542,9.609465,10.135418,10.711559,11.053721000000001,11.631642,11.993530999999999,12.500676,12.859824,13.348617,13.721982999999998,14.455204,14.686982,15.042285000000001,15.456082,15.708656,16.20561,16.580697,16.909339000000003,17.416548000000002,17.708938,18.260388,18.577786,18.776342,19.171704000000002,19.769174,20.292859,20.558267999999998,20.877469,21.561726999999998,22.023009,22.233735999999997,22.405444,22.66311,23.147559,24.023193,24.350456,24.647410999999998,24.934496,24.592874
76-2807134,,,,,,0,0.29715199999999997,2.0267009999999996,3.313852,2.013884,0.699732,0.934183,1.233558,1.53568,2.895971,3.4559230000000003,4.303131,4.556907,4.967727,5.236624,6.209131,6.535992,6.994342999999999,7.459107,9.28203,9.807983,10.384124,10.726285,11.304207,11.665096,12.172241,12.532389,13.021182000000001,13.392548000000001,14.127769,14.359546,14.71385,15.127647,15.381221,15.878175,16.253262,16.581903,17.087113000000002,17.379503,17.930953,18.251351,18.449907,18.846268,19.439739000000003,19.966424,20.232833,20.548033,21.234292,21.695574,21.908301,22.078008999999998,22.335675,22.822123,23.695757999999998,24.022021,24.318976,24.605061,24.265439
77-2806945,,,,,,,0,1.7295490000000002,3.0177,1.76509,0.450938,0.685389,0.984764,1.2868870000000001,2.647177,3.207129,4.054337,4.308113,4.718933,4.987830000000001,5.960338,6.287198,6.74555,7.210314,9.033236,9.559189,10.13533,10.477492,11.055414,11.416303,11.923447,12.283595,12.772389,13.143754000000001,13.878975,14.110753,14.466056,14.878853,15.133428,15.629381,16.004468,16.33411,16.83932,17.13071,17.68216,18.001558,18.199113,18.596475,19.190945000000003,19.715629999999997,19.984039000000003,20.30124,20.986499,21.446781,21.657507,21.829214999999998,22.086880999999998,22.57133,23.444964000000002,23.773227,24.070183,24.356267000000003,24.014645
78-2806957,,,,,,,,0,1.288151,0.036361000000000004,2.180487,2.4149380000000003,2.713314,3.0154360000000002,4.375726,4.935678,5.782886,6.036662000000001,6.447483,6.716378999999999,7.688886999999999,8.015747,8.474099,8.938863000000001,10.761785,11.287738000000001,11.863878999999999,12.206041,12.783963,13.145852,13.652996,14.013144,14.501938,14.873303,15.608524,15.840302,16.194605,16.608401999999998,16.861977,17.358929999999997,17.734017,18.062659,18.569869,18.860259,19.413709,19.732107,19.930661999999998,20.327023999999998,20.920494,21.445179,21.711589,22.028789,22.715048,23.17633,23.387056,23.560764000000002,23.81843,24.300879000000002,25.176513,25.502776,25.801732,26.085816,25.744194
79-2807608,,,,,,,,,0,1.299968,3.4676379999999996,3.702089,4.000464,4.302586,5.663876999999999,6.222829,7.070036999999999,7.323813,7.7346330000000005,8.00353,8.976037,9.302897999999999,9.761249000000001,10.226013,12.048935,12.574888,13.151029999999999,13.493191,14.071113,14.433001999999998,14.940147,15.300295000000002,15.789088000000001,16.160454,16.895674,17.127451999999998,17.481756,17.895553,18.148127,18.646081,19.021168,19.349809,19.854019,20.147409,20.698859,21.018257000000002,21.216812,21.612174,22.208645,22.731329000000002,22.997739000000003,23.315939,24.002198,24.46348,24.674207,24.845914999999998,25.103581,25.589029,26.461664000000003,26.789927000000002,27.086882,27.371966999999998,27.032345
80-2807164,,,,,,,,,,0,2.16767,2.4021209999999997,2.700496,3.002618,4.362908,4.92286,5.770068,6.023844,6.434665,6.703562,7.676069,8.002929,8.461281,8.926045,10.748967,11.27492,11.851061,12.193223,12.771144999999999,13.132033999999999,13.639179,14.001326999999998,14.48812,14.860485999999998,15.594706,15.826483999999999,16.181788,16.595584,16.849159,17.346111999999998,17.7212,18.048841,18.555051000000002,18.847441,19.398891,19.716289,19.914844,20.312206,20.907676000000002,21.432361,21.701771,22.015971,22.70223,23.162512,23.374238000000002,23.545947,23.803613000000002,24.288061,25.161696,25.488959,25.786914000000003,26.071998,25.734377
81-2806946,,,,,,,,,,,0,0.23445100000000002,0.533827,0.8359489999999999,2.196239,2.756191,3.6033989999999996,3.857175,4.267995,4.536892,5.5094,5.83626,6.294612,6.759376,8.582298,9.108251,9.684391999999999,10.026553999999999,10.604476,10.966365,11.474509,11.834657,12.323450999999999,12.694816000000001,13.430036999999999,13.661814999999999,14.016117999999999,14.429915,14.683489999999999,15.180442999999999,15.55553,15.884172,16.389382,16.681772,17.233222,17.553620000000002,17.752175,18.148537,18.744007,19.268692,19.533101000000002,19.852301999999998,20.538560999999998,20.999843,21.208569,21.382277,21.637943,22.122392,22.996026,23.324289,23.623245,23.907329,23.567707000000002
82-2807137,,,,,,,,,,,,0,0.299375,0.6014970000000001,1.961788,2.5217400000000003,3.3689480000000005,3.622724,4.033544,4.302441,5.274948999999999,5.601808999999999,6.06016,6.5249239999999995,8.347847,8.8738,9.449941,9.792103,10.370024,10.730913000000001,11.239058,11.599206,12.089,12.458364999999999,13.193585999999998,13.426364000000001,13.780667000000001,14.194464000000002,14.448038,14.944992000000001,15.319079,15.647720999999999,16.15393,16.44632,16.997770000000003,17.316169,17.514723999999998,17.910086,18.506556,19.030241,19.29765,19.614851,20.30011,20.762391,20.973118,21.144826000000002,21.402492000000002,21.886941,22.760575,23.088838,23.385794,23.671878,23.331256
83-2806947,,,,,,,,,,,,,0,0.302122,1.6624130000000001,2.222365,3.080573,3.334349,3.745169,4.014066000000001,4.986573,5.313434,5.7717849999999995,6.236549,8.059472,8.585424,9.161566,9.503727,10.081649,10.443538,10.949683,11.309830999999999,11.799624,12.17199,12.90621,13.137988,13.492292,13.906089000000001,14.159663,14.655617000000001,15.031704000000001,15.361345000000002,15.865554999999999,16.157945,16.711395,17.027793,17.227348000000003,17.62271,18.218181,18.742865,19.010275,19.327475,20.012734,20.475016,20.685743,20.858451000000002,21.116117000000003,21.600565,22.4722,22.800463,23.097417999999998,23.382503,23.043881
