순번_정류장ID,1-2806011,2-2805329,3-2806741,4-2805758,5-2805334,6-2805736,7-2805671,8-2805672,9-2806191,10-2806160,11-2805528,12-2806420,13-2806679,14-2806681,15-2806904,16-2805575,17-2805499,18-2805843,19-2805249,20-2805412,21-2804897,22-2806519,23-2805052,24-2804893,25-2805038,26-2804895,27-2805744,28-2806214,29-2806242,30-2806244,31-2801157,32-2806001,33-2805994,34-2805963,35-2800850,36-2800852,37-2800845,38-2800854,39-2800833,40-2801055,41-2801043,42-2801024,43-2801003,44-2800979
1-2806011,0,0.13728800000000002,0.390943,0.603425,0.568809,1.7085279999999998,2.507459,3.875689,4.132694,3.739037,2.618003,2.590014,2.695271,2.388115,2.1680479999999998,2.014832,2.32693,2.5879830000000004,3.019495,3.3938589999999995,3.535571,3.3200260000000004,2.853253,2.54884,2.487028,2.7650189999999997,3.355282,4.668130000000001,5.259277,5.572115,6.368633,6.775513,6.971344,7.340560000000001,7.727397,8.211725999999999,8.386975,8.726621000000002,9.079301,9.927242999999999,10.45481,10.840235,11.206988,11.574949
2-2805329,,0,0.253655,0.521256,0.706097,1.845816,2.6437470000000003,4.012976999999999,4.270982,3.876325,2.755291,2.727302,2.790559,2.484403,2.2052169999999998,2.050001,2.364099,2.625152,3.056664,3.431028,3.57274,3.357195,2.890422,2.5860090000000002,2.524197,2.8011880000000002,3.391451,4.705299,5.2964459999999995,5.609284,6.4058019999999996,6.812682000000001,7.007513,7.3777289999999995,7.763566,8.248895,8.423144,8.76379,9.11647,9.963412,10.490979,10.877403999999999,11.244157000000001,11.611118
3-2806741,,,0,0.26860100000000003,0.682248,1.944704,2.742635,4.109865,4.36787,3.973213,2.852179,2.82519,2.930447,2.624291,2.456872,2.303657,2.617755,2.878807,3.3103190000000002,3.684683,3.8263949999999998,3.61085,3.1440770000000002,2.839664,2.777852,3.055843,3.6451059999999997,4.9589550000000004,5.549101,5.86394,6.660457000000001,7.067336999999999,7.263167999999999,7.631384,8.019221,8.50255,8.677799,9.018446,9.371126,10.219066999999999,10.746634,11.132059,11.497812,11.866773
4-2805758,,,,0,0.41364799999999996,1.682103,2.480034,3.848264,4.106269,3.836581,2.715547,2.687558,2.791815,2.485659,2.353496,2.571257,2.885355,3.146408,3.577919,3.9522839999999997,4.093996,3.87845,3.4116779999999998,3.107264,3.0454529999999997,3.3224440000000004,3.912707,5.225555,5.818702,6.13154,6.928058,7.334938,7.529769,7.898985000000001,8.285822,8.769150999999999,8.9464,9.286046,9.637725999999999,10.485667999999999,11.013235,11.39966,11.764413000000001,12.133374
5-2805334,,,,,0,1.268456,2.0663869999999998,3.434617,3.692622,3.800965,2.680931,2.652942,2.7581990000000003,2.451043,2.31888,2.581641,2.895739,3.156792,3.588304,3.962668,4.10438,3.888835,3.4220620000000004,3.117649,3.055837,3.333828,3.924091,5.23794,5.827086,6.139925,6.937442,7.345322,7.540153,7.910369,8.296206,8.781535,8.955784,9.295430999999999,9.649111,10.495052000000001,11.022619,11.409044,11.775797,12.142758
6-2805736,,,,,,0,0.7979310000000001,2.1661610000000002,2.424166,3.9925089999999996,3.820649,3.792661,3.897918,3.591762,3.4575989999999996,3.72136,4.035458,4.296511,4.728022,5.102387,5.244098999999999,5.028553,4.561781,4.2573669999999995,4.195556,4.4725470000000005,5.06381,6.376658,6.967805,7.281642999999999,8.077161,8.485041,8.680872,9.050088,9.436925,9.920254,10.096503,10.436149,10.787828999999999,11.636771000000001,12.164338,12.549763,12.915516,13.284476999999999
7-2805671,,,,,,,0,1.37723,1.635235,3.203578,3.54242,4.590592,4.694849,4.388693,4.25553,4.519291,4.833389,5.094442,5.5259529999999994,5.900318,6.0420300000000005,5.826484,5.359712,5.0552980000000005,4.993487,5.270478,5.86074,7.173589,7.764735000000001,8.077574,8.874091,9.281972,9.477803,9.847019,10.232856,10.718183999999999,10.893434,11.23208,11.58576,12.433702,12.960269,13.346694,13.713447,14.081407999999998
8-2805672,,,,,,,,0,0.25800500000000004,1.8263490000000002,2.165191,4.053326,4.294922,4.6040779999999994,4.855264,5.272025,5.5911230000000005,5.852176,5.754818,5.872052,6.410741000000001,6.607218,6.428058999999999,6.423528,6.362717,6.639708000000001,7.22997,8.543819000000001,9.133965,9.446804,10.244321000000001,10.651201,10.846033,11.217249,11.602085,12.087414,12.262663,12.60131,12.422011,13.010436,13.538003,13.498076999999999,13.131324,13.081142
9-2806191,,,,,,,,,0,1.568343,1.907185,3.795321,4.036917,4.3460730000000005,4.596259,5.01302,5.332118,5.593171,5.496812,5.614047,6.152736,6.349213,6.170054,6.474467,6.620722,6.898713000000001,7.488975,8.801824,9.39297,9.705809,10.502326,10.909206,11.105038,11.474254,11.861089999999999,12.345419,12.520667999999999,12.489809,12.164005,12.75343,13.280998,13.240072,12.872319000000001,12.823137
10-2806160,,,,,,,,,,0,1.121034,2.848978,3.090574,3.398729,3.677916,4.095676999999999,4.410775,4.5329809999999995,4.078469,4.195704,4.734392,4.9499379999999995,4.88771,5.192124,5.579873,5.857864,6.439126,7.755975,8.230121,8.54296,9.339477,9.746357000000001,9.942188999999999,10.312405,10.699241,11.18257,11.340989,11.071466000000001,10.745662,11.334087,11.861655,11.822728999999999,11.455976,11.404794
11-2805528,,,,,,,,,,,0,1.8871360000000001,2.128732,2.437888,2.6880740000000003,3.104835,3.4239330000000003,3.684986,3.9656269999999996,4.082862,4.621551,4.440028,4.2608690000000005,4.565282,4.950031,5.227022,5.817284,7.131133,7.7222789999999994,8.035117999999999,8.831635,9.238515,9.434347,9.803563,10.1904,10.674728,10.849977,11.189624,11.542304,12.306121000000001,12.833689,12.793763,12.427010000000001,12.376828
12-2806420,,,,,,,,,,,,0,0.241596,0.550752,0.829938,1.246699,1.5617969999999999,1.82285,2.078492,2.1957259999999996,2.7344150000000003,2.578893,2.3997330000000003,2.7041470000000003,3.087895,3.365886,3.956149,5.268997,5.860144,6.171982,6.9685,7.37638,7.572211,7.941427,8.327264,8.812593,8.987842,9.328488,9.680168,10.52711,11.055677000000001,11.441102,11.808855,12.133816
13-2806679,,,,,,,,,,,,,0,0.308156,0.587342,1.004103,1.323201,1.584254,2.039765,2.2154700000000003,2.554842,2.339296,2.1601369999999998,2.465551,2.8492990000000002,3.12629,3.7165529999999998,5.029401,5.620548,5.9333860000000005,6.729903999999999,7.137784,7.333614999999999,7.701830999999999,8.088667999999998,8.573997,8.748246,9.087892,9.441572,10.288514,10.816081,11.202506,11.570259,11.93622
14-2806681,,,,,,,,,,,,,,0,0.281186,0.6979479999999999,1.017046,1.278098,1.7336099999999999,2.107974,2.249686,2.034141,1.8549810000000002,2.159395,2.543143,2.820134,3.411397,4.724246,5.316392,5.629231,6.4257480000000005,6.832628,7.028460000000001,7.397675,7.784511999999999,8.268841,8.44409,8.783737,9.136417,9.984358,10.511925,10.89735,11.264103,11.632064
15-2806904,,,,,,,,,,,,,,,0,0.41876199999999997,0.7378600000000001,0.9989120000000001,1.454424,1.828788,1.9695,1.753955,1.5747950000000002,1.880209,2.263957,2.541948,3.132211,4.44506,5.037205999999999,5.349044999999999,6.146562,6.552442,6.748274,7.117489,7.504326,7.989655,8.164904,8.503551,8.855231,9.704172,10.231739,10.617164,10.982917,11.351878
16-2805575,,,,,,,,,,,,,,,,0,0.319098,0.580151,1.035663,1.4100270000000001,1.551739,1.336194,1.1570340000000001,1.4614479999999999,1.8451959999999998,2.122187,2.71245,4.027299,4.617445,4.929284,5.726801,6.132681,6.329512,6.698728,7.086564999999999,7.570894,7.745143,8.08479,8.43747,9.286411,9.812978,10.199403,10.566156,10.933117
17-2805499,,,,,,,,,,,,,,,,,0,0.26105300000000004,0.715565,1.0899290000000001,1.231641,1.0160959999999999,0.836936,1.14135,1.5290979999999998,1.807089,2.3963520000000003,3.710201,4.301347,4.614186,5.410703,5.817583,6.013415,6.382630000000001,6.769467,7.253796,7.428045,7.768692,8.121372000000001,8.969313,9.49688,9.882305,10.249058,10.617019
18-2805843,,,,,,,,,,,,,,,,,,0,0.45451199999999997,0.8288760000000001,0.9705879999999999,0.755043,0.575883,0.8802969999999999,1.268045,1.545036,2.1352990000000003,3.449148,4.040294,4.352133,5.14865,5.55653,5.752362000000001,6.121576999999999,6.509414,6.991743,7.166992,7.506639,7.8603190000000005,8.708260000000001,9.235827,9.620252,9.987005,10.355966
19-2805249,,,,,,,,,,,,,,,,,,,0,0.374365,0.913054,1.007401,0.828242,1.132655,1.520404,1.798395,2.388657,3.7025059999999996,4.293652,4.606491,5.403008,5.809888,6.005719999999999,6.374936,6.761773,7.2461009999999995,7.42135,7.760997,8.113677000000001,8.961618,9.489186,9.874611,10.241363,10.312455
20-2805412,,,,,,,,,,,,,,,,,,,,0,0.5386890000000001,0.754235,0.6920069999999999,0.9964209999999999,1.384169,1.6621599999999999,2.247423,3.5602720000000003,4.037418,4.351257,5.147774,5.554654,5.750486,6.119701,6.506538,6.990867,7.166116000000001,7.505763000000001,7.858442999999999,8.706384,9.233951,9.619375999999999,9.986129,9.93709
21-2804897,,,,,,,,,,,,,,,,,,,,,0,0.21554600000000002,0.712318,1.016732,1.0775430000000001,1.1254709999999999,1.710734,3.0235830000000004,3.614729,3.927568,4.724085,5.130965,5.327796,5.6960120000000005,6.0828489999999995,6.567178,6.742427,7.082074,7.435753999999999,8.283695,8.810262,9.195687,9.562439999999999,9.809378
22-2806519,,,,,,,,,,,,,,,,,,,,,,0,0.49677200000000005,0.801186,0.8619979999999999,0.909926,1.495188,2.809037,3.400183,3.713022,4.509539,4.916419,5.1122510000000005,5.481466999999999,5.868303,6.352632,6.527881,6.867528,7.220208,8.068149,8.595717,8.981142,9.347894,9.715856
23-2805052,,,,,,,,,,,,,,,,,,,,,,,0,0.30441399999999996,0.6921619999999999,0.969153,1.559416,2.873265,3.464411,3.77725,4.573767,4.980647,5.1764790000000005,5.545694,5.931531,6.4158599999999995,6.592109,6.931756,7.283436,8.132377,8.658944,9.045369,9.412122,9.780083
