순번_정류장ID,1-2805694,2-2805636,3-2806053,4-2806032,5-2806025,6-2805697,7-2805699,8-2805701,9-2807440,10-2806806,11-2805704,12-2807625,13-2807549,14-2806228
1-2805694,0,0.411375,0.7900590000000001,1.0841969999999999,1.292052,1.484723,2.00961,1.799671,1.75065,1.538648,1.096913,1.051941,18.813937,32.900397999999996
2-2805636,,0,0.378684,0.672822,1.0345030000000002,1.227175,1.747061,1.537123,1.339275,1.127273,0.685538,0.640566,18.402562,32.489022999999996
3-2806053,,,0,0.294139,0.65582,0.848491,1.373378,1.163439,1.159118,1.03188,0.590146,0.5451739999999999,18.307170000000003,32.39363
4-2806032,,,,0,0.361681,0.554353,1.0792389999999998,0.869301,0.86498,1.0769819999999999,0.8842840000000001,0.8393120000000001,18.601308,32.687769
5-2806025,,,,,0,0.192672,1.0965120000000002,0.8975489999999999,0.893228,1.1052309999999999,1.245965,1.200993,18.962989,33.04945
6-2805697,,,,,,0,0.903841,1.0902209999999999,1.0859,1.2979020000000001,1.4386370000000002,1.393664,19.155661,33.242121000000004
7-2805699,,,,,,,0,0.209939,0.40778600000000004,0.619789,1.0625229999999999,1.315551,19.077547,33.164008
8-2805701,,,,,,,,0,0.197848,0.40985,0.852584,1.105612,18.867607999999997,32.954069
9-2807440,,,,,,,,,0,0.21200300000000002,0.654737,0.9077649999999999,18.669760999999998,32.756221000000004
10-2806806,,,,,,,,,,0,0.44273500000000005,0.695762,18.457759,32.544219
11-2805704,,,,,,,,,,,0,0.25402800000000003,18.016023999999998,32.102484999999994
12-2807625,,,,,,,,,,,,0,17.762995999999998,31.849457
13-2807549,,,,,,,,,,,,,0,14.086460999999998
14-2806228,,,,,,,,,,,,,,0
