순번_정류장ID,1-2800700,2-2800737,3-2800757,4-2800748,5-2800721,6-2805438,7-2801574,8-2801188,9-2801430,10-2801166,11-2801394,12-2801178,13-2801179,14-2801424,15-2801401,16-2801380,17-2803502,18-2807466,19-2803415,20-2805157,21-2805159,22-2805161,23-2805168,24-2805163,25-2805165,26-2803466,27-2803486,28-2803483
1-2800700,0,0.42136999999999997,0.695198,1.1108360000000002,0.721222,0.631505,2.242575,2.865009,3.673483,4.042441,4.299296,3.949747,4.533921,4.990174,5.552232,6.289404,11.535035,16.494445000000002,22.364005,24.566585,25.364238,25.87946,26.408140000000003,27.097919,27.487505,27.925465999999997,29.800526,30.897522
2-2800737,,0,0.273828,0.8321959999999999,0.865149,0.840866,2.4519349999999998,3.07437,3.8828440000000004,4.251802,4.508655999999999,4.159108,4.743282,5.199535,5.761593,6.498765000000001,11.744396,16.702804999999998,22.574366,24.773945,25.573598999999998,26.090821,26.617501,27.306278999999996,27.698866,28.133827,30.010887,31.104883
3-2800757,,,0,0.852025,0.884977,1.054694,2.665764,3.2881980000000004,4.096672,4.46563,4.722485,4.372936,4.95711,5.413364,5.975421,6.712592999999999,11.957224,16.918634,22.786194000000002,24.986774,25.785427,26.301648999999998,26.829328999999998,27.520108,27.910694,28.346655,30.221715000000003,31.319710999999998
4-2800748,,,,0,0.41061400000000003,0.580331,2.191401,2.8138349999999996,3.6223089999999996,3.9912669999999997,4.248122,3.8985730000000003,4.482747,4.939001,5.5010580000000004,6.238230000000001,11.481862,16.442270999999998,22.311831,24.513410999999998,25.312064000000003,25.827287,26.356965999999996,27.045745,27.435331,27.874291999999997,29.748352,30.846349
5-2800721,,,,,0,0.170717,1.7817869999999998,2.4042209999999997,3.212695,3.5816529999999998,3.838508,3.4889589999999995,4.073133,4.529387,5.091444,5.828616,11.073248,16.033657,21.903217,24.104797,24.90245,25.419673,25.947352,26.637131,27.027717,27.463678,29.339739,30.436735
6-2805438,,,,,,0,1.6120700000000001,2.2345040000000003,3.0429779999999997,3.411936,3.668791,3.319242,3.9034160000000004,4.3596699999999995,4.921727,5.658899,10.904531,15.86394,21.7345,23.934079999999998,24.733732999999997,25.248956,25.776635,26.465414000000003,26.858,27.294960999999997,29.170021999999996,30.267018
7-2801574,,,,,,,0,0.622434,1.430909,1.7998669999999999,2.056721,1.7071720000000001,2.291346,2.7476,3.309658,4.046829,9.291461,14.252870000000001,20.12143,22.322010000000002,23.120663,23.635886,24.164565,24.854344,25.245929999999998,25.680892,27.556952000000003,28.652948
8-2801188,,,,,,,,0,0.808475,1.177433,1.449287,1.0997379999999999,1.6839119999999999,2.140166,2.702224,3.4393949999999998,8.685027,13.645435999999998,19.515995999999998,21.717576,22.513229,23.031451999999998,23.557132,24.248910000000002,24.636495999999998,25.073458,26.949517999999998,28.048514
9-2801430,,,,,,,,,0,0.368958,0.644813,1.188221,1.7723939999999998,2.2286479999999997,2.790706,3.527878,7.897553,12.857961999999999,18.727522,20.928102,21.725755,22.242978,22.771657,23.459436,23.851022,24.287982999999997,26.162043,27.259039
10-2801166,,,,,,,,,,0,0.9227270000000001,1.557179,2.141352,2.5976060000000003,3.159664,3.896836,7.531594999999999,12.492004,18.362564000000003,20.563144,21.361797,21.87602,22.405699,23.094478,23.484064,23.921025,25.797085,26.895082000000002
11-2801394,,,,,,,,,,,0,0.837033,1.4212069999999999,1.877461,2.439518,3.1766900000000002,7.252739999999999,12.213149000000001,18.082709,20.283289,21.080942,21.597165,22.125845,22.814623,23.205209,23.642170999999998,25.517231,26.614227000000003
12-2801178,,,,,,,,,,,,0,0.584174,1.0404280000000001,1.602485,2.339657,7.5852889999999995,12.544698,18.414258,20.615838,21.413491,21.930714000000002,22.456393,23.145172,23.537758,23.975719,25.850779,26.945776000000002
13-2801179,,,,,,,,,,,,,0,0.456254,1.018311,1.7554830000000001,6.999115,11.959524,17.830084,20.030664,20.828317000000002,21.34754,21.874219,22.564998000000003,22.951584,23.392545000000002,25.266606,26.360602
14-2801424,,,,,,,,,,,,,,0,0.563058,1.30023,6.544861,11.50527,17.376831,19.57741,20.373064000000003,20.890286,21.418966,22.107744,22.498331,22.936292,24.810351999999998,25.907348000000002
15-2801401,,,,,,,,,,,,,,,0,0.738172,5.981803,10.943213,16.813773,19.014353,19.811006,20.328229,20.858908,21.546687,21.936273,22.375234,24.248294,25.34729
16-2801380,,,,,,,,,,,,,,,,0,5.316632,10.277041,16.147601,18.346181,19.144834,19.662057,20.190735999999998,20.879514999999998,21.268101,21.705061999999998,23.583123,24.678119
17-2803502,,,,,,,,,,,,,,,,,0,4.960408999999999,10.82997,13.030549,13.829203,14.344425,14.874104999999998,15.562883,15.952470000000002,16.390431,18.265491,19.361487
18-2807466,,,,,,,,,,,,,,,,,,0,5.869561,8.07114,8.867794,9.385016,9.913696,10.602475,10.993061,11.429022,13.305082,14.402078
19-2803415,,,,,,,,,,,,,,,,,,,0,2.20058,2.9982330000000004,3.5144559999999996,4.0431349999999995,4.731914,5.1225,5.559462,7.434522,8.531518
20-2805157,,,,,,,,,,,,,,,,,,,,0,0.797654,1.313876,1.842556,2.531335,2.9219209999999998,3.358882,5.233942,6.330938
21-2805159,,,,,,,,,,,,,,,,,,,,,0,0.518223,1.046902,1.735681,2.126267,2.563228,4.438288,5.535285
22-2805161,,,,,,,,,,,,,,,,,,,,,,0,0.52868,1.217458,1.6080450000000002,2.0450060000000003,3.9200660000000003,5.017062
23-2805168,,,,,,,,,,,,,,,,,,,,,,,0,0.688779,1.079365,1.516326,3.3913870000000004,4.488383
24-2805163,,,,,,,,,,,,,,,,,,,,,,,,0,0.39058699999999996,0.827548,2.702608,3.799604
25-2805165,,,,,,,,,,,,,,,,,,,,,,,,,0,0.436961,2.3120220000000002,3.409018
26-2803466,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.87506,2.972057
27-2803486,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1049959999999999
28-2803483,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
