순번_정류장ID,40-2803402,41-2803401,42-2803398,43-2803385,44-2803384,45-2805647,46-2805047,47-2803567,48-2803569,49-2803391,50-2803573,51-2803572,52-2807547,53-2807522,54-2807539,55-2807536,56-2807530,57-2807491,58-2807490,59-2800016,60-2800011,61-2804472,62-2800009,63-2800042,64-2807332,65-2800039,66-2800018,67-2800020,68-2800008,69-2800395,70-2800399,71-2804902,72-2800410,73-2800416,74-2800343
40-2803402,0,0.673783,1.222484,1.8589830000000003,2.381192,2.740711,3.6153190000000004,4.21772,5.630892,6.320368,7.216833,7.905931,8.458045,15.279055,16.624784,17.765694,19.200953,22.524567,26.507440000000003,31.829715000000004,34.261854,35.476735999999995,36.330783000000004,36.643387,37.19119,37.994145,38.741526,39.331131,39.934259000000004,40.970324,41.4362,41.717682,43.147436,43.484338,44.320301
41-2803401,,0,0.548701,1.1852,1.707409,2.066929,2.941536,3.543937,4.957109,5.645585,6.54305,7.232149000000001,7.783262,14.604273000000001,15.951001999999999,17.090911,18.52717,21.850784,25.832657,31.154932000000002,33.586071000000004,34.802954,35.656,35.970603999999994,36.517408,37.321362,38.066743,38.656348,39.259476,40.297540999999995,40.760418,41.041899,42.474654,42.808555,43.644518
42-2803398,,,0,0.6474989999999999,1.169708,1.529228,2.403835,3.006236,4.420408,5.107883999999999,6.005349,6.6944479999999995,7.246561,14.067572,15.413301,16.55421,17.989469,21.313083,25.294956,30.617231,33.04937,34.265253,35.118299,35.434903000000006,35.979707,36.784661,37.528042,38.118646999999996,38.722775,39.75884,40.222716999999996,40.505198,41.934953,42.270854,43.105817
43-2803385,,,,0,0.522209,0.8817290000000001,1.757337,2.359737,3.7719089999999995,4.461386,5.35785,6.047949,6.599061999999999,13.419073000000001,14.766801999999998,15.906710999999998,17.34297,20.665584,24.648457,29.970732,32.402871000000005,33.618753999999996,34.4718,34.785404,35.331208000000004,36.137162,36.882543,37.472148,38.075276,39.111340999999996,39.575218,39.859699,41.289454,41.624355,42.461319
44-2803384,,,,,0,0.35952,1.2341280000000001,1.836528,3.2497,3.9381769999999996,4.835641000000001,5.52474,6.0758529999999995,12.896864,14.243592999999999,15.383501999999998,16.819761,20.143375,24.125248000000003,29.446523,31.879662,33.094545000000004,33.947590999999996,34.262195,34.808999,35.614953,36.358334,36.948939,37.551066999999996,38.589132,39.054009,39.336490000000005,40.765245,41.102146000000005,41.93711
45-2805647,,,,,,0,0.8746079999999999,1.477009,2.890181,3.5786569999999998,4.476122,5.16522,5.716334,12.537345,13.884073999999998,15.023983,16.460242,19.783856,23.764729,29.088003999999998,31.520143,32.736025,33.588072,33.903676000000004,34.448479,35.254434,35.999815000000005,36.589420000000004,37.192547999999995,38.227613,38.695489,38.975971,40.407726000000004,40.740627,41.57659
46-2805047,,,,,,,0,0.6024010000000001,2.015573,2.7040490000000004,3.601514,4.290612,4.841726,11.662737,13.009466,14.149375,15.585633999999999,18.909248,22.891121,28.212396000000002,30.644534999999998,31.860416999999998,32.713464,33.028068,33.574871,34.378826000000004,35.124207,35.713812,36.31694,37.353004999999996,37.818881,38.100363,39.531118,39.869019,40.701982
47-2803567,,,,,,,,0,1.4131719999999999,2.101649,2.999113,3.688212,4.239325,11.060336,12.407065,13.546973999999999,14.983232999999998,18.306847,22.28772,27.609995,30.042134000000004,31.258017,32.112063,32.425667,32.971471,33.777425,34.521806,35.113411,35.716539000000004,36.752604,37.215481,37.498962,38.927717,39.263618,40.100582
48-2803569,,,,,,,,,0,0.688477,1.585942,2.27504,2.8261540000000003,9.647164,10.993893,12.133803,13.570060999999999,16.893676,20.874549,26.197823,28.629963,29.845845,30.698891999999997,31.013496000000004,31.559299,32.364253000000005,33.109634,33.69924,34.302368,35.338433,35.803309000000006,36.08679,37.515545,37.851446,38.68741
49-2803391,,,,,,,,,,0,0.900465,1.589564,2.140677,8.961688,10.308417,11.448326,12.884585000000001,16.208199,20.189072,25.511347,27.943486,29.159369,30.012415,30.329019,30.872822999999997,31.677777000000003,32.424158,33.014763,33.617891,34.654956,35.117833000000005,35.402314000000004,36.829069,37.16697,38.003934
50-2803573,,,,,,,,,,,0,0.689099,1.240213,8.383223,9.729952,10.869862,12.30612,15.629735,19.610608,24.933882,27.366021999999997,28.581903999999998,29.434951,29.748555,30.294358000000003,31.100313,31.845693,32.435299,33.038427,34.073492,34.539367999999996,34.82085,36.251604,36.586504999999995,37.423469
51-2803572,,,,,,,,,,,,0,0.551114,7.694125,9.040854,10.180763,11.617022,14.940635999999998,18.921509,24.245784,26.677923,27.893806,28.746852,29.061456,29.607259999999997,30.412214000000002,31.157595,31.7472,32.350328000000005,33.387392999999996,33.85127,34.133751000000004,35.563506,35.899407000000004,36.735371
52-2807547,,,,,,,,,,,,,0,7.143011,8.48974,9.62965,11.065908,14.389523,18.371396,23.694670000000002,26.12681,27.342692,28.195739,28.510343,29.056146000000002,29.861101,30.606481,31.196087,31.799215000000004,32.83428,33.300156,33.582637,35.011392,35.349292999999996,36.184257
53-2807522,,,,,,,,,,,,,,0,1.34673,2.486639,3.9228980000000004,7.246511999999999,11.227385,16.55066,18.982799,20.199682,21.051728,21.367332,21.911136,22.716089999999998,23.461471,24.052076,24.655205,25.69227,26.157146,26.438627,27.869382,28.205283,29.040246999999997
54-2807539,,,,,,,,,,,,,,,0,1.14591,2.5821680000000002,5.9057830000000004,9.887656,15.21093,17.64307,18.857951999999997,19.711999,20.025603,20.572406,21.377360999999997,22.121741,22.711347,23.314475,24.35154,24.815416,25.097897,26.526652000000002,26.863553000000003,27.701517
55-2807536,,,,,,,,,,,,,,,,0,1.436259,4.759873000000001,8.740746000000001,14.063020999999999,16.495160000000002,17.711043,18.564089000000003,18.878693,19.424497,20.229451,20.974832,21.564436999999998,22.167565,23.204629999999998,23.668507,23.950988,25.381743,25.717644,26.552608000000003
56-2807530,,,,,,,,,,,,,,,,,0,3.340615,7.322487,12.645762,15.077901,16.293784,17.146829999999998,17.461435,18.007238,18.812192,19.557573,20.147178,20.750307,21.787372,22.251248,22.533729,23.963484,24.300385000000002,25.136349
