순번_정류장ID,64-2803210,65-2803361,66-2807344,67-2806484,68-2807326,69-2805694,70-2805636,71-2806053,72-2806032,73-2806025,74-2805697,75-2805699,76-2805701,77-2807440,78-2806806,79-2805704,80-2807625,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677,87-2807428,88-2807429,89-2807521,90-2806171,91-2807223,92-2806160,93-2805528,94-2807269,95-2806830,96-2805759,97-2805529,98-2805839,99-2805561,100-2805340,101-2805841,102-2805450,103-2806913,104-2805580,105-2805332,106-2805742,107-2805229,108-2805231,109-2805400,110-2805038,111-2804895,112-2805911,113-2806732,114-2806730,115-2807462,116-2806214,117-2800622,118-2800627,119-2800336,120-2800653,121-2800656,122-2800661,123-2804967,124-2806938
64-2803210,0,0.305772,7.102927,7.429226,8.615895,10.521225,10.9326,11.311283999999999,11.432853999999999,11.462102999999999,11.654774,12.178661,11.968722,11.964400999999999,12.059872,11.618138,11.573166,12.004814,12.319183,11.71004,11.644164,11.976415,12.28575,11.739105,11.773758,21.298488,22.104965,24.003093,24.481542,25.452576,26.22624,26.595984,27.267714,27.514359000000002,27.807863,27.871364,27.798644,27.905171999999997,28.085981,28.238841999999998,27.797363,27.497031,27.310640000000003,27.510651,27.201102000000002,27.312365999999997,27.473606,27.751596999999997,28.017138,28.351007,28.826265999999997,29.035321999999997,29.645709000000004,29.931893,30.27425,30.715333,30.694484999999997,30.507528999999998,30.302913,30.213309999999996,31.020944
65-2803361,,0,6.797156,7.123455,8.310124,10.215453,10.626828,11.005512,11.127082000000001,11.156331,11.349003,11.873889,11.66395,11.658629,11.754101,11.312366,11.267394,11.699043,12.013411,11.403267999999999,11.338393,11.670644,11.979978,11.433333,11.467986999999999,20.992716,21.799194,23.697321,24.17577,25.146804,25.920468,26.290213,26.961941999999997,27.208586999999998,27.502090999999997,27.565593,27.492872,27.599401,27.780209999999997,27.932071,27.490592,27.189259999999997,27.006868,27.204879,26.895331,27.006594,27.167834999999997,27.445826,27.707365999999997,28.045236,28.520494,28.72555,29.340937,29.626122,29.965478000000004,30.410560999999998,30.383713,30.199758000000003,29.997141999999997,29.901538000000002,30.712172
66-2807344,,,0,0.326299,1.512968,3.4302980000000005,3.841673,4.220357,4.341927,4.371176,4.563847,5.088734,4.878794999999999,4.874474,4.968946,4.527211,4.482239,4.913887,5.228256,4.748692,4.682816000000001,5.015067,5.508177,6.1987559999999995,6.23341,15.75814,16.564617000000002,18.462744,18.941193,19.912226999999998,20.685891,21.055636,21.727365,21.97401,22.267514000000002,22.331016,22.258295999999998,22.364824,22.545633,22.695494,22.258015,21.956682999999998,21.770291,21.970303,21.660754,21.772018,21.933258,22.211249,22.47279,22.814659,23.289917000000003,23.494974,24.106360000000002,24.394545,24.733901,25.178985,25.153136,24.968181,24.762565,24.666961999999998,25.481595000000002
67-2806484,,,,0,1.1866700000000001,3.103999,3.515374,3.8940580000000002,4.0156279999999995,4.044877,4.237549,4.762435,4.552496,4.548175,4.642647,4.200912000000001,4.15594,4.587589,4.901957,5.075991,5.010115,5.342366,5.835476,6.525055,6.559709,16.084439,16.890916,18.789043,19.267492,20.238526,21.01219,21.381935000000002,22.053664,22.300309,22.593813,22.657315,22.584595,22.691123,22.871932,23.021793,22.581314000000003,22.280982,22.09759,22.296602,21.987053,22.098317,22.259557,22.537548,22.803089,23.136958,23.612216,23.817273,24.436659,24.721844,25.0612,25.506284,25.480435,25.29048,25.089864000000002,24.994260999999998,25.808894
68-2807326,,,,,0,1.91733,2.328705,2.707389,2.8289590000000002,2.8582080000000003,3.050879,3.5757660000000002,3.3658269999999995,3.361506,3.455978,3.014243,2.969271,3.4009199999999997,3.7152879999999997,4.3563410000000005,4.6862699999999995,5.018521,5.5116309999999995,6.53421,6.538623,15.856593,16.66307,18.561198,19.039647,20.010680999999998,20.784345000000002,21.154089000000003,21.825819,22.072464,22.365968,22.429469,22.356749,22.463276999999998,22.644087,22.795947,22.356468,22.053136,21.869745,22.068756,21.759207,21.870471,22.031712,22.309703,22.571243,22.909112,23.388371,23.589427,24.208814,24.492998999999998,24.828355,25.273438,25.24759,25.065635,24.860019,24.772415,25.577049
69-2805694,,,,,,0,0.411375,0.7900590000000001,1.0841969999999999,1.292052,1.484723,2.00961,1.799671,1.75065,1.538648,1.096913,1.051941,1.48359,1.7979580000000002,2.4390110000000003,2.76894,3.101191,3.594301,4.61688,4.621293,13.939264000000001,14.745741,16.643867999999998,17.122317000000002,18.093351000000002,18.867015,19.23676,19.908489000000003,20.155134,20.448638,20.51214,20.439420000000002,20.545948000000003,20.726757,20.878618,20.437139000000002,20.137807000000002,19.952415,20.151426999999998,19.841878,19.953142,20.114382,20.392373000000003,20.657913,20.995783,21.471041,21.676098,22.291484,22.576669,22.916025,23.361107999999998,23.33526,23.150305,22.944689,22.853085,23.663719
70-2805636,,,,,,,0,0.378684,0.672822,1.0345030000000002,1.227175,1.747061,1.537123,1.339275,1.127273,0.685538,0.640566,1.072215,1.386583,2.027636,2.357565,2.689816,3.1829259999999997,4.206505,4.209918,13.527889000000002,14.334366000000001,16.232492999999998,16.710942000000003,17.681976000000002,18.45564,18.825385,19.497114,19.743759,20.037263,20.100765,20.028045000000002,20.134573,20.315382,20.468243,20.026764,19.724432,19.54204,19.740052,19.430503,19.541767,19.703007,19.980998,20.242538,20.580408,21.055666,21.264723,21.875109,22.160294,22.50465,22.944733,22.919885,22.73493,22.530314,22.43971,23.248344
71-2806053,,,,,,,,0,0.294139,0.65582,0.848491,1.373378,1.163439,1.159118,1.03188,0.590146,0.5451739999999999,0.976822,1.291191,1.9322439999999999,2.2621729999999998,2.594424,3.0875340000000002,4.111113,4.114525,13.432495999999999,14.238973000000001,16.137101,16.61555,17.586584,18.360248000000002,18.729992000000003,19.401722,19.648367,19.941871,20.005372,19.932651999999997,20.039179999999998,20.219989,20.37185,19.931371,19.628039,19.446648,19.644659,19.33511,19.446374,19.607614,19.885604999999998,20.147146,20.489015,20.960274,21.16933,21.780717000000003,22.064901000000003,22.404258,22.853341,22.823493,22.643537,22.437921,22.344317999999998,23.155952
72-2806032,,,,,,,,,0,0.361681,0.554353,1.0792389999999998,0.869301,0.86498,1.0769819999999999,0.8842840000000001,0.8393120000000001,1.270961,1.585329,2.226382,2.556311,2.888562,3.381672,4.405251,4.408664,13.726633999999999,14.533110999999998,16.431239,16.909688,17.880722,18.654386,19.02413,19.69586,19.942505,20.236009,20.29951,20.22679,20.333318,20.514128,20.664988,20.224509,19.924177,19.740786,19.938797,19.629248,19.740512,19.901753,20.179744,20.441284,20.779153,21.254412,21.459467999999998,22.077855,22.360039,22.698396,23.144479,23.118631,22.933676000000002,22.72806,22.639456,23.44709
73-2806025,,,,,,,,,,0,0.192672,1.0965120000000002,0.8975489999999999,0.893228,1.1052309999999999,1.245965,1.200993,1.632642,1.94701,2.588063,2.917992,3.250243,3.743353,4.765932,4.770345,14.088315,14.894792,16.792920000000002,17.271369,18.242403,19.016067,19.385811,20.057541,20.304185999999998,20.59769,20.661191,20.588471,20.694999,20.875809,21.027669,20.58819,20.283858,20.102467,20.300478,19.990929,20.102193,20.263434,20.541425,20.806964999999998,21.144834,21.620093,21.825149,22.440535999999998,22.725720000000003,23.065077,23.51016,23.484312,23.298357,23.092741,23.002137,23.811771
