순번_정류장ID,1-2807632,2-2800680,3-2806689,4-2800722,5-2800307,6-2800758,7-2803491,8-2806937,9-2804966,10-2800663,11-2800655,12-2800654,13-2800340,14-2800624,15-2807077,16-2807079,17-2806633,18-2805743,19-2804896,20-2805037,21-2805221,22-2805232,23-2805872,24-2805230,25-2805333,26-2805228,27-2805226,28-2805575,29-2805499,30-2805843,31-2805408,32-2804947,33-2805317,34-2805874,35-2805024,36-2806658,37-2806743,38-2806902,39-2800582,40-2800571,41-2800554,42-2800544,43-2804975,44-2800560,45-2803766,46-2800351,47-2800549,48-2800543,49-2800385,50-2800536,51-2807212,52-2803764,53-2800530,54-2800523,55-2800519,56-2800517,57-2800515,58-2800508,59-2800506
1-2807632,0,3.3440309999999998,3.675067,4.164203,5.086301000000001,5.481392,6.230032,5.9027650000000005,5.052542,5.209887999999999,5.468144000000001,5.614027,5.670052,5.555464,5.366093,5.010269999999999,5.464617,5.615197,5.377625,5.046015000000001,4.8147199999999994,4.665534,4.856514,5.0808349999999995,5.136932,5.202123,5.676079,5.893259,5.611644,5.3505910000000005,5.35778,5.635951,5.7944949999999995,6.067625,6.272453,6.488995,7.608355,7.9488259999999995,8.116331,8.578514,9.060361,9.225289,8.930813,7.667027,7.729014,8.101861999999999,8.343524,8.408341,8.576134,9.227642,9.702872,9.607944,9.646237,9.928933,10.173783,10.335351,10.512022,11.07731,11.36872
2-2800680,,0,0.331036,0.8201719999999999,1.74227,2.137361,2.886001,3.1907669999999997,2.339544,2.49789,2.7561459999999998,2.90103,2.957055,2.8424669999999996,2.652096,2.297272,2.751619,2.9031990000000003,2.664627,2.333017,2.101722,1.952536,2.143516,2.367838,2.587072,2.780153,3.25411,3.198744,2.898647,2.637594,2.644782,2.9229529999999997,3.081498,3.354627,3.5594550000000003,3.7759970000000003,4.895357,5.235828,5.404333,5.866517,6.348364,6.513291000000001,6.218816,4.95403,5.016017,5.388865,5.630526000000001,5.695343,5.863137,6.5146440000000005,6.989874,6.8959470000000005,6.934239,7.216935,7.461785000000001,7.623353,7.8000240000000005,8.364312,8.655723
3-2806689,,,0,0.48913599999999996,1.411234,1.806325,2.554966,3.023198,2.67158,2.8279259999999997,3.087182,3.232066,3.28809,3.173502,2.983131,2.627308,3.081655,3.2332349999999996,2.995663,2.664053,2.432758,2.283572,2.474552,2.698873,2.918108,3.111189,3.585145,3.52978,3.229682,2.968629,2.975818,3.253989,3.4125330000000003,3.685663,3.8904910000000004,4.107033,5.226393,5.567864,5.734369,6.197553,6.6784,6.844327000000001,6.548852,5.285065,5.347053,5.7199,5.961562000000001,6.026379,6.194173,6.845680000000001,7.3209100000000005,7.225982000000001,7.264275,7.546971000000001,7.7918210000000006,7.953389,8.13006,8.695348,8.986759
4-2800722,,,,0,0.922099,1.3171899999999999,2.06583,2.534062,3.1597150000000003,3.3180620000000003,3.576318,3.721201,3.777226,3.662638,3.472267,3.116443,3.5707910000000003,3.722371,3.4847980000000005,3.153188,2.921894,2.772708,2.9636869999999997,3.188009,3.4072430000000002,3.6003239999999996,4.074281,4.018916,3.718818,3.457765,3.464953,3.743124,3.901669,4.174798,4.379626,4.596169000000001,5.716528,6.057,6.223505,6.6876880000000005,7.167535000000001,7.332462,7.038987,5.774201000000001,5.836188,6.209036,6.450698,6.515515,6.683308,7.334816,7.810046000000001,7.7151179999999995,7.753411,8.037106,8.281956,8.442525,8.619196,9.184484,9.475894
5-2800307,,,,,0,0.39509099999999997,1.143731,1.611964,2.4621869999999997,2.825587,3.083843,3.339727,3.6616760000000004,4.197163,4.084792,3.728969,4.1833160000000005,4.595530999999999,4.406897,4.075287,3.8439919999999996,3.694806,3.885786,4.110107,4.329342,4.522423000000001,4.996379,4.941014,4.640916000000001,4.379862999999999,4.387052,4.665223,4.823767,5.096897,5.301725,5.518267,6.336054,6.677525,6.84503,7.3082139999999995,7.789061,7.953988000000001,7.6595130000000005,6.696299000000001,6.758286999999999,7.131133999999999,7.372796000000001,7.437613000000001,7.6054070000000005,8.256914,8.690856,8.336642999999999,8.373936,8.657632000000001,8.901482000000001,9.06405,9.240721,9.805009,10.09642
6-2800758,,,,,,0,0.748641,1.2168729999999999,2.067096,2.4304959999999998,2.688752,2.944636,3.266585,3.802072,3.691701,3.3358779999999997,3.789225,4.20144,4.441013,4.470378,4.239083,4.089897000000001,4.280876999999999,4.505198,4.724433,4.917514,5.39147,5.336105,5.036007,4.774954,4.782143,5.060314,5.218858,5.100013,5.145061,5.360603,5.943963,6.283434,6.451939,6.912122999999999,7.3939699999999995,7.558897,7.266422,7.09139,7.153378,7.526225,7.767886999999999,7.832704,8.000498,8.652005,8.295765,7.941552000000001,7.981845,8.263541,8.509391,8.667959,8.84563,9.409918,9.702328999999999
7-2803491,,,,,,,0,0.468233,1.3184559999999999,1.6818560000000002,1.9401119999999998,2.195996,2.513945,3.053432,2.941061,2.585238,3.0395849999999998,3.4528,3.690373,4.0219830000000005,4.254277,4.596502,4.788482,5.012803,5.232037999999999,5.4251190000000005,5.8980760000000005,5.84371,5.526612,5.265559,5.061218,4.784047,4.625502,4.350373,4.394421,4.610963,5.193323,5.533794,5.701299,6.163483,6.64533,6.810257000000001,6.515782,6.50397,6.753983,7.12683,7.368492,7.4333089999999995,7.601103,8.025355000000001,7.547125,7.192912,7.231205,7.513901,7.758750999999999,7.920319,8.09699,8.662278,8.953689
8-2806937,,,,,,,,0,0.850224,1.213624,1.4718799999999999,1.7277639999999999,2.045713,2.5852,2.4738290000000003,2.117006,2.5713529999999998,2.984568,3.223141,3.553751,3.784045,4.12927,4.32025,4.542571,4.763806,4.955887000000001,5.429843,5.375478,5.05938,4.797327,4.592986,4.315815,4.15727,3.8821410000000003,3.926189,4.1427309999999995,4.725091,5.066562,5.234067,5.694251,6.182098000000001,6.341025,6.04855,6.034738,6.284751,6.657597999999999,6.901260000000001,6.9640770000000005,7.132871000000001,7.558122999999999,7.078892999999999,6.72468,6.761972999999999,7.045669,7.289519,7.452087,7.627758,8.193046,8.484457
9-2804966,,,,,,,,,0,0.36340100000000003,0.621657,0.87754,1.19549,1.734977,1.624606,1.268782,1.7231299999999998,2.135345,2.3739169999999996,2.705527,2.937822,3.281047,3.472026,3.6963480000000004,3.915582,4.108663,4.5826199999999995,4.527255,4.211157,3.950104,3.744762,3.4675910000000005,3.309047,3.0339169999999998,3.0779650000000003,3.294508,3.876867,4.217339,4.384844,4.847027,5.3278739999999996,5.493801,5.199326,5.187514,5.437526999999999,5.810375,6.052037,6.116854,6.2846470000000005,6.7089,6.23067,5.876457,5.91475,6.197445,6.442295,6.603864,6.780535,7.345822999999999,7.637233
10-2800663,,,,,,,,,,0,0.258256,0.5141399999999999,0.832089,1.3715760000000001,1.490048,1.425129,1.879476,2.292691,2.530263,2.8618740000000003,3.094168,3.436393,3.6273730000000004,3.851694,4.0709290000000005,4.26401,4.737966,4.682601,4.366503,4.10545,3.9001080000000004,3.623938,3.465393,3.190264,3.234312,3.450854,3.989467,4.329937999999999,4.34881,4.487627,4.968474,5.513853,5.355673,5.343861,5.593874,5.966721,6.208383,6.2732,6.440994,6.865246000000001,6.387016,6.0328029999999995,6.071096,6.353791999999999,6.598642,6.760210000000001,6.936881,7.0434220000000005,7.335833
