순번_정류장ID,20-2807429,21-2806542,22-2806540,23-2807478,24-2807476,25-2807474,26-2803647,27-2803761,28-2803754,29-2806490,30-2803755,31-2803756,32-2805484,33-2805485,34-2806537,35-2803178,36-2803297,37-2805971
20-2807429,0,1.04928,1.898045,2.314941,2.750322,3.404933,3.667156,2.616351,2.011359,1.629359,1.223698,0.864617,1.160215,1.549662,3.4509849999999997,4.218785,4.553121,4.762949
21-2806542,,0,0.848765,1.270661,1.7060419999999998,2.3606529999999997,2.870805,3.2833900000000003,2.678399,2.296398,1.890737,1.531656,1.8272549999999999,2.216702,4.118024,4.8858239999999995,5.22116,5.429989
22-2806540,,,0,0.421897,0.8572770000000001,1.511888,2.022041,3.064845,3.527164,3.145163,2.739502,2.380421,2.6760200000000003,3.065467,4.966789,5.734589,6.069925,6.278754
23-2807478,,,,0,0.435381,1.089992,1.6001450000000002,2.642949,3.243941,3.5620589999999996,3.156398,2.7973169999999996,3.0929159999999998,3.482363,5.383685,6.151485,6.486821,6.69565
24-2807476,,,,,0,0.6546109999999999,1.186764,2.229568,2.8305599999999997,3.209561,3.5917790000000003,3.232698,3.528296,3.917743,5.819066,6.5868660000000006,6.921202,7.13103
25-2807474,,,,,,0,0.532153,1.574957,2.175949,2.55495,2.96061,3.319691,3.960282,4.34973,6.4736769999999995,7.241477000000001,7.5768130000000005,7.785641
26-2803647,,,,,,,0,1.0578049999999999,1.658796,2.0377970000000003,2.443458,2.802539,3.4431300000000005,3.8325769999999997,6.134899,6.902699,7.238035000000001,7.446864
27-2803761,,,,,,,,0,0.607992,0.986992,1.3926530000000001,1.7517340000000001,2.392325,2.781772,5.084095,5.851895,6.187231,6.396058999999999
28-2803754,,,,,,,,,0,0.38200100000000003,0.787662,1.146743,1.787334,2.176781,4.479103,5.246903,5.581239,5.791068
29-2806490,,,,,,,,,,0,0.405661,0.764742,1.405333,1.7947799999999998,4.097102,4.864903,5.200238,5.409066999999999
30-2803755,,,,,,,,,,,0,0.359081,0.9996719999999999,1.389119,3.691441,4.459242,4.793578,5.003406
31-2803756,,,,,,,,,,,,0,0.640591,1.030038,3.332361,4.100161,4.434497,4.644325
32-2805484,,,,,,,,,,,,,0,0.389447,2.69277,3.4605699999999997,3.7949059999999997,4.004734
33-2805485,,,,,,,,,,,,,,0,2.303323,3.071123,3.4064589999999995,3.6152870000000004
34-2806537,,,,,,,,,,,,,,,0,0.7678,1.1031360000000001,1.311965
35-2803178,,,,,,,,,,,,,,,,0,0.335336,1.803493
36-2803297,,,,,,,,,,,,,,,,,0,1.875172
37-2805971,,,,,,,,,,,,,,,,,,0
