순번_정류장ID,1-2803221,2-2807330,3-2805699,4-2805701,5-2807440,6-2806806,7-2805975,8-2803158,9-2807014,10-2805505,11-2805506,12-2807016,13-2805507,14-2806531,15-2807017,16-2807019,17-2807021,18-2805467,19-2806561,20-2807023,21-2806563,22-2805480,23-2805481,24-2803760,25-2806556,26-2807429,27-2806558,28-2805186,29-2805187,30-2805516,31-2805470,32-2806564,33-2806802,34-2803678,35-2803679,36-2805705
1-2803221,0,0.569525,1.855977,2.065916,2.263763,2.475766,2.722826,2.9857270000000002,3.3052309999999996,3.6671519999999997,4.1395230000000005,4.395263,4.584712000000001,4.865175,5.17508,5.715125,6.31559,6.861953,6.865460000000001,6.729735000000001,6.772995,7.037864999999999,7.535011,7.595072,7.133083,6.740880000000001,6.383247,6.164689,5.71563,5.129276,4.847144,5.180751,5.2508919999999994,5.214141000000001,5.4991129999999995,6.832546000000001
2-2807330,,0,1.522453,1.732392,1.930239,2.142241,2.740351,3.0032520000000003,3.3227559999999996,3.6846769999999998,4.1570480000000005,4.412787000000001,4.603237,4.8837,5.192604,5.73265,6.333115,6.878478,6.882985000000001,6.747260000000001,6.790519000000001,7.055389,7.5515360000000005,7.2615479999999994,6.799558,6.407355,6.049723,5.831164,5.382105999999999,4.795751999999999,4.513619,4.847226,4.917367,4.880617,5.166589,6.500021
3-2805699,,,0,0.209939,0.40778600000000004,0.619789,1.465849,1.72875,2.048254,2.410175,2.882546,3.138286,3.328735,3.6081980000000002,3.918103,4.457148,5.059613,5.603976,5.607483,5.472758,5.517018,5.780888,6.153512,5.739095,5.277106,4.8849029999999996,4.52727,4.308712,3.859653,3.273299,2.991167,3.3247739999999997,3.394915,3.358164,3.644136,4.977569
4-2805701,,,,0,0.197848,0.40985,1.25591,1.518812,1.8383150000000001,2.200236,2.672607,2.928347,3.1187970000000003,3.39926,3.709164,4.24821,4.849673999999999,5.395037,5.3985449999999995,5.262819,5.307079,5.570949,5.944573,5.529157,5.0671669999999995,4.674964,4.317332,4.098773,3.649715,3.06336,2.781228,3.114835,3.184976,3.1482259999999997,3.4331970000000003,4.76663
5-2807440,,,,,0,0.21200300000000002,1.058063,1.320964,1.640468,2.002389,2.47476,2.730499,2.9209490000000002,3.200412,3.5113160000000003,4.049362,4.651827,5.1961900000000005,5.200697,5.064972,5.109230999999999,5.372101,5.745726,5.331309,4.869319,4.4771160000000005,4.119484,3.900926,3.451867,2.865513,2.58338,2.916988,2.987129,2.9503779999999997,3.23635,4.569783
6-2806806,,,,,,0,0.8460610000000001,1.108962,1.428466,1.790387,2.262757,2.518497,2.708947,2.98941,3.298314,3.83736,4.439824,4.985188,4.9876949999999995,4.85297,4.897229,5.161099,5.5347230000000005,5.119307,4.657317,4.265114,3.907482,3.6889230000000004,3.239865,2.653511,2.371378,2.7049849999999998,2.7751259999999998,2.7383759999999997,3.024348,4.3567800000000005
7-2805975,,,,,,,0,0.262901,0.5824050000000001,0.944326,1.4166969999999999,1.672436,1.8618860000000002,2.1423490000000003,2.452253,2.991299,3.592764,4.138127,4.141634,4.005909,4.050168,4.314038,4.811185,5.061246,4.599256,4.207053,3.849421,3.6308629999999997,3.181804,2.59545,2.3133169999999996,2.646925,2.717066,2.6803150000000002,2.966287,4.29972
8-2803158,,,,,,,,0,0.319504,0.681425,1.1537950000000001,1.409535,1.599985,1.880448,2.189352,2.728398,3.3298620000000003,3.875226,3.878733,3.743008,3.787267,4.051137000000001,4.548284,4.798344999999999,4.336355,3.944152,3.5865199999999997,3.3679620000000003,2.918903,2.332549,2.050416,2.384023,2.454164,2.417414,2.702386,4.036818
9-2807014,,,,,,,,,0,0.363921,0.836292,1.092032,1.282482,1.562945,1.871849,2.410895,3.012359,3.557722,3.5622300000000005,3.425504,3.470764,3.734634,4.2317800000000005,4.646197,4.575314,4.183111,3.825478,3.6069199999999997,3.157861,2.571507,2.289375,2.622982,2.693123,2.656372,2.941344,4.275777
10-2805505,,,,,,,,,,0,0.477371,0.733111,0.92256,1.203023,1.512928,2.051973,2.653438,3.198801,3.2023080000000004,3.066583,3.110843,3.374713,3.8718589999999997,4.286276,4.749266,4.545032,4.187399,3.9688410000000003,3.519782,2.9334279999999997,2.651296,2.984903,3.0550439999999996,3.018293,3.304265,4.637698
11-2805506,,,,,,,,,,,0,0.25574,0.44619,0.726653,1.036557,1.575603,2.1770669999999996,2.72243,2.725938,2.5902119999999997,2.634472,2.898342,3.395489,3.809905,4.272895,4.811857,4.65977,4.441212,3.992153,3.4057989999999996,3.123666,3.4572730000000003,3.527415,3.4906639999999998,3.775636,5.110068
12-2807016,,,,,,,,,,,,0,0.19045,0.470913,0.780817,1.319863,1.921327,2.466691,2.470198,2.334473,2.378732,2.642602,3.139749,3.5541650000000002,4.016155,4.557117,4.766991,4.696951,4.247893,3.661539,3.379406,3.7130129999999997,3.783154,3.746404,4.032376,5.364808
13-2805507,,,,,,,,,,,,,0,0.280463,0.591367,1.130413,1.7318779999999998,2.277241,2.280748,2.145023,2.189282,2.453152,2.9502990000000002,3.3647160000000005,3.8277050000000004,4.367667,4.577541,4.796099,4.438343,3.851989,3.5698559999999997,3.903463,3.973604,3.9368540000000003,4.221826,5.555258
14-2806531,,,,,,,,,,,,,,0,0.310904,0.84995,1.451414,1.996778,2.000285,1.8645599999999998,1.9088189999999998,2.172689,2.669836,3.084252,3.546242,4.086204,4.296078,4.514636,4.718806,4.132452,3.8503190000000003,4.1839260000000005,4.254067,4.2173169999999995,4.503289,5.8357209999999995
15-2807017,,,,,,,,,,,,,,,0,0.539046,1.1405100000000001,1.685874,1.689381,1.553655,1.597915,1.8617849999999998,2.358932,2.773348,3.235338,3.7753,3.9851730000000005,4.203732,4.65379,4.442356,4.160223,4.49383,4.563971,4.527221,4.812193,6.145625
16-2807019,,,,,,,,,,,,,,,,0,0.601464,1.146828,1.150335,1.01461,1.058869,1.3227389999999999,1.8198860000000001,2.234302,2.6962919999999997,3.236254,3.4471279999999997,3.664686,4.114744,4.700099,4.699269,5.032876,5.1030169999999995,5.066267,5.351239,6.685671000000001
17-2807021,,,,,,,,,,,,,,,,,0,0.5453640000000001,0.548871,0.413145,0.457405,0.721275,1.218422,1.632838,2.095828,2.63479,2.844663,3.063222,3.5132800000000004,4.098634,4.567054,4.900661,5.172019000000001,5.577052,5.863024,7.195456
18-2805467,,,,,,,,,,,,,,,,,,0,0.416587,0.552312,0.900948,1.1648180000000001,1.661964,2.076381,2.5383709999999997,3.078333,3.2882059999999997,3.506764,3.9568230000000004,4.542177,5.010597,5.344204,5.615562000000001,6.020594,6.305566000000001,7.638999
19-2806561,,,,,,,,,,,,,,,,,,,0,0.135725,0.9044549999999999,1.168325,1.665472,2.079888,2.542878,3.08284,3.2927129999999996,3.511272,3.9613300000000002,4.546684,5.015104,5.348711,5.620069,6.0251019999999995,6.310074,7.6435059999999995
