순번_정류장ID,1-2807634,2-2806815,3-2807449,4-2800722,5-2800307,6-2800758,7-2800744,8-2807056,9-2800799,10-2800804,11-2803056,12-2802651,13-2802638,14-2802667,15-2802631,16-2802668,17-2807082,18-2807083,19-2802718,20-2802712,21-2802708,22-2802731,23-2802755,24-2802776,25-2802813,26-2802853,27-2802903,28-2802942,29-2805766,30-2802438,31-2803517,32-2802427,33-2802466,34-2806692,35-2805389,36-2802541,37-2802547,38-2802552,39-2802564,40-2807041,41-2804851,42-2803664,43-2804436,44-2806047,45-2807360,46-2807168,47-2806724,48-2805770,49-2806725,50-2805822,51-2805054,52-2803769,53-2806756,54-2807087
1-2807634,0,0.7925399999999999,1.8735,2.244688,3.1307869999999998,3.525878,4.055,4.793448000000001,5.238044,5.403885,5.304913,5.6144300000000005,5.68805,6.250842,6.660146000000001,6.907994,6.9375,7.2667399999999995,8.503077000000001,8.720587,9.291094000000001,9.565957000000001,9.495586999999999,9.904057,10.370999999999999,10.613854,11.096067999999999,11.398635,13.463123000000001,13.6555,13.971779000000002,14.661692000000002,15.048988,15.208982,14.939266,15.221210999999998,15.404278,15.57979,15.992610999999998,16.343084,17.153812,17.484329000000002,18.327351,19.179516,19.451712,19.817960999999997,20.205962,20.116805,19.908932999999998,19.677054000000002,19.068126,18.814628,18.950692,18.463501
2-2806815,,0,1.0809600000000001,1.452148,2.338247,2.7333380000000003,3.26246,4.000908,4.445504,4.611345,4.512373,4.821889,4.89551,5.458302,5.867605999999999,6.115454,6.14496,6.4742,7.7105369999999995,7.929047,8.498553999999999,8.773416000000001,8.703047,9.112517,9.58146,9.823314,10.304528,10.606094,12.672583,12.86396,13.179239,13.868151999999998,14.256448,14.417442000000001,14.145726000000002,14.42767,14.609738,14.78825,15.201070999999999,15.550544,16.360272,16.691789,17.533811,18.387976000000002,18.660172,19.026421,19.414421,19.325264999999998,19.115393,18.883514,18.274586,18.022088,18.156151,17.668960000000002
3-2807449,,,0,0.371188,1.293287,1.688378,2.2175,2.955948,3.400544,3.567385,3.4684129999999995,3.777929,3.85055,4.4143419999999995,4.823646,5.070494,5.1,5.43024,6.665577000000001,6.884086999999999,7.454594,7.729456,7.660087,8.068557,8.5345,8.777353999999999,9.258567999999999,9.562134,11.627623,11.819,12.135278999999999,12.821192,13.212488,13.373482000000001,13.100766,13.38371,13.564778,13.74329,14.154110999999999,14.508583999999999,15.317312,15.647829000000002,16.489851,17.343016,17.615212,17.980461,18.370461,18.279304999999997,18.071433,17.838554000000002,17.230626,16.978127999999998,17.114191,16.626001000000002
4-2800722,,,,0,0.922099,1.3171899999999999,1.846312,2.5847599999999997,3.029356,3.1951970000000003,3.096225,3.4057410000000004,3.479362,4.041154,4.450458,4.699306,4.7288120000000005,5.058052,6.294389,6.512899,7.083406,7.358267999999999,7.288899000000001,7.697369,8.165312,8.406166,8.88838,9.191946000000002,11.257435000000001,11.447811999999999,11.764091,12.451004,12.8413,13.002294000000001,12.731578,13.012522,13.19559,13.373102,13.782923,14.135396,14.946124,15.274641,16.118663,16.971828,17.244024,17.608273,17.997273,17.907117,17.700245000000002,17.469365,16.859437,16.60594,16.741003,16.255812
5-2800307,,,,,0,0.39509099999999997,0.924214,1.6626610000000002,2.107257,2.348329,2.4817,2.791216,2.864836,3.426629,3.835932,4.08478,4.114287,4.443526,5.678864,5.898373,6.46788,6.742742999999999,6.673374000000001,7.081842999999999,7.549786999999999,7.791641,8.271854,8.575421,10.641909,10.833287,11.148566,11.836478,12.227775,12.386768,12.115053,12.396997,12.581064,12.757577000000001,13.170397,13.519870999999998,14.332598999999998,14.660115,15.502137,16.356302,16.629499,16.994748,17.383748,17.293591,17.084719,16.85184,16.243911999999998,15.991414,16.126478,15.640286999999999
6-2800758,,,,,,0,0.529123,1.26757,1.712166,1.953238,2.322036,2.814694,3.036172,3.598965,4.008269,4.126116000000001,4.155623,4.483862,5.7212,5.939709,6.510217,6.784078999999999,6.713710000000001,7.1231789999999995,7.590122999999999,7.833977,8.316191,8.616757000000002,10.683246,10.873623,11.188902,11.877815,12.267111,12.428105,12.157389,12.439333,12.6204,12.799913,13.210733,13.561207000000001,14.371935,15.055206,15.897228,16.750393,17.02359,17.391839,17.778839,17.690682000000002,17.48081,17.248931,16.640003,16.384504999999997,16.524569,16.037378
7-2800744,,,,,,,0,0.738448,1.183044,1.424116,1.7929130000000002,2.284571,2.50705,3.0688419999999996,3.4781459999999997,3.595994,3.6255,3.95474,5.190077,5.408587000000001,5.979094,6.254957,6.1845870000000005,6.5920570000000005,7.061,7.303853999999999,7.785067999999999,8.086635000000001,10.153122999999999,10.3445,10.658779,11.348692,11.736988,11.897982,11.628266,11.909211,12.090278,12.26879,12.682611,13.034084,13.841812,14.766329,15.608351,16.462516,16.735712,17.100960999999998,17.490962,17.399804999999997,17.189933,16.960054,16.350126,16.096628,16.231692000000002,15.745501
8-2807056,,,,,,,,0,0.444597,0.685668,1.054466,1.547124,1.7696029999999998,2.332395,2.741699,2.858547,2.8880529999999998,3.217293,4.45263,4.67214,5.242647,5.518509,5.44714,5.8556099999999995,6.321553,6.565407,7.047621,7.350186999999999,9.415676,9.607053,9.923332,10.610244999999999,11.000541,11.160535000000001,10.888819,11.171763,11.354830999999999,11.532343,11.942164,12.294637,13.106365,14.031882000000001,14.873904000000001,15.725069,15.997264999999999,16.362514,16.752514,16.663358,16.455485999999997,16.222607,15.614679,15.361181,15.498244,15.009053
9-2800799,,,,,,,,,0,0.24107199999999998,0.60987,1.102527,1.325006,1.8877990000000002,2.296102,2.41395,2.4434560000000003,2.772696,4.009034,4.227543,4.79805,5.072913,5.002543,5.411013,5.878957,6.121811,6.6030240000000004,6.905591,8.970079,9.162457,9.476736,10.165648,10.555945,10.714938,10.446222,10.728167,10.909234,11.088747,11.498567,11.850041000000001,12.659769,13.585285,14.427307,15.279472,15.552669,15.918918,16.307918,16.217761,16.009889,15.77701,15.167082,14.914584,15.051648000000002,14.563457000000001
10-2800804,,,,,,,,,,0,0.368798,0.860456,1.082935,1.645727,2.055031,2.171879,2.2013849999999997,2.530625,3.7669620000000004,3.984471,4.555979,4.830841,4.760472,5.1689419999999995,5.637885,5.878739,6.359953,6.663519,8.728008,8.919385,9.233664,9.921577000000001,10.312873,10.471867,10.203151,10.487095,10.666163000000001,10.845675,11.256496,11.605969,12.416697000000001,13.345214000000002,14.186236,15.040401000000001,15.310597,15.678846,16.065846,15.974689999999999,15.766817999999999,15.533938000000001,14.92501,14.673513,14.811576,14.322385
