순번_정류장ID,1-2807634,2-2806815,3-2805755,4-2805756,5-2807636,6-2800317,7-2804990,8-2807301,9-2803514,10-2803080,11-2803077,12-2803101,13-2805595,14-2803123,15-2803131,16-2803137,17-2805441,18-2802629,19-2802719,20-2802709,21-2802718,22-2802712,23-2802625,24-2802694,25-2802673,26-2802039,27-2801999,28-2801977,29-2802024,30-2802051,31-2802098,32-2802129,33-2802158,34-2802168,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802937,41-2802951,42-2802958,43-2802439,44-2802476,45-2806240,46-2804421,47-2805309,48-2805206,49-2805004,50-2806095,51-2804866,52-2805586,53-2805058,54-2805396,55-2804872,56-2803519,57-2802348,58-2802345,59-2802359,60-2803795,61-2804906,62-2805203,63-2803769,64-2806756,65-2807088,66-2806766,67-2806758,68-2806755
1-2807634,0,0.7925399999999999,1.8991939999999998,2.296394,2.6343970000000003,3.119394,3.619819,4.142747,4.661441,5.512621,5.379963,5.747688,5.9995,6.198627,6.5057540000000005,6.739127000000001,6.9810039999999995,7.381759,7.632664999999999,7.768213,8.503077000000001,8.720587,9.314698,9.632427999999999,9.803199000000001,10.03031,10.195186999999999,10.352001,10.782969999999999,10.977144000000001,11.429051,11.802482000000001,12.330753999999999,12.64684,12.58486,12.3055,12.129274,12.445671,12.4952,12.225779,11.878793,11.616,13.265505,13.656953,15.011135000000001,16.041265,16.437745,16.064532999999997,15.897393,15.8715,16.255481,16.4885,16.70109,16.899957999999998,16.685207000000002,17.143497,17.307333,17.962211,18.610288,18.546966,18.254045,18.665999,18.814628,18.950692,18.456767000000003,18.54515,18.152420000000003,17.568234
2-2806815,,0,1.106654,1.503854,1.841857,2.326854,2.8272779999999997,3.350207,3.868901,4.7200809999999995,4.587423,4.955147,5.20696,5.406086,5.713214,5.946587,6.187464,6.5882190000000005,6.839125,6.975673,7.7105369999999995,7.929047,8.522158000000001,8.839888,9.010659,9.23877,9.403647,9.559461,9.989429,10.184604,10.636511,11.009942,11.539214,11.8553,11.794319999999999,11.51096,11.336734,11.654131,11.703659,11.436239,11.086253,10.82146,12.471964999999999,12.863413000000001,14.219595000000002,15.248725,15.648204999999999,15.271993,15.105853,15.077960000000001,15.46294,15.69696,15.90955,16.105417000000003,15.892667000000001,16.351957000000002,16.513793,17.170671,17.818748,17.753426,17.459505,17.872457999999998,18.022088,18.156151,17.662226999999998,17.753609,17.360879999999998,16.774694
3-2805755,,,0,0.3972,0.7352029999999999,1.2202,1.721625,2.244553,2.763248,3.6144269999999996,3.4807690000000004,3.8494940000000004,4.101307,4.300433,4.6075610000000005,4.8399339999999995,5.082811,5.482565,5.732471,5.869019000000001,6.603884,6.822392999999999,7.416504,7.734234,7.906005,8.131117,8.297994000000001,8.456807000000001,8.883776,9.076951,9.530857000000001,9.903288,10.43356,10.747646000000001,10.688666,10.407306,10.230080000000001,10.547477,10.596006,10.326585000000001,9.979599,9.714807,11.364311,11.756758999999999,13.112941000000001,14.141070999999998,14.540551,14.165339000000001,14.000198999999999,13.973307,14.357287,14.589307000000002,14.803896,15.000764000000002,14.787013,15.245303,15.409139000000001,16.064018,16.712095,16.648772,16.352851,16.764805,16.914434,17.049498,16.555573000000003,16.644956,16.253227,15.66704
4-2805756,,,,0,0.338003,0.823,1.324425,1.8473529999999998,2.366048,3.217227,3.0845689999999997,3.452294,3.704107,3.903233,4.210361,4.442734,4.684611,5.086366,5.336271,5.47282,6.206684,6.425193,7.019303999999999,7.337035,7.507805,7.734917,7.900794,8.057607,8.487575999999999,8.681751,9.133657000000001,9.507088000000001,10.03636,10.352446,10.290466,10.009107,9.83388,10.152277,10.199806,9.930386,9.5834,9.319607000000001,10.967111000000001,11.362559,12.715742,13.745872,14.142351000000001,13.768139000000001,13.602998999999999,13.574107000000001,13.959087,14.193107000000001,14.407696,14.603564000000002,14.389814000000001,14.847104000000002,15.011939000000002,15.667817999999999,16.313895000000002,16.252572,15.958651000000001,16.370604999999998,16.518234,16.655298000000002,16.162373000000002,16.250756,15.856027,15.271841
5-2807636,,,,,0,0.484997,0.9854219999999999,1.50835,2.027045,2.8782240000000003,2.745566,3.113291,3.365104,3.5642300000000002,3.8713580000000003,4.104731,4.345608,4.746363,4.997268,5.133817,5.867681,6.08619,6.680300999999999,6.998032000000001,7.169802000000001,7.396914,7.562791000000001,7.7196039999999995,8.147573,8.344748,8.795653999999999,9.170086,9.696357,10.013442999999999,9.951463,9.671104,9.494877,9.813274,9.860803,9.592383,9.243397,8.979604,10.629108,11.021556,12.376739,13.406869,13.804348000000001,13.429135999999998,13.263995999999999,13.236104000000001,13.621084,13.852104,14.067692999999998,14.264560999999999,14.050810999999998,14.509101000000001,14.672935999999998,15.327815,15.976892000000001,15.912569,15.618648,16.030602,16.180231,16.315295000000003,15.82337,15.911753,15.518023999999999,14.932838
6-2800317,,,,,,0,0.501425,1.024354,1.543048,2.394228,2.26157,2.629294,2.881107,3.080233,3.387361,3.619734,3.8626110000000002,4.263366,4.514272,4.64982,5.383684,5.602193,6.1963040000000005,6.514035,6.6858059999999995,6.912917,7.077794,7.234608000000001,7.663575999999999,7.8577509999999995,8.311657,8.686088999999999,9.21236,9.528447,9.466466,9.186107000000002,9.009881,9.329277000000001,9.376806,9.109386,8.7604,8.496607000000001,10.144111,10.537560000000001,11.892742,12.922872,13.319351000000001,12.94614,12.779999,12.752107,13.138086999999999,13.369107000000001,13.582697,13.780564000000002,13.567814000000002,14.025104,14.186939,14.843817999999999,15.491895000000001,15.427572,15.133652,15.546605,15.696235,15.832298000000002,15.337373999999999,15.426756,15.033026999999999,14.448841
7-2804990,,,,,,,0,0.522929,1.041623,1.8928029999999998,1.760145,2.127869,2.379682,2.578808,2.885936,3.119309,3.361186,3.761941,4.012847,4.148395,4.883259,5.100768,5.694879,6.01261,6.183381,6.410492,6.575369,6.732183,7.162151,7.356325999999999,7.812232000000001,8.182664,8.711935,9.030022,8.967041,8.684682,8.509456,8.826852,8.874381,8.605961,8.257975,7.994182,9.644686,10.038135,11.391316999999999,12.420447,12.817926,12.442715,12.279574,12.250682000000001,12.635662,12.865682000000001,13.081272,13.280139000000002,13.065389,13.522679,13.685514000000001,14.343392999999999,14.990470000000002,14.927148,14.634227,15.045179999999998,15.19481,15.331873000000002,14.835949,14.926331,14.530601999999998,13.947416
8-2807301,,,,,,,,0,0.518694,1.369874,1.237216,1.604941,1.8567529999999999,2.0558799999999997,2.363008,2.595381,2.8372580000000003,3.238012,3.488918,3.6254660000000003,4.36033,4.5788400000000005,5.172951,5.4906809999999995,5.8814519999999995,6.108564,6.6364410000000005,6.795253999999999,7.223223,7.417397,7.870303999999999,8.245735,8.753007,8.988414,8.646113,8.364753,8.190527000000001,8.507924000000001,8.428054,8.084032,7.736046000000001,7.470253,9.120758,9.514206,10.868388000000001,11.898518,12.295997999999999,11.920786,11.756646,11.728753,12.113734,12.342753,12.559343,12.756211,12.54146,12.99975,13.163585999999999,13.820464999999999,14.466542,14.403219,14.110298,14.521251999999999,14.670881,14.805945000000001,14.313020000000002,14.404403,14.009673000000001,13.424487
9-2803514,,,,,,,,,0,0.8511799999999999,0.741522,1.1092469999999999,1.361059,1.560185,1.867313,2.100686,2.3415630000000003,2.742318,2.993224,3.285346,4.361518,4.5800279999999995,5.175139,5.491869,5.88364,6.1107510000000005,6.641628,7.111441,7.411410000000001,7.6055850000000005,8.004491999999999,8.376923,8.756195,8.990602,8.648301,8.366941,8.192715,8.509111,8.38636,8.043338,7.694352,7.433559,9.030055,9.300512,10.373694,11.401824000000001,11.799304,11.424092,11.259952,11.231059,11.617039,11.849059,12.063649,12.260516,12.045766,12.506056,12.666892,13.322770000000002,13.970847000000001,13.908525,13.614604,14.027557999999999,14.176186999999999,14.31025,13.818326,13.907708,13.513979,12.928792999999999
10-2803080,,,,,,,,,,0,0.327342,0.695067,0.9468799999999999,1.1460059999999999,1.453134,1.6855069999999999,1.927384,2.3281389999999997,2.5790439999999997,2.8721669999999997,3.967457,4.1859660000000005,4.781077,5.097808000000001,5.731579,5.95869,6.489567,6.960379,7.259349,7.453524000000001,7.61043,7.982862,8.362133,8.59554,8.254239,7.97288,7.798653,8.11405,7.97318,7.629159,7.281173,7.01938,8.615875,8.885332,9.957514999999999,10.988645,11.385124000000001,11.009912,10.844772,10.816880000000001,11.202860000000001,11.43488,11.64847,11.846337,11.632587,12.091877,12.255711999999999,12.910591,13.557668,13.494345000000001,13.200424,13.612378,13.761007000000001,13.898071,13.402145999999998,13.493529,13.0988,12.514614
