순번_정류장ID,46-2803210,47-2803361,48-2803180,49-2803295,50-2803292,51-2803649,52-2803284,53-2803290,54-2803177,55-2803178,56-2803297,57-2807299,58-2807629,59-2805973,60-2805971,61-2806608,62-2803165,63-2803167,64-2805706,65-2803164,66-2803680,67-2803677,68-2803183,69-2805472,70-2803186,71-2803163,72-2805691,73-2805637,74-2805693,75-2805695,76-2806025,77-2805697,78-2805699,79-2805701,80-2807440,81-2806806,82-2805704,83-2807625,84-2806162,85-2805635,86-2805633,87-2807037,88-2805631,89-2805677
46-2803210,0,0.305772,8.544329,8.76987,8.936638,9.229569999999999,9.517919000000001,9.420199,9.280445,9.577302,9.412638000000001,9.977228,9.486571000000001,9.123330000000001,8.810467,8.583762,8.572844,8.172995,8.804217999999999,9.658778,10.132921000000001,10.453358,10.920444999999999,11.35149,11.63762,11.98499,11.239463,10.932174,10.473727,11.184955,11.462102999999999,11.654774,12.178661,11.968722,11.964400999999999,12.059872,11.618138,11.573166,12.004814,12.319183,11.71004,11.644164,11.976415,12.28575
47-2803361,,0,8.238557,8.464098,8.630866000000001,8.923798,9.212148,9.114427000000001,8.974673,9.271531,9.106866,9.672456,9.180799,8.817559,8.504695,8.277989999999999,8.267073,7.867224,8.498446000000001,9.353006,9.827149,10.147586,10.614674,11.046719,11.330848,11.679219,10.933691,10.626402,10.167956,10.879184,11.156331,11.349003,11.873889,11.66395,11.658629,11.754101,11.312366,11.267394,11.699043,12.013411,11.403267999999999,11.338393,11.670644,11.979978
48-2803180,,,0,0.225541,0.392309,0.685241,0.97359,0.87587,0.736116,1.032973,0.868309,1.432899,2.067376,2.430616,2.605138,2.716185,3.137515,3.7799519999999998,4.509889,5.364449,5.838592,6.159029,6.627116,7.058161,7.343291000000001,7.745957000000001,8.212133999999999,7.904845,7.446397999999999,8.157627,8.434774,8.627445,9.151332,8.941393,8.938072,8.770544000000001,8.328809,8.075781,7.6481330000000005,7.3337639999999995,6.692711,6.357782,6.025531,5.532421
49-2803295,,,,0,0.166768,0.4597,0.74805,0.7967930000000001,0.657039,0.953896,0.7892319999999999,1.354822,1.9892990000000002,2.352539,2.526061,2.637108,3.058438,3.7008739999999998,4.430812,5.285372,5.759515,6.079952,6.548039,6.979083999999999,7.263214,7.66688,8.133057,7.825767999999999,7.3673210000000005,8.07855,8.355697,8.548368,9.073255,8.863316000000001,8.857994999999999,8.691467,8.249732,7.995703999999999,7.5680559999999995,7.253686999999999,6.612634,6.277705,5.946454,5.452344
50-2803292,,,,,0,0.292932,0.581281,0.9635610000000001,0.823807,1.1206639999999999,0.956,1.5205899999999999,2.155067,2.519308,2.692829,2.803876,3.225207,3.867643,4.597580000000001,5.45214,5.926283,6.24672,6.713808,7.1448529999999995,7.430982000000001,7.833647999999999,8.299825,7.992536,7.534089999999999,8.245318,8.522464999999999,8.715137,9.240022999999999,9.029084,9.024763,8.857235000000001,8.4155,8.162472,7.734824000000001,7.4204550000000005,6.779402,6.444474,6.112222,5.619112
51-2803649,,,,,,0,0.28835,0.7665069999999999,1.099876,1.396733,1.232069,1.796659,2.432136,2.7953759999999996,2.968897,3.079944,3.501275,4.143711,4.873648,5.728209,6.202351999999999,6.5227889999999995,6.989876,7.420921000000001,7.7060509999999995,8.108716000000001,8.575894,8.268605,7.810158,8.521386,8.798533,8.991205,9.515092,9.305153,9.300832000000002,9.134303,8.692569,8.439541,8.011892,7.6975240000000005,7.056471000000001,6.720542,6.388291000000001,5.895181
52-2803284,,,,,,,0,0.47815799999999997,0.811526,1.108383,0.9437190000000001,1.5083090000000001,2.143786,2.506026,2.680548,2.791595,3.212925,3.8553610000000003,4.585299,5.439858999999999,5.914002,6.234439,6.701525999999999,7.132571,7.4187009999999995,7.821366,8.287544,7.9802550000000005,7.521808,8.233037,8.510183999999999,8.702855,9.227742,9.016803,9.012482,8.845953,8.404219,8.151191,7.722542999999999,7.408174000000001,6.767121,6.432192,6.100941000000001,5.607831
53-2803290,,,,,,,,0,0.333368,0.630897,0.46556099999999995,1.031151,1.6656279999999999,2.028869,2.2023900000000003,2.313437,2.734768,3.377204,4.107141,4.961701000000001,5.435844,5.7562809999999995,6.223369,6.654414,6.939543,7.3422089999999995,7.809386,7.502097,7.043651,7.754878999999999,8.032026,8.224698,8.749584,8.538644999999999,8.534324,8.366796,7.925061,7.672034,7.244385,6.930016,6.289962999999999,5.954035,5.621783,5.128673
54-2803177,,,,,,,,,0,0.296858,0.325807,0.8913969999999999,1.525874,1.889115,1.8690220000000002,1.9800689999999999,2.4014,3.043836,3.7737730000000003,4.6283330000000005,5.102476,5.422912999999999,5.890001,6.321046,6.606175,7.008841,7.476017999999999,7.16873,6.710283,7.421511,7.698658,7.89133,8.416216,8.206277,8.200956,8.033428,7.591692999999999,7.338666,6.911017,6.596647999999999,5.955595,5.620667,5.2884150000000005,4.795306
55-2803178,,,,,,,,,,0,0.335336,0.647926,1.282403,1.645643,1.803493,1.9145400000000001,2.335871,2.978307,3.708244,4.562804,5.036948000000001,5.357385,5.825472,6.255517,6.541647,6.944311999999999,7.410489999999999,7.103200999999999,6.644753999999999,7.355982000000001,7.633128999999999,7.825800999999999,8.349687,8.139749,8.135428,7.967899000000001,7.526164,7.273136999999999,6.8454880000000005,6.53112,5.890067,5.5551379999999995,5.222887,4.7297769999999995
