순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805470,6-2806564,7-2806802,8-2803678,9-2803679,10-2807581,11-2807481,12-2803183,13-2805472,14-2803186,15-2803163,16-2807626,17-2805691,18-2805637,19-2805693,20-2805695,21-2805638,22-2806605,23-2806538
1-2807429,0,1.108378,1.560618,1.879145,2.080023,2.41363,2.684988,3.090021,3.374993,3.45535,3.182932,3.236687,3.667732,3.666898,3.264232,3.5283800000000003,3.903055,4.217343,4.67579,4.656562,4.72666,5.088035,5.568907
2-2805676,,0,0.453241,0.771767,0.9816459999999999,1.315253,1.586611,1.991643,2.277615,2.356973,2.0845540000000002,2.1383099999999997,2.569355,2.56852,2.165855,2.430002,2.804677,3.118966,3.577413,3.558185,3.628283,3.9896580000000004,4.47053
3-2805630,,,0,0.318527,0.528405,0.8620120000000001,1.13337,1.538403,1.823375,1.903732,1.631314,1.685069,2.116114,2.11528,1.7126139999999999,1.976762,2.3514369999999998,2.665726,3.124172,3.1049439999999997,3.175043,3.5364169999999997,4.01729
4-2807038,,,,0,0.209879,0.5434859999999999,0.814844,1.219877,1.5058479999999999,1.585206,1.3127870000000001,1.366543,1.7975880000000002,1.7967540000000002,1.394088,1.658235,2.0329099999999998,2.3471990000000003,2.805646,2.786418,2.856516,3.217891,3.6987629999999996
5-2805470,,,,,0,0.33360700000000004,0.604965,1.009998,1.29597,1.375327,1.102909,1.156664,1.587709,1.773162,1.370496,1.634644,2.009319,2.323607,2.782054,2.762826,2.832924,3.194299,3.6751709999999997
6-2806564,,,,,,0,0.271358,0.676391,0.961363,1.04172,0.769302,0.8230569999999999,1.254102,1.539232,1.704103,1.9682509999999998,2.342926,2.6572150000000003,3.1156610000000002,3.096433,3.166532,3.5279059999999998,4.0087779999999995
7-2806802,,,,,,,0,0.405033,0.690005,0.770362,0.49794399999999994,0.5516989999999999,0.9827440000000001,1.267874,1.6705400000000001,2.038392,2.413067,2.7273560000000003,3.185803,3.166574,3.236673,3.598047,4.07892
8-2803678,,,,,,,,0,0.285972,0.733612,0.461193,0.514949,0.945994,1.231123,1.633789,2.001641,2.376316,2.690605,3.149052,3.129824,3.199922,3.561297,4.042169
9-2803679,,,,,,,,,0,0.579417,0.746165,0.799921,1.230966,1.516095,1.9187610000000002,2.286613,2.6612880000000003,2.975577,3.434024,3.414796,3.484894,3.8462690000000004,4.327141
10-2807581,,,,,,,,,,0,0.272419,0.8802780000000001,1.311323,1.5964530000000001,1.999118,2.366971,2.741646,3.055934,3.5143809999999998,3.4951529999999997,3.5652510000000004,3.926626,4.407498
11-2807481,,,,,,,,,,,0,0.6078600000000001,1.038905,1.324034,1.7267,2.094552,2.469227,2.783516,3.241963,3.2227349999999997,3.2928330000000003,3.654208,4.13508
12-2803183,,,,,,,,,,,,0,0.43104499999999996,0.716175,1.11884,1.489693,1.864368,2.178656,2.6371029999999998,2.617875,2.687973,3.049348,3.53022
13-2805472,,,,,,,,,,,,,0,0.28513,0.6877949999999999,1.058648,1.433323,1.747612,2.206058,2.18683,2.256929,2.618303,3.099175
14-2803186,,,,,,,,,,,,,,0,0.40266599999999997,0.773518,1.148193,1.462482,1.920929,1.9017009999999999,1.971799,2.333174,2.814046
15-2803163,,,,,,,,,,,,,,,0,0.37085300000000004,0.745528,1.059816,1.518263,1.4990350000000001,1.569133,1.9305080000000001,2.41138
16-2807626,,,,,,,,,,,,,,,,0,0.374675,0.688964,1.147411,1.128183,1.198281,1.559656,2.0405279999999997
17-2805691,,,,,,,,,,,,,,,,,0,0.314289,0.772736,0.753508,1.2819559999999999,1.643331,2.124203
18-2805637,,,,,,,,,,,,,,,,,,0,0.45844700000000005,0.9281459999999999,1.5962450000000001,1.9576189999999998,2.4384919999999997
19-2805693,,,,,,,,,,,,,,,,,,,0,0.967407,1.80287,2.164245,2.645117
20-2805695,,,,,,,,,,,,,,,,,,,,0,0.836463,1.197838,1.67871
21-2805638,,,,,,,,,,,,,,,,,,,,,0,0.361375,0.842247
22-2806605,,,,,,,,,,,,,,,,,,,,,,0,0.48087299999999994
23-2806538,,,,,,,,,,,,,,,,,,,,,,,0
