순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805632,6-2805634,7-2806163,8-2807626,9-2805703,10-2806807,11-2807439,12-2805702,13-2805700,14-2807331,15-2803159,16-2807482,17-2805698,18-2806024,19-2806031,20-2806083,21-2805637,22-2805693,23-2807325,24-2806483,25-2807343,26-2807232,27-2807233
1-2807429,0,1.108378,1.560618,1.879145,2.224088,2.853845,3.145043,3.5283800000000003,3.8454620000000004,4.272880000000001,4.48495,4.787614,4.977829,6.4318550000000005,6.33788,5.514627,4.980424,4.766163,4.404006,4.095228,4.217343,4.67579,6.564464,6.5164550000000006,6.276066,13.338493,13.370057999999998
2-2805676,,0,0.453241,0.771767,1.12571,1.7554669999999999,2.046665,2.430002,2.747084,3.174502,3.3865730000000003,3.6892370000000003,3.8794519999999997,5.3334779999999995,5.239502,4.41625,3.882047,3.667786,3.305629,2.996851,3.118966,3.577413,5.466087,5.720837,5.480448,13.928871,13.960435
3-2805630,,,0,0.318527,0.67247,1.302227,1.593425,1.976762,2.293844,2.721262,2.933333,3.235996,3.4262120000000005,4.880237,4.786262000000001,3.9630089999999996,3.428807,3.214546,2.852388,2.5436099999999997,2.665726,3.124172,5.012846,5.266597,5.026207,14.382110999999998,14.413676
4-2807038,,,,0,0.353943,0.9837,1.2748979999999999,1.658235,1.9753169999999998,2.402735,2.614806,2.9174700000000002,3.107685,4.561711,4.467735,3.644483,3.11028,2.896019,2.533862,2.225084,2.3471990000000003,2.805646,4.694319999999999,4.94907,4.7086809999999995,14.701638,14.733201999999999
5-2805632,,,,,0,0.629758,0.920956,1.304293,1.621375,2.048793,2.260863,2.563527,2.753742,4.207768,4.113793,3.29054,2.756337,2.542076,2.179919,1.871141,1.9932560000000001,2.4517029999999997,4.340376999999999,5.069543,4.8281529999999995,15.046581,15.078145000000001
6-2805634,,,,,,0,0.291198,0.674535,0.991617,1.419035,1.631106,1.9337689999999998,2.123985,3.57801,3.484035,2.6607830000000003,2.12658,1.9123189999999999,1.5501610000000001,1.241383,1.363499,1.8219459999999998,3.7106199999999996,4.902701,5.37098,15.676338000000001,15.707901999999999
7-2806163,,,,,,,0,0.383338,0.7004199999999999,1.127837,1.339908,1.6425720000000001,1.832787,3.2868129999999995,3.192837,2.369585,1.835382,1.6211209999999998,1.258964,0.9501860000000001,1.072301,1.530748,3.419422,4.611503,5.079783,15.968535999999999,16.0001
8-2807626,,,,,,,,0,0.31708200000000003,0.7445,0.956571,1.259235,1.44945,2.903475,2.8095,1.986248,1.452045,1.237784,0.875627,0.5668479999999999,0.688964,1.147411,3.036085,4.228166000000001,4.696445,16.350873,16.382437
9-2805703,,,,,,,,,0,0.427418,0.6394890000000001,0.942152,1.132368,2.586393,2.4924180000000002,1.669166,1.478127,1.263866,0.901709,0.5929300000000001,0.715046,1.1734930000000001,3.0621669999999996,4.2542480000000005,4.7225269999999995,16.667955,16.699519
10-2806807,,,,,,,,,,0,0.212071,0.514734,0.70495,2.158975,2.065,1.2417479999999999,1.308545,1.094284,1.0748739999999999,1.020348,1.142464,1.600911,3.489585,4.681666000000001,5.149945,17.095373000000002,17.126936999999998
11-2807439,,,,,,,,,,,0,0.302664,0.492879,1.9469049999999999,1.85293,1.029677,1.095474,0.8812129999999999,0.8618040000000001,1.170582,1.354535,1.7390189999999999,3.378514,4.570595,5.038875,17.308443,17.340007999999997
12-2805702,,,,,,,,,,,,0,0.190216,1.644241,1.550266,0.727014,0.984722,1.007018,0.987608,1.296386,1.657198,1.8648240000000003,3.504319,4.6964,5.164680000000001,17.610107,17.641671
13-2805700,,,,,,,,,,,,,0,1.454026,1.3600510000000001,0.536798,0.794506,1.008767,1.177824,1.486602,1.847414,2.055039,3.6945339999999995,4.886615,5.354895,17.800323000000002,17.831887
14-2807331,,,,,,,,,,,,,,0,0.412025,1.240278,2.034431,2.2486919999999997,2.610849,2.919627,3.2854389999999998,3.488065,5.12756,6.319641000000001,6.787921000000001,19.254348,19.285912
15-2803159,,,,,,,,,,,,,,,0,0.828253,1.9404560000000002,2.154716,2.516874,2.825652,3.191464,3.3940900000000003,5.0335849999999995,6.225666,6.693944999999999,19.160373,19.191937
16-2807482,,,,,,,,,,,,,,,,0,1.1172030000000002,1.331464,1.6936220000000002,2.0024,2.3682119999999998,2.570837,4.210332,5.402413,5.870693,18.337120000000002,18.368685
17-2805698,,,,,,,,,,,,,,,,,0,0.214261,0.5774189999999999,0.8861969999999999,1.252009,1.454634,3.094129,4.28621,4.7544900000000005,17.803917000000002,17.835482
18-2806024,,,,,,,,,,,,,,,,,,0,0.363158,0.671936,1.037748,1.240373,2.879868,4.071949,4.540229,17.589656,17.621221
19-2806031,,,,,,,,,,,,,,,,,,,0,0.308778,0.6755899999999999,1.1340370000000002,2.860459,4.0525400000000005,4.520819,17.226499,17.258063
20-2806083,,,,,,,,,,,,,,,,,,,,0,0.36681199999999997,0.825259,2.7139330000000004,3.906014,4.374294,16.917721,16.950285
21-2805637,,,,,,,,,,,,,,,,,,,,,0,0.45844700000000005,2.354121,3.5462019999999996,4.014482,17.039837,17.072401
22-2805693,,,,,,,,,,,,,,,,,,,,,,0,1.895674,3.087755,3.556035,16.988462,17.020027
23-2807325,,,,,,,,,,,,,,,,,,,,,,,0,1.192081,1.660361,15.092788,15.124353
24-2806483,,,,,,,,,,,,,,,,,,,,,,,,0,0.46828000000000003,13.900707999999998,13.932272
25-2807343,,,,,,,,,,,,,,,,,,,,,,,,,0,13.434428,13.465992000000002
26-2807232,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34569099999999997
27-2807233,,,,,,,,,,,,,,,,,,,,,,,,,,,0
