순번_정류장ID,1-2801796,2-2803544,3-2801806,4-2801954,5-2802024,6-2802098,7-2802129,8-2802168,9-2802828,10-2802378,11-2802399,12-2802456,13-2802509,14-2802365,15-2804851,16-2807104,17-2807598,18-2807344,19-2806484,20-2807326,21-2805694,22-2805636,23-2806053,24-2806032,25-2806025,26-2805697,27-2805699,28-2805701,29-2807440,30-2806806,31-2805704,32-2807625,33-2803157,34-2803651,35-2806491,36-2803182,37-2803678,38-2803679,39-2803155,40-2805705,41-2803154,42-2803655,43-2806607,44-2805970,45-2805972,46-2807630,47-2807300,48-2803190
1-2801796,0,0.542585,1.2199209999999998,1.7414150000000002,2.559539,3.20662,3.580051,4.425408999999999,4.525449,4.901796,5.572225,6.826507,7.481146000000001,8.729306,9.693381,10.622969,26.132545,26.919859000000002,27.246158,28.432827000000003,28.338844,27.927469,27.831077,28.125215,28.486896,28.679567,28.601453999999997,28.392515000000003,28.193668,27.981665000000003,27.540931,27.286903000000002,27.008910999999998,27.369946000000002,27.358524,26.937609000000002,26.807571999999997,27.092544,27.562496000000003,28.426977,28.017846000000002,28.347744,28.402496000000003,28.668282,28.969252,29.247604,28.766615,28.135431
2-2803544,,0,0.679337,1.200831,2.018954,2.666036,3.038467,3.884825,4.4808639999999995,4.857211,5.527641,6.781923,7.4365619999999995,8.684722,9.648797,10.577385000000001,26.087961,26.874274,27.200573,28.387241999999997,28.880429,28.469053999999996,28.373661,28.667799,29.030479999999997,29.222152,29.145038,28.9341,28.737252,28.52525,28.082515,27.829488,27.553496000000003,27.91453,27.901109,27.481194,27.350157,27.636128000000003,28.10408,28.558439,27.972262,28.302159999999997,28.357910999999998,28.622698,28.924667,29.444812,29.3092,28.677015
3-2801806,,,0,0.5214949999999999,1.339618,1.9866990000000002,2.36013,3.205488,3.8745279999999998,4.820875,5.591008,6.84629,7.499928999999999,8.748089,9.712164,10.641752,26.150328,26.938640999999997,27.26394,28.451609,29.557765000000003,29.146390000000004,29.050998,29.345136,29.705817,29.899488,29.821375,29.610436,29.412589,29.201586,28.759852000000002,28.505824,28.228832,28.590867,28.577445,28.157529999999998,28.025493,28.312465000000003,28.780417,28.622806,28.036628999999998,28.366527,28.421278000000004,28.687065000000004,28.988034000000003,29.509179,29.977168,29.354352000000002
4-2801954,,,,0,0.8181229999999999,1.4652040000000002,1.837636,2.6839939999999998,3.352033,4.29938,5.2348099999999995,6.489091999999999,7.143731,8.392891,9.355966,10.662755,26.252822,27.039136,27.366435,28.552103999999996,30.082259999999998,29.670885,29.575491999999997,29.86863,30.230311,30.422983000000002,30.344869,30.134929999999997,29.937083,29.725081,29.283346,29.030319,28.753326,29.113360999999998,29.102940000000004,28.680025,28.546986999999998,28.834959,29.305911,28.723301,28.138122999999997,28.468021000000004,28.521773,28.788559000000003,29.088528999999998,29.610674,30.078661999999998,29.874846
5-2802024,,,,,0,0.647081,1.020513,1.8658709999999998,2.53491,3.481257,4.417687,5.671969,6.326608,7.574768,8.538843,9.845632,25.922007,26.70932,27.035619,28.223288,30.128618,30.489008000000002,30.392615000000003,30.686753000000003,31.048434000000004,31.241106,31.162992,30.954054,30.755206,30.543204,30.101469,29.848442,29.57145,29.932484000000002,29.920063,29.500148,29.368111,29.653083000000002,29.260965999999996,28.393485,27.807308000000003,28.138206,28.191957000000002,28.457744,28.758713,29.279858,29.748846999999998,29.833031
6-2802098,,,,,,0,0.37443200000000004,1.219789,1.888829,2.8351759999999997,3.771606,5.025888,5.680527,6.928686999999999,7.892761999999999,9.199551,25.276925,26.064239,26.390538,27.577207,29.481537,29.892912,30.271595,30.393165999999997,30.422415,30.615085999999998,31.139972999999998,30.930034000000003,30.926713,31.021184,30.57845,30.492523,30.215531,30.578565,30.287043,29.865128000000002,29.366809000000003,29.083837,28.614884999999997,27.747404,27.161227,27.492124,27.545876,27.812663,28.113632,28.633777000000002,29.102766,29.18795
7-2802129,,,,,,,0,0.8463579999999999,1.5153969999999999,2.461745,3.3981739999999996,4.652456,5.3070949999999995,6.555255000000001,7.51933,8.826119,24.903494,25.690807999999997,26.017107,27.203776,29.108105,29.52048,29.898164,30.019734000000003,30.048983000000003,30.241654999999998,30.766540999999997,30.556602,30.553282,30.647753,30.205018,30.161046000000002,30.588962,30.234003,29.913612,29.492696999999996,28.994377000000004,28.710404999999998,28.242453,27.374972999999997,26.787795000000003,27.117693,27.172445,27.439231,27.740201000000003,28.260346000000002,28.728334000000004,28.813518
8-2802168,,,,,,,,0,0.66904,1.6153870000000001,2.551817,3.8060989999999997,4.460738,5.7088980000000005,6.672973,7.979761999999999,24.057136,24.84445,25.169749,26.357418,28.262748,28.674122999999998,29.052806,29.173377000000002,29.202626000000002,29.396296999999997,29.921184000000004,29.710245,29.705924,29.801395,29.358660999999998,29.314688,29.748681,29.387646000000004,29.067254,28.646339,28.148020000000002,27.864047999999997,27.395096000000002,26.528615000000002,25.942438,26.271334999999997,26.327087,26.591874,26.893843,27.414988,27.881977000000003,27.968161
9-2802828,,,,,,,,,0,0.961347,1.897777,3.152059,3.8066980000000004,5.054858,6.0189330000000005,7.325722,23.403097,24.19041,24.516709,25.703378,27.608708,28.020083000000003,28.398767,28.520336999999998,28.549585999999998,28.742257000000002,29.267144000000002,29.056205,29.051884,29.147356,28.705621,28.660649,29.094640999999996,28.734606,28.413214,27.992299,27.49398,27.210008000000002,26.742055999999998,25.874575,25.288398,25.618296,25.673047,25.938834,26.239803000000002,26.760948,27.228937,27.314121000000004
10-2802378,,,,,,,,,,0,0.9364299999999999,2.190712,2.845351,4.093511,5.057586,6.364375,23.098202,23.885516,24.211814999999998,25.398484,27.303813,27.715188,28.093871999999998,28.215443,28.244690999999996,28.437363,28.962249,28.751310999999998,28.746990000000004,28.842461,28.400726000000002,28.355753999999997,28.789746,28.429712,28.10932,27.688405,27.189085,26.905114,26.437162,25.569681,24.983504,25.313401000000002,25.368153,25.633939,25.934909,26.456053999999998,26.924042,27.009226
