순번_정류장ID,1-2801796,2-2803545,3-2803552,4-2800816,5-2800818,6-2803063,7-2803062,8-2802651,9-2802638,10-2803042,11-2803043,12-2803115,13-2803133,14-2803106,15-2803109,16-2803239,17-2803252,18-2803249,19-2803226,20-2805712,21-2803122,22-2803094,23-2803630,24-2805651,25-2800679,26-2805253,27-2805251,28-2805249,29-2807222,30-2800563,31-2807520,32-2805676,33-2805630,34-2807038,35-2805632,36-2805634,37-2806163,38-2807626,39-2805703,40-2806807,41-2807439,42-2805702,43-2805700,44-2805698,45-2806024,46-2805696,47-2805694,48-2805636,49-2805692,50-2803651,51-2806491,52-2803678,53-2803679,54-2803155,55-2805705,56-2803154,57-2803655,58-2804981,59-2805148,60-2805812,61-2806027,62-2803298,63-2805832,64-2803179,65-2807423,66-2807232,67-2807362
1-2801796,0,0.7786810000000001,1.052624,1.094026,1.296459,2.672548,2.8780419999999998,3.6800019999999996,3.90248,4.3344309999999995,4.676931,5.078897,5.917112,6.731872,7.124578,7.9738169999999995,7.668011999999999,6.828458,6.331746,6.20516,6.0027870000000005,5.560028,5.068695,4.733009,7.006932000000001,8.817077000000001,9.281148,9.723866000000001,11.742187,12.100716,14.419186999999999,24.821929,25.276169,25.593695999999998,25.941639000000002,26.570396000000002,26.861594,27.243931,27.563013,27.989431,28.200502,28.504165000000004,28.693381,28.696976,28.481715,28.414515,28.338844,27.927469,27.493335,27.369946000000002,27.358524,26.807571999999997,27.092544,27.562496000000003,28.426977,28.017846000000002,28.347744,28.012464,28.221321999999997,28.117777,28.285309,28.470990000000004,28.610276000000002,29.000261,30.76701,37.261803,37.262257
2-2803545,,0,0.274943,0.832483,1.034916,2.411005,2.6165,3.4944589999999995,3.716938,4.1488879999999995,4.491388,4.892354,5.73157,6.5473300000000005,6.9390350000000005,7.786275,7.481469000000001,6.640916000000001,6.146203,6.019617,5.817245,5.373486,4.8841529999999995,4.548467,6.925389,8.736533999999999,9.199606,9.643322999999999,11.661644,12.020173,14.337645000000002,24.742386,25.194627,25.513153,25.860096,26.488853000000002,26.780051,27.164388,27.48147,27.908888,28.120959000000003,28.422622999999998,28.613838,28.615433000000003,28.402171999999997,28.333971999999996,28.256301,27.845926000000002,27.412793,27.290403,27.277982,26.726028999999997,27.010001000000003,27.479953000000002,28.344434000000003,27.945389000000002,28.275287,27.941007,28.148864,28.038234000000003,28.204766999999997,28.389447999999998,28.529734,28.919719,30.685468,37.180261,37.180714
3-2803552,,,0,0.5595399999999999,0.7619739999999999,2.1380619999999997,2.343557,3.221516,3.4439949999999997,3.8769449999999996,4.219446,4.620411,5.459626999999999,6.274387,6.666092999999999,7.513332000000001,7.209525999999999,6.368973,5.87426,5.745675,5.544302,5.100543,4.61121,4.275524,6.651446000000001,8.462591,8.926663000000001,9.37038,11.388701,11.74723,14.063702,24.469443,24.922684,25.24121,25.587153,26.21691,26.507108000000002,26.890445,27.208527,27.635945,27.847015999999996,28.14968,28.339895000000002,28.34249,28.128228999999997,28.062029,27.983359000000004,27.571984000000004,27.13885,27.01646,27.004039000000002,26.452085999999998,26.739058,27.20901,28.070490999999997,27.717221999999996,28.04812,27.712840000000003,27.922697999999997,27.764291999999998,27.930823999999998,28.116505,28.256790999999996,28.646776000000003,30.411525,36.908318,36.908771
4-2800816,,,,0,0.202434,1.578522,1.7840169999999997,2.6619759999999997,2.884455,3.3164059999999997,3.6589059999999995,4.060871,4.899087000000001,5.712847,6.106553,6.955792,6.648986999999999,5.808433,5.31372,5.187135,4.985762,4.541003,4.05167,3.7159839999999997,6.268096,8.079241,8.543312,8.98703,11.004351,11.361880000000001,13.680351000000002,24.085093,24.538332999999998,24.85686,25.202803,25.83256,26.123758,26.506095000000002,26.824177000000002,27.251595000000002,27.463665000000002,27.766329,27.956545000000002,27.958139000000003,27.743878999999996,27.676678999999996,27.599008,27.188633000000003,26.755499,26.63311,26.619688,26.068735999999998,26.353708,26.823659999999997,27.687140000000003,27.157683000000002,27.48858,27.1543,27.363158000000002,27.379941,27.547472999999997,27.734153999999997,27.87244,28.262425,30.027174,36.522967,36.523421
5-2800818,,,,,0,1.376089,1.581583,2.459543,2.682022,3.113972,3.457472,3.8584379999999996,4.697654,5.513413,5.904119000000001,6.751358,6.447553,5.607,5.112287,4.983701,4.783328,4.338569000000001,3.849236,3.51355,6.368473000000001,8.179618,8.64369,9.087407,11.104728,11.463257,13.780728,24.185470000000002,24.638710999999997,24.957237,25.303179999999998,25.932937,26.224134999999997,26.607471999999998,26.924553999999997,27.351971999999996,27.564042999999998,27.866706,28.056921999999997,28.059517,27.845256,27.778056,27.700384999999997,27.289009999999998,26.855876000000002,26.733487,26.721065000000003,26.169113,26.454085,26.925037,27.541426,26.956249,27.286146999999996,26.952866999999998,27.160724,27.481317999999998,27.647851,27.833531,27.972818,28.362802000000002,30.128551,36.624345,36.624798
6-2803063,,,,,,0,0.20549499999999998,1.0854549999999998,1.307933,1.740884,2.083384,2.48435,3.3235650000000003,4.138325,4.530031,5.377269999999999,5.073465000000001,4.232911,3.738199,3.610613,3.40924,2.964481,2.475148,2.139462,4.993385,6.80553,7.268600999999999,7.713319,9.72964,10.089169,12.40664,22.810382,23.263622,23.583149,23.929092,24.557848999999997,24.850047,25.233384,25.550466,25.977884,26.188954000000003,26.491618,26.681834000000002,26.684428000000004,26.470168,26.402967999999998,26.326296999999997,25.913922,25.481788,25.358399,25.345976999999998,24.794025,25.079997,25.549948999999998,26.413428999999997,26.216161,26.545059000000002,26.210779000000002,26.419635999999997,26.107229999999998,26.272762,26.460442999999998,26.598729,26.988714,28.753463,35.249256,35.24971
7-2803062,,,,,,,0,0.8799600000000001,1.102438,1.534389,1.876889,2.2778549999999997,3.11707,3.9308300000000003,4.324536,5.171775,4.866969999999999,4.026416,3.531704,3.404118,3.202745,2.758986,2.269653,1.9339669999999998,4.78789,6.599035000000001,7.063105999999999,7.506824000000001,9.524144999999999,9.882674,12.200145,22.604886999999998,23.058127,23.376654000000002,23.722597,24.352354000000002,24.643552,25.026889,25.343971,25.771389000000003,25.983459,26.286123,26.476339000000003,26.478933,26.264673,26.197473000000002,26.119802,25.708427,25.275292999999998,25.152904,25.140482000000002,24.58853,24.874502,25.344454000000002,26.207933999999998,26.009666,26.338564,26.005284,26.212141,25.900735,26.068267000000002,26.252947999999996,26.392234000000002,26.782219,28.547968,35.043760999999996,35.044215
8-2802651,,,,,,,,0,0.222479,0.654429,0.9969299999999999,1.397895,2.237111,3.051871,3.4445769999999998,4.2938160000000005,3.987011,3.146457,2.651744,2.524159,2.323786,1.879027,1.4386940000000001,1.3278510000000001,4.397930000000001,6.208075,6.672147,7.116864,9.133186,9.491715,11.810186,22.213928,22.667168,22.985694,23.331637,23.961394,24.252592,24.636929000000002,24.954012,25.381429,25.5935,25.896164000000002,26.085379,26.088974,25.874713,25.806513,25.728842999999998,25.317467999999998,24.885334,24.761944,24.750523,24.197571,24.483542,24.953494,25.713884,25.129706,25.459604000000002,25.123324,25.331182000000002,25.510776,25.678307999999998,25.863989,26.002275,26.392259999999997,28.158009000000003,34.652802,34.653255
9-2802638,,,,,,,,,0,0.43195100000000003,0.774451,1.175416,2.0146319999999998,2.829392,3.222098,4.071337000000001,3.764532,2.923978,2.429265,2.3016799999999997,2.100307,1.656548,1.512314,1.401471,4.471551,6.282696,6.746767,7.189485,9.207806,9.566335,11.883806,22.287548,22.741788,23.060315,23.406257999999998,24.036015,24.326213,24.71055,25.027632,25.45505,25.66712,25.969784,26.16,26.162594,25.947333,25.881134,25.803463,25.391088,24.958954000000002,24.836565,24.824143,24.272191,24.556163,25.028115,25.491405,24.906228,25.237125,24.901845,25.109703,25.583396,25.750928,25.936609,26.074895,26.46588,28.231628999999998,34.727422,34.727876
10-2803042,,,,,,,,,,0,0.3435,0.744466,1.583682,2.433441,3.163147,3.640386,3.3335809999999997,2.493028,1.998315,1.9047290000000001,1.9006439999999998,1.5975979999999999,1.542736,1.8344220000000002,4.904501,6.7156460000000004,7.179717999999999,7.623435000000001,9.639756,9.998285000000001,12.316756,22.721498,23.174739000000002,23.493265,23.838207999999998,24.468965,24.760163000000002,25.1435,25.460582000000002,25.886999999999997,26.099071,26.402734000000002,26.59195,26.595545,26.381284,26.314084,26.236413,25.824038,25.391904,25.269515,25.257094,24.705141,24.990113,25.459065,25.062455,24.475277,24.804175,24.470895000000002,24.677751999999998,25.283654000000002,26.183879,26.369559999999996,26.508846000000002,26.84217,28.664579999999997,35.160373,35.160826
