순번_정류장ID,63-2805804,64-2801168,65-2803645,66-2801666,67-2801633,68-2801192,69-2801636,70-2801604,71-2801564,72-2801520,73-2801485,74-2801450,75-2801438,76-2805321,77-2801461,78-2801462,79-2804438,80-2803790,81-2803644,82-2803555,83-2800677,84-2800668,85-2800656,86-2800661,87-2800630,88-2806418,89-2806633,90-2804896,91-2805037,92-2805221,93-2805232,94-2805872,95-2806173,96-2805499,97-2805843,98-2805408,99-2804947,100-2805317,101-2805874,102-2805024,103-2806658,104-2806743,105-2805680,106-2800575,107-2800562,108-2806838,109-2800555,110-2800541,111-2800530,112-2800523,113-2800519,114-2800517,115-2800515,116-2800508,117-2807101,118-2805797,119-2800504,120-2800510,121-2805304,122-2807046,123-2806655,124-2806799
63-2805804,0,0.15319000000000002,0.399336,0.61757,1.037001,1.28541,1.6428150000000001,1.900351,2.065502,2.1577029999999997,2.471619,2.789427,3.2209790000000003,3.7124080000000004,3.866565,4.04283,4.600697,4.742733,6.649000999999999,7.323047,7.785363,8.199587,8.54996,8.755576,9.565506,9.761577,9.940954,10.591741,10.923351,11.154646000000001,11.497871,11.68985,12.122347999999999,12.428981,12.166928,11.962586,11.684415,11.525871,11.250741,11.294789,11.511332000000001,10.922691,10.795064,11.103525,11.32209,11.582192,11.669350999999999,11.696978999999999,12.179574,12.463269,12.708119,12.869688,13.046358999999999,12.983647,13.141048999999999,13.42124,13.211058999999999,12.944392,13.086908,14.23596,14.469735,15.070145000000002
64-2801168,,0,0.24614499999999997,0.46438,0.883811,1.13222,1.489625,1.747161,1.9123119999999998,2.004513,2.318429,2.636237,3.067789,3.666218,3.820375,3.99664,4.559507,4.701543,6.607811,7.280857000000001,7.744173,8.158397,8.50877,8.714386,9.524316,9.715387,9.894764,10.545551,10.877161,11.108456,11.451680999999999,11.642660000000001,12.076158,12.381791,12.120738000000001,11.915396000000001,11.638225,11.48068,11.205551,11.249599,11.466142,10.877500999999999,10.748874,11.057335,11.2759,11.536002,11.623161,11.543789,12.027384,12.309078999999999,12.554929,12.715498,12.893169,12.830457000000001,12.986858999999999,13.26805,13.057869,12.792202,12.932718,14.082770000000002,14.316545000000001,14.916954999999998
65-2803645,,,0,0.221235,0.6406649999999999,0.889075,1.24648,1.504016,1.6691669999999998,1.761368,2.075284,2.3930919999999998,2.8246439999999997,3.4230720000000003,3.57723,3.7534949999999996,4.316362000000001,4.458398000000001,6.364666000000001,7.037712,7.501028,7.915252000000001,8.265624,8.47124,9.281171,9.472242,9.651618,10.301406,10.633016,10.864310000000001,11.208535000000001,11.398515,11.833013000000001,12.138646000000001,11.877593,11.672251,11.39508,11.236535,10.961406,11.005453999999999,11.221996,10.633356,10.505728999999999,10.814189,11.032755,11.292857000000001,11.380016,11.300644,11.783238,12.065934,12.311784,12.473352,12.649023,12.586311,12.744714,13.024905,12.814724,12.548057,12.690572999999999,13.838625,14.0724,14.672808999999999
66-2801666,,,,0,0.41943100000000005,0.66784,1.0252459999999999,1.282781,1.447932,1.540133,1.854049,2.171857,2.603409,3.201838,3.3559949999999996,3.53226,4.095127,4.237163,6.143431,6.816477000000001,7.279794,7.694017,8.04439,8.250005999999999,9.059936,9.251007000000001,9.430384,10.081171000000001,10.411781,10.643075999999999,10.986301,11.178281,11.610778,11.917411,11.656358,11.451016000000001,11.173846000000001,11.015301,10.740171,10.784219,11.000762,10.412122,10.284494,10.592955,10.81152,11.071622,11.158781,11.079409,11.562004,11.844699,12.08955,12.252118,12.427789,12.366077,12.523479,12.80367,12.593489,12.326823,12.469338,13.618391,13.851165,14.451575
67-2801633,,,,,0,0.24841,0.606815,0.864351,1.125502,1.249001,1.562918,1.880725,2.312277,2.9107060000000002,3.064864,3.241128,3.8039959999999997,3.9460309999999996,5.8522989999999995,6.525345,6.988662,7.402886,7.753258,7.958874000000001,8.768804,8.959875,9.139252,9.78904,10.12165,10.352944,10.697169,10.886149000000001,11.320646,11.626278999999998,11.365226,11.159885000000001,10.883714,10.724169,10.45004,10.493088,10.71063,10.120989999999999,9.993362,10.301822999999999,10.520389,10.780491,10.86765,10.787278,11.270872,11.553567999999999,11.798418,11.959986,12.136657000000001,12.073945,12.231347999999999,12.511538999999999,12.301357000000001,12.035691,12.177207000000001,13.326259,13.560032999999999,14.160442999999999
68-2801192,,,,,,0,0.358406,0.615941,0.876092,1.1452930000000001,1.459209,1.7770169999999998,2.208569,2.806998,2.9611549999999998,3.13742,3.7002870000000003,3.8423230000000004,5.748591,6.4216370000000005,6.884954,7.299177,7.64955,7.8551660000000005,8.665096,8.856167,9.035544,9.686331,10.017941,10.249236,10.591461,10.782441,11.216938,11.521571,11.262518,11.056175999999999,10.780006,10.621461,10.346331,10.390379,10.605922,10.018282000000001,9.889654,10.198115,10.41668,10.676782000000001,10.763941,10.684569,11.168163999999999,11.450859,11.69571,11.857277999999999,12.033949,11.971237,12.128639,12.40883,12.198649000000001,11.932983,12.074498,13.223551,13.457325,14.057735000000001
69-2801636,,,,,,,0,0.257536,0.517687,0.786888,1.1008040000000001,1.418612,1.850164,2.4485919999999997,2.60275,2.7790150000000002,3.341882,3.483918,5.390186,6.063232,6.526548,6.940772,7.291144999999999,7.496761,8.306691,8.497762,8.677138000000001,9.327926,9.659536,9.890831,10.234055,10.426035,10.858533,11.165166000000001,10.903113000000001,10.698771,10.4216,10.262055,9.987926,10.031974,10.248517,9.658876,9.531249,9.839709,10.058275,10.318377,10.405536,10.326164,10.808759,11.092454,11.337304,11.498872,11.675543,11.612831,11.770234,12.050425,11.839244,11.574577,11.715093,12.865145,13.09892,13.699329999999998
70-2801604,,,,,,,,0,0.261151,0.530352,0.844268,1.162076,1.593628,2.192057,2.346214,2.522479,3.085346,3.227382,5.13365,5.806696,6.270012,6.684236,7.034609,7.240225,8.050155,8.240226,8.420603,9.07139,9.402999999999999,9.635295,9.97752,10.169499,10.602997,10.90863,10.647577,10.442235,10.165064,10.00652,9.73139,9.774438,9.991981,9.40334,9.274713,9.583174,9.801739,10.061841000000001,10.149,10.069628,10.553223,10.834918,11.079768,11.242337,11.418008,11.356296,11.513698,11.793889,11.583708,11.318041000000001,11.458557,12.608609,12.842384,13.442794000000001
71-2801564,,,,,,,,,0,0.269201,0.583118,0.900925,1.3324770000000001,1.9309060000000002,2.085063,2.261328,2.8241959999999997,2.966231,4.8724989999999995,5.545545,6.008862000000001,6.423086,6.773458,6.979074000000001,7.789003999999999,7.979075,8.159452,8.810239,9.14185,9.374144,9.717369,9.908349000000001,10.340846,10.647478999999999,10.386426,10.180083999999999,9.903914,9.745369,9.470239999999999,9.514288,9.730830000000001,9.14219,9.013562,9.322023,9.540588,9.800691,9.88785,9.808478,10.292072000000001,10.574767999999999,10.819618,10.981186,11.157857,11.095145,11.252547999999999,11.532739,11.322557000000002,11.056891,11.198407000000001,12.347458999999999,12.581233000000001,13.181643
72-2801520,,,,,,,,,,0,0.313917,0.631724,1.063276,1.661705,1.8158619999999999,1.992127,2.554995,2.69703,4.603298000000001,5.276344,5.739661,6.153885,6.504257,6.709873,7.519803,7.7108740000000004,7.890250999999999,8.541038,8.872649000000001,9.104942999999999,9.448167999999999,9.639147999999999,10.071645,10.378278,10.117225,9.910883,9.634713,9.476168,9.200039,9.245087,9.461628999999999,8.872989,8.744361,9.052822,9.271386999999999,9.531489,9.618649000000001,9.539277,10.022871,10.305567,10.550417,10.711985,10.888656,10.825944,10.983347,11.263537,11.053355999999999,10.78769,10.929206,12.078258,12.312032,12.912442
