순번_정류장ID,1-2805030,2-2803527,3-2806022,4-2805205,5-2802589,6-2802565,7-2803502,8-2807466,9-2803415,10-2805157,11-2805161,12-2805163,13-2805165,14-2803483
1-2805030,0,2.021116,3.170298,3.447487,2.3087299999999997,3.842779,22.582915,27.543324,33.413884,35.613464,36.92934,38.145798,38.536384000000005,41.945402
2-2803527,,0,1.149182,1.826872,1.052114,4.164162999999999,22.728531,27.688940000000002,33.5585,35.75908,37.072956,38.292414,38.681,42.092017999999996
3-2806022,,,0,0.8399469999999999,1.599704,4.9079809999999995,23.027348999999997,27.987758000000003,33.857319,36.058898,37.372774,38.589232,38.978818,42.388836
4-2805205,,,,0,1.138757,4.4520349999999995,22.357658999999998,27.318069,33.188629,35.388209,36.704084,37.921543,38.311129,41.719146
5-2802589,,,,,0,3.313277,22.018417000000003,26.979826,32.849385999999996,35.050965999999995,36.364841999999996,37.5803,37.972885999999995,41.379903999999996
6-2802565,,,,,,0,19.318368,24.278776999999998,30.148336999999998,32.349917,33.663793,34.881251,35.272837,38.680855
7-2803502,,,,,,,0,4.960408999999999,10.82997,13.030549,14.344425,15.562883,15.952470000000002,19.361487
8-2807466,,,,,,,,0,5.869561,8.07114,9.385016,10.602475,10.993061,14.402078
9-2803415,,,,,,,,,0,2.20058,3.5144559999999996,4.731914,5.1225,8.531518
10-2805157,,,,,,,,,,0,1.313876,2.531335,2.9219209999999998,6.330938
11-2805161,,,,,,,,,,,0,1.217458,1.6080450000000002,5.017062
12-2805163,,,,,,,,,,,,0,0.39058699999999996,3.799604
13-2805165,,,,,,,,,,,,,0,3.409018
14-2803483,,,,,,,,,,,,,,0
