순번_정류장ID,1-2801245,2-2801244,3-2805070,4-2801261,5-2801267,6-2801193,7-2801278,8-2801295,9-2801309,10-2801329,11-2801335,12-2800209,13-2800204,14-2800201,15-2800197,16-2800199,17-2800175,18-2800213,19-2800220,20-2800231,21-2806091,22-2806779,23-2807641,24-2801697,25-2801724,26-2801915,27-2801923,28-2801926,29-2801922,30-2805271,31-2805273,32-2805275,33-2805278,34-2801967,35-2801973,36-2801984,37-2802009,38-2802037,39-2802075,40-2802124,41-2802114,42-2802097,43-2802088,44-2802081,45-2802066
1-2801245,0,0.255166,0.488588,0.727975,1.0681459999999998,1.339426,1.371393,1.618732,1.8049080000000002,1.9330669999999999,1.90831,2.341533,2.539039,2.781614,3.4131839999999998,3.8115370000000004,3.742662,3.8814,4.370654,4.603166000000001,4.9843150000000005,4.992781,4.866823999999999,6.211962000000001,6.759517999999999,7.481727,8.251619,8.377316,8.745697,9.164053,9.281417999999999,9.159934,8.877651,8.713997,8.404666,8.24151,8.44776,8.662183,9.026773,9.674502,10.024075,10.394625,10.165589,10.034664999999999,9.71822
2-2801244,,0,0.233422,0.47280900000000003,0.8129810000000001,1.08426,1.256559,1.503897,1.549742,1.677902,1.653144,2.0863669999999996,2.284873,2.527448,3.158018,3.555371,3.486496,3.625234,4.115488,4.3469999999999995,4.72915,4.737615,4.610658,5.956796,6.504353,7.225561999999999,7.997453,8.122150999999999,8.489531,8.908887,9.026253,8.905769,8.621485,8.457831,8.1525,7.9883440000000006,8.191594,8.407017,8.770607,9.422336999999999,9.766910000000001,10.13946,9.909423,9.778499,9.462054
3-2805070,,,0,0.23938800000000002,0.579559,0.8508379999999999,1.0231370000000002,1.270476,1.3163200000000002,1.44448,1.4197229999999998,1.852945,2.050451,2.293026,2.9245959999999998,3.3219489999999996,3.253075,3.3918120000000003,3.8820669999999997,4.1135779999999995,4.495728,4.504194,4.377236,5.723374,6.270931,6.99114,7.763031,7.887728999999999,8.256109,8.674465,8.790830999999999,8.671347,8.389063,8.22541,7.917078,7.752922,7.959172,8.173594999999999,8.538185,9.187915,9.533488,9.905038000000001,9.676001,9.544078,9.227632
4-2801261,,,,0,0.340171,0.611451,0.78375,1.031088,1.076933,1.205093,1.1803350000000001,1.613558,1.811064,2.053639,2.684209,3.081562,3.012687,3.151425,3.641679,3.8731910000000003,4.2553410000000005,4.264806,4.136849,5.483987,6.031544,6.750753,7.5226440000000006,7.6483419999999995,8.016722,8.434078,8.551442999999999,8.432959,8.148676,7.9870220000000005,7.677691,7.512535000000001,7.720785,7.935208,8.298798,8.948528,9.295100999999999,9.665650999999999,9.436614,9.304689999999999,8.987245
5-2801267,,,,,0,0.27128,0.443578,0.690917,0.999762,1.251882,1.227125,1.660347,2.059854,2.302428,2.933999,3.331351,3.262477,3.401214,3.8914690000000003,4.122980999999999,4.50513,4.311596,4.386638,5.530777,6.078333,7.000542,7.772433,7.897131,8.265512,8.683867,8.565272,8.446788,8.164505,7.999851,7.69152,7.528364,7.734614,7.948036999999999,8.313627,8.962356,9.307929,9.86656,9.685402999999999,9.55348,9.237035
6-2801193,,,,,,0,0.172299,0.419637,0.728482,0.9848389999999999,1.1088850000000001,1.542107,2.188613,2.419188,3.0607580000000003,3.458111,3.389236,3.527974,4.018229,4.24974,4.481591000000001,4.193355,4.5133980000000005,5.412536,5.960093,7.129302,7.901192999999999,8.025891,8.394271,8.556853,8.292993,8.173509,7.891225,7.726572,7.419239999999999,7.255084,7.460334,7.675757000000001,8.039347,8.689077000000001,9.03465,9.593281,9.498163,9.545241,9.365794000000001
7-2801278,,,,,,,0,0.24733899999999998,0.564184,0.8205399999999999,0.944586,1.377808,2.024315,2.254889,2.8974599999999997,3.2938129999999997,3.2249380000000003,3.363675,3.8549300000000004,4.086442,4.317292,4.029057,4.3491,5.248238,5.795794,6.964003,7.734894000000001,7.860592,8.229973,8.395555,8.130694,8.01121,7.7289259999999995,7.5652729999999995,7.256942,7.092786,7.299035000000001,7.513458999999999,7.878049000000001,8.526778,8.873351,9.430982,9.336864,9.382942,9.199496
8-2801295,,,,,,,,0,0.316845,0.573202,0.697248,1.13047,1.7759759999999998,2.007551,2.649121,3.0464740000000003,2.977599,3.117337,3.6065910000000003,3.838103,4.069954,3.781718,4.102761,5.0008989999999995,5.548456,6.717664999999999,7.488556,7.614253999999999,7.982634,8.145216,7.881355999999999,7.762872,7.480588000000001,7.314934,7.007603,6.842447,7.049697,7.26512,7.62771,8.277439999999999,8.624013,9.182644,9.087525999999999,9.134604,8.954157
9-2801309,,,,,,,,,0,0.256357,0.38040300000000005,0.813625,1.459131,1.6897060000000002,2.332276,2.729629,2.660755,2.799492,3.289747,3.521258,3.753109,3.464874,3.7849160000000004,4.684054,5.231611,6.39982,7.171711,7.296409,7.664789,8.016371000000001,7.752511,7.633027,7.350743,7.18509,6.877758,6.713602000000001,6.920852,7.134275,7.499865,8.148595,8.495168,9.052799,8.958681,8.952758,8.636312
10-2801329,,,,,,,,,,0,0.124046,0.557268,1.202775,1.4343489999999999,2.07692,2.473273,2.405398,2.544135,3.0333900000000003,3.265902,3.496752,3.2085169999999996,3.52956,4.427698,4.9752540000000005,6.143463,6.915354,7.0410520000000005,7.409433,7.7610149999999996,7.496154,7.37667,7.095386,6.931733,6.622402,6.458246,6.663494999999999,6.876919,7.241509,7.892238000000001,8.236811,8.794442,8.702324,8.697401,8.380956
