순번_정류장ID,59-2800198,60-2800203,61-2800208,62-2801378,63-2801385,64-2801389,65-2801400,66-2801406,67-2801422,68-2801438,69-2805321,70-2801487,71-2801529,72-2801544,73-2801187,74-2801581,75-2801606,76-2800694,77-2800726,78-2800751,79-2800765,80-2800782,81-2800797,82-2800813,83-2803049,84-2802654,85-2807098,86-2802671,87-2802630,88-2803042,89-2803043,90-2803099,91-2803071,92-2803082,93-2803093,94-2803107,95-2803121,96-2803125,97-2803232,98-2803181,99-2803260,100-2803270,101-2803269,102-2803273,103-2803279,104-2803294,105-2803308,106-2803318,107-2803315,108-2803323,109-2803332
59-2800198,0,0.303658,0.9876520000000001,1.539996,1.792283,2.002589,2.290052,2.4932819999999998,2.8497939999999997,3.276846,3.875275,4.343719,4.856372,5.200958,5.479548,5.689198,6.104497,7.030225,7.400218,7.818353,8.002719,8.46445,8.744492,9.371884,9.725006,10.013508,10.743718,10.985056,11.410005,11.730719,12.073219,12.487438000000001,12.264922,12.567536,12.823311,13.086007,13.275114000000002,13.677384,13.798337,14.176217999999999,14.441657000000001,14.730148999999999,14.505583999999999,14.276467000000002,14.623013,15.288109,15.733219,16.253381,17.011411,18.002979999999997,18.552943
60-2800203,,0,0.695995,1.2483389999999999,1.499625,1.710932,1.9983950000000001,2.201625,2.557137,2.985189,3.583618,4.051061,4.5647150000000005,4.908301,5.1878910000000005,5.396541,5.812839,6.738567,7.1075610000000005,7.526696,7.711061,8.172792999999999,8.452835,9.080227,9.433349,9.721851,10.451061,10.693399000000001,11.118348,11.439061,11.781561,12.195780000000001,11.973265,12.275878,12.531654,12.79135,12.985456,13.388727,13.505679999999998,13.882560999999999,14.149000000000001,14.437492,14.213926999999998,13.98381,14.330356,14.996451,15.439561,15.961723999999998,16.719754000000002,17.710323000000002,18.260285999999997
61-2800208,,,0,0.553345,0.804631,1.014937,1.3024,1.505631,1.862143,2.289195,2.887623,3.356067,3.8687199999999997,4.213305999999999,4.491897,4.701547,5.116845,6.042573,6.412567,6.8307009999999995,7.015067,7.476798,7.7568399999999995,8.384233,8.737354,9.025857,9.755067,9.996404,10.422353999999999,10.744067,11.086567,11.500786,11.27827,11.578884,11.834660000000001,12.096355,12.288461999999999,12.689733,12.811685,13.187567000000001,13.455004999999998,13.742498000000001,13.517933,13.288815,13.635360999999998,14.300457000000002,14.744567000000002,15.26573,16.02376,17.014328,17.565292000000003
62-2801378,,,,0,0.252286,0.46259300000000003,0.7500560000000001,0.9532860000000001,1.309798,1.73685,2.335279,2.803722,3.316376,3.660962,3.9395519999999995,4.149202,4.564501,5.490229,5.860222,6.278357,6.462723,6.924453999999999,7.204496000000001,7.831888,8.18501,8.473512,9.202722,9.44406,9.869009,10.191722,10.533223,10.947441,10.724926,11.026539,11.282314999999999,11.545011,11.735118,12.137388,12.258341,12.635222,12.901661,13.190153,12.965588,12.736471,13.083017,13.749112,14.192222000000001,14.713385,15.472415,16.462984,17.011947
63-2801385,,,,,0,0.21130700000000002,0.49877,0.7020000000000001,1.0585120000000001,1.4855639999999999,2.083993,2.552436,3.06509,3.409676,3.6882660000000005,3.8979160000000004,4.3132150000000005,5.238943,5.608936,6.027071,6.211437,6.6731679999999995,6.95321,7.580602000000001,7.933724000000001,8.222226,8.951436,9.193774000000001,9.617723,9.941436,10.282936999999999,10.697155,10.474639999999999,10.776253,11.032029,11.294725,11.485831,11.887102,12.007055000000001,12.383936,12.651375,12.938867,12.714302,12.485185000000001,12.831731,13.497826000000002,13.941935999999998,14.463099,15.221129000000001,16.211698000000002,16.761661
64-2801389,,,,,,0,0.287464,0.49069399999999996,0.8472059999999999,1.274258,1.872686,2.3411299999999997,2.853784,3.19837,3.47696,3.68661,4.101908,5.027636,5.39763,5.815764,6.00013,6.461861,6.741903,7.369296,7.722417,8.01092,8.74013,8.981467,9.406417,9.72913,10.07163,10.485849,10.263333,10.564947,10.818723,11.082419,11.272525,11.675796,11.794748,12.173630000000001,12.439069,12.727561,12.502996000000001,12.273878,12.620424,13.285520000000002,13.73063,14.250793,15.009823,16.000391,16.550355
65-2801400,,,,,,,0,0.203231,0.559742,0.9867950000000001,1.585223,2.053667,2.56632,2.910906,3.1894970000000002,3.399147,3.8144449999999996,4.740173,5.110167,5.528301,5.712667,6.174398,6.45444,7.0818330000000005,7.434953999999999,7.723457000000001,8.453667,8.694004,9.118953999999999,9.441667,9.783167,10.198386,9.97587,10.276484,10.53226,10.794955,10.984062,11.386333,11.508285,11.886167,12.152605,12.440097999999999,12.215533,11.986415,12.332961,12.998057000000001,13.442167000000001,13.96333,14.72136,15.712928,16.261892
66-2801406,,,,,,,,0,0.356512,0.783564,1.381993,1.8504369999999999,2.36309,2.7076759999999997,2.986266,3.1959169999999997,3.611215,4.536943,4.906937,5.325071,5.509437,5.971168,6.2512099999999995,6.878602000000001,7.231724000000001,7.520225999999999,8.249437,8.491774000000001,8.915723,9.238437,9.579937,9.995156,9.77164,10.074254,10.32803,10.590725,10.783832,11.183102,11.305055,11.681937,11.948375,12.236867,12.012302,11.783185000000001,12.129731,12.795827000000001,13.239937,13.7611,14.518129,15.508698,16.058660999999997
67-2801422,,,,,,,,,0,0.42705200000000004,1.0254809999999999,1.493925,2.0065779999999998,2.351164,2.629754,2.839404,3.2547029999999997,4.180431,4.550425,4.968559,5.152925,5.614656,5.894698,6.52209,6.875211999999999,7.163714,7.893925,8.135261999999999,8.560211,8.881925,9.224425,9.637644,9.415128,9.716742,9.972517999999999,10.234213,10.42532,10.827589999999999,10.948542999999999,11.325425,11.591863,11.880355,11.65579,11.426673,11.773219000000001,12.439314999999999,12.882425,13.403587,14.161617000000001,15.153185999999998,15.703149
68-2801438,,,,,,,,,,0,0.600429,1.068872,1.581526,1.9261119999999998,2.204702,2.414352,2.8296509999999997,3.755379,4.1253720000000005,4.543507,4.727873000000001,5.189604,5.469646,6.0970379999999995,6.4501599999999994,6.738662,7.467872,7.709210000000001,8.135159,8.456872,8.799373,9.213591000000001,8.991076,9.292689,9.546465,9.810161,10.001268,10.402538,10.523491,10.900372,11.167811,11.455303,11.230738,11.001621,11.348167,12.014261999999999,12.457372,12.978535,13.736564999999999,14.728133999999999,15.277097
