순번_정류장ID,17-2805383,18-2805381,19-2805379,20-2805377,21-2805375,22-2806790,23-2805387,24-2800921,25-2805386,26-2800916,27-2800913,28-2805297,29-2800872,30-2800888,31-2800889,32-2800871,33-2805296,34-2805295
17-2805383,0,0.149532,0.359363,0.801439,0.9887549999999999,1.194101,1.9459810000000002,2.556089,2.864672,3.103011,3.9317800000000003,4.644591,4.759369,5.061847,5.026035,4.75813,4.659229,4.600248000000001
18-2805381,,0,0.209831,0.651908,0.8392229999999999,1.044569,1.7964490000000002,2.406557,2.7151400000000003,2.953479,3.7822480000000005,4.4950589999999995,4.609837000000001,4.912315,4.876503,4.608598000000001,4.509698,4.450716000000001
19-2805379,,,0,0.44207700000000005,0.629393,0.8347389999999999,1.586618,2.196726,2.505309,2.743648,3.5724169999999997,4.285228,4.400005999999999,4.702483999999999,4.666673,4.398766999999999,4.299867,4.240885
20-2805377,,,,0,0.190316,0.395662,1.147541,1.75765,2.066232,2.3045720000000003,3.13334,3.8461510000000003,3.960929,4.263407,4.227596,3.95969,3.86079,3.8018080000000003
21-2805375,,,,,0,0.208346,0.960226,1.5703340000000001,1.878916,2.1172560000000002,2.946025,3.658836,3.7736129999999997,4.076092,4.04028,3.772375,3.6734739999999997,3.614493
22-2806790,,,,,,0,0.751879,1.361988,1.67057,1.9089099999999999,2.737679,3.450489,3.565267,3.867746,3.8319339999999995,3.564029,3.465128,3.4061470000000003
23-2805387,,,,,,,0,0.631108,0.9396909999999999,1.17803,2.006799,2.71961,2.834388,3.136866,3.101055,2.833149,2.734249,2.675267
24-2800921,,,,,,,,0,0.308583,0.546922,1.379691,2.092502,2.20728,2.509758,2.4739459999999998,2.206041,2.107141,2.7128639999999997
25-2805386,,,,,,,,,0,0.23834,1.071108,1.7839189999999998,1.898697,2.201175,2.165364,1.897458,1.798558,2.404282
26-2800916,,,,,,,,,,0,0.8327690000000001,1.54558,1.6603580000000002,1.962836,1.927024,1.6591189999999998,1.560219,2.165942
27-2800913,,,,,,,,,,,0,0.712811,0.8275889999999999,1.130067,1.094255,0.82635,0.72745,1.333173
28-2805297,,,,,,,,,,,,0,0.304758,0.607237,0.571425,0.30351999999999996,0.151381,0.998343
29-2800872,,,,,,,,,,,,,0,0.302478,0.266667,0.337702,0.319397,1.1131209999999998
30-2800888,,,,,,,,,,,,,,0,0.226319,0.307717,0.621876,1.415599
31-2800889,,,,,,,,,,,,,,,0,0.271905,0.586064,1.379788
32-2800871,,,,,,,,,,,,,,,,0,0.318159,1.111882
33-2805296,,,,,,,,,,,,,,,,,0,1.012982
34-2805295,,,,,,,,,,,,,,,,,,0
