순번_정류장ID,1-2801610,2-2801595,3-2801562,4-2800171,5-2800236,6-2800224,7-2801432,8-2801167,9-2801443,10-2801471,11-2801475,12-2801505,13-2801553,14-2801593,15-2801622,16-2801627,17-2801633,18-2801192,19-2801638
1-2801610,0,0.39360100000000003,0.541646,0.607679,0.792165,1.030841,1.348416,1.526405,1.477106,1.25241,1.308948,1.1131440000000001,0.883611,1.0694860000000002,1.3402209999999999,1.5924530000000001,1.713098,1.961507,2.039314
2-2801595,,0,0.148045,0.41372,0.685669,0.924344,1.241919,1.419909,1.370609,1.145913,1.202452,1.204648,0.9751139999999999,1.16099,1.431724,1.683957,1.804601,2.05301,2.130817
3-2801562,,,0,0.265675,0.537623,0.776299,1.093874,1.271863,1.222564,0.997868,1.054406,1.056603,0.827069,1.012945,1.283679,1.5359120000000002,1.6565560000000001,1.9049650000000002,1.983772
4-2800171,,,,0,0.271948,0.510624,0.828199,1.0061879999999999,0.956889,0.732193,0.788732,0.790928,0.561394,0.74727,1.0180040000000001,1.270237,1.390881,1.6392900000000001,1.7180970000000002
5-2800236,,,,,0,0.23867600000000003,0.556251,0.73424,0.684941,0.46024499999999996,0.516783,0.795587,0.74588,0.9317549999999999,1.20249,1.4547219999999998,1.575367,1.8237759999999998,1.9015830000000002
6-2800224,,,,,,0,0.318575,0.496565,0.624051,0.399355,0.45589300000000005,0.734696,0.984555,1.170431,1.441166,1.693398,1.814042,2.062452,1.988259
7-2801432,,,,,,,0,0.177989,0.34137399999999996,0.56607,0.717532,0.9963360000000001,1.302131,1.488006,1.7587409999999999,2.010973,2.101682,2.350091,2.235898
8-2801167,,,,,,,,0,0.163385,0.388081,0.539543,0.818347,1.133206,1.319081,1.589816,1.842048,1.923693,2.172102,2.057909
9-2801443,,,,,,,,,0,0.224696,0.376158,0.654961,0.9698200000000001,1.1556959999999998,1.426431,1.678663,1.774307,2.0227169999999997,1.908524
10-2801471,,,,,,,,,,0,0.15146199999999999,0.430266,0.745125,0.9309999999999999,1.201735,1.453967,1.549612,1.7980209999999999,1.6838279999999999
11-2801475,,,,,,,,,,,0,0.278804,0.593663,0.7795380000000001,1.050273,1.302505,1.39815,1.646559,1.532366
12-2801505,,,,,,,,,,,,0,0.314859,0.500735,0.771469,1.0237020000000001,1.1443459999999999,1.3927559999999999,1.4705620000000001
13-2801553,,,,,,,,,,,,,0,0.18587599999999999,0.45661,0.708843,0.9148120000000001,1.163222,1.241028
14-2801593,,,,,,,,,,,,,,0,0.270735,0.522967,0.8286120000000001,1.077021,1.329097
15-2801622,,,,,,,,,,,,,,,0,0.252233,0.5578770000000001,0.806287,1.058362
16-2801627,,,,,,,,,,,,,,,,0,0.305645,0.554054,0.806129
17-2801633,,,,,,,,,,,,,,,,,0,0.24841,0.5014850000000001
18-2801192,,,,,,,,,,,,,,,,,,0,0.253076
19-2801638,,,,,,,,,,,,,,,,,,,0
