순번_정류장ID,22-2802708,23-2802731,24-2802755,25-2802776,26-2802813,27-2802842,28-2802830,29-2806617,30-2802811,31-2804980,32-2802796,33-2802177,34-2802818,35-2802817,36-2802618,37-2802176,38-2806506,39-2806502,40-2806508,41-2806510
22-2802708,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.7939189999999998,1.9525860000000002,2.154832,2.329543,2.513805,2.573423,2.886486,3.0539490000000002,3.3319769999999997,3.653667,3.898026,4.268778,4.666987000000001,4.916831,5.235469
23-2802731,,0,0.25954299999999997,0.668013,1.1359569999999999,1.4289690000000002,1.587636,1.789882,1.964593,2.1488549999999997,2.208473,2.521536,2.6889990000000004,2.967027,3.2887169999999997,3.5330760000000003,3.903828,4.302037,4.551881,4.870519
24-2802755,,,0,0.41047,0.8784129999999999,1.171426,1.330093,1.532339,1.70705,1.9085150000000002,2.00493,2.317993,2.485456,2.763484,3.0851740000000003,3.329533,3.700285,4.098493,4.348338,4.666976
25-2802776,,,,0,0.46794399999999997,0.760957,0.919624,1.121869,1.296581,1.498045,1.593461,1.906523,2.073986,2.352014,2.6737040000000003,2.9180639999999998,3.288816,3.6870239999999996,3.936869,4.255506
26-2802813,,,,,0,0.293013,0.45168,0.653926,0.8286370000000001,1.030102,1.239517,1.5525799999999998,1.7200419999999998,1.998071,2.319761,2.56412,2.934872,3.3330800000000003,3.582925,3.901562
27-2802842,,,,,,0,0.158667,0.360913,0.535624,0.737089,0.9485040000000001,1.261567,1.429029,1.7070580000000002,2.0287479999999998,2.273107,2.643859,3.042067,3.2919120000000004,3.610549
28-2802830,,,,,,,0,0.202246,0.37695700000000004,0.578422,0.789837,1.1029,1.270362,1.548391,1.870081,2.11444,2.4851919999999996,2.8834,3.133245,3.451882
29-2806617,,,,,,,,0,0.17471099999999998,0.376176,0.587592,0.9006540000000001,1.068117,1.3461450000000001,1.667835,1.912195,2.282946,2.681155,2.931,3.249637
30-2802811,,,,,,,,,0,0.201465,0.41288,0.725943,0.8934059999999999,1.171434,1.493124,1.737483,2.1082349999999996,2.506443,2.756288,3.074926
31-2804980,,,,,,,,,,0,0.211416,0.524478,0.691941,0.9699690000000001,1.2916590000000001,1.536019,1.90677,2.304979,2.554824,2.8734610000000003
32-2802796,,,,,,,,,,,0,0.31306300000000004,0.480525,0.758554,1.080244,1.324603,1.695355,2.093563,2.343408,2.662045
33-2802177,,,,,,,,,,,,0,0.167463,0.44549099999999997,0.767181,1.0115399999999999,1.382292,1.780501,2.030345,2.348983
34-2802818,,,,,,,,,,,,,0,0.278028,0.605719,0.8500780000000001,1.2208299999999999,1.619038,1.868883,2.18752
35-2802817,,,,,,,,,,,,,,0,0.32769000000000004,0.57205,0.942802,1.34101,1.590855,1.9094919999999997
36-2802618,,,,,,,,,,,,,,,0,0.24536,0.616111,1.01432,1.264165,1.582802
37-2802176,,,,,,,,,,,,,,,,0,0.37075199999999997,0.7689600000000001,1.018805,1.337442
38-2806506,,,,,,,,,,,,,,,,,0,0.400208,0.650053,0.968691
39-2806502,,,,,,,,,,,,,,,,,,0,0.24984499999999998,0.5684819999999999
40-2806508,,,,,,,,,,,,,,,,,,,0,0.318637
41-2806510,,,,,,,,,,,,,,,,,,,,0
