순번_정류장ID,19-2801689,20-2801718,21-2801231,22-2801747,23-2801753,24-2801238,25-2801760,26-2801767,27-2801776,28-2801783,29-2801173,30-2801780,31-2801784,32-2801794,33-2801797,34-2801804,35-2801980,36-2806014
19-2801689,0,0.367584,0.8787010000000001,1.094424,1.252518,1.459335,1.687281,1.898098,2.153956,2.3715189999999997,2.576429,2.541099,2.685907,2.82614,2.921351,3.121224,3.302206,3.609124
20-2801718,,0,0.510117,0.7258399999999999,0.884934,1.091751,1.319698,1.530514,1.786372,2.003935,2.208845,2.173515,2.318323,2.458556,2.5537669999999997,2.75164,2.934622,3.24154
21-2801231,,,0,0.215723,0.374817,0.581633,0.80958,1.020397,1.276254,1.493817,1.6987279999999998,1.663397,1.8082049999999998,1.9484380000000001,2.0436490000000003,2.287522,2.4685040000000003,2.7754220000000003
22-2801747,,,,0,0.158094,0.36391100000000004,0.591857,0.802674,1.058532,1.276095,1.481005,1.445674,1.590483,1.730716,1.825926,2.0698,2.2517810000000003,2.5587
23-2801753,,,,,0,0.206817,0.43476400000000004,0.64558,0.901438,1.119001,1.323911,1.288581,1.433389,1.5736219999999999,1.6688330000000002,1.9127060000000002,2.093688,2.4006060000000002
24-2801238,,,,,,0,0.22794699999999998,0.438763,0.694621,0.917184,1.122095,1.0867639999999998,1.231572,1.371805,1.4670159999999999,1.711889,1.892871,2.199789
25-2801760,,,,,,,0,0.21081599999999998,0.466674,0.689237,0.8941479999999999,0.858817,1.003625,1.143858,1.239069,1.483942,1.6639240000000002,1.9708419999999998
26-2801767,,,,,,,,0,0.255858,0.478421,0.683331,0.648001,0.792809,0.933042,1.028253,1.272126,1.453108,1.7610259999999998
27-2801776,,,,,,,,,0,0.222563,0.42747299999999994,0.39214299999999996,0.5369510000000001,0.677184,0.7723949999999999,1.017268,1.19725,1.505168
28-2801783,,,,,,,,,,0,0.204911,0.47558,0.620388,0.760621,0.8558319999999999,1.1007049999999998,1.281687,1.3788200000000002
29-2801173,,,,,,,,,,,0,0.605066,0.7498739999999999,0.890107,0.985318,0.9937950000000001,1.174777,1.17591
30-2801780,,,,,,,,,,,,0,0.144808,0.285041,0.380252,0.625125,0.806107,1.113025
31-2801784,,,,,,,,,,,,,0,0.140233,0.23544400000000001,0.480317,0.661299,0.968217
32-2801794,,,,,,,,,,,,,,0,0.095211,0.340084,0.521066,0.827984
33-2801797,,,,,,,,,,,,,,,0,0.244873,0.42585500000000004,0.732773
34-2801804,,,,,,,,,,,,,,,,0,0.180982,0.4879
35-2801980,,,,,,,,,,,,,,,,,0,0.30691799999999997
36-2806014,,,,,,,,,,,,,,,,,,0
