순번_정류장ID,9-2801663,10-2801672,11-2801654,12-2801609,13-2801181,14-2805902,15-2801508,16-2801495,17-2801478,18-2801468,19-2801456,20-2801179
9-2801663,0,0.3,0.688,1.0218639999999999,1.322544,1.450328,1.65235,1.885054,2.064684,2.173889,2.2943689999999997,2.230084
10-2801672,,0,0.38799999999999996,0.7218640000000001,1.0225440000000001,1.150328,1.35235,1.5850540000000002,1.764684,1.873889,1.9943689999999998,2.409916
11-2801654,,,0,0.333864,0.634544,0.762328,0.9643510000000001,1.197054,1.376684,1.485889,1.6063690000000002,2.021916
12-2801609,,,,0,0.30068,0.428464,0.630486,0.86319,1.04282,1.152025,1.272505,1.688052
13-2801181,,,,,0,0.12778399999999998,0.329806,0.5625100000000001,0.7421399999999999,0.851345,0.971825,1.3873719999999998
14-2805902,,,,,,0,0.203022,0.435726,0.615356,0.724561,0.8450409999999999,1.2605879999999998
15-2801508,,,,,,,0,0.232704,0.41233400000000003,0.5215390000000001,0.642019,1.057566
16-2801495,,,,,,,,0,0.18062999999999999,0.289835,0.410315,0.8258620000000001
17-2801478,,,,,,,,,0,0.109205,0.229685,0.6452319999999999
18-2801468,,,,,,,,,,0,0.12047999999999999,0.536027
19-2801456,,,,,,,,,,,0,0.415547
20-2801179,,,,,,,,,,,,0
